	OM5_B_B_3	OM5_C_4A_2	OM5_C_4E_1	OM5_C_4E_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_3	OM5_C_6B_1	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6F_1	OM5_H_6F_2
OM5_C_5D_1	0.0129736636906847	0.00437471908100457	0.00652279917161974	0.0125040839149161	0.00646974122930823	0.0122112958239797	0.0306382975056342	0.0102843281647101	0.00663545962919518	0.00604891073541259	0	0.00570644664948613	0.00772550962053385	0.00650847199187129	0.0359546907612899	0.0162525244634909	0.00887307051683671	0.024419781139999	0.0198154791842007	0.00866023378017021	0.00534706419502221	0.00489326383031784	0.0202475356574936	0.0145364556637272	0.0111911259479593	0.00987908694880245	0.00991484574197862
OM5_C_5D_2	0.0111168896342991	0.00830361558663301	0.0111128949153927	0.0167365234805322	0.00629727307253262	0.00936018549855887	0.0273845297306213	0.0152150236941835	0.00907605575796939	0.0115063441473376	0.00570644664948613	0	0.00837666086358659	0.00368220837385924	0.0326840077091904	0.0141309005836072	0.0126214520257655	0.0288643817602992	0.0241708743416492	0.0126324608646318	0.00945677794009894	0.00427307889077415	0.0194079650605562	0.0181645229473098	0.0167870908112039	0.00982138780061171	0.00902845296177328
OM5_C_5D_3	0.0061827078267505	0.0120527047646486	0.0138839685291449	0.0196379434848616	0.00529573675961009	0.00649327028789159	0.0238479611220815	0.0169165921892413	0.00315745915890668	0.00994963663841122	0.00772550962053385	0.00837666086358659	0	0.00513640668843165	0.0291181490657985	0.00976286567363422	0.0128094323308929	0.0311962608074702	0.0267352198238516	0.0155852323077483	0.00522863762490684	0.00443354986513935	0.0126959180491956	0.0218430252681464	0.0137007140420699	0.00429700374680545	0.00399411457753016
OM5_C_5E_1	0.00758553916837578	0.0103644805928196	0.0129171227694857	0.0187747373786548	0.00457781648901795	0.00606520553074952	0.0244671151483619	0.0167182976142628	0.00669383892155742	0.0113680824242216	0.00650847199187129	0.00368220837385924	0.00513640668843165	0	0.0298008211615253	0.0109033951710525	0.0130554532732829	0.0308672931911248	0.0262148891370729	0.0145095006181785	0.00794014528328151	0.00227845203164784	0.015804248736706	0.0205256258578882	0.0162838569978531	0.00674456446103668	0.00570358619913173
OM5_C_5G_1	0.0231820754853134	0.0400341309217428	0.0424619153943881	0.0481013182621954	0.0307914725216859	0.0238471244828191	0.0058596382740543	0.0457090912965415	0.0315344050751934	0.0387175082581609	0.0359546907612899	0.0326840077091904	0.0291181490657985	0.0298008211615253	0	0.0205379287547201	0.0394746920745657	0.0601913038572126	0.0556738368638908	0.043480094328586	0.0342365908434342	0.0311516107355413	0.0189464080876693	0.0498497366858808	0.0419320011876629	0.0276132419286563	0.0267187502684835
OM5_C_5G_2	0.00397671369121488	0.0202204214449644	0.022561933940486	0.0278495236466375	0.0105025622689995	0.00626687038114128	0.0159593513426391	0.0254406176320513	0.0115789281912938	0.0185273979217823	0.0162525244634909	0.0141309005836072	0.00976286567363422	0.0109033951710525	0.0205379287547201	0	0.0189665715494133	0.0400724648471715	0.0357247682321699	0.0231682000036346	0.0146935156646472	0.0115072000633478	0.00676451783965198	0.0296374418972779	0.0223754291365867	0.00720252723403446	0.00646419424156165
OM5_C_5H_3	0.0170686775973779	0.00835040208748714	0.00897332418659693	0.0107964652129827	0.0094851924902113	0.0176493183036295	0.0348336265003266	0.00887645291701501	0.0100144349537001	0.00615801293311389	0.00887307051683671	0.0126214520257655	0.0128094323308929	0.0130554532732829	0.0394746920745657	0.0189665715494133	0	0.022729850393038	0.0191691590050139	0.00652213520402876	0.00999026510497252	0.0109051193437225	0.0225892813126632	0.0123532903427079	0.0103742845069351	0.0122021304839872	0.013270271479557
OM5_C_6B_1	0.0370449152144781	0.0206906991937351	0.0179602066785974	0.0127744322284296	0.0298433120366339	0.0365881806583184	0.0548986217073801	0.0146726905205679	0.0289336655281889	0.0218971477328266	0.024419781139999	0.0288643817602992	0.0311962608074702	0.0308672931911248	0.0601913038572126	0.0400724648471715	0.022729850393038	0	0.00490075053257211	0.0177279952445059	0.0263006713165022	0.0292410884162799	0.0430360479189067	0.0123051816307941	0.0205034767106498	0.0329956203268534	0.0336490392609386
OM5_C_6B_3	0.0325762601645179	0.0161030079956457	0.0133606477695197	0.00881276128700995	0.0254961677360695	0.0319651260118322	0.0503118505197869	0.0105904027014925	0.024650049017464	0.0178301770544108	0.0198154791842007	0.0241708743416492	0.0267352198238516	0.0262148891370729	0.0556738368638908	0.0357247682321699	0.0191691590050139	0.00490075053257211	0	0.0137218801000537	0.0219490985831785	0.0246818877886818	0.0388512987949324	0.00887165601331122	0.0170379061304146	0.0287397770157784	0.0292773234939009
OM5_C_6D_1	0.0205733445490444	0.00507235746242302	0.00441308010463132	0.00498484165248247	0.0127102940661523	0.0202470647725835	0.0384590576955706	0.00427402144731927	0.0133335103846116	0.00766992158966677	0.00866023378017021	0.0126324608646318	0.0155852323077483	0.0145095006181785	0.043480094328586	0.0231682000036346	0.00652213520402876	0.0177279952445059	0.0137218801000537	0	0.011920076786983	0.0127303208980821	0.0272352520471602	0.0065141654632665	0.0113376747480087	0.0163945683854188	0.0169835961400827
OM5_C_6D_3	0.011356865597355	0.00889208729728403	0.00983806005284737	0.0153360594319887	0.00709908223545784	0.0115512154725321	0.0289775175861778	0.0123246133857745	0.00337461813755317	0.00528177568234685	0.00534706419502221	0.00945677794009894	0.00522863762490684	0.00794014528328151	0.0342365908434342	0.0146935156646472	0.00999026510497252	0.0263006713165022	0.0219490985831785	0.011920076786983	0	0.00616307315746172	0.0170266590289506	0.0178233702999093	0.00870326044639352	0.00802296067897745	0.00850084379874707
OM5_C_6F_1	0.00829244569761265	0.00891383384957418	0.0113515837478313	0.0170818435879544	0.00300477038767597	0.00753602820998105	0.0259118352072509	0.0148699820111876	0.00492207265852027	0.00920947260102684	0.00489326383031784	0.00427307889077415	0.00443354986513935	0.00227845203164784	0.0311516107355413	0.0115072000633478	0.0109051193437225	0.0292410884162799	0.0246818877886818	0.0127303208980821	0.00616307315746172	0	0.0160615669570244	0.0189360387816348	0.0142484945471494	0.00593674511207828	0.00545315650133929
OM5_C_6F_3	0.00840611938248484	0.0244366991192984	0.0262956285100442	0.0315671362347002	0.0152653972443381	0.0109813304292747	0.014794765520415	0.0287301918090797	0.0142847946299536	0.021190425012328	0.0202475356574936	0.0194079650605562	0.0126959180491956	0.015804248736706	0.0189464080876693	0.00676451783965198	0.0225892813126632	0.0430360479189067	0.0388512987949324	0.0272352520471602	0.0170266590289506	0.0160615669570244	0	0.0337026036678062	0.023595037785497	0.0110094620229901	0.0108530136139349
OM5_H_6A_1	0.0269735283919091	0.0103316083283755	0.00855347919991515	0.00288243357450468	0.0191519007710535	0.0264440568976833	0.0447714240720401	0.00620294166317612	0.0196538841718854	0.0133468277997013	0.0145364556637272	0.0181645229473098	0.0218430252681464	0.0205256258578882	0.0498497366858808	0.0296374418972779	0.0123532903427079	0.0123051816307941	0.00887165601331122	0.0065141654632665	0.0178233702999093	0.0189360387816348	0.0337026036678062	0	0.0151884411747995	0.022896215103758	0.0234457997807052
OM5_H_6A_2	0.0195331583948889	0.0114931458733253	0.0100861943791628	0.0124053882514339	0.0144041908607182	0.020158964621135	0.0368932659555498	0.00910263462865405	0.0110861768101469	0.00571304449297926	0.0111911259479593	0.0167870908112039	0.0137007140420699	0.0162838569978531	0.0419320011876629	0.0223754291365867	0.0103742845069351	0.0205034767106498	0.0170379061304146	0.0113376747480087	0.00870326044639352	0.0142484945471494	0.023595037785497	0.0151884411747995	0	0.0154285292474658	0.0164412153608937
OM5_H_6F_1	0.0050946629889036	0.0137583432516476	0.0158170632143377	0.0209400851995031	0.00439301682746021	0.00679518405977765	0.0227944503940849	0.0183775127350708	0.00469237128945905	0.0113491180748124	0.00987908694880245	0.00982138780061171	0.00429700374680545	0.00674456446103668	0.0276132419286563	0.00720252723403446	0.0122021304839872	0.0329956203268534	0.0287397770157784	0.0163945683854188	0.00802296067897745	0.00593674511207828	0.0110094620229901	0.022896215103758	0.0154285292474658	0	0.00168694173764167
OM5_H_6F_2	0.00379908325808466	0.0139393130038593	0.0161552319221403	0.0215283774096462	0.00452432730233713	0.00513906182864451	0.0217557656804499	0.0190487852253842	0.00540170699223318	0.0122106176181363	0.00991484574197862	0.00902845296177328	0.00399411457753016	0.00570358619913173	0.0267187502684835	0.00646419424156165	0.013270271479557	0.0336490392609386	0.0292773234939009	0.0169835961400827	0.00850084379874707	0.00545315650133929	0.0108530136139349	0.0234457997807052	0.0164412153608937	0.00168694173764167	0
