	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_C_4E_2	0.0293613749398501	0.0245421119160791	0.0202001988495619	0.0253838404037678	0.00508490375652199	0.011533978860896	0.0316660549799306	0.0249564766890065	0.0312634595657689	0.030101660076902	0	0.0335598853609768	0.137334696933938	0.133253985592154	0.134176411804567	0.0846843978158606	0.0728751382186318	0.0765178417576402	0.0727966894166228	0.0522713005027399	0.0566852856132877	0.138796517735539	0.105393466318085	0.114886403252783	0.0288787285241638	0.0316257176193559	0.0256554150897654	0.0384501756471518	0.0442526126474862	0.0321154801015031	0.0345020550088106	0.0092149991267564	0.0204675434712217	0.0994356276662469	0.0917331956649062	0.0788944937577617	0.0229166833837726	0.0236499921832869	0.0459898745756554	0.0169155014812131	0.0155587052203033	0.023353532830789	0.0347210999894224	0.0241579248922822	0.0341987792623865	0.0531630029289398	0.0424470904318403	0.0475960119065289	0.0232017082412761	0.0118407664776424	0.0242338297216958	0.0226056490192196	0.0202079821899802	0.0107706403417834	0.0104240222963295	0.0284929422709723	0.0920790204925405	0.0350567491873204	0.01985186553102	0.0286771359907517	0.0141873858137741	0.0286149776106635	0.0241113544019507	0.0173692650253678	0.0704433108810777	0.0284984914328137	0.0152551248150145	0.0464013639780264
OM5_C_4E_3	0.0584578869731806	0.0536201176509153	0.043731640267589	0.0490519152988967	0.0324530572452543	0.0358613757565573	0.0226101927766181	0.0133655363591775	0.00725103188973952	0.0297202898310318	0.0335598853609768	0	0.16626886361039	0.162369706324973	0.16158081830243	0.115383825458089	0.103393942549344	0.10604032731664	0.104315931801446	0.0832026205309846	0.0844905717900358	0.168123331081752	0.135122474168278	0.144159241101581	0.0578105927536905	0.0598109614263158	0.0507734491377751	0.06884410044846	0.0732382567564376	0.0608531858144455	0.0237666919429245	0.0256314603695396	0.0149822254097066	0.128891968247472	0.120921918628693	0.105753786904367	0.0273550212474374	0.0125758395277066	0.014045090769536	0.0468385047827633	0.0209429367704295	0.0517519741917699	0.0648440456714118	0.0553552357987291	0.0636986201330447	0.0836702196590355	0.0721038587209449	0.0746469409240894	0.0408569120764452	0.0323744818269127	0.0119411732603715	0.0199558741042745	0.0305864970665847	0.0280598627180266	0.0278606436515347	0.0188331209874149	0.0597990432172018	0.00426377436805559	0.0146525884287872	0.0125193962559986	0.0314883533169431	0.0115942916045071	0.0144839754315802	0.0354872181406421	0.0398016206943484	0.0166077912700996	0.0207660786777352	0.014899106377139
OM5_C_4F_1	0.117835480683569	0.114022788362407	0.123192044438118	0.135602376550181	0.138599315225878	0.134059693450648	0.163945006407944	0.159774633228832	0.164300598090212	0.162771725014673	0.137334696933938	0.16626886361039	0	0.0210283796846877	0.0293553837104516	0.0590818655435542	0.0652252106816801	0.0626692592409417	0.0717474799076405	0.0868299923307233	0.0839566504311959	0.00889932146264428	0.0366755446065663	0.0322735322486795	0.11583071716967	0.107454808855566	0.116819440866709	0.102965793982721	0.0952310443128523	0.106613111484867	0.167208079038887	0.143352165523704	0.153079181420726	0.0406096172514568	0.0501887400421383	0.0651926469131028	0.153075157680277	0.155323588131419	0.178406493402606	0.126920815905398	0.148428399410495	0.116200441317904	0.106749579014131	0.116273531703403	0.104428505855153	0.088114412279574	0.0958784051113345	0.0934581202842196	0.141924372563265	0.135428784967785	0.155796530966779	0.148386892213703	0.150154116129488	0.140668865355548	0.139658279318219	0.163305411021859	0.223513996169098	0.168364266526976	0.15312732155901	0.158266211818415	0.14504614969135	0.160778835404703	0.155433004756714	0.142479933301579	0.204591088968118	0.163656624628605	0.146656562387114	0.179840937996582
OM5_C_4F_2	0.116961659707155	0.110656538682755	0.119249510637969	0.134384902595611	0.134892181048446	0.130943174092322	0.161698970533989	0.156550152824229	0.160923944775405	0.160181061332525	0.133253985592154	0.162369706324973	0.0210283796846877	0	0.0155210942986997	0.0617211139823382	0.0619455412443962	0.0574521918935561	0.0715797385596987	0.0846196367783986	0.078598230058968	0.023416576537403	0.0285925585670329	0.0193705237598055	0.114234675950814	0.103378562305374	0.11227901248245	0.10166134916979	0.0899916889836113	0.103552268895439	0.164847516523437	0.139372997703401	0.148715020580035	0.0344354100727272	0.0422980425049669	0.0586399701562015	0.150673115762785	0.151591085896721	0.175174139425463	0.124670595089124	0.144814410541892	0.112497320285033	0.105653912219697	0.113856718681132	0.101501988460234	0.0876831499132656	0.0928418969438444	0.0886519674575613	0.140590402907405	0.130880644401921	0.152079220018351	0.144946889048535	0.147945403225384	0.137305379067564	0.135469949315865	0.160434421814166	0.219189047187975	0.164515919708619	0.14964499905829	0.154018794195072	0.142056660117806	0.157806559653484	0.152220815751177	0.140520764213937	0.201064178470002	0.160501716955014	0.14283016957763	0.175732197492516
OM5_C_4F_3	0.119862874971059	0.111259246871366	0.118745899177168	0.137502376042617	0.135798851489202	0.131777400378527	0.162799684264694	0.156799065550192	0.160591043980304	0.162115153947631	0.134176411804567	0.16158081830243	0.0293553837104516	0.0155210942986997	0	0.0682688943878807	0.065270569848661	0.0593436981019065	0.0778890094623454	0.087711322497056	0.0781501764963754	0.0328746992560203	0.0337216707396688	0.0242953386994692	0.116645770399715	0.103535581565725	0.111696226648532	0.104450212634398	0.0903067287038475	0.104325435799759	0.166049463186746	0.139707225020152	0.148248064955794	0.0378777195771422	0.0441868693721488	0.0567206479432075	0.152041066289326	0.151143152370844	0.174393186758257	0.126767594494642	0.14500369033192	0.113029511221873	0.108168746922945	0.116035657188294	0.102737220512052	0.0911029569935289	0.0941997987768338	0.0879665477475782	0.143008501949476	0.13056599594256	0.151568072141489	0.1442015636818	0.149632762236295	0.137689251312661	0.135321552694723	0.161328527616129	0.217396047302391	0.16382396275541	0.149524180203896	0.153101392446411	0.143639343337962	0.157697946343144	0.152053578478258	0.142398827844699	0.200503511272072	0.161123015543792	0.142638661378745	0.174873957379567
OM5_C_4H_1	0.0612392123180201	0.0627241126717774	0.0740552693990793	0.0784692166371521	0.0853007188228775	0.0819162480943611	0.109679158940785	0.106815403053129	0.112718167109846	0.107242828453991	0.0846843978158606	0.115383825458089	0.0590818655435542	0.0617211139823382	0.0682688943878807	0	0.022619389741447	0.0295525916868459	0.0197280348193291	0.0350396045427679	0.0433529505050973	0.0598070595353274	0.0388606522450111	0.0486746382805157	0.0612770005545244	0.0587190616463487	0.0692128081382229	0.0484817879476533	0.0494055106469599	0.0564480463349261	0.113031270815166	0.0916000317385957	0.102588537563546	0.0332566267352461	0.035126243432789	0.0417782540268914	0.099465599382387	0.104559296856975	0.1269175508384	0.0716721827591085	0.0967797069651329	0.0663969870590242	0.0520517677765937	0.0622539567037904	0.0538780746049868	0.0321753749064277	0.0455035855784655	0.0501401355703414	0.0864808052331776	0.0852619484382583	0.105015011502506	0.0984820970268138	0.0947045581976581	0.0887858662870919	0.0886803576411971	0.109127676677795	0.174101525233323	0.117244799562353	0.101339462446147	0.108695932784348	0.0912177676148844	0.108892474531334	0.104055018627171	0.0875046850569021	0.152743601412166	0.109737703519284	0.095550455556834	0.129068910069201
OM5_C_4H_2	0.0556886048258366	0.0503367787841101	0.0604278503020267	0.0732858426430367	0.0743933058142534	0.0704765974379468	0.100820107697959	0.0962278818600308	0.101296515186048	0.0990762749030052	0.0728751382186318	0.103393942549344	0.0652252106816801	0.0619455412443962	0.065270569848661	0.022619389741447	0	0.0098865552600771	0.0203649234891926	0.0236441211954631	0.0237623935867844	0.0668593689737637	0.0340114132091898	0.0443513119953873	0.0533251992945571	0.0441181521130744	0.0539601362669861	0.0404428596782924	0.0318608531595623	0.0432767336427174	0.104008251103196	0.07940710622103	0.0896581925329503	0.0279480646304895	0.0231135463634373	0.0227822864002888	0.089819970217792	0.0923035552868002	0.115919725010255	0.0632313993046081	0.0848169816293442	0.0525285092409316	0.0440751211480355	0.0523328269845638	0.040863344862855	0.0277346936672095	0.0323504604017674	0.0321277187135569	0.0793654798591698	0.071832766936361	0.0927797296543425	0.0860727284808254	0.0867052916375168	0.077094271108386	0.0760827780618785	0.0996794396469987	0.161869016498641	0.105328731526725	0.0898004538254006	0.0955905417962193	0.0811858110418911	0.0978757838873751	0.0924805605393695	0.0791757575251522	0.141872926395142	0.100046224022461	0.0833014552136157	0.116887224057484
OM5_C_4H_3	0.0618263009846008	0.0539904486392485	0.0626817214466062	0.0792644712310727	0.078308218590678	0.0738184940171223	0.104902287323305	0.0998885866293683	0.104238955703064	0.103847508987046	0.0765178417576402	0.10604032731664	0.0626692592409417	0.0574521918935561	0.0593436981019065	0.0295525916868459	0.0098865552600771	0	0.0275922271391967	0.0289672350828118	0.0229606982227777	0.0650901680208919	0.0298021769113235	0.0391829996556023	0.0580521398471276	0.0465514679191201	0.0557190594520141	0.0458893885177676	0.0333270148966676	0.0464361018841156	0.108069305411926	0.0824784685088271	0.0921514966389197	0.0237156720109918	0.0159433313943932	0.0146515775181353	0.0938419427134458	0.0949151377926458	0.118883271252259	0.0683761350007743	0.0878629966925835	0.0553461915621028	0.04985275653629	0.0571611199031471	0.0443197833129306	0.0350992850903219	0.0358918327558541	0.0328531513236059	0.0843408596774632	0.0742766962996054	0.0954175635633609	0.0883630540225566	0.091536766125234	0.080271258212893	0.0788284914112374	0.103704045984986	0.164070112222091	0.108165420703656	0.0929238659955328	0.0976041832614471	0.0852159623315636	0.101020844342045	0.0953932275252175	0.0838736803817098	0.144831684322255	0.103942413412071	0.0860396779306355	0.119461137521468
OM5_C_5A_1	0.0508330897674881	0.0530083953403993	0.0639012832056633	0.0674930117240723	0.0741773037373871	0.0694585077619352	0.097553377982624	0.0955700656954351	0.101075401176975	0.0952096524860982	0.0727966894166228	0.104315931801446	0.0717474799076405	0.0715797385596987	0.0778890094623454	0.0197280348193291	0.0203649234891926	0.0275922271391967	0	0.0228398181803184	0.0370112639954206	0.0734520578008483	0.0457637239863617	0.0556604180071356	0.0487464392353085	0.0488908213563644	0.0585859916265251	0.0364498809499186	0.039911754099482	0.0457279461789409	0.100627069559493	0.0795929111514075	0.0908231885283099	0.0409164513401089	0.0379721004539073	0.0410777508462042	0.086714750616924	0.0928804152498021	0.115989118925469	0.060488599362067	0.0845308172759367	0.0545319656598774	0.0410548564838443	0.0496884465067939	0.0423312720163531	0.0255967217711574	0.0352342579416017	0.0423180793172546	0.0739263576480453	0.0739640570610239	0.0933470468383756	0.0870501864993987	0.0834009733964176	0.0767845249140671	0.0776177115343489	0.0974014146335627	0.163017033687029	0.106045728994634	0.0900651889009426	0.0966838940697308	0.0784006057066593	0.0972098956924611	0.0921735422501241	0.0752639486112801	0.141039927200872	0.0985741282777899	0.083968830965118	0.117276132108078
OM5_C_5A_2	0.0338512074045957	0.0312254561508608	0.0416503856905711	0.0512261912133475	0.0537738088006088	0.048707272433493	0.0785281969836577	0.075349875838511	0.0803894323518665	0.077098796196328	0.0522713005027399	0.0832026205309846	0.0868299923307233	0.0846196367783986	0.087711322497056	0.0350396045427679	0.0236441211954631	0.0289672350828118	0.0228398181803184	0	0.0220530697295312	0.0887195917742701	0.0569090854665739	0.0669922315706433	0.0300631849482191	0.0264748822681541	0.0364975775081419	0.0173895209103363	0.0197670093080279	0.0233274576162959	0.081690469206494	0.0586151967787699	0.0695666646909092	0.0508671352650116	0.04445690724169	0.037479585301875	0.0675156473032978	0.0717105143848951	0.0953983216189879	0.0414737642738505	0.0638006180978962	0.0326006704268811	0.0221958089598857	0.0300703339005791	0.0200814825516077	0.013086350477533	0.0131529155532852	0.023397109378135	0.0563720422770395	0.0523947536692695	0.0722862897199866	0.0656739328739138	0.0648085809408098	0.0558689461655578	0.0560754726468888	0.0779654984218714	0.142215663963079	0.0851881617232008	0.069130376144065	0.0754273975082553	0.0589609880346094	0.0766932142296867	0.0714044050068963	0.0566663767172853	0.120899037314325	0.0787646170299664	0.0627047149926242	0.0966123620469733
