	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_1	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_2	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6H_1
OM5_C_4H_1	0.0385234860318741	0.0175404415216982	0.0194643722192918	0.0018792524385117	0.0237172867128431	0.0118994217552803	0.0255371301871553	0.011612653693364	0.00530332311858058	0.032886544057008	0	0.025656186048323	0.00101658962387057	0.00814598094905765	0.00764303960602637	0.00891323135815427	0.00397467018938596	0.0279025729236138	0.0139464330997105	0.0320297588892653	0.00733781032898648	0.0211135340384274	0.0137501233615811	0.0267567962152919	0.0443761253782366	0.0418852662147146	0.0290147166626282	0.0351116096908778	0.0117788812294915	0.00648369705971757	0.000697917105557079	0.0612448238833197	0.007727593685003	0.00641185062597398	0.047038171678499	0.0341453068129532	0.034787248201096	0.017697518876555	0.0181217732192368	0.00484426653677943	0.0178003473532404
OM5_C_4H_2	0.0129374531457745	0.00817612552919681	0.00686750965325802	0.0263509598877154	0.049357873257293	0.0139361561995191	0.00112071151976485	0.0163023115092269	0.0281520769866817	0.00726545820312104	0.025656186048323	0	0.0265263542108877	0.0180423954264748	0.0182565856996116	0.0345629597903436	0.0290721006238928	0.0116244125326999	0.0164016968872533	0.00764703649940157	0.0231949667314259	0.00608486865800281	0.0119717388140437	0.00672848982806732	0.0188915748947524	0.0162470871004765	0.00421884548919322	0.0106874054308964	0.0374024947397195	0.0192087720263909	0.0258031107159342	0.0382923631984096	0.030057609677208	0.0239944544452021	0.0213983125545971	0.0138323619385281	0.0601940644289081	0.00804328363327972	0.00757882708855406	0.0304228249623201	0.0157820905335929
OM5_C_5A_1	0.0394123013500715	0.0184356498250303	0.0203966040293717	0.00231386100312817	0.0228681584243395	0.0128319352178796	0.0264289981186178	0.0126269717689434	0.00554894026696078	0.0337674349809423	0.00101658962387057	0.0265263542108877	0	0.0091340707297614	0.00840593105860957	0.00804902633297793	0.00365573097353205	0.028911386978193	0.0149610168574732	0.0329659156638628	0.00822768963350501	0.0220610302022033	0.014656002693207	0.0277296144720275	0.0452796348363943	0.0427619218437095	0.0298320755244695	0.0360545634391344	0.0109772299050907	0.00732283491687601	0.000742514858262792	0.0622408955316816	0.00786018040274403	0.00632200427270689	0.0478991608470965	0.0351451375994832	0.0340348940739892	0.0185963890429685	0.018974605673963	0.00390918742374025	0.0188121044496651
OM5_C_5A_2	0.0307281879719237	0.00987644837460198	0.0115162932747373	0.00843917319033775	0.0315543543255574	0.00412771986892527	0.0177842919414247	0.00389419486707788	0.0101520575317592	0.0251556617057072	0.00814598094905765	0.0180423954264748	0.0091340707297614	0	0.00403867281005818	0.0169011634485882	0.0111182227548929	0.0198521532502008	0.00669650524887302	0.0240154868691885	0.00599473546976048	0.0130756487941035	0.00613305486485122	0.0186256521659585	0.0364936102230442	0.0341476018086185	0.021725983165385	0.0270659551795779	0.0195706519069365	0.00327786483728509	0.00850291227916617	0.0531234086009555	0.012219060631072	0.00993669505077813	0.0393752876254194	0.0260278718395607	0.0421890202726301	0.010001570103873	0.0107852819468576	0.0129722329448323	0.0105279646051069
OM5_C_5A_3	0.0311863810513719	0.0103364401457896	0.0125406980016467	0.00878249697497121	0.0312478869852448	0.00533485794937813	0.0182460641842391	0.00755357179557844	0.0115402057871303	0.0255196462772087	0.00764303960602637	0.0182565856996116	0.00840593105860957	0.00403867281005818	0	0.0164362103032601	0.01144640240829	0.0222549614867786	0.0104326779269675	0.0250219899431995	0.00908165327693991	0.0143255644076462	0.00673382639064568	0.0202233941776439	0.0371094974385323	0.0344908836980763	0.0214464946491964	0.0281521954999198	0.0193820776628476	0.0014435808597064	0.00766576519593368	0.054969204260505	0.0139334279476421	0.00666464582315078	0.0395836104215647	0.028083618136929	0.0424201769599116	0.0105173464472954	0.0106784177438847	0.0122446768606057	0.0140906532716652
OM5_C_5B_1	0.0474288490458019	0.0264509844387398	0.0283426778566046	0.00851897994299865	0.0148206938207244	0.0207873926710372	0.0344461618097519	0.0200056594865215	0.00855700720149131	0.0417940862472721	0.00891323135815427	0.0345629597903436	0.00804902633297793	0.0169011634485882	0.0164362103032601	0	0.00607537759080882	0.0362744453087957	0.0219279080121316	0.0408893228716375	0.014040251319602	0.0299586903676298	0.0226585385886466	0.0354980097763132	0.0532727749694538	0.0507892843776539	0.0378718829322577	0.0439526243909732	0.00308480803243773	0.0153699827141562	0.00878174430196394	0.0697276020811905	0.008846214795154	0.0126641862682863	0.0559341787236407	0.042642761992626	0.0261236590558268	0.0266070548243901	0.0270197374724609	0.00420901378279876	0.0255731250882286
OM5_C_5B_2	0.0418292261001469	0.0209018816181454	0.0226329355352391	0.00272940874389407	0.0204534081904377	0.0151543950631734	0.0288676353518396	0.0139962208455665	0.00300314749706045	0.0362386938515292	0.00397467018938596	0.0290721006238928	0.00365573097353205	0.0111182227548929	0.01144640240829	0.00607537759080882	0	0.0302226858784808	0.0158550534794833	0.0351098933934175	0.0080114780579084	0.0241769981752484	0.0171032933586216	0.0295882137928361	0.0476029554593361	0.04523532415145	0.0325888119163176	0.0381382825434761	0.00848645330632957	0.0101704671371514	0.00428013640893182	0.0636915271804832	0.00467750615170687	0.00993219798109903	0.0504404741007613	0.0366128330039015	0.0311671308740911	0.0210424176722837	0.0216320075690439	0.0033992413331282	0.0195045340349366
OM5_C_5B_3	0.0165273850276511	0.0133606458231158	0.0108943642186662	0.02780705758686	0.0503345532016967	0.0169214735153005	0.0105103966436989	0.0163215354677359	0.0282528955698025	0.0131927936467145	0.0279025729236138	0.0116244125326999	0.028911386978193	0.0198521532502008	0.0222549614867786	0.0362744453087957	0.0302226858784808	0	0.0144370626935374	0.00936562924616446	0.0225631318251133	0.00918426143844496	0.0158300668340186	0.00492545801094172	0.0206690966794189	0.0197878838857393	0.0147569370846017	0.0109405568260083	0.038600950083305	0.0225057010979326	0.0283183684327048	0.0334970020188727	0.0293777126039664	0.0289048320444468	0.0248616205550114	0.00650083625600488	0.0598676388014353	0.013152731662742	0.0142801398455077	0.0326302699822206	0.0112496741047408
OM5_C_5D_1	0.0278834759159356	0.00951103135025172	0.00963287294353212	0.0135634301985924	0.0359138637145802	0.00657430770692377	0.0157558537718285	0.00287932657490202	0.0138190117668501	0.0227060061223812	0.0139464330997105	0.0164016968872533	0.0149610168574732	0.00669650524887302	0.0104326779269675	0.0219279080121316	0.0158550534794833	0.0144370626935374	0	0.0205844226802538	0.00813522934767835	0.0103995346116799	0.00753826930880931	0.0145849070633558	0.033237534547137	0.0313784333377094	0.0205632922373592	0.0233658779640347	0.0241800856345504	0.00994866682972162	0.0144625083909823	0.0479133605191931	0.0150452558471732	0.0166327280664399	0.0366918161533316	0.0208984251392174	0.0456756798214906	0.0094970707959637	0.0110349446187621	0.0184698508747746	0.00389393087712329
OM5_C_5D_2	0.00749543390495493	0.0146902891139316	0.0125739343245726	0.0324507609454231	0.0555447271011127	0.0201375416676827	0.00714158728499276	0.0214187110059436	0.0337518264872345	0.00410804405528243	0.0320297588892653	0.00764703649940157	0.0329659156638628	0.0240154868691885	0.0250219899431995	0.0408893228716375	0.0351098933934175	0.00936562924616446	0.0205844226802538	0	0.0283475813922293	0.0109413442246596	0.0183633071956477	0.00612812260510875	0.0126670582216535	0.0109523585794374	0.00792453331226957	0.00314521539538161	0.0435747994138206	0.0257746450812643	0.0322732532010477	0.0306715114249752	0.0353611831050813	0.0311492926708721	0.0162389271896174	0.00767702869935219	0.0659236006636099	0.0145068575023927	0.0146039864243451	0.0368672203341682	0.0185641408743326
OM5_C_5D_3	0.0354432199606482	0.0152350858817267	0.0163782080439615	0.00621897439102251	0.0277844781880275	0.00978488079989862	0.0227688917129537	0.00697261431244006	0.00569944009704097	0.0300370437645822	0.00733781032898648	0.0231949667314259	0.00822768963350501	0.00599473546976048	0.00908165327693991	0.014040251319602	0.0080114780579084	0.0225631318251133	0.00813522934767835	0.0283475813922293	0	0.0176336512327613	0.0117503222596915	0.0225071139785985	0.04099546406974	0.038919087144592	0.0271100560089054	0.0312454064868495	0.0161133798415229	0.00772126342651949	0.0080105378687078	0.0560121492619506	0.00701784302049596	0.0124869492558582	0.0442105643967443	0.0290309951622629	0.0376552172672941	0.0153198495177182	0.0163756868141546	0.0110305330897757	0.0115824713204736
OM5_C_5F_2	0.017824571346391	0.00433952713629003	0.0018489746069465	0.0215129935315592	0.0446175677961398	0.00924530603115866	0.00536255024198935	0.0106617933477265	0.0228970695902713	0.0124257022243975	0.0211135340384274	0.00608486865800281	0.0220610302022033	0.0130756487941035	0.0143255644076462	0.0299586903676298	0.0241769981752484	0.00918426143844496	0.0103995346116799	0.0109413442246596	0.0176336512327613	0	0.00759221733665083	0.0059554496859217	0.0234759691457928	0.0212959719642108	0.0103000745657226	0.0140041525306982	0.0326410038153225	0.0149506643654489	0.0213776747554467	0.0406855512092283	0.0246160493070964	0.0207399370072939	0.0265880614880628	0.0140638298997157	0.0550884912278431	0.00412920407378905	0.00509797675587875	0.0259559781816457	0.00975626051151248
