	OM5_B_B_1	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_1	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_1	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_1	OM5_H_6H_2
OM5_C_4H_1	0.00171004902252081	0.0291195486789411	0.00325182860513458	0.0421302194493312	0.0131831648114996	0.0502564231078229	0.0307953518875585	0.0213534083190935	0.00740484051089991	0.0575067029601652	0	0.0203089064020059	0.00640796347950868	0.02967462389819	0.0457476654127072	0.00240831123662409	0.0139651708311535	0.028931550501314	0.056693867014053	0.0233426213291692	0.0677713169139265	0.00663646924982094	0.066867930975893	0.0997070214412902	0.0387432396942163	0.023584819526811	0.0558752412018205	0.0770663683202794	0.0230805981233657	0.0373997398942037	0.0367892832284248	0.0727160164412992	0.00959087123893325	0.0301020388403325	0.00917767707470453	0.0449047656272034	0.00945348549213345	0.0435781012491064	0.0767118547897077	0.0321427936770028	0.0353972489342914	0.0558589134760421	0.0458699463170814	0.0522980487082635	0.0758360525432753	0.0964758186991142	0.0344490564613326	0.0463193734260578	0.0496401768209501
OM5_C_4H_2	0.0209608774462155	0.0107082620498316	0.0171008069474457	0.023089222559865	0.007321689817018	0.0311159460895099	0.0139088380984978	0.00124432025134339	0.0134010187159329	0.0381443118570709	0.0203089064020059	0	0.0139727893759942	0.0159976546348931	0.0264232526889462	0.0225343693450217	0.00689734083996338	0.00936395398747855	0.0378947160508209	0.00417366919204398	0.0491089806798428	0.0153057736713325	0.0479402223664434	0.0811099023311962	0.0196370668777453	0.00333187318517527	0.0374607624916014	0.0580792374997064	0.00958423677428272	0.0196234798321496	0.0185267091767883	0.0539427003024143	0.010739028021234	0.0131762172588359	0.0173685948545845	0.0255208073219469	0.0141696957899887	0.0247928610003857	0.058076453329474	0.0139701815372075	0.0174510387524702	0.0357517608211735	0.0268502255220379	0.0336910368811102	0.0572410093597551	0.0780164146236607	0.0159222273062415	0.0284000243726143	0.0308757658327333
OM5_C_5A_1	0.00735046980126244	0.0227799201903925	0.0031584359380063	0.0357947222686182	0.0067781479158125	0.0439268492270053	0.0246277658537698	0.0150569638523436	0.00303426524446096	0.0511606581154462	0.00640796347950868	0.0139727893759942	0	0.0239399493645439	0.0393901653548121	0.00856615017958625	0.00801861931120589	0.0225285003987786	0.0504212882175567	0.0172193200825399	0.0615382542195086	0.00463032452962872	0.0605920596592283	0.0935208096361453	0.0323920237439581	0.0172183332685269	0.0496587533378715	0.0707928048158793	0.0170744807621114	0.0311943637884419	0.0305195920040746	0.0664717196581614	0.00323886917696852	0.02391859620879	0.00875034332949356	0.0385401093244885	0.00518699912211479	0.037275926202881	0.0704953953088623	0.0258496060770109	0.0291551995491844	0.0494600661770578	0.0395459555844788	0.0460437683104888	0.0696253515232401	0.0903120211104613	0.0281367033558497	0.0401466415034022	0.0433573390429317
OM5_C_5A_2	0.0310187215556057	0.00833319521100689	0.0266897664677831	0.0158247293699424	0.0185450637642603	0.0230857927743471	0.00517399488380847	0.016359082894668	0.0252779971542069	0.0302931906205485	0.02967462389819	0.0159976546348931	0.0239399493645439	0	0.0195088810657365	0.0311396207983559	0.0209599784369516	0.0112078242992901	0.0285392891023358	0.01834148112708	0.0391265649215644	0.0275461505537089	0.0385621999481298	0.0707422676387289	0.0134376938029169	0.0146003422776263	0.0272795274221029	0.0486556297239772	0.00717146953543859	0.00984365867499542	0.0102591280418742	0.0441100698900271	0.0216745294935524	0.00527861125408578	0.0309204337773066	0.0189508839337222	0.0203495302838898	0.0164882858692273	0.0479118054160774	0.0078879718249188	0.00879554413435348	0.0313784486062678	0.0189208699090569	0.0240992070998383	0.0470071903784199	0.0674131062591748	0.00949286734181814	0.0176950543565006	0.0218482947898293
OM5_C_5A_3	0.0467146952353043	0.0166499125494547	0.0425110515837165	0.00377273681055935	0.0327318357282172	0.00473609370708481	0.0157783709219381	0.0257759469415474	0.0395387040145112	0.0117881028963477	0.0457476654127072	0.0264232526889462	0.0393901653548121	0.0195088810657365	0	0.0476887115025078	0.033299309021345	0.0170959530485697	0.0116522889072119	0.0253665395335125	0.0228141292550795	0.0415901460658927	0.021546418641663	0.0547688136502386	0.00701721376986744	0.0231806211549335	0.0117026455167482	0.0316780557944064	0.0235285630138557	0.00966625750407803	0.00950240046200264	0.0275784344691014	0.0363742004841707	0.0163230753254969	0.0437672275449888	0.000937051130120119	0.0373979994746169	0.00324792204325104	0.0317488096499607	0.0137925725027216	0.0110332354047205	0.011969758845623	0.001623081384826	0.00791733706970076	0.0309329531501778	0.0517126711005049	0.0114383091888699	0.0064388634233886	0.00512609449766755
OM5_C_5B_1	0.00303763501489822	0.03105012399211	0.00544207694195068	0.0440393279178633	0.0153234662825213	0.0521524980272239	0.0325490370087784	0.0236052877644765	0.00980041642540898	0.0594259968480585	0.00240831123662409	0.0225343693450217	0.00856615017958625	0.0311396207983559	0.0476887115025078	0	0.0163077744983461	0.0309924109069149	0.0585150392774118	0.0256639204642128	0.0695449973421803	0.00901359912259854	0.0686899170498136	0.101430365238331	0.0406782694304297	0.0257822881515289	0.057637004089099	0.0788848291459934	0.0247514156119997	0.0391712198935058	0.0386248417489585	0.0745008857175312	0.0117966418166533	0.0318710327121115	0.0112404593491405	0.0468587212065135	0.0107931395819447	0.0454424995808461	0.0784662873491188	0.034011625876847	0.0372070380613959	0.0579568466788053	0.0477605645000476	0.0541012654900896	0.0775846332644429	0.0981764032481932	0.0363361957303134	0.0480481750921646	0.0514770398346869
OM5_C_5B_2	0.0143893417876259	0.0172529241278039	0.0109143637398487	0.0299216810321474	0.00364947802642732	0.0379789675740791	0.0200135471683761	0.00771412948774049	0.00670217274916868	0.0450305076941276	0.0139651708311535	0.00689734083996338	0.00801861931120589	0.0209599784369516	0.033299309021345	0.0163077744983461	0	0.016215173551893	0.0447246308083516	0.00939356823357587	0.0559334961415573	0.00845121503745204	0.054795199536457	0.087938496644924	0.0264671053751529	0.0102090890517158	0.0442301652523379	0.0649431866281296	0.0138316818056019	0.0261427063306981	0.0251634300181344	0.0607841238904374	0.0049901200632667	0.0192681904451447	0.0105783784019328	0.032401232749827	0.0103099913390268	0.0315883230236435	0.0649038101553984	0.0205134141074522	0.0239873965251485	0.0425683989485696	0.0336901439610125	0.040483778333647	0.0640628726757338	0.0848291004988649	0.0225971872035996	0.0350347445576639	0.0376869950033591
OM5_C_5B_3	0.0297935202580394	0.00291382112576072	0.0256808103922605	0.0137266265446249	0.0157788735099281	0.0217698782921891	0.00672063869669203	0.00883720422193962	0.0224818950898375	0.0288561343498608	0.028931550501314	0.00936395398747855	0.0225285003987786	0.0112078242992901	0.0170959530485697	0.0309924109069149	0.016215173551893	0	0.028535458524874	0.00920358739554514	0.0397533359324136	0.0245093803375923	0.0385958337067278	0.0717752017917293	0.010274656979979	0.00623757538600444	0.0281193340973919	0.0487528712504195	0.00921710993233729	0.0107354112007914	0.00943264555372124	0.0445936340699249	0.0194198047522542	0.0062312451500687	0.0267299359027985	0.0162046079678322	0.0212492140972034	0.015442831497438	0.0487253750713712	0.00536098417761814	0.00860655432638937	0.0270039214246301	0.0174890224159917	0.0243387907213574	0.0478887448471724	0.068675196107054	0.00681585791285735	0.0192047373642631	0.0215171476492772
OM5_C_5D_1	0.0577620811780791	0.0277050144174936	0.0534915080243736	0.0148130053979828	0.0438967833285966	0.00693291562623368	0.0260236556379868	0.0373103335423025	0.0507961508482676	0.00387097892462968	0.056693867014053	0.0378947160508209	0.0504212882175567	0.0285392891023358	0.0116522889072119	0.0585150392774118	0.0447246308083516	0.028535458524874	0	0.0370030689606678	0.0112235419854478	0.0529029282284333	0.010194012644663	0.0432970458603302	0.0182679247654092	0.0347063327951583	0.00228457935672528	0.020415234152047	0.0338911397587231	0.0193996957380916	0.0199235656113378	0.0160984005428382	0.047513959518243	0.0266826066418631	0.0552465608439291	0.0125878159022049	0.0479651280682118	0.0131831436917161	0.0202054225336738	0.0245863849610605	0.0213292160065488	0.0114999620962948	0.0110506035798149	0.00445819073755275	0.0193651065615727	0.0401750819689666	0.0223158327395972	0.0108569985900864	0.00707504631158075
OM5_C_5D_2	0.0237758076731422	0.0114729080474315	0.02023949361692	0.0223750110385073	0.0109575518238048	0.0301007605118062	0.0151949788070761	0.00297737301085786	0.0160837796102562	0.0368370211946706	0.0233426213291692	0.00417366919204398	0.0172193200825399	0.01834148112708	0.0253665395335125	0.0256639204642128	0.00939356823357587	0.00920358739554514	0.0370030689606678	0	0.0481663664609061	0.0176832365226294	0.0468407702287925	0.0800021193722166	0.0190175015663137	0.00374205455770541	0.0368179448384889	0.0568583777293905	0.0128027568361189	0.0199374702458454	0.0186051405920888	0.0528887923876027	0.0140099979754714	0.0145290307299111	0.0189463053561366	0.0244356879488224	0.0180892151965322	0.0242123858007929	0.0570740324374905	0.014485318785251	0.0178076400085999	0.0336555560224006	0.0260309672301739	0.0329985278873316	0.056268505674825	0.0769987055277309	0.0160026114734592	0.028251732479643	0.0301392637851396
