	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4F_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_6A_1	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3
OM5_C_5A_1	0.0312491541289909	0.0159612679030024	0.0394553956601652	0.00993624580543329	0.0311131660691739	0.0892734702956116	0.0365335527409016	0.0354110029450815	0.0700418836888722	0.076720894675719	0	0.0118376540086969	0.0186322607775821	0.0167834788030712	0.0248026015884105	0.0383492630410561	0.0439522832616774	0.0280831420460039	0.0174614901229617	0.0522276780797241	0.0696159966260479	0.0774159234407301
OM5_C_5A_2	0.0269651851056714	0.00747232444855975	0.0364267781900774	0.00282946826020342	0.0302020108625737	0.088349417362302	0.0333167308669791	0.0333978202747496	0.0674120261054831	0.0752980219022377	0.0118376540086969	0	0.0157102161683547	0.0134033484082015	0.0196900450796935	0.0373935959795059	0.0422138323795987	0.0236916767092742	0.0124226569584315	0.0512394353368487	0.0669448446661429	0.0774051540440253
OM5_C_5A_3	0.0126310580701345	0.00953069116847537	0.0213284533826031	0.0137158459010734	0.0144975153059675	0.072822742161207	0.0182804018860756	0.0178554374202653	0.052343045779657	0.0598445602765965	0.0186322607775821	0.0157102161683547	0	0.00231505695811322	0.00653412397252484	0.0217027757544362	0.0266826101428715	0.00945513694768886	0.00384426215096848	0.0356090821018956	0.0518920139941702	0.0617429544182908
OM5_C_5D_1	0.0146517475815968	0.00747845436215031	0.0235555099631624	0.0114060501133334	0.0168024409071264	0.0751265669431189	0.0204889856714053	0.0201550460063726	0.0545897168855124	0.0621413570893515	0.0167834788030712	0.0134033484082015	0.00231505695811322	0	0.00803198684666609	0.0240166209420824	0.0289841192412508	0.0114025927040428	0.00223617313731097	0.0379213993752033	0.0541362706065592	0.0640518994408472
OM5_C_5D_2	0.00728679653879604	0.0123534605741915	0.0168937057182714	0.0183633881005297	0.0128865744735367	0.0691103206706293	0.0137879365370372	0.0145543399427837	0.0477847758373432	0.0559284806208645	0.0248026015884105	0.0196900450796935	0.00653412397252484	0.00803198684666609	0	0.0191079161003825	0.0231137200084244	0.00406284911483739	0.00765122144769272	0.0323246938140344	0.0473131058367514	0.0586670845298994
OM5_C_5D_3	0.0130734769429858	0.0307089686513135	0.00673733078775476	0.0353834865401642	0.00732975961048813	0.0512870821581817	0.00766570911751203	0.00478940179761887	0.0319430345726889	0.0384801185618973	0.0383492630410561	0.0373935959795059	0.0217027757544362	0.0240166209420824	0.0191079161003825	0	0.00591798827945453	0.0153536478143909	0.025093584769919	0.0140005028906602	0.0315430003942906	0.040069594018329
OM5_C_6A_1	0.0162090442471569	0.03523026298593	0.00687672148178242	0.0403804698460296	0.0128557160960962	0.0462184836391532	0.00962886145711544	0.00883311588926994	0.0261614738975854	0.0331870445599685	0.0439522832616774	0.0422138323795987	0.0266826101428715	0.0289841192412508	0.0231137200084244	0.00591798827945453	0	0.0191009361732508	0.0298049175615883	0.00923416433200956	0.0257481613641891	0.0355862805134085
OM5_C_6F_1	0.00329888181260916	0.016401000517444	0.012831427945676	0.0222549827411531	0.00979534888153445	0.0650594417745147	0.00972551916957239	0.0106797482023941	0.0437579537145325	0.0518715095099153	0.0280831420460039	0.0236916767092742	0.00945513694768886	0.0114025927040428	0.00406284911483739	0.0153536478143909	0.0191009361732508	0	0.0114589802113844	0.0283255871638301	0.0432884756237914	0.0546682576303226
OM5_C_6F_2	0.0147576171924384	0.00574280039690535	0.0240538602433567	0.0108044261975314	0.0180298674179041	0.0759715813976447	0.0209494648843379	0.0209935323927953	0.0550930956265544	0.0629043884760108	0.0174614901229617	0.0124226569584315	0.00384426215096848	0.00223617313731097	0.00765122144769272	0.025093584769919	0.0298049175615883	0.0114589802113844	0	0.0388658549520057	0.0546306178969797	0.0651055111918274
OM5_C_6F_3	0.0254357238614806	0.044362772630274	0.0159395339756406	0.0493092070015083	0.0213291779915637	0.0373009828306516	0.0188307298530293	0.0178980099586627	0.0190453680223916	0.0245372980835997	0.0522276780797241	0.0512394353368487	0.0356090821018956	0.0379213993752033	0.0323246938140344	0.0140005028906602	0.00923416433200956	0.0283255871638301	0.0388658549520057	0	0.0187270778090388	0.0263675080413151
OM5_H_2H_2	0.0400328176932115	0.0596469361319053	0.0306108558678112	0.0653958125380273	0.0385887030835169	0.0237104575727298	0.0337035279371524	0.0342685584091868	0.000511820716575131	0.0109624435485694	0.0696159966260479	0.0669448446661429	0.0518920139941702	0.0541362706065592	0.0473131058367514	0.0315430003942906	0.0257481613641891	0.0432884756237914	0.0546306178969797	0.0187270778090388	0	0.0188712117914142
