	OM5_B_B_2	OM5_B_B_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4E_2	OM5_C_4F_1	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_3	OM5_C_5H_2	OM5_C_6A_1	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_2	OM5_H_6H_3
OM5_C_5A_1	0.0320213360721943	0.0526283922400509	0.065756563458842	0.0672966394538239	0.0419933896316652	0.072254953856884	0.0631043329679022	0.0861215252282928	0.0598703109361234	0.0751324655617246	0	0.0473705323390154	0.0841661207670444	0.0339180721181351	0.0431382433876061	0.0395936711566079	0.0915542590998942	0.0701495955345133	0.0674763938028162	0.0707616587117909	0.0646149653649761	0.0555197879340089	0.0657915435149223	0.0532644336903546	0.0490804145945951	0.0649848076524005	0.0592964237126822	0.0579278370495634	0.0110344811499756	0.0548533489265915	0.0226684771959471	0.0590268031139893	0.0458823163056926	0.0361707256874174	0.0546568636709877	0.0698304716928759	0.0732107805689711	0.0716403587053281	0.0619369773756326	0.0887705030823236	0.0854224678333886	0.045642606193852	0.0604890239187383	0.0654103592275224	0.0640946940904982	0.0613529172887676	0.071989779040192	0.054892777440445	0.0473490087945877
OM5_C_5A_2	0.0793359420349937	0.0998787134240517	0.112311737828311	0.113987146279367	0.0887094024458903	0.118726570349271	0.109398374491155	0.132529991105739	0.106561693734951	0.122051821542605	0.0473705323390154	0	0.130079449005198	0.081222397416834	0.0903643295704662	0.085681253254728	0.13683325856907	0.116027392873602	0.114631594987782	0.117842329665935	0.111093706394148	0.102472480784813	0.112520197452672	0.0996742650228305	0.0952008357787	0.111785032626676	0.106157827902123	0.104795016339442	0.0581696126533699	0.0098343623847319	0.0698933321666025	0.105574242693285	0.0929602206533537	0.0827660306946031	0.101147191640417	0.116762134462561	0.119777007522909	0.117990104707348	0.108557121527059	0.134955269077002	0.131540354212177	0.0923571912254286	0.107373833315811	0.112372235318445	0.110502035529867	0.108120422384921	0.118161880628258	0.101881558140467	0.0943406357244132
OM5_C_5B_3	0.0544820680455385	0.0377503943615658	0.0190939763352754	0.0182668437713769	0.0423751636899296	0.0128476935773829	0.0211733047252024	0.00607795017999517	0.0250331920177499	0.015097212957709	0.0841661207670444	0.130079449005198	0	0.0530108408847595	0.0430022886195621	0.0447328013625713	0.00899921353488876	0.0141471117910957	0.0237676163585556	0.0202067420529782	0.0199689162914395	0.0300933390270817	0.0197837812570789	0.0310056325886951	0.0351842629719732	0.0208883425187926	0.0262317239797268	0.0274955376694437	0.0747454211124965	0.13596527374272	0.0619627979593798	0.0254938890978904	0.0395079249680203	0.0480736058505363	0.0296891406166888	0.0182857542746676	0.0125488737500238	0.0129675627837457	0.0228756216384667	0.00571269154360099	0.00257017385422588	0.0387910666933334	0.0252964664265117	0.0218122908397372	0.0203348150723266	0.023939292372323	0.0122843632959354	0.0308539563505431	0.0377797811087165
OM5_C_5D_1	0.00194270877718749	0.0187262470037152	0.0339442618905782	0.0350511388362099	0.0125953568750565	0.0403630063206048	0.032158482972244	0.0539321123614345	0.027993018636739	0.0420621927981429	0.0339180721181351	0.081222397416834	0.0530108408847595	0	0.0100357182662433	0.0144541365381891	0.0612828670425414	0.039752339604804	0.03386516991206	0.0373347084508249	0.0330706394963963	0.0230089518023789	0.0335035422870389	0.0229178503439269	0.0204750038470588	0.0325271929169506	0.0269053449280508	0.0255901118517681	0.0231924591005829	0.0886023944801144	0.0119980512609604	0.0276539262867225	0.0135485434884591	0.0104660956145094	0.023868108043819	0.0368490835954687	0.0410574841174517	0.0400638556423603	0.0301504489493953	0.0569484376358231	0.0538265487391548	0.0152961989071389	0.0279637081744051	0.0324628963572487	0.0327750496122343	0.0291562446905627	0.0408109486317646	0.0222776781954155	0.0153282620822983
OM5_C_5D_2	0.011622658371338	0.0106484829702484	0.0239215163962911	0.025022655779206	0.00662411114386244	0.030332717820303	0.0222687498225948	0.0439279318802498	0.0179832460824513	0.0322151047995517	0.0431382433876061	0.0903643295704662	0.0430022886195621	0.0100357182662433	0	0.0113433415593632	0.0513394675997226	0.0298930960464283	0.0243825762429851	0.0276745553813547	0.023074915462186	0.0129750754460538	0.0234749121421404	0.0134983368757851	0.0123308398228471	0.0225082885866804	0.0168724375871789	0.0155562504038382	0.0327546253693822	0.0974109399532921	0.0205313161279146	0.0177302254604745	0.00375800096108365	0.0102233467914839	0.0142119462377176	0.0269520591262617	0.0310323243185603	0.03004542729128	0.0201407673499136	0.0469269245835348	0.0438011342687153	0.00697476317215173	0.017940171851194	0.0225385297183239	0.0228115755495907	0.0191232824845004	0.0308254858471785	0.0122471216422475	0.00557818576863084
OM5_C_5D_3	0.0145936751095539	0.0209984582623129	0.0268596176284581	0.0286930428218632	0.00501455580734321	0.0332407836078877	0.023817846343565	0.0471058853102306	0.0212986436383249	0.0372588084075259	0.0395936711566079	0.085681253254728	0.0447328013625713	0.0144541365381891	0.0113433415593632	0	0.0520435048959235	0.0306321921695052	0.0313117296906098	0.0338138597411373	0.0255819356788167	0.0180986872500413	0.0272894283974188	0.0141123187059939	0.00956450691534699	0.0266996602472023	0.0213074231390088	0.0199956687435567	0.0308030488420474	0.0919319227123548	0.0181064484081244	0.0201167682838042	0.0107140824073332	0.0043737559626072	0.0156491539401869	0.0320142923224768	0.0343576016057263	0.0324608201060256	0.0231755745181792	0.0495375182549242	0.0461148469414409	0.00776966389618106	0.022573853092335	0.0277707796526891	0.0249525165433497	0.022992377284651	0.0326402165487698	0.0177228119450873	0.0110092615943796
OM5_C_5E_1	0.0626714870896533	0.0466113615660991	0.0275950565314491	0.027014721532713	0.0501560245762072	0.0216327207802056	0.0291689444643779	0.0124161255461339	0.033405379316682	0.0239574231440694	0.0915542590998942	0.13683325856907	0.00899921353488876	0.0612828670425414	0.0513394675997226	0.0520435048959235	0	0.0216662667905441	0.0327553915909038	0.0291610708002747	0.0283036148924846	0.0385734103567026	0.0284952635908993	0.0388015197123543	0.0426154430308278	0.0296349157299394	0.034775733079007	0.0359838221744661	0.0824856024876272	0.142360218248328	0.0696820608116563	0.0336522443187179	0.0477505010881332	0.0556503264210985	0.03761479732115	0.027279275284717	0.0214757454382388	0.0215408686567236	0.0312596596880228	0.00917811883454742	0.00968154756998703	0.0466654709093055	0.0339216204172497	0.030716609335066	0.0285414346847427	0.0324727955871689	0.0205582914185943	0.0393487416466679	0.0459795728493958
OM5_C_5E_3	0.0410890384788977	0.0267080845194254	0.00737521544081528	0.00827300932185058	0.0285126892440018	0.00620654737226876	0.0076311374401678	0.0174390118223211	0.0122754306494459	0.0135220137727283	0.0701495955345133	0.116027392873602	0.0141471117910957	0.039752339604804	0.0298930960464283	0.0306321921695052	0.0216662667905441	0	0.0170769271310448	0.0152796657145158	0.00741965657255257	0.0175036386002183	0.00914426200934349	0.0171420406189767	0.0211016307290989	0.0102826411713374	0.0140099832662009	0.0150143789177916	0.0608983615007747	0.121948130927448	0.0480822012695781	0.0121832215697654	0.0262311540681494	0.0340836130768307	0.0159663381481349	0.0118093178681443	0.00769909883458169	0.00469964267417829	0.0102635665706513	0.0192652585717273	0.01575129271088	0.025009455417826	0.013479853197025	0.0124717773144329	0.00733550345086588	0.0118134806424114	0.00331497879855758	0.0182915584961184	0.0244343416054404
OM5_C_5F_1	0.0356697166442722	0.0157524469127967	0.0106939360483286	0.00893834135605813	0.0270212573166801	0.0123842724805489	0.0138804977509363	0.0221856908969173	0.0118374311535068	0.00924593940573004	0.0674763938028162	0.114631594987782	0.0237676163585556	0.03386516991206	0.0243825762429851	0.0313117296906098	0.0327553915909038	0.0170769271310448	0	0.00384123109333699	0.0117341893105356	0.0132408484170438	0.0086514508408778	0.0186013451073036	0.0233210731021099	0.00795166273369976	0.0106944840808706	0.0117553531239671	0.056984902993575	0.121608980919601	0.0449021806138351	0.0136167945851315	0.0219878464022909	0.0329059476159143	0.0170572628904587	0.00578005773663404	0.0118256209461513	0.0133662455985202	0.0113146717793991	0.0257211047913676	0.0234320893114208	0.0236085917713972	0.00954543817033325	0.00541364529653735	0.0125662041681938	0.0101518261068669	0.0150943207993083	0.0135934419238164	0.0208554571979007
OM5_C_5F_2	0.0391040967650607	0.0194886661375246	0.0101811667809666	0.00797486325552915	0.0297801186122062	0.00976927291851058	0.0138937222721788	0.0183665315474549	0.0131941612007193	0.00542241176887163	0.0707616587117909	0.117842329665935	0.0202067420529782	0.0373347084508249	0.0276745553813547	0.0338138597411373	0.0291610708002747	0.0152796657145158	0.00384123109333699	0	0.0115090514287564	0.0157814487189368	0.00837960869619576	0.0204372542953865	0.0252916072511325	0.00818901597645904	0.0126027895423243	0.0138568784712547	0.0603762784049525	0.124691724067411	0.0481456120528687	0.0148535695699858	0.0250360188670577	0.0357383906311583	0.0188365068851789	0.00351803856623759	0.00887379275491511	0.0110075032257446	0.0120633966437204	0.0219216984928644	0.0197276136164394	0.0262492043946222	0.0113459621872116	0.00623242346579724	0.0124201710578739	0.0113940854633512	0.012772426204275	0.0162625388213937	0.0237585379535125
