	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_C_4E_3	0.0141711918708866	0.0560384162345829	0.00643937780104612	0.00291349858777666	0.0104420132842515	0.00299887224744906	0.0150937490492471	0.0127743231554054	0.00999679443203526	0.0066060259987535	0	0.0959914660575505	0.0905636179379775	0.0974720219481299	0.00504749950813283	0.0120586767438635	0.00784838110648263	0.0158849986862517	0.0349879703859908	0.00622312483034911	0.0237648134657286	0.0184409652453527	0.0018583961855789	0.00397161968573087	0.00326710826917954	0.016510593808782	0.0573464061397526	0.0518462392118811	0.0464980813272362	0.0078613218415163	0.0134811981097717	0.00338398824835568	0.00728758534476825	0.0120520980414342	0.00424754419456901	0.00129840302558189	0.015161650598224	0.0114152737619647	0.00722447971533015	0.00650267556787759	0.00607224765831831	0.0146149542638907	0.00604702187019764	0.00716410970777256	0.00741999788856026	0.0113382252891818	0.0106562129498209	0.00897719091859948	0.0430279808045707	0.0360909983704161	0.0105387653774171	0.00591803340941265	0.0134826168158762	0.0165356983409925	0.0072505198046358	0.00291935399419769	0.023688857391985	0.0116128124504803	0.0124747316266206	0.0107181562144006	0.00689704031146828	0.0111668893497462	0.00829298717226397	0.0171543822078285	0.00321793422088512	0.00917917064549525	0.0160422150759036	0.0127361784022112	0.0092181547853462
OM5_C_4F_1	0.0955329117591656	0.146622738199475	0.0998953368032831	0.0955045249249418	0.0926678385211928	0.0931775585813975	0.0809638874482029	0.102709880728939	0.0863425874895446	0.091191142873778	0.0959914660575505	0	0.0120458367174063	0.00579066564494286	0.0957464170967672	0.0842395865233814	0.0890084774060725	0.0838802505019342	0.0665108500267153	0.10203747076721	0.0738309471144367	0.0807109319118807	0.0958493385748648	0.0947242900137188	0.094115601373697	0.108829249930416	0.038954884320524	0.0446957584206629	0.0541853108662189	0.0932250005973968	0.0998203834357639	0.0934921662788977	0.0961844038044106	0.0851619246967923	0.0997665623066445	0.0950532863522325	0.0815736425387304	0.0848419376683368	0.101149077518503	0.0940101308131509	0.0928053575504741	0.0831006786181352	0.0935566449957239	0.0953876875015632	0.0895072030940757	0.0894853122379959	0.0904648802305808	0.0999049489646189	0.13572065782297	0.131675414212321	0.0855853846660183	0.0902023901193146	0.104981230045381	0.107727442455686	0.0890307680934571	0.0983170684201903	0.0729295828944813	0.0853957334782654	0.0881063387097859	0.097752581053534	0.0897872159463844	0.0976344819814211	0.0903184573764471	0.0790388614234799	0.0936924680028874	0.090188410655726	0.0814355996983597	0.0875224012641287	0.0877323744936086
OM5_C_4F_2	0.0887092746072834	0.139257479530901	0.09388524075677	0.090217191001831	0.0884113832075359	0.0876729969346824	0.0756033210839959	0.0963050544676867	0.080820995459752	0.085385358620062	0.0905636179379775	0.0120458367174063	0	0.00888139884754002	0.0905065272653354	0.0792053173494611	0.0840265903346406	0.0797981858834086	0.0594641899332729	0.0964994472744498	0.0675182080671305	0.0763255300076114	0.090234620417191	0.0891008604041198	0.0883937472994179	0.102423587900994	0.0336264476364574	0.0391476229932058	0.0466724214949017	0.0886225107026238	0.0930800940915854	0.0878623664197377	0.0914894262371034	0.0803955557292668	0.0944986709521322	0.0897099270035083	0.0768256947912982	0.0796385803237957	0.0960235228439993	0.0892036816923163	0.0880018582039467	0.0781980215828531	0.0885301487605324	0.0907555592685153	0.0843261217010262	0.0852035238803043	0.0856078231368299	0.0950659547509557	0.128828323577555	0.125892903561071	0.0803602677933055	0.0846856593198032	0.0985058695887302	0.101253716843561	0.0838539409243462	0.09300362052482	0.0682811527054916	0.0802799944403502	0.0839148620052646	0.0934733377399014	0.0846225914527208	0.0912024280990357	0.0842859742274217	0.0739884292602825	0.0885323989018322	0.085651312137251	0.0769400261664087	0.0811068333095551	0.0828192956184838
OM5_C_4F_3	0.0962174966152724	0.14698955584022	0.101080438730151	0.0970773127751913	0.0947206692453436	0.0946220752696206	0.0824561494161576	0.103628821223059	0.0877826859323509	0.0924465302425507	0.0974720219481299	0.00579066564494286	0.00888139884754002	0	0.0973598645073507	0.0858953836299946	0.0907077939779112	0.0859994102469251	0.0669054831795765	0.10345892217153	0.074810379511461	0.0827250918316987	0.0972448601348657	0.0961355722957046	0.095448044000382	0.109765805963816	0.0402459055967546	0.0459974241289614	0.054298037758595	0.095123207357777	0.100572665227105	0.0948810242559395	0.098050346961074	0.086966529675119	0.101339436795858	0.0965797961491527	0.0833544549850386	0.0864342786126371	0.102818253277487	0.0958189350648578	0.0945897984193824	0.0848672276796099	0.0952684456379231	0.0972702077134219	0.0911284211516185	0.0915191313737555	0.0922777428820113	0.101724566268731	0.136396415930872	0.132978070164081	0.0871587604048469	0.0916293742121223	0.105899210266812	0.108611439207707	0.090614950655478	0.0998690485470164	0.0747682301049346	0.0870515789359187	0.0901643869802107	0.0998113183525191	0.0914097017679456	0.0985326786382116	0.0914614499836315	0.0806855961822199	0.0953064146552529	0.0920924469411153	0.0833533831494911	0.0884520612811003	0.089435448604806
OM5_C_4H_1	0.0179751087007293	0.0583077659253026	0.00959632928331743	0.00221272597530711	0.00900424422509628	0.00542619553481678	0.0155210215233905	0.0168402632276971	0.0101707032033332	0.010110328797007	0.00504749950813283	0.0957464170967672	0.0905065272653354	0.0973598645073507	0	0.0123789018967689	0.00777929871653884	0.0147614554172655	0.0368135376028259	0.00907724924825591	0.0246187934572046	0.0163796751805851	0.00508653620509626	0.00380167190095168	0.0064848927913998	0.0197632853297418	0.0573133693908391	0.0515449413857502	0.0475742821085795	0.00617444795216676	0.0171558388936746	0.0053884433848739	0.00489345758967864	0.0113377072610656	0.00560749507083959	0.00434027724252998	0.0153229463560708	0.0112575183724791	0.00565349421500783	0.00423449328784258	0.00615710644524343	0.0129131559356054	0.00279108009428554	0.00583136275868972	0.0064425338919433	0.0101829867631513	0.00686072273498797	0.00571734978397978	0.045072984208963	0.0373369304578586	0.0108400257048795	0.00781026199073685	0.0166604120367441	0.0201291080862295	0.00872456049304203	0.00439058787146294	0.023124831919623	0.0104027085854379	0.0119418935613776	0.0087647100125879	0.00642770816676247	0.0154747723199696	0.0113393739942896	0.0171001182639254	0.00470224783008565	0.00888820957912525	0.0154751404135761	0.0153683106273503	0.010300964525897
OM5_C_4H_2	0.019278206739432	0.0674277099729176	0.0173401688187751	0.0116211261795404	0.0109050931808075	0.00953801031225562	0.00421626947142642	0.0223255605799863	0.00455048989533256	0.00945173033320675	0.0120586767438635	0.0842395865233814	0.0792053173494611	0.0858953836299946	0.0123789018967689	0	0.00493997678204644	0.00731190274906463	0.0261956330389485	0.0182021231810667	0.0144705691338952	0.00881446335363071	0.0123471937925356	0.0116893350365492	0.0110837520469615	0.0274888404007599	0.045766328698657	0.0403487808819179	0.0364669173483439	0.0101408275510347	0.021352198300914	0.0102526380986691	0.0128927223461795	0.00297712422170433	0.0156444223323947	0.0110169090441237	0.00333546244687085	0.00214573384556397	0.0173731499398472	0.0105424404901172	0.00893012506596301	0.00557619012714849	0.010204781095423	0.0120041584629131	0.00603454283418553	0.00822810394760093	0.00978962347388121	0.0168518948226497	0.0547090994070675	0.0480415555471195	0.00203863201561469	0.00690197301460437	0.0239903320487977	0.0270278636458065	0.00498070463928064	0.0142512769198728	0.0117412148902215	0.00405782194785182	0.00770599679624568	0.0155140032470763	0.00596003845901593	0.0184079167865952	0.0100267087580338	0.00530568754369246	0.00950695879866262	0.0073239742260729	0.00486354677990815	0.0116569048750049	0.0039848020232821
OM5_C_4H_3	0.018342310578632	0.0638327972701808	0.0138226652810109	0.00699374685722373	0.00713317411669315	0.00585837676661572	0.00880993791300384	0.0196260470499487	0.00524914650271606	0.00799435609093345	0.00784838110648263	0.0890084774060725	0.0840265903346406	0.0907077939779112	0.00777929871653884	0.00493997678204644	0	0.00836010695186803	0.0306813362153559	0.0139096041520869	0.0188473383276149	0.0109476893956259	0.00844222680271791	0.00787349655824028	0.00785242957697437	0.024125581686126	0.0506070681024868	0.045110112339335	0.0412512235194015	0.00556732804453332	0.0193585190576331	0.00679086897743127	0.00805206916951087	0.00422848367109115	0.0109589202878946	0.00664938855166247	0.00771880246612356	0.00468533342930866	0.0124977597257955	0.00569475055434398	0.0042052597265593	0.00748373030772934	0.00552350517929799	0.00723931518370865	0.00248185996129924	0.0056027584725291	0.00676499923972487	0.0119989218697227	0.0508615265130757	0.0435282814647504	0.00404838101192177	0.00461914400449799	0.020852028253392	0.0239317810123023	0.00258253530858274	0.00961640930802028	0.0162522588122572	0.00485960783017849	0.00623379383308011	0.011005405911798	0.00193377505004538	0.0165525552604927	0.00930882174991091	0.0100750597361764	0.00489452173939447	0.00386205818381852	0.00823734823564047	0.0125775288667113	0.0028974956591843
OM5_C_5A_1	0.0260387391853496	0.0717111624123592	0.0221065735484879	0.0146225928876471	0.00885907755857974	0.0142086130202832	0.0101271162098107	0.0277500605452924	0.0109809692834647	0.0157203397816711	0.0158849986862517	0.0838802505019342	0.0797981858834086	0.0859994102469251	0.0147614554172655	0.00731190274906463	0.00836010695186803	0	0.0307755245772945	0.0215287543041565	0.0195588989240605	0.00624807760833676	0.016688498472701	0.0158912619308331	0.0162107318207887	0.0322143998735885	0.0463244607686642	0.0410102208366833	0.0396616491458441	0.00998752179363224	0.027532141529569	0.0151162473396422	0.013041396743816	0.00514079278885252	0.0181901468538756	0.0146570346117535	0.0060500930571827	0.00833712962070332	0.0189229124712193	0.0113628777007692	0.010401816402084	0.00701707308388827	0.0119834825207168	0.0120954871125883	0.00984467747915868	0.00576021789899014	0.0101111173252479	0.0172032723351079	0.0586203613753223	0.0502502721388649	0.00870462556719793	0.0126425591540816	0.0291317688419157	0.0320276734346192	0.0100304333360185	0.0171009782679392	0.011950214766035	0.00797126986317489	0.00469477144319365	0.0139698087289353	0.00987497007869148	0.0245237638868775	0.0167783464115147	0.00881280394632021	0.0126940251822115	0.00725412050812818	0.00405820922640739	0.0189306426054179	0.00800509272318719
OM5_C_5A_2	0.0301013891641595	0.0807812360947102	0.0369540878203358	0.0357455450639496	0.0369230349067764	0.0323519190355646	0.0223720012643908	0.0377810760439032	0.0268335532712983	0.028681857692675	0.0349879703859908	0.0665108500267153	0.0594641899332729	0.0669054831795765	0.0368135376028259	0.0261956330389485	0.0306813362153559	0.0307755245772945	0	0.0400448531766299	0.0131597641483394	0.029224348723545	0.0345499266638608	0.0342728095184192	0.0324341633579054	0.0440069329393839	0.0289122030572093	0.0253431041753925	0.0129181360831807	0.036175954875245	0.0346926507873711	0.0324753995232557	0.038664139871685	0.0287329577333087	0.0392264997768142	0.034552571315744	0.0251512067641933	0.0266622681835818	0.0417913934237971	0.0362980852492606	0.0344386667477283	0.0281220509833032	0.0354895758450688	0.0377747805820841	0.0310403848298501	0.0340937544359687	0.0348149016292625	0.042189759978185	0.0702757740479118	0.0681834836667989	0.0268095461086451	0.0294126099426201	0.0404344437350854	0.042621773159194	0.0293154625528822	0.0378407203959794	0.0214425879849858	0.0283526257610818	0.0329087327644763	0.0415215969476862	0.031045559744816	0.0327134533874453	0.0273722570377922	0.0225513217807383	0.0339192032175438	0.0331970036185029	0.0268532964438174	0.0236441991701293	0.0290520981350631
OM5_C_5A_3	0.0150090845362271	0.0502891860515079	0.00504154251045189	0.00784563895740516	0.0145920563521904	0.0090714777848341	0.021203903239573	0.0099525206862244	0.0161066698415845	0.0114366560971759	0.00622312483034911	0.10203747076721	0.0964994472744498	0.10345892217153	0.00907724924825591	0.0182021231810667	0.0139096041520869	0.0215287543041565	0.0400448531766299	0	0.0294082163985496	0.024427449648768	0.00661999671933728	0.00872543523017822	0.0083197350774163	0.0116057286377206	0.0633666371242318	0.0579167854334814	0.0519489789805154	0.0123904784290961	0.0124653123691774	0.00901542401512319	0.0105058336663171	0.0181332190962677	0.00396638270755867	0.00736361686327106	0.0212242710044336	0.0176344811105101	0.006623275305692	0.0110806602258976	0.0111679871709079	0.0207288032387636	0.0110421404868521	0.0107401496605975	0.0135308961647911	0.0163907970954825	0.015786167676659	0.00990282272656973	0.037130434609554	0.0299186863802887	0.0167354711858005	0.0119369832825445	0.00974635215138126	0.0121085734872782	0.0132867767388547	0.00489065636660918	0.0298839253298707	0.0177785570108018	0.0176080566730904	0.0127088697306605	0.0130494677704457	0.0110981665362394	0.0128788880902346	0.023332534213991	0.00904143624351853	0.0144107690125222	0.022086894354857	0.0170471429639499	0.0150704604629181
