	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_C_5E_2	0.0157487008387782	0.0177678119488832	0.00912351343018108	0.0103390227080908	0.0190234865074775	0.00530450935433802	0.0138085738142906	0.00852009401848473	0.00638920281834176	0.0249444442746338	0.011954608799918	0.0213975958175939	0.0268613020470982	0.0228639655961097	0.0341402086115455	0.0329660721976087	0.0235313832082374	0.00533269922419137	0.028435218119037	0.0121910208333024	0.0109939118859267	0.00624606397335137	0.00393125462810237	0.0306463286030687	0	0.00275254946659347	0.0317837761991476	0.0245691714338433	0.0178555721222924	0.0333158196246786	0.0240362033428459	0.0225169379388331	0.0290957349454651	0.0365440338219181	0.0321965263756263	0.0549138203168037	0.0260126978140405	0.0196877455727751	0.0300294659461993	0.00733804876844672	0.0293762567057966	0.0162247391514243	0.00485998422687519	0.00533929812917162	0.0167745423562847	0.00948362125530503	0.00784753338349453	0.0226288019301967	0.025542285180913	0.0302773198910997	0.0250132525792065	0.0303039737381015	0.00997098583826279	0.0180066081720177	0.0132662961411216	0.0291905446723549	0.0317755318160859	0.0130597726229759	0.00501008140562865	0.0143047189881898	0.0241704899107759	0.0310209176419842	0.0148069102071194	0.00885384945863481	0.0293102465055751
OM5_C_5E_3	0.0148698567592259	0.0165835946563747	0.00896813044646246	0.0111556625799759	0.0188023968758751	0.00696565412166987	0.0150240960808917	0.00657261946704458	0.00653244224505716	0.0254167583591675	0.0128069771602376	0.0218774033240557	0.0274301125519626	0.0239650953644122	0.0340926764859379	0.0331979468012085	0.0234232185579705	0.0069389521358613	0.0289789795149747	0.0110802489649024	0.0116283790265795	0.00497018687336891	0.0030730508362998	0.0304503242609526	0.00275254946659347	0	0.0318277614080731	0.0248005264261643	0.0180288231167322	0.0335461827091185	0.0243101229393537	0.0225467702354311	0.02943336188329	0.036578938346862	0.0328965380926429	0.055303894928604	0.0265148853537979	0.0198615239593375	0.0306668933839319	0.008613737813161	0.0303139368232361	0.0163216851386879	0.00281853521923282	0.00508592268307804	0.016081513281175	0.0098307325526742	0.00903903336520053	0.0227044960778336	0.0250559841714895	0.0295869390663718	0.0242754170464447	0.0300866007049212	0.0119959911873637	0.018112251277064	0.0143012776611513	0.029052085655044	0.0327336011900191	0.0139096697417115	0.00761453576985839	0.0156977898433004	0.0246181400677388	0.0319100859926101	0.015869852618433	0.00833615609659258	0.029508748848262
OM5_C_5F_1	0.0193656794131289	0.0478012669763263	0.0404984610771391	0.0222677545035961	0.0503639088810262	0.0343045584644956	0.022321852905364	0.0354412755719752	0.0257413314543298	0.00899662448265131	0.0206093047723656	0.0113399721831681	0.00797722444877497	0.0156880876738193	0.011361093372411	0.00731544619380884	0.00909607845183443	0.0326506032273906	0.00816093147806247	0.0426277398167088	0.0413403919734323	0.0315586860030729	0.0315449108861904	0.00348424647236504	0.0317837761991476	0.0318277614080731	0	0.00741722887807212	0.0139664511035809	0.00514239261603289	0.00847371303412428	0.0130143199636078	0.00604060011769273	0.00613697628680653	0.00781383126212797	0.0243375055395731	0.00739448281963902	0.0171620782219001	0.0107810398966152	0.0280909648840419	0.0167057206289663	0.0181769398270397	0.029641456859172	0.0366020198336431	0.0478267628866285	0.0321150687514501	0.0247506185978915	0.0116107980579149	0.0567999406517572	0.0611990126889539	0.0558896911458262	0.00336916395698309	0.027466040672361	0.0137844917537399	0.0197883354631282	0.00351108855057591	0.0114517100520372	0.0217687296386157	0.0341335456698841	0.0219012786898053	0.00956880120146674	0.00996538116175478	0.0185263203773052	0.0301546844278874	0.00713941975939647
OM5_C_5F_2	0.0134432121818274	0.0410715546169654	0.0333453569432509	0.0149052919397375	0.0432305928516074	0.026965279392339	0.0151583829832053	0.0286907318204429	0.0185765716036313	0.00378638480526605	0.0132087357874283	0.00413132168945094	0.00457967467604398	0.0101123736053464	0.0133859096312036	0.0099487986369665	0.00394518593767952	0.0253225353098326	0.00636427770931728	0.0357300549128876	0.0340631444528049	0.024626681719247	0.0246168180951413	0.00731194961371521	0.0245691714338433	0.0248005264261643	0.00741722887807212	0	0.00677922346290059	0.00929417175578373	0.001977468263975	0.00792755644547898	0.00568895276968452	0.0123745733975528	0.00936747967003057	0.0306883008853015	0.00298354127332495	0.0112925867749983	0.00961961827040943	0.0207831933273178	0.0139954826050195	0.0114971801323851	0.0227624756682044	0.0294630106301447	0.040859364491712	0.0250838043430513	0.017502189184861	0.00618133172070303	0.049827989954573	0.05430219634135	0.0489858513280391	0.00715141404490469	0.0201111934090516	0.0067220070640415	0.0123759814105695	0.00572664488446348	0.0110637325006125	0.0145843303618294	0.0267546252904473	0.0147146980404232	0.00382800290996482	0.0097972196747012	0.0111648080389193	0.0232790968802099	0.00692456454852295
OM5_C_5F_3	0.00822429684869589	0.034351694726852	0.0265908375611699	0.0085007788549225	0.0364844569423897	0.0204373888619989	0.0101832213158128	0.0220441380909183	0.0118198391691859	0.00796088761906368	0.00698233323663797	0.00450281685543277	0.00988331073524568	0.010315280558842	0.0179071788136336	0.0157492436367228	0.00616617156448495	0.0188383280095998	0.0116117768560631	0.028965157853668	0.0274829166419827	0.0179784630579361	0.017958270310761	0.0130238785895196	0.0178555721222924	0.0180288231167322	0.0139664511035809	0.00677922346290059	0	0.0156986870139181	0.0064286243014769	0.00768614055077773	0.0116821375620468	0.0187951252561686	0.0154318968727597	0.0373656931773778	0.00874653870475432	0.0086080167729466	0.0140960339556321	0.0144787307196534	0.0163072393579606	0.0066167015370714	0.0160144656769984	0.0226997801075302	0.0340870090807789	0.0188986069423429	0.0111310428257946	0.00662542611150813	0.0430691335668826	0.0475372584540526	0.0422194691069619	0.0127622123557746	0.0144615066998646	0.000732336246430111	0.00667451783907159	0.0114987228402274	0.016073153045199	0.00908764405477883	0.0203440080887406	0.0100122213415258	0.00725197277297943	0.0150648044138959	0.00609810509262939	0.0169424687367837	0.0121668670656665
OM5_C_5G_1	0.0207400072414128	0.0497759725983559	0.0418366375515579	0.0232364770407976	0.0515831563784072	0.0351156508350743	0.0221702063630937	0.0368093568393028	0.0271620083150777	0.00866518126370641	0.0216272064968867	0.0120913190517841	0.00736209283315632	0.0142640300625446	0.00769881525711114	0.00262042910813941	0.0105556028303809	0.0333712379424054	0.0060407990033461	0.0442992559125852	0.0420835944698826	0.0327087686195585	0.0336455164428126	0.00623165257108693	0.0333158196246786	0.0335461827091185	0.00514239261603289	0.00929417175578373	0.0156986870139181	0	0.00932671728864507	0.0124792536180667	0.00436337025253739	0.00406422579395966	0.00767037036658547	0.0218867042323452	0.00840470110268284	0.0164390519873909	0.00712848860684933	0.0286290448105255	0.0130511343452418	0.0184294322324965	0.0314121927440615	0.0380346656902965	0.0494778898123266	0.0323360516269768	0.0264608922948978	0.0114890293700406	0.0585434299097236	0.0627996479952146	0.0574935974863216	0.00758310807379447	0.0277238601544299	0.0157502135078106	0.0207207293894008	0.00677423723041549	0.00899322601844612	0.0218962023972787	0.0352652713759604	0.0218024127736195	0.00936280686432814	0.00990116528732693	0.0195343828564098	0.030761331713833	0.00474778599049913
OM5_C_5G_2	0.0126747832126247	0.0406561630744995	0.0326781281972444	0.0140849289533459	0.0425058908250482	0.0261001555449032	0.0138599271671796	0.0279616354970354	0.0179420611846741	0.00234853423793902	0.0124499551659797	0.00307314784293094	0.00407692042063565	0.00866412088823073	0.0124811130129941	0.00945428276349625	0.00341148425774014	0.0244054752978566	0.00554797406637773	0.0351795022955779	0.0331546139080389	0.0238056755097197	0.0243593747663242	0.00798941209454566	0.0240362033428459	0.0243101229393537	0.00847371303412428	0.001977468263975	0.0064286243014769	0.00932671728864507	0	0.00616938999645511	0.00526043375373761	0.0126795222696081	0.010074310213607	0.0310199710434831	0.00355802625782983	0.00952190351165873	0.00846119856295586	0.0197616140699751	0.0123975696922041	0.0101206968937848	0.0222689663607176	0.0288393731212264	0.0403133520490106	0.0238807849447936	0.0171807370336575	0.00445409717167012	0.0493357410776895	0.0537176973334415	0.0484031069662281	0.00827863517024298	0.0191031121595305	0.0065672406377195	0.0116496326211542	0.00661154649905797	0.0107967968074239	0.0133197024821897	0.0261216906179931	0.0135139227699423	0.00209693903185441	0.0104130454501136	0.0105719533689552	0.0221985573260806	0.00606225075938385
OM5_C_5G_3	0.00955048684142768	0.0384622280772777	0.0303323680049483	0.0127160932587866	0.0398193345333102	0.0237802115338254	0.011776416631955	0.0249367584036982	0.0162137653418486	0.00654018169891349	0.011715029808898	0.00639275672096699	0.00880348938564838	0.00923949299271611	0.0116327548221119	0.0113266409256077	0.00529271622504319	0.0219775876287186	0.00890888958059177	0.0327830981905698	0.0303737285745662	0.0208363822981259	0.0233487343014247	0.0111612444482594	0.0225169379388331	0.0225467702354311	0.0130143199636078	0.00792755644547898	0.00768614055077773	0.0124792536180667	0.00616938999645511	0	0.00889791453470366	0.0155044829220221	0.0154259330387165	0.0339676102182587	0.0094898143832281	0.00431347035781283	0.00992775874495869	0.0172768024016483	0.0116452258065035	0.00644895931921399	0.0203323829232841	0.026686692988315	0.0379724845875358	0.0202133693783377	0.0170925525513505	0.00175216867231643	0.0471250722714209	0.051056016411077	0.0457855946962396	0.0121242096318871	0.0175377957135139	0.00810038083643941	0.0115652942091203	0.0103944011379625	0.0146372464561836	0.0108204748477895	0.0248111050136971	0.0121756877591107	0.00584304616848736	0.0158105173314801	0.0113843679188117	0.0185375412662554	0.00780690317507889
OM5_C_5H_1	0.0172159949240063	0.0457843330235419	0.0376423976106566	0.0189487455627908	0.0473973625481935	0.0308226328004156	0.0178643579984438	0.0328545201336444	0.0229976995765368	0.00430681822350564	0.0173229648374609	0.00781723700959347	0.0033561180519226	0.0102831005952844	0.00894262144020862	0.00451476970942851	0.00721645212202515	0.029085309576202	0.00240112898130486	0.0402377569934423	0.0378308610098107	0.0286591579144945	0.0295738106185346	0.00649254264538475	0.0290957349454651	0.02943336188329	0.00604060011769273	0.00568895276968452	0.0116821375620468	0.00436337025253739	0.00526043375373761	0.00889791453470366	0	0.00821482713595123	0.00730536308782712	0.0259393891100702	0.00477909456842781	0.0126574314915142	0.00506565454820021	0.0243468077653914	0.0107601857388369	0.0144075479879561	0.0273904009264133	0.0338519763177457	0.0453683097990621	0.0282191169443028	0.0222411691366336	0.00771232131116294	0.0544125764219327	0.0587238118181699	0.0534173509607029	0.00757689362277947	0.0233722717934184	0.0118242642328814	0.0163891501677481	0.00600767592586555	0.00777593899771325	0.0176205685740213	0.0309330485156543	0.0174692535164271	0.00501316025901157	0.0086335563266973	0.0152241095871704	0.0267377748005035	0.00249483116502012
OM5_C_5H_2	0.023201832594268	0.0525592335417564	0.0450057440110487	0.0266562166537959	0.0547419166875801	0.0385494405768384	0.0258876814629807	0.0396355316424328	0.0303185400456612	0.0124305449937789	0.0250937161889562	0.0156331567425364	0.0112609999617885	0.0182955088593418	0.00833819703639538	0.005482832222681	0.0131950106731153	0.0368081376910592	0.0100880984492267	0.0472195155626565	0.045451813531452	0.0357054714678715	0.0366257483103053	0.00690573613796528	0.0365440338219181	0.036578938346862	0.00613697628680653	0.0123745733975528	0.0187951252561686	0.00406422579395966	0.0126795222696081	0.0155044829220221	0.00821482713595123	0	0.0104009632445692	0.0194691346701794	0.0119143508293757	0.0196451670582254	0.0109309391932395	0.0320970947180824	0.016630667765349	0.021618440918414	0.0343148301995057	0.0411826937294264	0.0524648095600543	0.0356226302765728	0.029783691094379	0.0146041850014708	0.0615477024117223	0.0657209794434954	0.0604207212068715	0.0081438102598455	0.031465063615603	0.0187479530816806	0.0242945459202843	0.00816002878065451	0.0124962385801292	0.0254481894258292	0.0387763975339574	0.0256023548674689	0.0130644369502449	0.0129316665737044	0.0231461555394871	0.033829704032292	0.00811084147811583
OM5_C_5H_3	0.0226762403008354	0.0493433792634919	0.0411465042686052	0.0224562699087843	0.0509973023089055	0.0342277449860608	0.0215248327097643	0.0372945010713493	0.0266741290660391	0.00910561752171605	0.0205751720760691	0.0116143655669765	0.00676143763850415	0.0130601421427905	0.0149390414421804	0.00943520459052131	0.0128179334900163	0.0326288003960262	0.0071612441486035	0.0439543806463427	0.0414565837168848	0.0330331052387336	0.0324952097064462	0.010791379860196	0.0321965263756263	0.0328965380926429	0.00781383126212797	0.00936747967003057	0.0154318968727597	0.00767037036658547	0.010074310213607	0.0154259330387165	0.00730536308782712	0.0104009632445692	0	0.023719010778133	0.00677821648949254	0.0186371523695513	0.00919456483112343	0.0281037449464048	0.0142190095339884	0.0197035550896773	0.0311935076202069	0.037333067640409	0.0488796511681653	0.0327712084769298	0.0246161161977019	0.0139899899011257	0.0576586351786579	0.0623861192967128	0.057095671219747	0.0107673742685561	0.0262060915780285	0.0154658973642234	0.0192186114446522	0.0101790727650332	0.00539944116060449	0.0217448645387372	0.0334597611958475	0.0206048033921098	0.00993800672612548	0.00262614217220265	0.0175864065911048	0.0315420739704546	0.0096674132489774
