	OM5_B_B	OM5_C_4A	OM5_C_4D	OM5_C_4E	OM5_C_4F	OM5_C_4H	OM5_C_5A	OM5_C_5B	OM5_C_5D	OM5_C_5E	OM5_C_5F	OM5_C_5G	OM5_C_5H	OM5_C_6A	OM5_C_6B	OM5_C_6D	OM5_C_6F	OM5_H_2H	OM5_H_6A	OM5_H_6B	OM5_H_6C	OM5_H_6F	OM5_H_6G	OM5_H_6H
OM5_C_5F	0.0303896512093659	0.0216870032197725	0.0210621636177694	0.0222231700703313	0.0347668301755224	0.028121894758409	0.0274810223582408	0.0297700136725534	0.0238731089336373	0.0327436750057807	0	0.029986413885708	0.0184378359278056	0.027556845694008	0.020578011672704	0.0346360956805079	0.0260186079583136	0.0199768464914173	0.0217372062450936	0.0195517649990093	0.0249647195174993	0.0242748422341812	0.0233283332630187	0.0264394429517254
OM5_C_5G	0.0275023807449843	0.0216749468177122	0.024938682371823	0.0177185940924195	0.0218362740024419	0.0149350866234944	0.0223979434875903	0.019525428154878	0.0235844383661326	0.0258463303573269	0.029986413885708	0	0.0209915987631721	0.0208600353438229	0.0180873835591959	0.0249576604238331	0.0264869540400344	0.0219979011290424	0.0211761973261318	0.0227425612900005	0.0207048951220025	0.019781490988686	0.0164943513326589	0.02499268629526
OM5_C_5H	0.0271694635539471	0.0198004417744863	0.0182022505682338	0.0136993853568104	0.0285699902211128	0.0210219234841993	0.0225582445859609	0.0259953644865569	0.0204219745203572	0.0273869383687592	0.0184378359278056	0.0209915987631721	0	0.0185919404409001	0.0199557262907972	0.0271353443033294	0.0226652003284877	0.0136065594448607	0.0192428173114163	0.0154876531356587	0.0176772405831786	0.015574560885523	0.0165533074656499	0.0223544674314201
OM5_C_6A	0.0233041007399767	0.0223837353960776	0.018064976130558	0.0167823024993978	0.0301851213743637	0.0185224052840378	0.0190035799359031	0.0265042934231405	0.0264928137046584	0.0245339917690927	0.027556845694008	0.0208600353438229	0.0185919404409001	0	0.0171122560651427	0.0246058334795262	0.0261108226965039	0.0177528868185901	0.0202742349129758	0.0184128466183728	0.018785741848543	0.0218209250812842	0.0152294564923826	0.0255895564274137
OM5_C_6B	0.0216600713407012	0.0162994942270484	0.01537987821773	0.0139212134340257	0.0246377749575227	0.0151297951509052	0.0192278769118469	0.0210500890499176	0.0207552430038884	0.0227349795219833	0.020578011672704	0.0180873835591959	0.0199557262907972	0.0171122560651427	0	0.0239417466279061	0.0207671556056454	0.0158450826055149	0.0141662299767787	0.0141019545948038	0.0174989967052468	0.0195617316830628	0.0121861238477939	0.0180925713198368
OM5_C_6D	0.0250285066195199	0.0238091945033508	0.0271978564818524	0.0259183349426667	0.034667848775066	0.0249931595521293	0.0231338305403693	0.0257672677292522	0.0225723121803822	0.0256949622557292	0.0346360956805079	0.0249576604238331	0.0271353443033294	0.0246058334795262	0.0239417466279061	0	0.0327765296635122	0.0276777007999152	0.0275937949662672	0.0304575454585951	0.0295976711273059	0.0319736326622437	0.0245300110671325	0.032985104206385
OM5_C_6F	0.0176133427559657	0.0178135067222268	0.0188242551651416	0.0191118524842584	0.0298197648180185	0.0202777665711649	0.0246513495638852	0.0202950295689917	0.0233607497779002	0.0239260413029753	0.0260186079583136	0.0264869540400344	0.0226652003284877	0.0261108226965039	0.0207671556056454	0.0327765296635122	0	0.019502178827846	0.0167007447453462	0.0234096996341593	0.0245286903939879	0.0252865916722768	0.0236886557545349	0.0251433619673344
OM5_H_2H	0.0229797493900714	0.0189476733438898	0.0125010246787835	0.0130655648306041	0.026267945837271	0.0177786532831694	0.0191566224735806	0.0239758148120477	0.0198059287618687	0.0228861883341244	0.0199768464914173	0.0219979011290424	0.0136065594448607	0.0177528868185901	0.0158450826055149	0.0276777007999152	0.019502178827846	0	0.0142711945147252	0.0109317128033744	0.0128965128533491	0.0152455091020209	0.0145919804960213	0.0169708237502657
OM5_H_6A	0.0178359225566092	0.0159701091436755	0.0156616218340244	0.0132708019176663	0.0262256130311748	0.0183767209384947	0.023666879880699	0.0214561875638053	0.0192336480262869	0.0228724011290445	0.0217372062450936	0.0211761973261318	0.0192428173114163	0.0202742349129758	0.0141662299767787	0.0275937949662672	0.0167007447453462	0.0142711945147252	0	0.0168873717205328	0.0166040841357599	0.0192005672341375	0.0136056150247087	0.0169052458536391
OM5_H_6B	0.0269429186256247	0.0219631602644141	0.0133768785060962	0.0117347089075396	0.0282282706081328	0.0190461267916711	0.0204864882792198	0.0266811495063358	0.0228298334971697	0.0260033486371138	0.0195517649990093	0.0227425612900005	0.0154876531356587	0.0184128466183728	0.0141019545948038	0.0304575454585951	0.0234096996341593	0.0109317128033744	0.0168873717205328	0	0.0136571752618804	0.0149456840326519	0.0157625722620056	0.0177971766274176
OM5_H_6C	0.0251600335452023	0.0189656121668911	0.0160282356001433	0.0137637951546947	0.0285307950132048	0.0191710155985087	0.02191774670891	0.0273115412923264	0.0238816090469577	0.0215670501622621	0.0249647195174993	0.0207048951220025	0.0176772405831786	0.018785741848543	0.0174989967052468	0.0295976711273059	0.0245286903939879	0.0128965128533491	0.0166040841357599	0.0136571752618804	0	0.0174730443837061	0.014581352895747	0.0192624285695198
OM5_H_6F	0.0292585263637408	0.0233401494813163	0.0191635086443026	0.0149128606041509	0.03069960323467	0.0228969352081513	0.025635444956921	0.0290929575754093	0.0241768257723916	0.0285704625996868	0.0242748422341812	0.019781490988686	0.015574560885523	0.0218209250812842	0.0195617316830628	0.0319736326622437	0.0252865916722768	0.0152455091020209	0.0192005672341375	0.0149456840326519	0.0174730443837061	0	0.0168300976239164	0.0197822995216895
OM5_H_6G	0.0232769527198597	0.0159919775774438	0.0152556365440156	0.0106237941705508	0.0260672076631614	0.0167514481998151	0.0228006023101329	0.0248098647782	0.0220484584808597	0.0223977913769147	0.0233283332630187	0.0164943513326589	0.0165533074656499	0.0152294564923826	0.0121861238477939	0.0245300110671325	0.0236886557545349	0.0145919804960213	0.0136056150247087	0.0157625722620056	0.014581352895747	0.0168300976239164	0	0.0197926363649802
OM5_H_6H	0.0276109607542233	0.0208831915604388	0.0198122680084833	0.0195217458143402	0.0313940437255683	0.0231594026309379	0.0286883672348607	0.0282945681791341	0.0264348295061984	0.028809046291101	0.0264394429517254	0.02499268629526	0.0223544674314201	0.0255895564274137	0.0180925713198368	0.032985104206385	0.0251433619673344	0.0169708237502657	0.0169052458536391	0.0177971766274176	0.0192624285695198	0.0197822995216895	0.0197926363649802	0
