	OM5_B_B_1	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_1	OM5_H_2H_2	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_1	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_2
OM5_C_4H_2	0.0301173956280976	0.0115719082185925	0.0219781510819791	0.0113281425683208	0.00853055528281537	0.00698473060014223	0.00299454222316887	0.0118035255367585	0.00280932423334082	0.00721115235715072	0	0.0280421730780341	0.0354856657517138	0.00931885517441385	0.0092293905430809	0.0241433863688033	0.00490947207743484	0.0151885152195681	0.0118400136265218	0.0203167214816128	0.0148554494745338	0.00728773822150806	0.00550116361045688	0.00450517445283491	0.00541910603309695	0.00558513281928628	0.0154102692048256	0.0106910836526359	0.0039708909857949	0.00904137921796823	0.00531181442707214	0.0211423771528509	0.0202134041513766	0.020314481514807	0.00409306916571114	0.0125536914560501	0.0016401231399187	0.00586727679877069	0.00531916832512011	0.00571739795919554	0.00290462601911153	0.0044116348224798	0.0161223329828466	0.00398634877805345
OM5_C_5A_2	0.00214187347085902	0.0166676804742007	0.00622932193893188	0.0167367829437074	0.0331727468948859	0.0265056104513103	0.0252841471633255	0.0171129485906069	0.0270035124169543	0.0208415418915519	0.0280421730780341	0	0.0098865604962488	0.0203118607185007	0.034760194536699	0.004490734748261	0.0242263368359939	0.0130130935540051	0.0164276504566597	0.00936749470960875	0.0132764583787441	0.0217024275360155	0.0278406861165258	0.0316554092789086	0.0301293154341761	0.0323849259218721	0.0126619531260088	0.0173562869625453	0.0297972107337619	0.0224427182993314	0.0267976520125203	0.00846318616109096	0.00793848220755199	0.00891648501162356	0.0256397167822906	0.0390619352877417	0.026499860311153	0.0232808335095327	0.0323369618965471	0.0303404055678739	0.0270645104438427	0.0322264900297503	0.0429304931112279	0.0302283907391951
OM5_C_5A_3	0.00908596332268176	0.0239547326420591	0.0141405068369035	0.0243742931898675	0.0416880230117623	0.0352052486873835	0.0330309987061585	0.0257915585897199	0.0349824016495235	0.0283997411435116	0.0354856657517138	0.0098865604962488	0	0.0289768393280042	0.0431654052189681	0.014189002288879	0.0323755969475858	0.0214860526798007	0.0236803131374216	0.0151797347142604	0.0216134149403609	0.0300312281076062	0.0362955148097387	0.0384705216283954	0.0384407224832926	0.0403919668928308	0.0208880901483117	0.0250687814866609	0.0378744487230478	0.0313227809161224	0.0352291536215893	0.014348762686207	0.0167948464866188	0.0151856093429975	0.0337865756707196	0.0473278115634105	0.0338608152236625	0.0315235613309265	0.0402803073499029	0.0386841966502971	0.0350648434438692	0.0398569227995237	0.0511484811781524	0.0382549513194057
OM5_C_5B_1	0.0222367723465145	0.00684538469225325	0.0148477419856971	0.00581881143124917	0.012865513789939	0.00624012864516447	0.00635286150083127	0.00321123542003953	0.00729058208963364	0.00480991388374291	0.00931885517441385	0.0203118607185007	0.0289768393280042	0	0.0144586592171165	0.0160131366238268	0.00449787060044584	0.00749388024539534	0.00707255705550261	0.0146105669961204	0.00737699831801804	0.00206429419698233	0.00754772092852563	0.0137665120972048	0.00988614322661858	0.0123555616727487	0.00811838895948437	0.00521557896270804	0.00977174928955506	0.00254909726454597	0.00652428644463723	0.0151912820364045	0.0124144441520021	0.0143079890101432	0.00575054103116863	0.0187851870457469	0.00829782376896658	0.00348798782064985	0.0123791174416027	0.0100770844355656	0.00730770115175433	0.0127030611523495	0.0226588309307288	0.0102471925324581
OM5_C_5B_3	0.03668993177068	0.0194817803568292	0.0291432346230236	0.0188885741343645	0.00173985587889391	0.00838345417338758	0.0105877688253015	0.0176519193231941	0.00843608500632452	0.0150989481424575	0.0092293905430809	0.034760194536699	0.0431654052189681	0.0144586592171165	0	0.030463995643611	0.0108187150577963	0.0218334799199555	0.0197619300908029	0.0282614742603307	0.0216411622001909	0.0131564728758277	0.00692490784947526	0.010177426703265	0.00473834074363564	0.00374817825034941	0.0223373608404685	0.0181815282550967	0.00558774554469832	0.0125271305813023	0.00797779390259187	0.0289870647899564	0.0268455497784118	0.0281137762647417	0.00942616875626948	0.00437537976681473	0.0106796146388193	0.0116487979645756	0.00410297317688722	0.0044858309927652	0.00832874430025847	0.0058179345677105	0.00823252445614586	0.00536331546007174
OM5_C_5D_1	0.00624664297051214	0.0131298976177033	0.00393454713076241	0.0130006483956028	0.0288495217881796	0.0221542107887535	0.0212941807517519	0.0128476599162613	0.0229001473856452	0.0170169615648904	0.0241433863688033	0.004490734748261	0.014189002288879	0.0160131366238268	0.030463995643611	0	0.0200848750267435	0.00895942414453003	0.012921489320252	0.00779621595509513	0.0092919419104705	0.0175185951888984	0.0235594585214044	0.0279752936392584	0.0258828781078677	0.0282299048564389	0.00877860332593806	0.0135561363590903	0.0256340778513763	0.0180574043264032	0.02253047756458	0.00712715253030355	0.00398957962831556	0.00712409478652767	0.0214847264384885	0.0347935034862862	0.0226572664721162	0.0191128894134013	0.0282048490777551	0.0260821451130968	0.0229522749283051	0.028210954191601	0.0386655144622606	0.0260805182209372
OM5_C_5D_2	0.0262295594427657	0.00871715008645321	0.0184224404313837	0.0080742718122065	0.00943428631830942	0.00404699242884936	0.00213197639304179	0.00732240023200643	0.00284304912433436	0.00451501652645505	0.00490947207743484	0.0242263368359939	0.0323755969475858	0.00449787060044584	0.0108187150577963	0.0200848750267435	0	0.0112151296165936	0.00899598677101868	0.0174507596127492	0.0109696751100878	0.00260024408018393	0.00415092604386581	0.009409885620657	0.00608068118477384	0.00816170200017133	0.0116301945282198	0.00736608509213665	0.00557417640580041	0.00424424593243949	0.00313158829528883	0.0181710071900612	0.0162919311055613	0.0172973007271775	0.00141951363236723	0.0149683456444253	0.00418873080027166	0.00101639464870116	0.00812346255188427	0.00633696233323565	0.00288131515652198	0.00825328034489017	0.0188108409341666	0.00600503153200592
OM5_C_5D_3	0.0150285838578435	0.00480242900520172	0.00735488758177087	0.00429643591552137	0.0202920968600492	0.0137303501317059	0.0123389969398674	0.00431237758909881	0.0139972714911862	0.0081102753215347	0.0151885152195681	0.0130130935540051	0.0214860526798007	0.00749388024539534	0.0218334799199555	0.00895942414453003	0.0112151296165936	0	0.00469342145798796	0.00759108317667712	0.0004823036171127	0.0087066981814152	0.0149139032774366	0.0190999427963764	0.0171579849480315	0.0193756151756557	0.00090761850677561	0.00473224806072357	0.0167880602722145	0.00986626780233239	0.0138568926216789	0.00799898177235992	0.00508156885686836	0.00714331484599065	0.0126297498050069	0.02609931777785	0.013717748348169	0.0102751372624424	0.0193286370400807	0.0173794091400652	0.0140563912870628	0.0192670602442475	0.0299630359524999	0.0172183811338927
OM5_C_5E_1	0.0185475978835121	0.000280246492174969	0.0102451241694477	0.00128680681891659	0.0184257223475243	0.0125125869118349	0.00937213316554089	0.0052254367970322	0.0113948689903014	0.00473185646391283	0.0118400136265218	0.0164276504566597	0.0236803131374216	0.00707255705550261	0.0197619300908029	0.012921489320252	0.00899598677101868	0.00469342145798796	0	0.00855514775966581	0.00421606901583715	0.0070997785073826	0.0131211021143898	0.0152361395966372	0.0150352368764263	0.0167671483405182	0.00438171751932579	0.00186207031719694	0.0143032138317285	0.0095758036492705	0.0120697172133866	0.00934157523349234	0.00894147863508973	0.0084961819954442	0.0103501291492907	0.0237813157189054	0.0102334370110311	0.0083098276191911	0.0166356305294305	0.0153045726754442	0.0114880537340538	0.0161890213598927	0.0275602909032223	0.0146537307583143
OM5_C_5F_2	0.011458857064189	0.00883359231845694	0.00386196514177534	0.00937706692091413	0.0268710762719524	0.0206567870635112	0.0179261111109869	0.011654827374831	0.0199395971087107	0.0132864503812085	0.0203167214816128	0.00936749470960875	0.0151797347142604	0.0146105669961204	0.0282614742603307	0.00779621595509513	0.0174507596127492	0.00759108317667712	0.00855514775966581	0	0.00749746850577441	0.015286349509218	0.0215060241458256	0.0233586804479239	0.0235255073194676	0.0253204312794707	0.00674649163441092	0.0100855075325754	0.0228464851032497	0.0171245346306671	0.0204405791691929	0.000931414137090039	0.00559691912874128	0.000727250947885691	0.0188374494737528	0.0323243570964603	0.0186884070575311	0.016674881716102	0.0251887671484639	0.0237857904706314	0.0200299617182335	0.0247000619796966	0.0361103120522372	0.0232037160745198
