	OM5_B_B_2	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_C_4F_1	0.00726077578850871	0.00477455649811327	0.00854919611093581	0.0211335482600378	0.00791604628011749	0.00331119077195814	0.0094991407612565	0.00722966138757493	0.00867965876266337	0.0143126868329783	0	0.00986957417877938	0.00550625883665205	0.00963443931213155	0.012292113114927	0.0114897294967611	0.00649620423825266	0.000926717382876822	0.00206559421550446	0.00720672595423067	0.00105383914061123	0.00818215424702313	0.00842031819796982	0.000762307848397898	0.0307636519202262	0.00374153664529703	0.090645488441673	0.105115412435485	0.0817582982281151	0.0200279946648983	0.00115742060346559	0.017354752134689	0.00562275410438066	0.00418735562722642	0.00990065823558127	0.00656593792472529	0.0124718109965506	0.0312610758155409	0.000483321152961782	0.00537519766227951	0.0202889187974152	0.00831242571973427	0.00834472298378109	0.00211707663388995	0.00562275410438066	0.00116469671662431	0.00171483794535895	0.00530616160408963	0.0108700819802344	0.0086983774710668	0.00659089531270119	0.00892365327674388	0.0101563801698908	0.000280421151878325	0.0103059881863415	3.70443474764458e-05	0.0126134014736208	0.0213014461868565	0.00889667388668953	0.0123982004115886	0.0212268033226522	0.00616792658095069	2.97945841541544e-06	0.00743041272443452
OM5_C_4F_2	0.0171299239124702	0.0146438912196166	0.0184182308427996	0.0310008749873001	0.00195358082002862	0.00655845774004454	0.0193680845875899	0.0170988121089129	0.0185486813770307	0.0241810746658849	0.00986957417877938	0	0.0153755430468476	0.0195033696865957	0.0221607537433796	0.0213584627205049	0.01636541426245	0.01079625730576	0.00780403514479553	0.00266291389971969	0.00881576684290156	0.0180512224429454	0.0014492977414816	0.0106318542781378	0.0208962766851377	0.00612811601422917	0.0808010956775763	0.0952803608426131	0.0719089103857488	0.0298955151736991	0.00871218809544729	0.0272227063509945	0.015492029933608	0.00568229999182662	0.0197695617743583	0.0164351424695476	0.0223404302809159	0.0411262337932436	0.00938626855691941	0.00449445919996539	0.0301563943322946	0.00155719275390425	0.00152489473959193	0.00775255372850486	0.015492029933608	0.00870491217034284	0.00815478410465887	0.0151754599924252	0.0207388836818501	0.0185673983372338	0.00327875282192927	0.00094594978763865	0.0200252574724949	0.00958916223253813	0.0201748499313075	0.00983253107721722	0.0224820037837429	0.0311687427466405	0.018765676085519	0.0222668284661034	0.0310941133181184	0.0160371619514472	0.00987255355684072	0.0172995465704973
OM5_C_4F_3	0.00175454133679986	0.00073170902375941	0.00304298707896208	0.0156279228430799	0.0134221020584871	0.00881739378766611	0.00399295454783743	0.00172342640068715	0.00317345265948261	0.00880666949253969	0.00550625883665205	0.0153755430468476	0	0.00412825663033428	0.00678601404927065	0.00598360232877729	0.000989957710211435	0.00457954957141292	0.00757182314531502	0.0127128096861816	0.00656008475659681	0.00267593732527624	0.0139263529359243	0.00474395790526988	0.0362677811775777	0.0092477293304039	0.0961350673113217	0.110599373186207	0.0872509162571861	0.0145222935476587	0.00666366469091635	0.0118488874499688	0.000116496521116287	0.009693536864424	0.00439448270779241	0.00105969240527315	0.00696571856347352	0.0257563638461776	0.00598957445322309	0.0108813446927379	0.0147832351212008	0.0138184650410057	0.0138507609377167	0.0076233046100144	0.000116496521116287	0.00667094069509397	0.00722107310288576	0.000200099264246989	0.00536393480176245	0.0031921717934557	0.0120970017568195	0.0144296660458581	0.00465021177010243	0.00578667688545286	0.00479982407306309	0.00554330279251105	0.00710731435396946	0.0157958326789102	0.00339047279998871	0.00689210524657064	0.0157211845068438	0.000661675555166564	0.00550327938924281	0.00192418125579607
OM5_C_4H_1	0.00237372127821528	0.00485996054597324	0.0010852742979054	0.0114999250501618	0.017550020852186	0.0129454866250978	0.000135302858802824	0.00240483618519184	0.00095480832579884	0.00467847213244408	0.00963443931213155	0.0195033696865957	0.00412825663033428	0	0.00265778335558012	0.00185536166148685	0.00313830338393954	0.00870774894915896	0.011699952634358	0.016840759240866	0.0106882407465499	0.00145232489039236	0.0180542489860966	0.0088721541091499	0.0403939405330572	0.0133758084725975	0.100249507315443	0.114709410869093	0.0913677529752597	0.0103942542741509	0.0107918181024773	0.00772076248752076	0.00401176078046491	0.0138216012599813	0.000266227759433234	0.00306856889717006	0.0028374903575943	0.0216289111115227	0.0101177440939359	0.0150093670208474	0.0106552053186422	0.017946366018448	0.0179786604436821	0.0117514326721945	0.00401176078046491	0.0107990939243786	0.0113492121112971	0.00432835465057344	0.00123568770104889	0.000936089131694955	0.0162249768513592	0.018557538669832	0.000521958629134069	0.00991485115614469	0.00067157207680039	0.00967148246123723	0.00297908817386304	0.0116678414950848	0.000737787425786038	0.00276387601033854	0.0115931903747134	0.0034665843706563	0.00963145992944469	0.0022040814689735
OM5_C_4H_2	0.00503149357312058	0.00751771007944132	0.00374305389061826	0.00884223609966512	0.0202074764920154	0.0156030832148621	0.00279308586455112	0.00506260826591924	0.00361258848627551	0.00202069754251458	0.012292113114927	0.0221607537433796	0.00678601404927065	0.00265778335558012	0	0.000802423073900469	0.00579606989613356	0.0113654407414797	0.0143575806409113	0.0194982391351132	0.0133458921675166	0.00411010271706998	0.0207116868199815	0.0115298428255224	0.0430501204829871	0.0160333935437027	0.102897775217659	0.117354758515915	0.0940176173493478	0.00773654556081474	0.0134494672130211	0.00506301539730407	0.00666951936353178	0.016479174038545	0.00239155618618798	0.00572633598160009	0.000179707474676685	0.018971509521627	0.0127754078859855	0.0176669052604489	0.0079975010641559	0.0206038077013768	0.0206361009766612	0.014409059436896	0.00666951936353178	0.0134567428718777	0.0140068484488578	0.00698611001139445	0.00142209728296508	0.00359386937097045	0.0188824770524742	0.0212149582644313	0.00213582575938976	0.0125725192031957	0.00198621251471797	0.012329155511981	0.000321305705681573	0.00901015574525214	0.0033955684606072	0.000106092926787253	0.00893550319546818	0.00612434806823214	0.0122891337926015	0.00486185490030529
OM5_C_4H_3	0.00422907645061289	0.00671530111946186	0.00294063389597002	0.00964463526070116	0.0194051628450666	0.0148007246259394	0.00199066434637997	0.00426019122423727	0.00281016825252184	0.00282311901883766	0.0114897294967611	0.0213584627205049	0.00598360232877729	0.00185536166148685	0.000802423073900469	0	0.00499365491639613	0.010563051211206	0.0135552119208075	0.0186959177978127	0.0125435158534563	0.00330768344617426	0.0199093788102045	0.0107274543092274	0.0422482037903367	0.0152310386555902	0.102098277574728	0.116556149632799	0.0932176332999178	0.00853895011478245	0.0126470916502385	0.00586543015026408	0.00586710723108984	0.0156768230929073	0.0015891341758328	0.00492392079289283	0.000982130499060951	0.0197738271769831	0.0119730275409519	0.0168645653584824	0.00879990440734342	0.019801498473608	0.0198337921128165	0.0136066911184236	0.00586710723108984	0.0126543673620981	0.0132044770315613	0.00618369901611298	0.000619674455678646	0.0027914491036828	0.0180801492650617	0.0204126560221445	0.00133340348252054	0.011770137468261	0.00118379009883792	0.0115267721400988	0.00112372867827281	0.00981255402710165	0.00259314785020056	0.000908515973407993	0.00973790187013838	0.0053219341086689	0.0114867501546699	0.00405943734666581
OM5_C_5A_1	0.000764584088543197	0.00172166630028287	0.00205303152084994	0.0146380440961007	0.0144119932629272	0.00980732175262144	0.0030030009689019	0.000733469125903584	0.00218349733632188	0.00781673551736219	0.00649620423825266	0.01636541426245	0.000989957710211435	0.00313830338393954	0.00579606989613356	0.00499365491639613	0	0.00556949850393226	0.00856175855311666	0.0137027075009415	0.00755002542573978	0.00168598116911113	0.0149162392311049	0.00573390625443264	0.0372572750857402	0.0102376544763229	0.0971218141827492	0.111585079217738	0.088238228642786	0.013532403659083	0.00765360485371063	0.0108589741241861	0.000873461223996017	0.0106834589558568	0.00340453015256516	6.9734721101415e-05	0.00597577520120557	0.0247666267373746	0.0069795177790946	0.0118712579799031	0.0137933477857075	0.0148083524012246	0.0148406479799529	0.0086132397312975	0.000873461223996017	0.00766088082204657	0.00821101041433302	0.00119005689271932	0.00437398517665552	0.0022022165050171	0.013086905030777	0.0154195472670284	0.00366025992478455	0.00677662110227029	0.00380987266404525	0.00653324804067479	0.00611737163056822	0.0148059556981785	0.00240051789364761	0.00590216155763962	0.0147313067384682	0.000328282229855022	0.00649322480313158	0.000934224164722199
OM5_C_5A_2	0.00633407321375044	0.00384784502904888	0.00762249971357598	0.0202069686243172	0.00884274115591173	0.00423790364128937	0.00857244960448743	0.00630295867687356	0.0077529630505191	0.013386031191249	0.000926717382876822	0.01079625730576	0.00457954957141292	0.00870774894915896	0.0113654407414797	0.010563051211206	0.00556949850393226	0	0.00299230961014125	0.00813342448939938	0.00198055585200269	0.00725545598076403	0.00934701027568289	0.000164409574859981	0.0316900561627927	0.00466824841030222	0.0915695303641981	0.106038529151412	0.0826828390216064	0.0191014006613184	0.00208413721032855	0.0164281266662229	0.00469604522184675	0.00511406612267074	0.0089739694690313	0.00563923246295378	0.0115451400041709	0.0303346648052232	0.00141003831659268	0.00630190415145607	0.0193623281132971	0.0092391184098417	0.00927141549135669	0.00304379194384727	0.00469604522184675	0.00209141331583461	0.00264155387102079	0.00437945170189415	0.00994339941367605	0.00777168185813928	0.00751759676283877	0.00985034239868519	0.00922969297988445	0.00120713842627029	0.00937930193826209	0.000963761720040329	0.0116867315841483	0.0203748688025678	0.00796997933871387	0.0114715288509548	0.0203002249351737	0.0052412196057059	0.000923737905035958	0.00650371090180192
OM5_C_5A_3	0.00932632142096831	0.00684012728864446	0.0106147252108993	0.0231987901362776	0.00585048524873734	0.00124559951269474	0.0115646561429578	0.0092952073897545	0.0107451860554832	0.0163781127336143	0.00206559421550446	0.00780403514479553	0.00757182314531502	0.011699952634358	0.0143575806409113	0.0135552119208075	0.00856175855311666	0.00299230961014125	0	0.00514115828779445	0.00101175583922985	0.0102476882998477	0.00635476232169946	0.00282790051835162	0.028698689762759	0.00167594692414517	0.0885856656118301	0.10305762216713	0.0796973818606282	0.0220932709333373	0.000908174365647327	0.0194201042621719	0.00768831731007103	0.00212176777935241	0.0119661674285976	0.00863149148252827	0.0145372750589573	0.0333259201799808	0.00158227361082635	0.00330961619580922	0.0223541871082609	0.00624686870987147	0.00627916631152437	5.1482497272405e-05	0.00768831731007103	0.00090089825103977	0.000350756701352505	0.00737172776173114	0.0129355752750001	0.0107639045025842	0.0045253224700596	0.00685810290908443	0.0122218853004791	0.00178517342220601	0.0123714908966092	0.00202854992082134	0.0146788627741771	0.0233666826853763	0.0109621981192418	0.0144636658984265	0.0232920422169916	0.00823348436592444	0.00206857368990352	0.00949595631661185
OM5_C_5B_1	0.0144672389360553	0.0119811393642934	0.0157555850265347	0.0283387735716552	0.000709334358744346	0.0038955674272912	0.0167054696131123	0.014436126224824	0.0158860396974599	0.0215186416863506	0.00720672595423067	0.00266291389971969	0.0127128096861816	0.016840759240866	0.0194982391351132	0.0186959177978127	0.0137027075009415	0.00813342448939938	0.00514115828779445	0	0.00615290302533374	0.0153885651576785	0.00121361778182794	0.00796901861236109	0.0235587361820112	0.00346522171875672	0.0834577467410718	0.0979345840646418	0.074566851792607	0.0272333541416635	0.00604932285601017	0.0245604105629083	0.0128292996089325	0.00301940193116343	0.0171069603386123	0.0137724376501244	0.019677922625368	0.0384647845872317	0.00672341292614797	0.00183155289934872	0.0274942471653487	0.0011057227351178	0.00113802076189013	0.00508967625856812	0.0128292996089325	0.00604204683178027	0.00549191155401078	0.0125127214756506	0.0180763161655247	0.0159047572537869	0.000615840786059795	0.00171696561121271	0.0173626648151332	0.00692630965835256	0.0175122624658635	0.00716968226972829	0.0198195016486801	0.0285066505838265	0.0161030413568791	0.0196043179552357	0.0284320170352633	0.0133744461683293	0.00720970537928324	0.0146368665742833
