	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_1	OM5_C_5H_2	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6D_2	OM5_C_6F_1	OM5_C_6F_2	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6C_2	OM5_H_6F_1	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_C_4F_1	0.071880398872862	0.0442522047572074	0.0763259708529213	0.0309546728950472	0.0776711822479323	0.0607858579241993	0.0417511764507223	0.0567260980413493	0.0625059720907756	0.0326350071696409	0.0372383688795224	0.0295417866584136	0	0.0565615617306245	0.0347706301398926	0.0625506635998158	0.0598768778503742	0.0325886752798077	0.0526794673420388	0.070970600502905	0.0385960642398506	0.046501383249344	0.0758748833353627	0.0640042365637615	0.0544647218471783	0.0580459243817215	0.0452570012823363	0.0489381668919835	0.0528257262508225	0.0276209924044485	0.0363706965627037	0.0214776808149387	0.0334941558501323	0.015842811916053	0.038972658199772	0.0267111688474346	0.043203940762006	0.0208833522174112	0.0530324678467614	0.0338091387361328	0.0530270782240607	0.0707192364417251	0.0563545401473961	0.0631793756280394	0.0462344416086124	0.023664971604129	0.0517464557654546	0.0259807796966149	0.0322990376721866	0.0261731912081109	0.0366827128889127	0.0361956795929521	0.0174011766316612	0.0653424441920826	0.0555243246760943
OM5_C_4F_2	0.0153415291005857	0.0123204368173812	0.0197955678388122	0.0256229214405996	0.021143510135548	0.00422955900914145	0.0148229491880136	0.0001647272382812	0.00595203204872293	0.0239423591491366	0.0193377850685427	0.0270359108941725	0.0565615617306245	0	0.0218062809785318	0.00599678651597908	0.00331938295450802	0.0239886988612173	0.00388626995778722	0.0144301031973292	0.0179795671585182	0.0100697035160565	0.0193435821837371	0.00745245338366591	0.00209917359334305	0.00148612627721122	0.011314971509291	0.00763099923632357	0.00373986516061629	0.0289567160567768	0.0202057519103284	0.035099065058988	0.0230830496264323	0.0407317216300742	0.0176028149043086	0.0298664928207684	0.0133693541692583	0.0356932201730011	0.00353291582338389	0.0227680002610083	0.00353831088440843	0.0141782957539278	0.000207260195823643	0.00662639320888216	0.0103368406162739	0.0329122908216295	0.00482019117494452	0.0305968202705943	0.0242783833942708	0.0304044270977524	0.0198936332094083	0.0203808245662271	0.0391740955267724	0.00879266813288891	0.00103841450253785
OM5_C_4H_1	0.03714320658359	0.00948677460417744	0.0415951799384614	0.00381741411640503	0.0429424317028346	0.0260349558308728	0.00698415489251011	0.0219709792203838	0.0277569852677863	0.00213648308068373	0.00246887466043437	0.00523074772455474	0.0347706301398926	0.0218062809785318	0	0.0278017275624697	0.0251249946217078	0.00218283236862294	0.0179205678177266	0.0362321625445336	0.003827260081401	0.0117375194154185	0.0411434190012562	0.0292569806213262	0.0197074384367468	0.0232921297293689	0.0104922550228306	0.0141761449467985	0.018066956057146	0.00715207060658915	0.00160078556021012	0.0132964594456051	0.00127700207627456	0.0189314984303973	0.00420405364921844	0.00806211260824518	0.00843782435981631	0.0138908428230273	0.0182738814003987	0.000961892736828844	0.0182684869736206	0.0359804581681694	0.0215990566417488	0.0284311595356017	0.0114703851700483	0.011108892038197	0.0169867441025384	0.00879266227868417	0.00247257752449185	0.0086002097622884	0.00191294958946771	0.00142568680830947	0.0173731647118215	0.0305967836424827	0.0207680391492994
OM5_C_4H_2	0.00934506641873739	0.0183167219364038	0.0137994000865876	0.0316179210555414	0.0151474497053829	0.00176724427527161	0.0208190510149145	0.00583206142732116	4.47550651233169e-05	0.0299375632793825	0.0253334873700779	0.0330307291989985	0.0625506635998158	0.00599678651597908	0.0278017275624697	0	0.00267742348830415	0.0299838975145142	0.00988297072440523	0.00843359141086698	0.0239753989400621	0.0160661301254135	0.0133473803291489	0.00145569125244152	0.00809592212714203	0.00451067525235051	0.0173113225751441	0.013627554083631	0.00973657037305977	0.0349512742149407	0.0262013672929147	0.0410926860090823	0.0290783536491879	0.0467243429573018	0.0235986811877522	0.0358609222734389	0.0193655657856389	0.0416867419880323	0.00952962715814315	0.0287633401128641	0.00953502206198767	0.00818177107206525	0.00620404383490188	0.00062961606600883	0.0163332515921478	0.0389062637771824	0.0108168613481118	0.0365911438554971	0.0302735476005851	0.0363987787919218	0.0258892802223265	0.0263764220228026	0.0451670066423812	0.00279593692060139	0.00703518468113164
OM5_C_4H_3	0.0120223763658595	0.0156395831554786	0.0164765931401329	0.0289414003122885	0.0178245993147065	0.000910180827309165	0.0181420023732828	0.00315465635860598	0.0026326685411863	0.0272609456623235	0.0226566320781572	0.0303542940813115	0.0598768778503742	0.00331938295450802	0.0251249946217078	0.00267742348830415	0	0.0273072824961933	0.00720561835992355	0.0111109202553929	0.0212984813360189	0.0133889207013752	0.0160245871086498	0.004133108690415	0.00541854249856603	0.0018332600495075	0.014634151013309	0.0109502793068461	0.00705921553726484	0.0322749615984502	0.0235245536847783	0.0384168121192564	0.0264016885872516	0.0440489339375216	0.0209217469302921	0.0331846701281132	0.0166884633027924	0.0390109143195783	0.00685226890134414	0.0260866580107734	0.00685766389330566	0.0108591048378277	0.00352664224664014	0.00330703746153025	0.0136560500349347	0.0362302255082035	0.00813952574530916	0.033914941391042	0.0275969489210362	0.0337225631416245	0.023212451457666	0.0236996169983367	0.0424914631100354	0.00547334500703095	0.00435779186426401
OM5_C_5A_1	0.0393248728433581	0.0116695197476561	0.0437765552665801	0.00163458663634629	0.045123712458189	0.028217204929002	0.00916693687284418	0.0241533910726757	0.0299391572870982	4.6349365910059e-05	0.00465169800802721	0.00304792783890126	0.0325886752798077	0.0239886988612173	0.00218283236862294	0.0299838975145142	0.0273072824961933	0	0.0201031152509322	0.0384138842718903	0.00601007437140525	0.0139202229208981	0.0433248253605177	0.0314390815483933	0.021889929323785	0.0254744916165312	0.012674982562683	0.0163587942130048	0.0202494990513959	0.00496926604368824	0.00378361317298978	0.0111137424088562	0.000905831199587431	0.016748913001101	0.00638686491099582	0.00587931730998701	0.0106205861539617	0.011708137356638	0.0204564180611336	0.0012209405528539	0.0204510238003437	0.0381621949773021	0.0237814820494852	0.0306133000582683	0.0136530940397245	0.00892613712628167	0.0191693190403244	0.00660987534997928	0.000289745717376446	0.00641742054824532	0.00409577580515986	0.00360851513763864	0.0151905379918045	0.0327788179508043	0.0229504940358135
OM5_C_5A_2	0.01922736988996	0.00843431566672837	0.0236811538981243	0.0217374435240106	0.0250290074073799	0.00811577935302928	0.0109369110721194	0.00405099623415986	0.00983821728472022	0.0200567726501538	0.0154519414083075	0.0231505303436449	0.0526794673420388	0.00388626995778722	0.0179205678177266	0.00988297072440523	0.00720561835992355	0.0201031152509322	0	0.0183159888291918	0.0140936589741063	0.00618352283376667	0.0232291967948522	0.0113386009774005	0.00178710176706154	0.00537238471336927	0.00742882198801377	0.00374477030537494	0.000146405585054232	0.0250714767394397	0.0163199521924721	0.0312143457297492	0.0191974106439788	0.036847570147836	0.0137168897390529	0.0259813239597863	0.00948326566695832	0.0318085566461931	0.000353355930723643	0.0188823425520427	0.000347960845014003	0.0180641933401561	0.00367901086117556	0.0105125623411449	0.00645066624763103	0.0290273744606625	0.000933927690318156	0.0267117096230663	0.0203928179776986	0.0265193009719707	0.0160078174470392	0.0164950339673747	0.0352897783417305	0.0126787765298806	0.00284785971667818
OM5_C_5A_3	0.000911502319274788	0.0267487695273817	0.00536604680177742	0.0400475533955911	0.00671418564942724	0.0102007783002001	0.0292507264206219	0.0142653886777636	0.00847834526711936	0.0383675598523135	0.0337643946504906	0.0414600421702528	0.070970600502905	0.0144301031973292	0.0362321625445336	0.00843359141086698	0.0111109202553929	0.0384138842718903	0.0183159888291918	0	0.0324065503390977	0.0244984796498921	0.0049139997771186	0.00697793255999208	0.0165290892465975	0.01294408112428	0.0257435088952346	0.0220601955464728	0.0181696014340193	0.0433801338551451	0.0346321127096065	0.0495199482887807	0.0375085298949113	0.0551499438818618	0.0320298983170267	0.0442895594974618	0.0277974620436114	0.0501138378655854	0.0179626763055382	0.0371935811172102	0.017968070741268	0.00025182694011813	0.0146373469766023	0.00780399100990497	0.024765566909456	0.0473341204671012	0.0192497936666255	0.0450195989590231	0.038703472704792	0.044827282180872	0.0343200843704376	0.0348071342377643	0.0535930857131191	0.00563770481425814	0.0154684308231682
OM5_C_5B_1	0.0333176841359455	0.00565958889593367	0.0377701310021177	0.00764463401071028	0.0391175375250235	0.022208503020385	0.00315692531789514	0.0181442746127333	0.0239306533899398	0.0059637256034914	0.00135839005190362	0.00905794259903348	0.0385960642398506	0.0179795671585182	0.003827260081401	0.0239753989400621	0.0212984813360189	0.00601007437140525	0.0140936589741063	0.0324065503390977	0	0.00791038808089886	0.0373183193667446	0.0254307610176843	0.0158806139630328	0.0194655018120962	0.00666509185575515	0.0103490885303626	0.01424005378592	0.0109792227055079	0.0022264794407947	0.017123407220336	0.00510425317182698	0.0227581688430246	0.000376795757032628	0.011889240928241	0.00461061814188872	0.0177177653927545	0.0144469885228124	0.00478914646674303	0.0144415938496212	0.0321548215906398	0.0177723313402137	0.0246048773196318	0.00764324664140086	0.0149359243251335	0.0131597947572006	0.0126197698756561	0.00629981614302251	0.0124273229595487	0.00191431554734887	0.00240157799877602	0.0211999204064471	0.0267706697956152	0.0169412690295473
OM5_C_5B_2	0.025409768464412	0.00225083585857268	0.0298630451086693	0.0155546818941772	0.0312107264823846	0.0142990368280826	0.00475350591281059	0.0102344244775386	0.016021379348256	0.0138738767865364	0.00926874200704756	0.0169678912462075	0.046501383249344	0.0100697035160565	0.0117375194154185	0.0160661301254135	0.0133889207013752	0.0139202229208981	0.00618352283376667	0.0244984796498921	0.00791038808089886	0	0.0294111437863497	0.0175216687016543	0.00797059214246707	0.0115557658038417	0.00124532013209787	0.00243877327734337	0.00632992630883886	0.0188890183477764	0.0101368027903078	0.0250325740942539	0.0130144509807501	0.0306665733018514	0.00753360047548996	0.019798956832787	0.00329981371669913	0.0256268602103422	0.00653687350522116	0.0126993603189533	0.00653147850403695	0.0242467089556202	0.00986245092942274	0.0166956832993075	0.000267147323124038	0.0228453393565897	0.00524960629893644	0.0205294183946413	0.0142099479530156	0.0203369895216994	0.00982464967849468	0.0103118950573238	0.0291085534161868	0.0188617511249112	0.00903132390872325
