	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_C_6A_1	0.0436149542065854	0.0708477015043283	0.0606641384758025	0.0301638848454712	0.0502722881752501	0.0819007672920219	0.0605348844234794	0.0438193207749012	0.0657103043642129	0.0510615262237888	0.0529616545053433	0.0635024837273391	0.0446946793805822	0.0582761355140677	0.0679512865159448	0.0376188998731712	0.0487122474003766	0.0524930374047304	0.0547156157773137	0.0554789260940576	0.0528570830009126	0.0374323427550804	0.0519996783674344	0.0790153066604282	0.0381866964927044	0.0505553214664403	0.0431546099067056	0.0352857106756087	0.04668175685913	0.0557146121914074	0.0397698895767827	0.0419039601916163	0.0496685377883848	0.0441598122514562	0.043797845934728	0.0609215232587209	0.0395310111004382	0.0499321932880928	0.0624295412560935	0	0.00928030799698148	0.00602475689622017	0.0428786256380291	0.0412764559027709	0.0558555383144786	0.0220995393789864	0.0138435898982177	0.0512383525105411	0.0590282212640586	0.0650662090539592	0.032011736262147	0.0552156556171315	0.0492923575963949	0.0575236430374048	0.0653380589635895	0.0483626941341468	0.0464557403816824	0.0645519412102765	0.0524190686462376	0.0780071787227496	0.0412059420088365	0.0508092479720802	0.06015379768773	0.0375776466609766	0.0476458447432396	0.0637211236703381	0.0491511399244822	0.0479524942272481	0.0561991152925353
OM5_C_6A_2	0.0522660405575181	0.0794298076246869	0.0692132320359341	0.0393455700909994	0.0590876020490612	0.0904502837552845	0.0694616050967293	0.052332588079028	0.0739662322554157	0.0597044552398755	0.0617588323096873	0.0723232154106073	0.053400560140761	0.0669945391132077	0.076350688951635	0.0461103663318028	0.0572342242616132	0.0607184059943099	0.0629747674312127	0.0645209524185234	0.0617419092340904	0.0463146274510559	0.0610675188949199	0.0879441876549078	0.0469330585931715	0.0594545471686718	0.0518555266673045	0.044441314734091	0.0553403213561139	0.0642105971943026	0.0482879212722597	0.0502480233413971	0.0582553236067603	0.0527810584909931	0.0525900217570649	0.0695309531246042	0.0482979967362813	0.0582333507349042	0.0708532033423855	0.00928030799698148	0	0.0144375288245375	0.0514390979295415	0.0501866894237353	0.0639502473934977	0.0310769664313527	0.0231003038982239	0.0594235274903396	0.0671771575316218	0.0731753939045886	0.0401534978497312	0.0639048312885006	0.057417719803072	0.0658918217201586	0.0740188548251994	0.0574176186787548	0.0548725228560389	0.0726598159858247	0.0608556924027489	0.086907368367902	0.0500131387734864	0.0592430693711129	0.0684972822913859	0.0460970919504607	0.0562190932870383	0.072466836556517	0.0581300915773497	0.0563857825623753	0.0649071170240396
OM5_C_6A_3	0.0412184659883204	0.0683358160837623	0.0582752566299282	0.0266054982338806	0.0474774384943152	0.079386500692154	0.0574172916220514	0.0416659889452599	0.0637421513139929	0.0485926621863008	0.0501793094139404	0.0605939885054259	0.0421801168355903	0.0556042026549533	0.0657524798467914	0.035606423435495	0.0464811618343628	0.0506867220917064	0.0528360419416914	0.0521084374142435	0.0498902442090814	0.0346516691180321	0.048582022973208	0.0757955784259914	0.0356875767907719	0.0475764592775962	0.0406699012746885	0.0317508367362447	0.0442322416125521	0.0534554031326529	0.0376718800858547	0.0400586538285393	0.0473146487023111	0.0418109364512935	0.0411223184153325	0.0584272401273434	0.0369676875892452	0.0480416253691855	0.0602315425811944	0.00602475689622017	0.0144375288245375	0	0.0406567957733648	0.0383738720287539	0.0542007443551217	0.019494199990417	0.0104711991433936	0.0495049141737218	0.0572672170470199	0.0633109813274556	0.0306976845811214	0.0526232238645952	0.0476685496703773	0.0554523608487125	0.0626864465038562	0.0450121285470392	0.0444269647184601	0.0628024481940015	0.0502886521495131	0.0748553866240998	0.0385336891367729	0.0487005450230592	0.0580979255649854	0.0355172024972932	0.0453387306515934	0.0609590235646138	0.0459958654574451	0.0458778915862532	0.0535632565780353
OM5_C_6B_1	0.00147368641410589	0.0280434079668916	0.0178142381633661	0.0160111225381586	0.00855640126521365	0.0391047444575	0.0191280656953345	0.00110551965792357	0.0231401655004673	0.00833470468841967	0.0109201841694414	0.0213279917976953	0.00280712388496012	0.0157304858792985	0.0251540000806003	0.00537261136382531	0.00584653393937586	0.0104202602421315	0.0123782214428771	0.0158166358938002	0.0115427052671131	0.00697450823175452	0.0134035675852853	0.037273781462878	0.00522902064321742	0.00966824998763497	0.00198966108837189	0.0124487455941752	0.00410994556570272	0.0128573698710177	0.00318265872785994	0.00285972606334826	0.00682759644953944	0.001557619126424	0.0035424051450419	0.0181237999208666	0.00430702712886825	0.007708905604577	0.0196180069316734	0.0428786256380291	0.0514390979295415	0.0406567957733648	0	0.00545511709454834	0.0141275472559568	0.0211707698894575	0.030217685715124	0.0094853624234523	0.0169052963929041	0.0228818118080806	0.0119099671656048	0.0125967016703312	0.00822025084300928	0.0148184918721216	0.022668952039209	0.0105753591321015	0.0039752594141425	0.0223846992536586	0.00964297013510423	0.0361083190408788	0.00384440782933127	0.00806250454158428	0.0174678499930593	0.00535644419777543	0.00478632994601551	0.0212350838422944	0.00967968256663546	0.00529083173228081	0.0136347340323514
OM5_C_6B_2	0.00464162952948204	0.0300847479396225	0.020229016171848	0.0122688828257447	0.00911765519604676	0.0411255543275604	0.019304373735237	0.00636883785632285	0.0264108317328298	0.0106491201274582	0.0118204497134349	0.0222793345502608	0.00470283374765058	0.0172812087118082	0.0279010632955921	0.00697518145400715	0.00946187664980064	0.0148206283087653	0.0164049535074296	0.0146276392954053	0.0115923345760268	0.00389374385071694	0.0114195813039546	0.0378297568243735	0.00408213305885227	0.00928790827074707	0.00379775887037811	0.00778352078071929	0.00668206549976992	0.0157916996803507	0.00587500697441776	0.00780971636898981	0.00976243646670993	0.0052830048780572	0.00316820080398129	0.0202396135049637	0.00293064793824003	0.0122450226242748	0.0224853912587609	0.0412764559027709	0.0501866894237353	0.0383738720287539	0.00545511709454834	0	0.0185041683033658	0.0191856507254664	0.027938050803137	0.0141687252348404	0.0208698537570712	0.0265703599965429	0.013098296337502	0.0143824317433967	0.0133009979320921	0.018188242371898	0.0243631251454149	0.0078403117445412	0.00880509575355025	0.0261030796945837	0.0132050256084768	0.0367946326248759	0.00171957434200264	0.0118657174023598	0.0207492699438929	0.00671837207816726	0.00818283765548355	0.0226097685523022	0.00805263670795735	0.00965219849102305	0.0152733289070573
OM5_C_6B_3	0.0141383349548985	0.0173740149346088	0.00864884641990477	0.0301188241622126	0.0122461019766991	0.0276316812032145	0.0156236863391639	0.0130274797403172	0.0102589849175447	0.00916792412242715	0.0112894658018151	0.0149394114716174	0.0138021467196815	0.0103264731698373	0.0131980912845777	0.018682002560264	0.00907381378011768	0.00372167279913543	0.00246883968129844	0.0171594062657414	0.0130903313719452	0.0210430533938239	0.0176859759545222	0.0291683254572009	0.0193532609692837	0.01376398877299	0.0149230542496905	0.0262151040436208	0.0118934101785375	0.00583898349068507	0.016741587142039	0.0141756407453858	0.0091353507363232	0.0134608043091598	0.0153627964061777	0.00971293602782225	0.0183784925746381	0.00642134532834584	0.00840401865420789	0.0558555383144786	0.0639502473934977	0.0542007443551217	0.0141275472559568	0.0185041683033658	0	0.0348383526833627	0.0438779870341059	0.00472468973470986	0.00329755167439027	0.00924590435807342	0.0238764567613839	0.0091426165399394	0.00657270596386746	0.00431494452777716	0.0138669750746218	0.0178200614306964	0.0101527024741118	0.00872909501673873	0.00575859361989742	0.0277940465549981	0.0174080107297105	0.00672462360951702	0.00573350301794591	0.0188064770228337	0.0103421703466892	0.0137239129083964	0.0158125619343696	0.00894876943469181	0.00959580028906956
OM5_C_6D_1	0.0217507278273006	0.0489578667038517	0.0388377462492607	0.0088476199762907	0.0282147744642697	0.0600302812238001	0.0384611297376136	0.0221835613385049	0.0442824486579183	0.0291604496961997	0.030912864747457	0.0414418923753016	0.0227494126329564	0.0362784272044113	0.0462925584802007	0.0161711852566899	0.026999904382916	0.0312712668681849	0.0333944000967104	0.0334764920724882	0.030774928025431	0.0153510604474322	0.0300316005607552	0.0569674822050995	0.0162338801797161	0.0284702437274974	0.0212249161615678	0.0136365830887219	0.0247845689599768	0.0339851397772692	0.0182023839075728	0.0206685243674735	0.0278496171162392	0.0223354326957899	0.0217663356235487	0.0390237265487232	0.0175422634006511	0.0286039476508089	0.0407641517722658	0.0220995393789864	0.0310769664313527	0.019494199990417	0.0211707698894575	0.0191856507254664	0.0348383526833627	0	0.00906281354462141	0.0301217449413369	0.0378561378313203	0.0438962956319934	0.0121008999090804	0.0332497572359294	0.0283489977188138	0.0359789934983023	0.0433632383276281	0.0263709040804058	0.0249603950264451	0.0433898349090763	0.0308096219076036	0.0559516153686151	0.0191688215885131	0.0292219325662263	0.0386270682338161	0.0160653019875781	0.0258628551288979	0.0416988618140602	0.0270831246168793	0.0264027208201999	0.0342135907519358
OM5_C_6D_2	0.0307588256527665	0.057886704408271	0.0478184374960016	0.0163914802036054	0.0370364178799921	0.0689465795165399	0.0470663810039272	0.0312371256381954	0.0533299593581268	0.0381307132544212	0.0397395524726178	0.0501896441438846	0.031715611675042	0.0451563320128837	0.0553088694237462	0.0252269922348873	0.0360355422458639	0.0403239960595542	0.0424504896986668	0.041850812809519	0.0394857287659259	0.0241930466823423	0.0383417335987073	0.0655051629850466	0.0252232921856684	0.037171521559246	0.0302057437277032	0.0215387919601624	0.0337695895590887	0.0430048496548368	0.0272628605505139	0.0297128368924743	0.0368569391322486	0.0313549729922002	0.0306617501569914	0.0479705423671107	0.0265014004091982	0.0376606498281067	0.0497869912019189	0.0138435898982177	0.0231003038982239	0.0104711991433936	0.030217685715124	0.027938050803137	0.0438779870341059	0.00906281354462141	0	0.0391666096591762	0.046907374989476	0.0529467975047652	0.0207010577189485	0.0421665535143814	0.0373729765171547	0.0450251846385574	0.0522429188110856	0.0347330886082091	0.0340188851029932	0.0524401901356362	0.0398548521085558	0.0645385361317439	0.0280707369037134	0.0382714352808002	0.0476722214370078	0.0251246701220365	0.0348852225610709	0.050527770924072	0.0356401172196808	0.0354580201723665	0.0431103280104647
OM5_C_6F_1	0.0096441107150214	0.0209455934197041	0.0111156234715017	0.0254938474074918	0.00956738697332962	0.0316277957421938	0.0162111098757726	0.00838011095619051	0.014585626017703	0.00655648544963568	0.00966416478969701	0.0166590922368011	0.00950950849719792	0.0111382679056198	0.0171977052169533	0.0139596708569792	0.00511098357459828	0.0013820436923909	0.00366225979415736	0.0160458586194708	0.0113804338908933	0.0164458511945259	0.0156237059720084	0.0319901637706005	0.0146929221940174	0.0112662706072256	0.0104613757743718	0.0217595385976409	0.00781915194740514	0.00643810174580894	0.0120213600084741	0.00946008091730953	0.00573523234152895	0.00896826606419465	0.0111108382329662	0.0119132605484532	0.0137749200156363	0.00194347509182342	0.0118921879293771	0.0512383525105411	0.0594235274903396	0.0495049141737218	0.0094853624234523	0.0141687252348404	0.00472468973470986	0.0301217449413369	0.0391666096591762	0	0.00780292873832351	0.0138590065548281	0.0192968244478151	0.00873294802391757	0.00211577410748083	0.00689897401781278	0.0165492899510035	0.0148696361539742	0.00552729387279128	0.0133453383997925	0.00367684539332316	0.0306706825968553	0.0129348099653616	0.00335104774540864	0.00930475383281998	0.0140826660499016	0.00625313651743503	0.0158413585919332	0.012978716633268	0.00452189713835883	0.00959870296651673
OM5_C_6F_2	0.0167340789807121	0.0142844623988284	0.00667303711456029	0.0327782113445814	0.0135792259551102	0.0243664783577816	0.0144906384858576	0.015825749639228	0.00696263505175688	0.0107394029432191	0.0120126441522462	0.0130458616514143	0.0162129389717538	0.00945268499934945	0.00996674918584224	0.0216938637631645	0.0114411999472419	0.00659086004548074	0.00453414786157581	0.0171403131541891	0.013717720983562	0.0236954705416418	0.0183098733723154	0.0263539216692302	0.0221207041928867	0.0148790264981228	0.0174715121182431	0.028645276211021	0.0141889988186172	0.00610346205869603	0.0196836647607786	0.0172313698668333	0.0111680534830127	0.0160668015613128	0.0177023643709557	0.00782968275271346	0.0210592255140478	0.00926567429053954	0.00559488727386768	0.0590282212640586	0.0671771575316218	0.0572672170470199	0.0169052963929041	0.0208698537570712	0.00329755167439027	0.0378561378313203	0.046907374989476	0.00780292873832351	0	0.00605933285788687	0.0270796045165985	0.00932062016730659	0.00977722275246349	0.00353406411696868	0.011357971530053	0.0190757317932791	0.0129679329089039	0.00554738169520257	0.00767947676431897	0.0249604114164448	0.0199337767656741	0.00903315521136836	0.00318539755775141	0.0217984201201822	0.0127166011329171	0.0116095217907355	0.0170584283995139	0.0116239873726744	0.00941427049413316
