	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4E_2	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5G_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6D_2	OM5_C_6D_3	OM5_H_6A_1	OM5_H_6A_2
OM5_C_5A_3	0.0450136235789432	0.0557667510031017	0.0227749930728001	0.023089329231415	0.0549962838802963	0.0356054404821676	0.0129850810310167	0.0335511467406239	0.0313603997541324	0.0209582647076151	0	0.0314693091324667	0.034868569834034	0.0631641061571278	0.0184145626809545	0.0234984100227295	0.0260354034261727	0.0426227530462105	0.0130187717152544	0.0390734780020152	0.0179649647187597	0.0527639524154617	0.0416228964263213
OM5_C_5B_2	0.0220615987854091	0.0285018832152661	0.0119328103080307	0.0102530858770382	0.0272670713690887	0.0135544523773454	0.0211627015923934	0.0098294488889623	0.0181195018880483	0.0108637537870445	0.0314693091324667	0	0.0148408393211334	0.0358317369118774	0.0137094404568921	0.00830303913408551	0.00564103198193967	0.0141660735418862	0.0193274259322192	0.0198576988194481	0.020175309196686	0.0275494809223106	0.0170606231065773
OM5_C_5B_3	0.0102090301144298	0.0212312657599162	0.0126664782873142	0.0133311916661652	0.020685966450358	0.0019618365172897	0.0293487829983864	0.00505875392296388	0.00595079721080818	0.016552043208153	0.034868569834034	0.0148408393211334	0	0.0284792377422239	0.0177774754456263	0.0152063976222477	0.0171376147082724	0.0109511178132968	0.0221013203030775	0.00535167983672399	0.0308063141542118	0.0179130295814033	0.00711778149112205
OM5_C_5D_1	0.0188047972629495	0.00749547020671245	0.0405007287580098	0.0405424833711123	0.00857934455668095	0.0275915157198562	0.0559322422506235	0.0298642907845064	0.0331571987226468	0.0433462940649057	0.0631641061571278	0.0358317369118774	0.0284792377422239	0	0.0452988508194468	0.0412308365751763	0.0409626409489679	0.0217611773364521	0.0502314961803603	0.0252858749963555	0.0558578822069773	0.0109020634456897	0.0215673437779273
OM5_C_5E_1	0.0279055229317052	0.0378258711188244	0.00513771298725964	0.00477001750934443	0.0369429049500817	0.0180473892261582	0.0117704389511371	0.0154461543625467	0.0162498748628179	0.00286586829718565	0.0184145626809545	0.0137094404568921	0.0177774754456263	0.0452988508194468	0	0.00540750917799698	0.00908635619494723	0.0242851396147117	0.00566376583391258	0.0227393244776795	0.0144224497882649	0.0352886479654152	0.0239127496058844
OM5_C_5E_2	0.024808604306424	0.0337421660546798	0.00515767964460599	0.00315199263201241	0.0327356573284266	0.0149276239074642	0.0147405500553257	0.0116736030655624	0.0155628908382001	0.00258436083658219	0.0234984100227295	0.00830303913408551	0.0152063976222477	0.0412308365751763	0.00540750917799698	0	0.00424863669115419	0.0197395210310901	0.0110454130121982	0.0205150315358811	0.0156132788788739	0.03170008935031	0.0203406118931245
OM5_C_5G_1	0.0258778582353774	0.0335428037459258	0.00928797317473076	0.00727547925574762	0.0323903770997184	0.0163951781472777	0.015537091096504	0.0127313022808333	0.0186912505257547	0.00629191623688411	0.0260354034261727	0.00564103198193967	0.0171376147082724	0.0409626409489679	0.00908635619494723	0.00424863669115419	0	0.0192098522341654	0.0144125461712432	0.0224721406329772	0.0149183486186958	0.032116123542966	0.0210671685449516
OM5_C_5H_2	0.0102464203382636	0.0143604366679751	0.0199673264079892	0.0195512298045837	0.0131843576732054	0.00911188712121311	0.034332582887969	0.00933741293409383	0.0169007225565547	0.0220301910559066	0.0426227530462105	0.0141660735418862	0.0109511178132968	0.0217611773364521	0.0242851396147117	0.0197395210310901	0.0192098522341654	0	0.0296309739056943	0.0123327855845186	0.0341167105191696	0.0136608377731107	0.00606703948832181
OM5_C_5H_3	0.0323040978257601	0.0428056633402091	0.00976458993486309	0.0101353784237082	0.0420097922773088	0.0227002975685568	0.0101266626043185	0.0205378604207063	0.0193152732885149	0.00846767323733359	0.0130187717152544	0.0193274259322192	0.0221013203030775	0.0502314961803603	0.00566376583391258	0.0110454130121982	0.0144125461712432	0.0296309739056943	0	0.0266346095273959	0.0145296645553933	0.0399433359559208	0.0286984537136244
OM5_C_6D_2	0.0064962107950485	0.0185399900843879	0.0176033018475337	0.0184821738430115	0.0183621147668595	0.00630440604861085	0.0344337233756054	0.0100549481504984	0.00796082473322217	0.021738737610192	0.0390734780020152	0.0198576988194481	0.00535167983672399	0.0252858749963555	0.0227393244776795	0.0205150315358811	0.0224721406329772	0.0123327855845186	0.0266346095273959	0	0.0360879839691618	0.0143974373652852	0.00649448386378485
OM5_C_6D_3	0.040335821278793	0.048449513144302	0.0190752570686721	0.0177495021834241	0.047289532156225	0.030513960579925	0.00533907372344981	0.0271199626410005	0.0304244905497297	0.0144864920190483	0.0179649647187597	0.020175309196686	0.0308063141542118	0.0558578822069773	0.0144224497882649	0.0156132788788739	0.0149183486186958	0.0341167105191696	0.0145296645553933	0.0360879839691618	0	0.0469252584596265	0.0357136845976551
OM5_H_6A_1	0.00794234816551933	0.00505720450977368	0.0303182735620278	0.0305987716316875	0.00581559454167493	0.0172777675125891	0.0463982899738441	0.0200501202061887	0.0223051368894411	0.0335944682486958	0.0527639524154617	0.0275494809223106	0.0179130295814033	0.0109020634456897	0.0352886479654152	0.03170008935031	0.032116123542966	0.0136608377731107	0.0399433359559208	0.0143974373652852	0.0469252584596265	0	0.0114039966583818
OM5_H_6A_2	0.0050288827688608	0.0142056328624178	0.0189952575365754	0.0192044662017047	0.0135888623856693	0.00602741443522027	0.0350165929921079	0.00866900423509528	0.0126333253466092	0.0221961643061815	0.0416228964263213	0.0170606231065773	0.00711778149112205	0.0215673437779273	0.0239127496058844	0.0203406118931245	0.0210671685449516	0.00606703948832181	0.0286984537136244	0.00649448386378485	0.0357136845976551	0.0114039966583818	0
