	OM5_B_B_1	OM5_B_B_3	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_1	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_1	OM5_H_6C_2	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_1	OM5_H_6H_2
OM5_C_4H_1	0.010067030861257	0.0231331703128462	0.00596996017946745	0.0238363991509202	0.0206901222377525	0.0108214256870764	0.0028904673658555	0.00959103860787421	0.00368477612804541	0.0131228801251103	0	0.0108841307339227	0.0033648628862964	0.0185200245511762	0.0158065676335335	0.00360797292388768	0.00715987205005337	0.00770625623748849	0.0127788339143269	0.00713291580715845	0.01942972726807	0.00632843525330435	0.0147467915252059	0.0287491947543237	0.00913290389859019	0.00633957434283625	0.0168846912704719	0.0197203272528418	0.012109579454208	0.0039111545215041	0.0099869843986176	0.0017571784514451	0.00442362849917964	4.65307386085222e-05	0.0122669203531159	0.00601689841310874	0.0151787906038313	0.0334492677970007	0.0143655034750887	0.0153585423465448	0.0273571850648489	0.00061076949923903	0.00373693715574299	0.0132911502170208	0.00880641538807679	0.00407518951311428	0.00820502219322928	0.0116232110210098	0.0284932824549801	0.000494125090088296	0.000233716083181832	0.00442526843902971
OM5_C_4H_2	0.000817130929137027	0.0122501105913217	0.0168537113242243	0.0129534354281106	0.0098067581723655	6.27076085482469e-05	0.00799375056540609	0.00129313894875303	0.00719945472377032	0.00223886033571957	0.0108841307339227	0	0.00751936333430357	0.00763642809533885	0.00492273078762568	0.0144919063864687	0.00372435933954619	0.00317796694242228	0.00189479461115462	0.00375131592910531	0.00854622388562447	0.0172121550508224	0.00386287592609129	0.0178670064788194	0.00175128721619936	0.0045446651395844	0.00600094326308269	0.00883685492370661	0.001225504755681	0.00697307914089019	0.0208703288545471	0.00912701280356808	0.00646061009694416	0.0108376018985946	0.00138285367153002	0.0048673428604851	0.00429490608104697	0.0225679932948133	0.00348156162063544	0.00447467117040005	0.0164747584437339	0.0102733849118284	0.0071472943779554	0.00240714029763536	0.0196898919932582	0.00680904594416241	0.00267919152420304	0.000739112724139608	0.0176110492552287	0.0103900250167546	0.0106504240435983	0.00645897016970989
OM5_C_5A_1	0.00670224669275621	0.0197688414051944	0.00933475807647189	0.0204721060812686	0.0173256778366309	0.00745665694535331	0.00047439711962451	0.00622624538960268	0.000319914617027081	0.00975816666106813	0.0033648628862964	0.00751936333430357	0	0.0151554892861048	0.0124419342618282	0.00697280647103861	0.0037950408607881	0.00434143237978464	0.00941411140000944	0.0037680842742482	0.0160652287506612	0.00969322660254704	0.0113821245136004	0.025385184425492	0.00576810246975358	0.0029747334549559	0.0135200948164331	0.0163558408826302	0.00874484012724815	0.000546294127304971	0.0133516917830264	0.00160768772967333	0.00105877107589148	0.00331833232820255	0.00890218488468681	0.00265205414054108	0.0118141369878559	0.030085581066465	0.0110008250028399	0.0119938944329628	0.0239930888688157	0.00275409534878835	0.000372075891190222	0.00992644128010932	0.0121711532787739	0.000710330003191203	0.00484020563655784	0.0082584601323944	0.0251292559983836	0.00287073945071471	0.0031311476567611	0.00106041102626082
OM5_C_5A_2	0.00845354069757156	0.0046138326985078	0.0244890459701892	0.00531719038979113	0.00217038662144868	0.00769913442318853	0.0156298474163774	0.00892953640963525	0.014835599627756	0.00539759983240095	0.0185200245511762	0.00763642809533885	0.0151554892861048	0	0.00271373277465626	0.0221274847856672	0.0113606752124684	0.0108143038794288	0.00574166235712271	0.0113876307218882	0.000909816443177736	0.0248474501263141	0.00377359086465691	0.0102310645813512	0.00938767169715875	0.0121809464198713	0.00163551089274357	0.00120045500660323	0.00641094418911379	0.0146092371286841	0.0285051812589126	0.0167630353158116	0.0140967967019441	0.0184734993342064	0.00625359737323599	0.0125036095567901	0.00334156011383285	0.0149324622079573	0.00415490487275664	0.00316179448455644	0.00883871756597869	0.0179093253130037	0.0147834423206882	0.0052293212068241	0.0273248949691522	0.014445213243115	0.0103155463088622	0.0068973288990147	0.00997508838377841	0.0180259566737483	0.01828633591957	0.0140951568640525
OM5_C_5A_3	0.0057398536973495	0.00732753352185791	0.0217758154447085	0.0080308828034565	0.00488410938157408	0.00498543786191452	0.0129163049352952	0.00621585599363065	0.0121220363836872	0.00268388072919867	0.0158065676335335	0.00492273078762568	0.0124419342618282	0.00271373277465626	0	0.0194141566900083	0.00864703507928638	0.00810065372380604	0.00302794598901001	0.00867399109770972	0.00362354610385966	0.0221342353240329	0.00105986186527465	0.0129446720779597	0.0066739980213015	0.00946732238832665	0.00107822354694734	0.00391418334279006	0.00369723378070434	0.0118956681843223	0.0257921407133445	0.0140495245114282	0.0113832152092291	0.0157600409148549	0.00353988548780203	0.00978999220599491	0.00062782931962021	0.0176459455256392	0.00144117775005835	0.000448063047272139	0.0115523537751509	0.0151958490074196	0.0120698777546363	0.00251560084718065	0.0246117954487175	0.011731640228491	0.00760188749481627	0.00418362335143533	0.0126887014352269	0.0153124840167215	0.0155728715002016	0.0113815753319759
OM5_C_5B_1	0.0136748316152194	0.0267403691383813	0.00236200488835887	0.027443553433192	0.0242974661553612	0.0144292033251593	0.00649841680175375	0.0131988532139443	0.00729271544918442	0.0167305784378666	0.00360797292388768	0.0144919063864687	0.00697280647103861	0.0221274847856672	0.0194141566900083	0	0.0107677485618387	0.0113141201250965	0.0163865449287642	0.0107407929224474	0.0230371401811324	0.00272048385786034	0.0183544258826237	0.0323560031695017	0.0127407313014664	0.00994746840496457	0.020492231353114	0.0233277246117482	0.0157173143272833	0.00751909067094518	0.00637909114374508	0.00536513958674186	0.00803155699498433	0.00365450344943379	0.0158746497179175	0.00962479891750938	0.0187864068349517	0.0370556884371836	0.0179731534424978	0.0189661508976544	0.030964097644106	0.0042187392012862	0.00734487575745986	0.0168988422095182	0.00519849971262436	0.00768312328423634	0.0118128739046318	0.0152309625291105	0.0321001103860357	0.00410209547928544	0.00384168788416244	0.00803319690928625
OM5_C_5B_2	0.00290723148096979	0.0159742166726169	0.0131296377165711	0.016677515155725	0.0135309458243287	0.00366165202745049	0.0042694353154987	0.00243122445431793	0.00347512770699922	0.0059632024143162	0.00715987205005337	0.00372435933954619	0.0037950408607881	0.0113606752124684	0.00864703507928638	0.0107677485618387	0	0.000546394641060877	0.00561914018569138	2.69567194821625e-05	0.0122704475622264	0.0134880954824072	0.00758719736768997	0.0215908662172569	0.00197307658935307	0.000820310617302068	0.00972522712252196	0.0125610706599841	0.00494985625323167	0.00324874906882801	0.0171464315220299	0.00540271716196317	0.00273627359721234	0.00711334213336045	0.00510720388078159	0.00114299070960484	0.00801922088295856	0.0262915837049212	0.00720588852100151	0.00819898306720446	0.020198686892905	0.00654911247846262	0.00342296664544703	0.00613148055479714	0.0159659385364476	0.00308471374090405	0.00104517143419224	0.00446346779896639	0.0213349220043883	0.00666575513488022	0.00692615998466435	0.00273463365049086
OM5_C_5B_3	0.00236083814105757	0.0154278688084937	0.0136759983463961	0.0161311715812248	0.0129845845222121	0.00311525954901645	0.00481582606052662	0.00188483068193514	0.00402151969980145	0.00541681389840591	0.00770625623748849	0.00317796694242228	0.00434143237978464	0.0108143038794288	0.00810065372380604	0.0113141201250965	0.000546394641060877	0	0.0050727509496096	0.000573351358404692	0.0117240802159899	0.0140344542683122	0.00704081285773871	0.0210445578730422	0.00142668248187862	0.00136670504585985	0.0091788494140692	0.0120147046536624	0.00440346574495397	0.00379514137347117	0.0176927687079223	0.00594910571298518	0.00328266653610643	0.00765972645141021	0.00456081365630993	0.00168938498466089	0.00747283760735686	0.0257453176989829	0.00665950298049765	0.0076526003260848	0.0196523676309177	0.00709549831518817	0.00396935871182754	0.00558509240746537	0.0165122832460372	0.00363110625938697	0.000498776891891629	0.00391707647281999	0.0207886115974716	0.00721214066753779	0.00747254481988993	0.00328102659128001
OM5_C_5D_1	0.00271192408234924	0.0103553995629271	0.0187482983004803	0.0110587352099769	0.00791201466923925	0.00195750213931852	0.00988849320312685	0.00318793084778287	0.00909420628303564	0.000344066231524386	0.0127788339143269	0.00189479461115462	0.00941411140000944	0.00574166235712271	0.00302794598901001	0.0163865449287642	0.00561914018569138	0.0050727509496096	0	0.00564609660916488	0.00665146671153405	0.0191067335613603	0.00196808631909602	0.0159724000430633	0.00364607762668991	0.00643944050326964	0.0041061648751586	0.00694210071557993	0.000669290395204877	0.00886783309105422	0.0227648113271036	0.011021741278118	0.00835536921097958	0.0127323058010418	0.000511941405472323	0.00676211582519937	0.00240011825541699	0.0206735065422052	0.00158677064563623	0.0025798841584559	0.0145801221890778	0.0121680973436726	0.00904204649408711	0.000512346498124548	0.0215844073745434	0.00870380158473963	0.00457397807426072	0.0011556824491349	0.0157164371447112	0.0122847357195875	0.0125451308219726	0.0083537292997186
OM5_C_5D_2	0.0029341881214284	0.0160011709994767	0.0131026826039299	0.0167044692671909	0.0135579008272458	0.00368860862138553	0.00424247876457436	0.00245818111864086	0.00344817109880049	0.00599015880041106	0.00713291580715845	0.00375131592910531	0.0037680842742482	0.0113876307218882	0.00867399109770972	0.0107407929224474	2.69567194821625e-05	0.000573351358404692	0.00564609660916488	0	0.0122974028700886	0.0134611404588043	0.00761415354742873	0.021617818564309	0.002000033272628	0.000793353903099082	0.00975218295525005	0.0125880259001806	0.00497681274304755	0.0032217924464337	0.0171194775444851	0.00537576071321169	0.00270931694627342	0.00708638588427618	0.0051341603557637	0.00111603400116763	0.00804617699948441	0.0263185339380522	0.00723284475363028	0.00822593915640044	0.0202256397860426	0.00652215615749058	0.00339601003389822	0.00615843692179161	0.0159389841940407	0.00305775710884606	0.00107212814397272	0.00449042433172262	0.0213618744545773	0.00663879882827183	0.00689920371105669	0.00270767699949019
