	OM5_B_B_1	OM5_B_B_3	OM5_C_4A_2	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_2	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6B_1	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_3	OM5_H_2H_1	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6B_2	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6H_2
OM5_C_5A_1	0.0145510341167902	0.0107219711174145	0.0424500492668608	0.0291635744068804	0.0214024812559645	0.0236799762356267	0.0094640196564074	0.0110054930335725	0.0245320996997847	0.0261700774111133	0	0.0117045960882435	0.0109034047620561	0.0424174550067652	0.0221831701078548	0.0362882232791059	0.0183453478181871	0.0289426424632062	0.00640714523351665	0.023365434663117	0.0247005558801524	0.0207344258567128	0.0255357067989794	0.0206162445375792	0.0113687916205607	0.0198202548923631	0.0293910247181215	0.023766438107333	0.00961639205960422	0.00894840975385527	0.0252885765328107	0.0384591689455332	0.019445003358754	0.0272314618551261	0.0291657847753589	0.0119630175773329	0.0256151579067823	0.0247223430115801	0.0169295792139394	0.0300506252244683	0.016085506864374	0.0156142555976164
OM5_C_5A_2	0.00522093997282203	0.00336458867858401	0.0375995401853793	0.021539569852795	0.0159684378377981	0.0214221484732434	0.00494546367169185	0.0108830129495179	0.0274708681756915	0.029738632457031	0.0117045960882435	0	0.0172399735323296	0.0352241034528149	0.0163107131232531	0.0291137027934868	0.0222833633981776	0.0348732385623312	0.00772901107544239	0.0179514627623512	0.0186852788636577	0.02445158205957	0.0314552238775341	0.0151432513427475	0.00232050866017491	0.0164692021594333	0.0225151410439379	0.0181533810588162	0.00283173293940443	0.00821042576482567	0.0186847935613446	0.0324321077378992	0.023890395059728	0.0329766395325972	0.0338074627438868	0.0147504964283112	0.0305057410330966	0.0295264326145922	0.0221695897767772	0.0346566962228059	0.0212108053313056	0.0153723205054312
OM5_C_5A_3	0.0218182910352997	0.0143029547467583	0.0519390786410193	0.0378665258177968	0.0310772646364255	0.0168069993821369	0.01749339192301	0.014482160651057	0.0144369885915313	0.0159771538977978	0.0109034047620561	0.0172399735323296	0	0.051485589936447	0.0317134420246283	0.0453035450357935	0.00820503498047602	0.0193409367848897	0.0113956155396572	0.033031092263785	0.0341877073542148	0.0127279333408555	0.0156062119982731	0.0294105522490711	0.0183183760931168	0.0298605211230121	0.0386167195865828	0.0333011422636509	0.0161995732792999	0.0150763836178163	0.0346060205627202	0.047999855773515	0.0100707502049726	0.0174812882959115	0.0184305653269775	0.0111734625373921	0.0162539017315107	0.0173335321830328	0.00850231696749866	0.0201907742539373	0.0100473954486932	0.00887618946580529
OM5_C_5B_1	0.0300856894869431	0.0384974101742115	0.0110976758992257	0.013714417329275	0.0221299881895256	0.0530516845812476	0.0350731201997057	0.0429655723853322	0.062626740746354	0.0649193536022538	0.0424174550067652	0.0352241034528149	0.051485589936447	0	0.0215824201632508	0.0061891151165515	0.0574442266429575	0.0698248442249729	0.0414887012846915	0.0192458782471803	0.020363807877265	0.0592516819711243	0.0664231335175915	0.0227399822793185	0.0337672847707718	0.0232314655708984	0.0133005170276091	0.0187184974232856	0.0354642348779638	0.0397808271409123	0.0176238186846936	0.0056200232879496	0.0589736320215051	0.0679738817597789	0.0688559244882644	0.048274843950424	0.0655108270590999	0.0638006530222107	0.0569935617263045	0.069779194040954	0.0554902021251222	0.0503610199442094
OM5_C_5B_2	0.0118176437031627	0.0196068874529544	0.0247164037680157	0.00976570732107075	0.00108580772903167	0.0372875510965417	0.0144740282178863	0.0219327010103707	0.0429819665521648	0.0450906845511218	0.0221831701078548	0.0163107131232531	0.0317134420246283	0.0215824201632508	0	0.0158249345025386	0.0375997404309275	0.049270064808012	0.0209432599288436	0.00459975314396977	0.00295973032384432	0.038695082907776	0.0460700023748749	0.00991126918981254	0.0142950683011948	0.00722363232557072	0.00845262820638605	0.00560256860989776	0.016401920284322	0.0186985958252327	0.00426722510777852	0.0181638744109788	0.0386623415051986	0.0475115736039107	0.0492907822018126	0.0272728238825918	0.044990779335352	0.0428150452146928	0.0363939101483305	0.0494836442019983	0.0345248865380043	0.0314389171570384
OM5_C_5B_3	0.0239497846504879	0.0323866953829423	0.0122966114410576	0.00758436556298512	0.0163277180697212	0.0472382327276828	0.0289669097623138	0.0370139784488404	0.0565471189197893	0.0588264026737416	0.0362882232791059	0.0291137027934868	0.0453035450357935	0.0061891151165515	0.0158249345025386	0	0.0513073981042828	0.0636879727710399	0.0353588528001504	0.0132815052809914	0.0150064225815446	0.0531959862487615	0.0602693702070571	0.0166775623637858	0.0276338174091671	0.0173513844202924	0.00738389791894571	0.0126850208243822	0.0292928148873154	0.0337632792524222	0.0116993043771196	0.00489772234133753	0.0528519227165203	0.0618338711499318	0.0627206504826775	0.042263230772511	0.0594080481832356	0.0577852367496077	0.0508678366619463	0.0636790022567718	0.0494186617362151	0.0442941079923653
OM5_C_5D_2	0.027382146471364	0.0190371057940572	0.0588727465323052	0.0437515109791803	0.037112149393526	0.0159724796531418	0.023152616324337	0.017677054886295	0.00626926900861928	0.00798899207970635	0.0183453478181871	0.0222833633981776	0.00820503498047602	0.0574442266429575	0.0375997404309275	0.0513073981042828	0	0.0131100308419161	0.0167897027291823	0.0394348087461835	0.0398324850531732	0.00662222344477742	0.0095951226638743	0.0361067136777048	0.0237767211666376	0.0367796680971189	0.0446016520262595	0.0397364480641594	0.022116110274057	0.019713360126654	0.0405821418008177	0.0543844803238995	0.00328394890592292	0.0111293673348002	0.0117741931606045	0.0128654664453888	0.00925116117773394	0.011664096752557	0.00475079849876907	0.012813522246249	0.00808847327808846	0.00829555541921865
OM5_C_5D_3	0.0399079937180597	0.0317684582409827	0.0709673235336639	0.0561944654074307	0.0487428855007969	0.0268475645263627	0.0349363737827731	0.0281804261601056	0.010243266515386	0.00797866537715676	0.0289426424632062	0.0348732385623312	0.0193409367848897	0.0698248442249729	0.049270064808012	0.0636879727710399	0.0131100308419161	0	0.0284506021081193	0.0513361036193691	0.0513534994217304	0.0118623323183312	0.00389831469489457	0.0484134622214267	0.0361246742627074	0.0484178254241122	0.0567573287531251	0.0517491047281413	0.0345728845211983	0.0307660826388796	0.0525949807033745	0.0665171099300915	0.0111003494244401	0.00198871247540407	0.00745312939437925	0.0226632623025627	0.00521468559037585	0.00972214647642268	0.0129191247018334	0.00408696977711296	0.015196584512426	0.0212380555524734
OM5_C_5E_2	0.0120415320151271	0.00618269985173832	0.0431523342142367	0.0279312887788589	0.020418674167778	0.0213439955099077	0.00650179960191424	0.00576217379803121	0.0224325480994882	0.024401319928569	0.00640714523351665	0.00772901107544239	0.0113956155396572	0.0414887012846915	0.0209432599288436	0.0353588528001504	0.0167897027291823	0.0284506021081193	0	0.0229858866728791	0.0232028886239352	0.0183382116562405	0.0251649742127167	0.0207514607035448	0.00811240873793319	0.0205312608187008	0.0283390951600559	0.023422383744095	0.00717092709784881	0.00413121368292467	0.024163289574136	0.0381664435553794	0.0178251604931065	0.0266477039818292	0.0284715647418745	0.00808407163605869	0.0242754064766686	0.0229044904426888	0.0155845993087999	0.0287304294301962	0.0142625455826644	0.0120987293624191
OM5_C_5F_2	0.012971587368388	0.0212079787043073	0.020908707644886	0.00734744133676467	0.00430878343811884	0.0379920487464536	0.0166110029276381	0.0249183188664237	0.0450117734091432	0.0471384481207045	0.023365434663117	0.0179514627623512	0.033031092263785	0.0192458782471803	0.00459975314396977	0.0132815052809914	0.0394348087461835	0.0513361036193691	0.0229858866728791	0	0.00633019047789586	0.0411795966500926	0.0479695843630541	0.00691358209440253	0.0160080141621612	0.00478050260554938	0.00639280069012018	0.00118482483960659	0.0175821626958604	0.0214112184754445	0.00323224757416134	0.0152968308524309	0.0407681357656685	0.0495393050171786	0.0509477772138084	0.0300117741641928	0.0472472837295866	0.045506899844438	0.038541556050741	0.0516781539305841	0.0369896323552981	0.0332064326654679
