	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_C_4E_2	0.0250236945436905	0.0133875013417047	0.0106870849686523	0.00340679252856774	0.0121958034380621	0.0264934831104568	0.00641340601796226	0.0363933687148278	0.0693902840674228	0.0171484130188097	0	0.037774050868312	0.0206950058241158	0.00775959530367535	0.00967049712877096	0.0112517427164364	0.0119466361392639	0.0172056849957676	0.0112995171775855	0.436212578308049	0.024339331708904	0.00916152670181645	0.00907467257553329	0.0225861962257777	0.0103247181226527	0.00426047912009055	0.0211250748395297	0.021890671392429	0.0257825728291177	0.00755014053099114	0.0495342146140722	0.00878749707069656	0.0141754032787128	0.0387346538024694	0.0139987301768081	0.00892243307487866	0.0277764800965817	0.0157553468405339	0.00557617250362865	0.0193728064664068	0.0111738770890896	0.00486212424153247	0.0532884605588342	0.0154105885499965	0.0208511842135947	0.0148862159633272	0.00852475716088696	0.014675272773485	0.0209766689354089	0.0409837430333591	0.0140182690230274	0.00469890338203137	0.0225436824813081	0.00699256841489062	0.0232525150672874	0.0384219876398504	0.00963139793112022	0.0499017003792936	0.0195383311234601	0.0312745800818523	0.010626250678593	0.00733603142436656	0.0180022890127049	0.0356097018085128	0.0237193068832045	0.0356437234754824	0.0296314618963996
OM5_C_4E_3	0.0578799028909617	0.0492574917704141	0.0275237852569262	0.0403470359835723	0.0497856002408349	0.0220530313567041	0.0333842132191277	0.0113480959416095	0.0323766829052474	0.0286184481133129	0.037774050868312	0	0.0542129465952803	0.0443328046383365	0.0387733028186977	0.0267628793299895	0.0296835484508203	0.0305174873001063	0.0265049215724744	0.464508618920176	0.0183901589692131	0.0311677102672164	0.0463943042235272	0.0603294404530725	0.0286188874606319	0.0403491573197883	0.0576611944328019	0.0171483165014346	0.012813134056563	0.0373652162353496	0.0129495429145596	0.0290937468509957	0.0403013624722093	0.00772032636107553	0.0261649817711448	0.030337358471727	0.0106353083285594	0.0228650177461267	0.0323890833294381	0.0184120963453061	0.0267349423890396	0.0340569021131605	0.0177065969870121	0.0486140082269702	0.0169305043791206	0.0230663512369646	0.02930054745003	0.0232667961688765	0.0229394724486594	0.00367367248692686	0.0515221747915285	0.0423928050382828	0.0157004605572595	0.0364874817414068	0.0145293224675539	0.0115191390506299	0.0439904621830037	0.0155509893222087	0.0187978741487764	0.00653838701105728	0.0322305941938382	0.0426828901163912	0.0232825805972288	0.00632850665822561	0.0154432048653421	0.00611957310906718	0.0108109501011501
OM5_C_4F_1	0.00433537061381061	0.00789647600185834	0.0302800496021406	0.0172961739950414	0.0174139125639449	0.0469564981309034	0.0217569696082975	0.0554437614652189	0.086520600323401	0.0378373326677639	0.0206950058241158	0.0542129465952803	0	0.0131534818378217	0.0155011920809764	0.0285655049396386	0.0325997843135316	0.0248779964865036	0.0299804921001692	0.419592060375589	0.0441930527125076	0.029803222567115	0.0131477011253086	0.0163624093843448	0.0261434280583609	0.0219334149065287	0.00787210571235985	0.0408102772819098	0.0439990441645548	0.0272169115757723	0.0640917616555781	0.0281192063445184	0.0144318525131698	0.0569856484870629	0.0342518822143568	0.0293582206260501	0.0435907819286013	0.0315836340487226	0.0239868329859158	0.0369943784079877	0.0287924165878916	0.0255140791419969	0.0711843723460963	0.00572003703868102	0.0381708970741493	0.0319670912146665	0.0277169230958853	0.0318042835866064	0.032327168165553	0.0577733042576795	0.0117885624621712	0.0185603191649616	0.0408082141902864	0.0270624903391247	0.0405206281644431	0.0574267237610716	0.0112895798207412	0.0681441065410785	0.0382113403386223	0.0478070689480906	0.0312875169363455	0.0228968088049498	0.0381754661883227	0.050334353568733	0.0388152521337945	0.0536135063991949	0.0482073580025102
OM5_C_4F_2	0.0174835344628249	0.00562879529689928	0.0181345530571665	0.00440213457301073	0.00885297268758165	0.0342498387450259	0.0110186608920546	0.0438414654618878	0.0763334519727453	0.0248147896332655	0.00775959530367535	0.0443328046383365	0.0131534818378217	0	0.00836545133970712	0.0176081344123451	0.0196873561808699	0.0191525077446589	0.0183441043663601	0.429714775560744	0.0319809630580377	0.0169126029368979	0.00257397692558086	0.0166638306770435	0.0158003815434106	0.00888840930004562	0.0135855829143021	0.0292139085869004	0.0328840359552718	0.0140972417166755	0.0555036291807863	0.0160723467209799	0.0116085760744962	0.0459377274977942	0.0217111391837843	0.0166610608017159	0.0339660798201969	0.0215989068934514	0.012166636765685	0.0261450328505019	0.0176840704372272	0.0126188489840754	0.060431745872704	0.00836616010778144	0.0275265259611974	0.0212909656149645	0.015732023200738	0.0210948726714054	0.0249993191971828	0.0476953024699918	0.00745233870519292	0.00564365972820593	0.0296272943670978	0.0139129670413796	0.0299509667813202	0.0458628970993297	0.0035239232789895	0.0571437903530577	0.026742700951182	0.037799652951555	0.0182077974527592	0.0104156382566316	0.0257075407025454	0.0414941328065808	0.0295195623123998	0.0427347896093379	0.0368932272494918
OM5_C_4F_3	0.019390772179677	0.0112469238644877	0.0158951695797761	0.00785401707277735	0.0171209792832612	0.0328368932579775	0.00691306545776763	0.0401685833425086	0.0710983968682488	0.0249030230432704	0.00967049712877096	0.0387733028186977	0.0155011920809764	0.00836545133970712	0	0.0133382225312653	0.01953028361717	0.010999920546769	0.0151106643036616	0.432547453950809	0.0294356054822977	0.0168873212637105	0.0109268746820103	0.0244848887919113	0.0107657559196667	0.0134345476928053	0.0194923869553708	0.0256403346994659	0.028608541426863	0.0171533832769689	0.0490492146223586	0.0137682539901585	0.00451125775102604	0.0415441631828548	0.0202157194920686	0.0159606132056867	0.0281568631090472	0.0160876301988614	0.00982219801271497	0.021581777496754	0.0136312146347771	0.0131480494947866	0.0557124244794425	0.00985067011860162	0.0227113196586657	0.0165637721535524	0.0133261893045688	0.0164119712164487	0.0175892374550465	0.0423155149311625	0.0153527454627165	0.0116181608281746	0.0254586297478616	0.0164802168469676	0.0250437600930642	0.042128333996394	0.00599556709256905	0.0526899334173958	0.023010261235957	0.032335727393633	0.0190776733309277	0.0161576728252305	0.0238695426350783	0.0351356146140915	0.0234180799359375	0.0381507219883979	0.032855201118659
OM5_C_4H_1	0.0326178217327897	0.0227300804269429	0.00454625604937661	0.0135996997988502	0.0234446351016888	0.0201203563852175	0.00685988963936724	0.0269020488210279	0.0587750039050739	0.0142599934334612	0.0112517427164364	0.0267628793299895	0.0285655049396386	0.0176081344123451	0.0133382225312653	0	0.0098465577285313	0.0117362878281053	0.00256436478831654	0.443691903579178	0.0162362099679222	0.0086187980952149	0.0196433290846078	0.0336772324297082	0.00274372583219454	0.0145602109719635	0.0310776782895326	0.0123075588101584	0.0154914204413254	0.0136602062162802	0.0383088868733778	0.00390797086368869	0.016490660069956	0.0285552779455564	0.00848569536266744	0.00714739854963826	0.0165615637820192	0.0046294953859993	0.00570179452050334	0.00857754418952618	0.000498937967666904	0.00873771321775814	0.0429616257828297	0.0228472167537032	0.00992407943749289	0.00369932449824534	0.00375544947930088	0.00349726098418332	0.0114050704353122	0.030100790922895	0.0247784918993043	0.0159496117551432	0.0122672385648848	0.0126098368034542	0.0123481786175563	0.028882936915503	0.0176345632427703	0.0397695043716771	0.00968183764655036	0.0202283502953726	0.0111546672932967	0.0174031949997969	0.0112960895866234	0.024363368605829	0.0124878100589536	0.0252599596099923	0.0196641072245043
OM5_C_4H_2	0.0369162691414352	0.0253124085745531	0.00530870887855845	0.0153510086169934	0.0217532424740505	0.0146455291555017	0.012891959073294	0.0258020053301018	0.0596971513065421	0.00538714753278155	0.0119466361392639	0.0296835484508203	0.0325997843135316	0.0196873561808699	0.01953028361717	0.0098465577285313	0	0.0214107099850292	0.00741416814264256	0.44607851616044	0.0133116990210987	0.00279848854608839	0.0207015420286481	0.0327953134299562	0.0118626856909258	0.0122873033163171	0.0327743044782487	0.0125513325961486	0.0168839803281781	0.00795936942437115	0.0423799658480659	0.00655860082323729	0.0237002730437763	0.0288462843994709	0.00354122597407986	0.00358612213442988	0.0214203207486335	0.0131751088623564	0.00977860931387191	0.0126632185158204	0.00935756715709867	0.00709316454407657	0.0432867212073474	0.0271877900149796	0.0141367921121292	0.011049374093446	0.0069636148192409	0.0108944925606993	0.0207806904515278	0.0323659907038554	0.0252299366175741	0.0153315063044579	0.0140822237152165	0.00727225601093688	0.0160232656785433	0.0278129905614585	0.0213977075064132	0.0396871968490169	0.0110908609540229	0.0236720868528156	0.00254952863734776	0.0137733577713511	0.00690862984024707	0.0293102014701834	0.018985987186226	0.0261853950252835	0.0199029953399329
OM5_C_4H_3	0.0280445538307662	0.0221291343584948	0.016210985088968	0.0172428964607438	0.0275627104669871	0.030908555883082	0.0109280585539561	0.0345127966000811	0.0626249333241928	0.0259942774112348	0.0172056849957676	0.0305174873001063	0.0248779964865036	0.0191525077446589	0.010999920546769	0.0117362878281053	0.0214107099850292	0	0.0142998224948175	0.438751503351519	0.0262869464318747	0.0196689061505985	0.0217222467468699	0.0354804472243372	0.00956502958448725	0.0214613347722345	0.0301276852108075	0.0214729794868351	0.0229607580759978	0.0230713316177732	0.0393925710587015	0.0149276249372905	0.0104478437661295	0.034806869978464	0.0201931984540531	0.0182509279774002	0.0201145255790762	0.0108221886264061	0.013317424254554	0.016532880334027	0.012234384372313	0.0178908922629662	0.0481022853314117	0.0197869938058714	0.0170119576607104	0.01263626546821	0.0145695771748463	0.0126234553008667	0.00767550980362206	0.0341823158745627	0.0263349422413413	0.0209573283985898	0.0203823887112039	0.0220997526098661	0.0188215574579247	0.0362849154479481	0.0169851075036498	0.0454949543875565	0.0190455718150746	0.0245349073952021	0.0222816627787025	0.0245401938507142	0.022574586199544	0.0258962318506149	0.0153455796386786	0.0313083116776005	0.027162620564158
OM5_C_5A_1	0.0341268678261899	0.0237055688373054	0.00213568456204748	0.014099583985355	0.0233105801607626	0.0178875943215618	0.00828946178077646	0.0255990922197883	0.0581518749658921	0.0116962332812148	0.0112995171775855	0.0265049215724744	0.0299804921001692	0.0183441043663601	0.0151106643036616	0.00256436478831654	0.00741416814264256	0.0142998224948175	0	0.444842821282622	0.0143371997489698	0.00657400328996734	0.0201549463552442	0.0338798113859312	0.00510336185843609	0.0140041297876009	0.0319214147868705	0.0109194630433521	0.0145633638186967	0.0122096336936633	0.0384824091574296	0.0026305624022466	0.018587106346877	0.0276067850568303	0.00593360549490648	0.00515853238853731	0.0167438171084792	0.00605369038930541	0.00618565072086656	0.00809658784959718	0.00206757117019947	0.0077925345513439	0.0421288504808846	0.0242830619903841	0.00960241270784384	0.00424111366991196	0.00279792887191457	0.00403888777869567	0.0134672093372431	0.0296914559898294	0.0252267631818574	0.0158964434626796	0.0113073770419978	0.0111777291050232	0.0119799268676984	0.0276097555777927	0.0188313732851668	0.0388182757245633	0.00840394876406958	0.0200288119045009	0.00896940370539306	0.0166185918464726	0.00895822066341028	0.0247039887281968	0.0131780988261951	0.024432161764202	0.018557784786139
OM5_C_5A_2	0.416187715828065	0.425012956429064	0.444934491363727	0.433425845208189	0.428375100500238	0.458412136413116	0.437945631773723	0.466369321480375	0.491438721777188	0.450034931092283	0.436212578308049	0.464508618920176	0.419592060375589	0.429714775560744	0.432547453950809	0.443691903579178	0.44607851616044	0.438751503351519	0.444842821282622	0	0.456664390225462	0.443815354941384	0.42864909766687	0.419332365337018	0.441613888545751	0.435850460329968	0.418454502500045	0.454014919556888	0.456680130776422	0.44011669003163	0.470936319182571	0.443143317579988	0.430674464321489	0.467560118653774	0.448010081938995	0.443732511622213	0.4556578505442	0.446036617732974	0.439698768708032	0.450754552890445	0.443884731783436	0.440260446536037	0.479276098420836	0.42441788309284	0.451688969229782	0.446519180647298	0.442824909075176	0.446388182789788	0.445177069270864	0.467598245545694	0.424855284448796	0.433170313515455	0.454007956051609	0.440365509543318	0.45362214999425	0.46804233204716	0.428963086509813	0.476894077535531	0.451828848927735	0.459357469693901	0.444485654579473	0.435253491150091	0.451382702681062	0.460387962019793	0.451586643712565	0.464666154365684	0.460251257183548
