	OM5_C_4A_2	OM5_C_4E_2	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5G_2	OM5_C_6A_1	OM5_C_6B_2	OM5_C_6B_3	OM5_C_6D_3	OM5_C_6F_2	OM5_H_2H_2	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6B_2	OM5_H_6C_1	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6G_1	OM5_H_6H_2
OM5_C_6B_3	0.0552819121788445	0.0234404988568641	0.0339527156622843	0.0429859172935193	0.0529323758151447	0.0609666338883581	0.0739960792549715	0.0635832176656269	0.0993001039519131	0.00442426610425236	0	0.070634921124662	0.0608278879603058	0.0686959843061515	0.0464207197544941	0.0283982079112284	0.0252221817655658	0.0259119976556864	0.0217084556120002	0.0343181251449844	0.0526613392039073	0.0504089703524976
OM5_C_6D_3	0.016732384641924	0.047519079533057	0.0368625719388398	0.027792020982248	0.01774119639292	0.0100908540025696	0.00479967591360583	0.0074283556775587	0.0297393294328971	0.06948696296312	0.070634921124662	0	0.00987045066219516	0.00416762465405432	0.0242579775687089	0.042562092827003	0.0455669725716272	0.0449856443948706	0.0514122974302869	0.0366922764046691	0.0181195451178243	0.0255264123131813
OM5_C_6F_2	0.00886602229668458	0.0377949923095769	0.0271387075002789	0.0180995439979256	0.00799469524390797	0.00177729498055196	0.0138201642944532	0.00406283330465946	0.0394254827378796	0.0596404289787239	0.0608278879603058	0.00987045066219516	0	0.00898794707118348	0.0144321126391069	0.0326996475720004	0.0357165853711532	0.0351272594467641	0.041937286785975	0.0268271799825258	0.00859819487921822	0.0184116953490179
OM5_H_2H_2	0.0138225757533596	0.0453910292335153	0.0347876463579875	0.0257533449042752	0.0160352655378844	0.00992200247962666	0.0053290344226231	0.00527282852456162	0.0308630733771435	0.067780276973251	0.0686959843061515	0.00416762465405432	0.00898794707118348	0	0.02256701538996	0.0409674774566092	0.0438412716090921	0.0433311314910428	0.0489088268387104	0.0352074038719444	0.0161083226379891	0.022019233071072
OM5_H_6A_1	0.0105441467931135	0.0234211273908586	0.0128001484822157	0.00410175189093968	0.00655617289412012	0.0146907978242038	0.0278064138556193	0.0173332096122976	0.0534114657827697	0.0453083318809276	0.0464207197544941	0.0242579775687089	0.0144321126391069	0.02256701538996	0	0.0184120253842427	0.0213419047429532	0.0207952841098807	0.0279070242337146	0.012664890068493	0.00655544309991374	0.0135339348431098
OM5_H_6A_2	0.0282128501842978	0.00787444693110002	0.00774998323318195	0.0155345387033765	0.0249618040392803	0.0327139641015452	0.0462060311589748	0.0357395539745204	0.0717851811424573	0.026971817819241	0.0283982079112284	0.042562092827003	0.0326996475720004	0.0409674774566092	0.0184120253842427	0	0.0032989745296487	0.00249099263259314	0.0142637132258529	0.00593019416086842	0.0248962584344467	0.0260621787946151
OM5_H_6B_2	0.0308326147861042	0.00527266894735891	0.00965824017875822	0.0182003178439621	0.027893706523635	0.035795864269599	0.0491093567237233	0.0386444650054499	0.074634890267594	0.0239802674729302	0.0252221817655658	0.0455669725716272	0.0357165853711532	0.0438412716090921	0.0213419047429532	0.0032989745296487	0	0.000995499930290931	0.011660956740041	0.00912651433462137	0.027743535523734	0.0278979850809857
OM5_H_6C_1	0.0304386867691309	0.00622897298176881	0.00947602602809753	0.0177742826033275	0.0273494697975802	0.0351671330247653	0.0485844136773702	0.0381173193768479	0.0741387884517513	0.0245388653495519	0.0259119976556864	0.0449856443948706	0.0351272594467641	0.0433311314910428	0.0207952841098807	0.00249099263259314	0.000995499930290931	0	0.0126352962545853	0.00841084796368194	0.027242386432259	0.0278054139524578
OM5_H_6F_1	0.0351314947509315	0.00642885448917641	0.0152901788171338	0.0239400422628433	0.0339761842812105	0.0424543916559945	0.054216749825751	0.0440658352889466	0.0790047441095503	0.0226246039596942	0.0217084556120002	0.0514122974302869	0.041937286785975	0.0489088268387104	0.0279070242337146	0.0142637132258529	0.011660956740041	0.0126352962545853	0	0.0185464998308183	0.0333795892126598	0.0290981195483187
OM5_H_6F_2	0.0228025104422804	0.0126530655527588	0.0056274771103852	0.0102607116066594	0.0191775072943787	0.0268037408027331	0.0404135135329439	0.0299571011262801	0.0660284467829897	0.0328768436361528	0.0343181251449844	0.0366922764046691	0.0268271799825258	0.0352074038719444	0.012664890068493	0.00593019416086842	0.00912651433462137	0.00841084796368194	0.0185464998308183	0	0.0192076444432293	0.0219587419240324
