	OM5_B_B_1	OM5_B_B_2	OM5_B_B_3	OM5_C_4A_1	OM5_C_4A_2	OM5_C_4A_3	OM5_C_4D_1	OM5_C_4D_2	OM5_C_4D_3	OM5_C_4E_1	OM5_C_4E_2	OM5_C_4E_3	OM5_C_4F_1	OM5_C_4F_2	OM5_C_4F_3	OM5_C_4H_1	OM5_C_4H_2	OM5_C_4H_3	OM5_C_5A_1	OM5_C_5A_2	OM5_C_5A_3	OM5_C_5B_1	OM5_C_5B_2	OM5_C_5B_3	OM5_C_5D_1	OM5_C_5D_2	OM5_C_5D_3	OM5_C_5E_1	OM5_C_5E_2	OM5_C_5E_3	OM5_C_5F_1	OM5_C_5F_2	OM5_C_5F_3	OM5_C_5G_1	OM5_C_5G_2	OM5_C_5G_3	OM5_C_5H_1	OM5_C_5H_2	OM5_C_5H_3	OM5_C_6A_1	OM5_C_6A_2	OM5_C_6A_3	OM5_C_6B_3	OM5_C_6D_1	OM5_C_6D_2	OM5_C_6D_3	OM5_C_6F_1	OM5_C_6F_2	OM5_C_6F_3	OM5_H_2H_2	OM5_H_2H_3	OM5_H_6A_1	OM5_H_6A_2	OM5_H_6A_3	OM5_H_6B_1	OM5_H_6B_2	OM5_H_6B_3	OM5_H_6C_2	OM5_H_6C_3	OM5_H_6F_1	OM5_H_6F_2	OM5_H_6F_3	OM5_H_6G_1	OM5_H_6G_2	OM5_H_6G_3	OM5_H_6H_1	OM5_H_6H_2	OM5_H_6H_3
OM5_C_4E_2	0.00551481137388008	0.00521173694702795	0.00651062612049627	0.00485102455616349	0.0188388729901566	0.00165528288287566	0.00458391971831715	0.00830418839970641	0.0136223622075096	0.00299784900065793	0	0.00432741801066388	0.0413025258747567	0.0065457615427397	0.0116342356781851	0.0127262274538416	0.00452797339342548	0.00313865669103304	0.0489825603821545	0.0102178329985785	0.0208117647038487	0.00493950868601032	0.0194604622098085	0.00705547413731724	0.00304740003085217	0.00414007054592948	0.00515132045538228	0.0063181666369162	0.0016583650001925	0.00971207415701638	0.00255884615864231	0.00878814296129269	0.0163787237767892	0.0280181303029994	0.00862275116740502	0.00346011955086719	0.0182170234081188	0.00376236677022918	0.0189658468991586	0.0695132665241253	0.0154435981856617	0.0407599953978371	0.0108187340450606	0.00093302375471192	0.015979594755273	0.0287696672109019	0.0210248133995878	0.0159150422634967	0.012935895785821	0.00366432842061328	0.0129194301575592	0.0758562586042738	0.00373454001999753	0.00692693211070236	0.0119340729153791	0.00985837428075758	0.0167046975553363	0.0157969884778542	0.00367445930273017	0.00842880895070631	0.011907336096623	0.0169234450557991	0.0233262530566466	0.00497892269589264	0.00433034775635402	0.00640267233975376	0.0121302426023101	0.0161464704721552
OM5_C_4E_3	0.00959672822231303	0.00278289387841798	0.0087145840770693	0.00691031877210083	0.0197669214435921	0.00413298330858178	0.00501481353107772	0.00781798551819078	0.0121911902735131	0.004145036155716	0.00432741801066388	0	0.0402144594573796	0.00526493908096478	0.00879557263116681	0.0140563439543753	0.00754792839456719	0.00218735850697699	0.0465442259035965	0.0103852526829298	0.0201441240652748	0.006327789721434	0.0195058957228551	0.0040782532766118	0.00718060180898194	0.000581910615624398	0.00642758969953506	0.0099430110809392	0.00326370624281408	0.00594942872709502	0.0062494413520644	0.00955515281560352	0.0164070377776427	0.0263807520205733	0.00973994290598298	0.0056030595397848	0.0181802469455268	0.000687570266402931	0.0218120857771651	0.0682139248633425	0.0134978960108859	0.0383710586485213	0.00799342298246895	0.00341224776718922	0.0177857760739069	0.0264815598343601	0.0220975425060495	0.0181623698741039	0.0154945212341829	0.00616492190645851	0.0132387333605176	0.0744106024320211	0.000876029254964461	0.00946968757997494	0.00918107545901602	0.00562335419766229	0.013845244930808	0.0137665472159398	0.00120183579191625	0.00807190708265264	0.0142936721821804	0.0143062868354387	0.0238854050087387	0.0092996523478036	0.00681525941147964	0.00245478992303881	0.010450354487343	0.0154984757347166
OM5_C_4F_1	0.0408686167919722	0.0374786899144472	0.0360034467791406	0.0460834878129222	0.0251831958642725	0.0396485614799782	0.0367349902761763	0.0330315931833097	0.0280374841827263	0.0435927761159958	0.0413025258747567	0.0402144594573796	0	0.0351909777465602	0.0320597291179693	0.0304294293823519	0.0382021824758184	0.0390933637037319	0.0166823381317935	0.0312082719469993	0.020544805663657	0.0459259477561987	0.0226036375699235	0.0362465644595413	0.0434824552957249	0.0397342217801607	0.0362921292151831	0.0390394785311039	0.0419919695848911	0.0358436283755355	0.0436991867235274	0.0328490195135513	0.0253636515293837	0.0143030024519618	0.0496356376957005	0.0380463437372648	0.0236012339036129	0.0399797587254551	0.0595439435540539	0.0282954311695188	0.0268817723586628	0.0132778488465039	0.0327228895851028	0.0408811674805587	0.02973392581254	0.0166065149435644	0.0621379102971009	0.0571057687878085	0.0540319884168134	0.0381125844160044	0.0288095457945023	0.0347836148011644	0.0409309956101627	0.0362757004579047	0.0316232924185981	0.0379608949625574	0.0280498830791675	0.0266935614349831	0.0394779286614786	0.0328871696956925	0.0335332230979953	0.0270958805486168	0.0208779521432037	0.0427113723461629	0.0376741329868505	0.0383182191425111	0.0297712406637456	0.0251698160676674
OM5_C_4F_2	0.00931995934552574	0.00251607393659037	0.00571903538507226	0.0110374623871613	0.0147163402403925	0.00500819532594624	0.00243431650662721	0.00260741773491632	0.0072145775915121	0.00843042976030533	0.0065457615427397	0.00526493908096478	0.0351909777465602	0	0.00545541741018145	0.00938498552103403	0.00608336042968362	0.00391084296398544	0.0424426467742112	0.00527253681891128	0.0149386730922489	0.0107782186996604	0.0142482664671815	0.00258155386615318	0.00937147151368221	0.00471474187248963	0.00345734161878513	0.00861307126020989	0.00687335904940428	0.00528764479347607	0.00910364582723813	0.00487791288496169	0.0111564377214398	0.0216112242100629	0.0144669748794898	0.0043745962605972	0.0129196593877445	0.0048865066893581	0.0255101431737932	0.0633133796783095	0.00890939921174627	0.0342185446608535	0.00470552099349868	0.00590219059438094	0.0132926426171268	0.0222270735596507	0.0269788169868972	0.0223606551068474	0.0194402174572238	0.00487450184196229	0.00808429891592891	0.0695890947564295	0.00585000062685948	0.00666517769517763	0.00566667736159763	0.0069147983404111	0.010338350449393	0.00925559133587572	0.0043407470882256	0.00289034864193588	0.0105397418364352	0.0104489062874398	0.018688582050178	0.0101256472828533	0.00505686904034843	0.0043237750846729	0.00561977629286025	0.0102678804400526
OM5_C_4F_3	0.0147493441218753	0.00651629527032875	0.0106520599933029	0.0155758645451383	0.0155877168180594	0.0102648281421153	0.00788948640142367	0.00579807600126026	0.00509166436762371	0.0128082989791815	0.0116342356781851	0.00879557263116681	0.0320597291179693	0.00545541741018145	0	0.0119339260043009	0.0114612610326735	0.00858178669561132	0.0377573480780557	0.00753656800964192	0.0130739709682709	0.0150887858212025	0.0136956225430395	0.0047727741468477	0.0146135816826829	0.0084626155517456	0.00874527981256379	0.0138977352281528	0.011503971352962	0.00381929693805638	0.0141532468230224	0.00841790115392456	0.0110586544259712	0.0179272287200023	0.0185270901983057	0.00982976465477521	0.0124027366357203	0.00881052307345949	0.0304044889438917	0.0597904966305627	0.00524891239373044	0.0295798870566519	0.000821574608794829	0.0108399399087791	0.015747756617126	0.0177060388420183	0.0307706031577138	0.0269205823936339	0.0241667108842185	0.0103198806930662	0.00933619525006188	0.0658923196848489	0.00964078044529961	0.0115740798985824	0.000437915790915194	0.00607136462474679	0.00510523041189653	0.00538324234030836	0.00847944424835091	0.00603373448186326	0.0142980202961348	0.00551176010120283	0.0185460978873764	0.015572129375612	0.0104460729304434	0.00652007140276569	0.00354108806435629	0.00906433517202387
OM5_C_4H_1	0.0106084542765775	0.0116777142134289	0.00629921836563745	0.0174341706818926	0.00616014562186545	0.011271384232806	0.00907448919146325	0.00698838992080917	0.00840420075187715	0.0156395329763895	0.0127262274538416	0.0140563439543753	0.0304294293823519	0.00938498552103403	0.0119339260043009	0	0.00853896236262649	0.0120190095712035	0.0410401216570549	0.0044866027921525	0.0104815020507523	0.0176532530375785	0.00783331553746935	0.0118964127400363	0.0139689673555119	0.0134760143179361	0.00782475208421972	0.00872153075292572	0.0140348485019872	0.014065105411071	0.014582792345032	0.00454697524265558	0.00543773218641825	0.0190911608909639	0.0212664005672709	0.00930684158417727	0.00695866189448391	0.0134743831766902	0.0293529215288756	0.0586072394030926	0.0106249701012903	0.0330008067209456	0.0117068359037145	0.0127421144782536	0.00394458017976001	0.021617860629582	0.0333763869333237	0.0274268854250161	0.0242856931972266	0.00906467650326206	0.00316432638402536	0.0651615739206182	0.0143288846887106	0.00621691821065119	0.0117703170517788	0.0160862481662158	0.0142630860791527	0.0110574882760702	0.0128900378345517	0.00667467660376935	0.00359046359099281	0.0135630514336509	0.0107881256159172	0.0125658917577774	0.00842125585019547	0.0136885676166531	0.00882184236138535	0.00711341601055899
OM5_C_4H_2	0.00334047233025227	0.0065782173826831	0.00226889836644162	0.0089590141597595	0.0146982859063477	0.00354901975100294	0.00374262449378751	0.00630411883395006	0.0116398138272496	0.00752334844368182	0.00452797339342548	0.00754792839456719	0.0382021824758184	0.00608336042968362	0.0114612610326735	0.00853896236262649	0	0.00542187402925001	0.0471284678433897	0.0071329833000881	0.0176922730834212	0.009281223967376	0.0158404796504981	0.00804982703887185	0.00545119420526073	0.00708033450063955	0.00273451196659981	0.00260839891049206	0.00609700807822264	0.0110271687931899	0.00605761828473764	0.00539558038412394	0.0128840079348818	0.0255731270721137	0.0127908540434922	0.00205277373146004	0.0146962098778754	0.00686038196355569	0.021385828456814	0.0664624153032335	0.0138334420849333	0.0389168655707499	0.0107523001568641	0.00488252786029856	0.0115316998190799	0.0269863764166849	0.0248446465794338	0.0190518772307937	0.0159286896331551	0.00144131132336621	0.00940537944280745	0.0729134642105492	0.00737466320981068	0.00243712665542951	0.0116171604012512	0.0120536526502172	0.0160676424814842	0.01425106199413	0.00641405562819302	0.00625624218507406	0.00738303148130395	0.0159706342613913	0.019307948156618	0.00467991500608364	0.00102734989089922	0.00861132169101364	0.0105844004383423	0.0132162349005409
OM5_C_4H_3	0.00776372565301503	0.00208701485196883	0.00652963185864004	0.00717217387706868	0.0178573256323443	0.00224331411330247	0.00294677571401701	0.00620999202299969	0.0111214169552145	0.00452167606424814	0.00313865669103304	0.00218735850697699	0.0390933637037319	0.00391084296398544	0.00858178669561132	0.0120190095712035	0.00542187402925001	0	0.046152482549557	0.00860629828981653	0.0187826119342435	0.00687112704162483	0.0178649448351327	0.00392455659801128	0.0061850108413252	0.00167103962359455	0.00428224315760038	0.00789650979362977	0.00300378846385974	0.00660185668051869	0.00558754805082497	0.00758663318813328	0.0147511699086932	0.0255029055256227	0.010556873768886	0.00343336522137607	0.0165603391130001	0.00152072314245119	0.0218547986024677	0.0672161217062157	0.0127271626641545	0.0379415873579703	0.00776110664828925	0.00227608154137674	0.0156833721119089	0.0259724132086843	0.0230720283251905	0.0185373561879456	0.0156786147326495	0.00401103470245699	0.0114548317302776	0.0734871844596464	0.00231031578911413	0.0072831363277016	0.00890514373764921	0.00699038514828557	0.0136797692501517	0.0130483166717477	0.00100152031146905	0.00642078350212069	0.0121168040306128	0.0139691966000411	0.022096570844841	0.00779736926489724	0.004643968013888	0.00345560458262971	0.00949055410596338	0.0140962134634831
OM5_C_5A_1	0.050289274003799	0.0441715743041044	0.0452404774306987	0.0532750869745637	0.0373257192982757	0.0474184464496692	0.0445717203648997	0.0410134393047481	0.0355656001312801	0.0505289630603386	0.0489825603821545	0.0465442259035965	0.0166823381317935	0.0424426467742112	0.0377573480780557	0.0410401216570549	0.0471284678433897	0.046152482549557	0	0.0401050757481313	0.0306217401251191	0.0528272225460198	0.0337450565932971	0.0425134162793904	0.0517182568464629	0.0462101794038145	0.0446684670871297	0.048706212520455	0.0491430604702924	0.0409758117488199	0.0515371206417566	0.0418860603572752	0.0356082562561086	0.0219560183924703	0.056249121338086	0.046298760021069	0.034247282078039	0.0465506930594706	0.0679213024110328	0.0269978807637081	0.0335676904540536	0.00823372687598096	0.038564899564226	0.0483118617186383	0.0417142046390858	0.0202312985101039	0.0682663222543496	0.06463002515528	0.0618118251908434	0.0465669111362995	0.038513499496657	0.0314624237943386	0.0473906849316231	0.0458007503593898	0.0373803291231522	0.0425410431927008	0.0327313321565297	0.0332021717387307	0.046188188503904	0.0409888788369447	0.0445693321970374	0.0322549226414482	0.0340363551349413	0.0517983440946478	0.046338384860917	0.0442139583085292	0.0368966567322894	0.0342868765952134
OM5_C_5A_2	0.0101962096888705	0.00774703913205936	0.00513936019333642	0.0150655426830123	0.00944441473607209	0.00858123214745829	0.00580222506898057	0.00268611247882319	0.0050560058873584	0.0128155290361942	0.0102178329985785	0.0103852526829298	0.0312082719469993	0.00527253681891128	0.00753656800964192	0.0044866027921525	0.0071329833000881	0.00860629828981653	0.0401050757481313	0	0.0106672686091945	0.015056547202362	0.00930035729965228	0.00762241556497277	0.0122848724417446	0.00980965409263103	0.00510395059094707	0.00863501968181472	0.0111649776919206	0.00960373655258767	0.0125254578307166	0.00178230029048052	0.00619228483555259	0.0184490559687255	0.0187874552906158	0.00685810537280419	0.00802453992494879	0.00989931917916169	0.0284786338618556	0.0594714009232141	0.0074203561501919	0.0319125266400744	0.00725058429329253	0.00993908554119209	0.00841082724579075	0.0200620273186673	0.0312378293394159	0.025921007396282	0.0228423725945692	0.00690865395932285	0.00285644134388112	0.0658848376880506	0.0108331100491013	0.00574137974414397	0.00741634973269344	0.011682155827132	0.0105711529920777	0.00786858592030838	0.00931589984985762	0.00238757965693981	0.00686331559985065	0.0100971809758852	0.0135097456320053	0.0117962449225055	0.00649504706408287	0.00957307718341986	0.00478387924787571	0.00609777372646473
