	OM2_B_B_1	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_6E_3	0.007221357813847	0.0132213987748467	0.016119664227448	0.0106795487304565	0.0102196289142947	0.0518054233021121	0.0115413657371227	0.026111550839194	0.0101281366719479	0.011878139102083	0.00718054010774161	0.00555044866161977	0.00843194833742903	0.0111841832999532	0.00914495432429021	0.0307076404264811	0.00866991683660524	0.0147039504069629	0.0145632554040448	0.0186043655016111	0.0133944926668569	0.0130952648419205	0	0.0127587298784795	0.0190182826163084	0.0109259385552548	0.0158772990945259	0.00771752576678141	0.0168268767606065	0.00559137881690027	0.012761974916452	0.0186570803237232	0.0142629406759252	0.0090141951057513	0.0136933482238598	0.0162457705930208	0.0156062362886201
OM2_C_6F_1	0.0124258426784588	0.00222336920345867	0.0045138582162198	0.0020960659020834	0.00422156278868892	0.0404410804628629	0.0122842013568814	0.0139352363954454	0.0160199795830106	0.00593166358311772	0.0068021022230267	0.0133404089827682	0.0166772681270394	0.0114491646440796	0.0172127322619098	0.0397080317525948	0.00410878060598171	0.00288650381918038	0.0215958917565672	0.0258750407187705	0.00107120746565665	0.0022535249478982	0.0127587298784795	0	0.00841146472612135	0.00425078662570678	0.00391181235484425	0.00556218890829838	0.00519905671847917	0.0161782164868377	0.0218676679681223	0.0269813901671345	0.0234448007054006	0.00648810992005366	0.00368029889464268	0.00350851234704312	0.0222096886571558
OM2_C_6F_2	0.0205304529007354	0.0101328253237218	0.00393571120409511	0.00996640608038519	0.0126031464313409	0.0328361351725157	0.0206928474938645	0.00778665789109096	0.0242621543728221	0.0142300381984347	0.0147512100320265	0.0210984760585799	0.0246121329362052	0.0198582668972241	0.0252053575583115	0.047869118047807	0.0115436255065667	0.00959818649000813	0.0298604817463438	0.0341712152675703	0.00881574184218749	0.00663759599465558	0.0190182826163084	0.00841146472612135	0	0.00811001476739503	0.00463650762970717	0.0133789214935311	0.0105300232210329	0.0235302899465301	0.0298190991299287	0.0351593994332616	0.0314142695444541	0.0148237150367608	0.0113665402280421	0.00649804455373864	0.030524841557922
OM2_C_6F_3	0.0130457704547417	0.00630872312850024	0.00541647513769136	0.0037584167232615	0.00651278604322705	0.0409389813076857	0.014325921617729	0.0152959775283344	0.0169046986366686	0.00900072710475533	0.00739063528941178	0.0132719342414791	0.0168569271869299	0.0135178464539928	0.0174933831476213	0.0402003430939069	0.00418832995429307	0.00713453406864981	0.0224618075795091	0.0268022175851744	0.00532198417197259	0.00284239259022498	0.0109259385552548	0.00425078662570678	0.00811001476739503	0	0.00538160773816937	0.00603180683451388	0.00941281022022847	0.0154924426374102	0.0220212122637803	0.0275650338169097	0.0236191453611403	0.00818811976855426	0.00770184509521432	0.00664174238202383	0.0232398749534861
OM2_C_6G_1	0.016301804432903	0.00549704257952896	0.000750242909784275	0.00574837116700185	0.0081307864063011	0.0366166815980903	0.0161228673162811	0.0102915337964757	0.0199270121062175	0.00960585590796043	0.0106009545566907	0.017107730678576	0.0205133503933068	0.015290653151606	0.0210665317092106	0.0436079618462663	0.00759487854937941	0.00503634932058424	0.0255057767577388	0.0297853026622694	0.00419109823972213	0.00278385621090027	0.0158772990945259	0.00391181235484425	0.00463650762970717	0.00538160773816937	0	0.00928790023017403	0.00636465754123282	0.0198053800914372	0.0257162207869205	0.0308826069518563	0.0272997889153065	0.0103997210880047	0.00674448277068684	0.00226640759814049	0.0261197412393262
OM2_C_6G_2	0.0071669787901382	0.00554898222575196	0.00975394241073412	0.00354387069700434	0.00255654774175463	0.045896517461924	0.00842691439786898	0.0194821041161186	0.0109670469455563	0.0047677697933378	0.00138794216408014	0.00782043740266125	0.0112573729894295	0.00765184324886403	0.0118358532202662	0.034503670619384	0.00188421551858203	0.00704048658555859	0.0165601310751286	0.0208950415776049	0.00593806441496093	0.00675813166228465	0.00771752576678141	0.00556218890829838	0.0133789214935311	0.00603180683451388	0.00928790023017403	0	0.0091116638519641	0.0106187120019744	0.0164683446140369	0.0217962715450458	0.0180597819070269	0.00253461017098117	0.00598555967946337	0.00902401929599661	0.0172906812608382
OM2_C_6G_3	0.0143879796624419	0.00369378095233704	0.00709229812077775	0.00669825693177174	0.00668059893410624	0.0395124141664801	0.0124683122159351	0.0130340182730441	0.0173120353762206	0.00615664087057794	0.00986536081804905	0.0159086895847105	0.0187137586513851	0.0117237853079911	0.0191029306739002	0.0406313128095867	0.00845102504545805	0.00235996430515921	0.0225541122285766	0.0265815168108682	0.00414920344312314	0.00690562592538818	0.0168268767606065	0.00519905671847917	0.0105300232210329	0.00941281022022847	0.00636465754123282	0.0091116638519641	0	0.0191082982152219	0.0236426716115491	0.0280701741136152	0.0251314800057297	0.00852529335052806	0.00322002805019907	0.0041325703450022	0.0229352501215191
OM2_C_6H_2	0.00537172822776723	0.0159220737421717	0.0201959405333405	0.0141271610997604	0.0125766930249296	0.0563035582122696	0.00978586256536561	0.0300659836005825	0.00600090445282277	0.0131949973221207	0.00946717347101668	0.00331888861431622	0.00345401165180824	0.00984654848375369	0.00407202035849848	0.0251963523654239	0.012211781462393	0.0173799636287524	0.00924016706264928	0.0131019715564238	0.0165193769332193	0.0171267161095144	0.00559137881690027	0.0161782164868377	0.0235302899465301	0.0154924426374102	0.0198053800914372	0.0106187120019744	0.0191082982152219	0	0.00717108821523488	0.0130681066630143	0.00867727262171857	0.01058427529197	0.0159000993569743	0.0196369910881861	0.010335527368601
OM2_C_6H_3	0.00946526318372684	0.0210665091436698	0.0262121681223573	0.0199780038179998	0.0178008254814719	0.062284067463692	0.0117299401247397	0.0357333643439828	0.00642532931187999	0.017490672866814	0.0151238494752853	0.00875275323980681	0.00521160331811276	0.0122763205837329	0.00465637773957891	0.0182187543249278	0.0182795885322648	0.0223893379976695	0.0037130247472054	0.00624044151960825	0.0219583728850761	0.0232226303326462	0.012761974916452	0.0218676679681223	0.0298190991299287	0.0220212122637803	0.0257162207869205	0.0164683446140369	0.0236426716115491	0.00717108821523488	0	0.00589972284769736	0.00159879239941709	0.0155388355340848	0.0206342658494413	0.0251142711182914	0.00471736147656078
OM2_H_2A_2	0.0146344925242887	0.0259135312790688	0.0314313125402491	0.0252152943758403	0.0227986350625449	0.0672617388853841	0.0156399591613015	0.0406356601058565	0.0109724993734092	0.0220432436786586	0.0204169535326393	0.0143585416569635	0.010755862601991	0.016355098074689	0.0100909541856065	0.0127336614912186	0.0236577623999014	0.0271241292745683	0.00551794355131163	0.00239268896820025	0.0269376850773089	0.0285263679171502	0.0186570803237232	0.0269813901671345	0.0351593994332616	0.0275650338169097	0.0308826069518563	0.0217962715450458	0.0280701741136152	0.0130681066630143	0.00589972284769736	0	0.00448417453024381	0.0205129614680037	0.0252760234986102	0.0300459050040714	0.00528573793472832
