	OM2_B_B_1	OM2_B_B_2	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2
OM2_C_5F_1	0.0295756682073972	0.01568490637885	0.00546935328316775	0.00994100951086528	0.0201641455962132	0.00680097427882302	0.00290293349871609	0.0178696497328674	0.00721872465183208	0.00931774670124729	0.0249041877887582	0.0046221846395139	0.00760122154927132	0.0165851385974239	0.00965900829162946	0.00430490169490618	0.00402083018646299	0.0028127032496177	0.00629875498642702	0.00685373341597709	0.0110334056231577	0.00451195128425406	0.0128285364905959	0.0121067009982116	0.00815535947353728	0.0120696425474784	0.0125202727494619	0.00817912614595252	0.0182347388800095	0	0.00789556817905536	0.0106089638160526	0.0145578329039059	0.00834036444916022	0.013731582016194	0.00959656474126333	0.0137665179675606	0.0123600834378496	0.00887013976591082	0.0122490636273178	0.0077693578977459	0.00604344716037006	0.0132402511522571	0.0128598754623487	0.0109871709550236	0.00642125912804734	0.0106402352892005	0.00898902219574358	0.00978587612169268	0.00906639474822748	0.00695488202890051	0.0137634440590848	0.0566751426950302	0.033916083640047	0.00828608827130637	0.0145619168541901	0.0314654499741395	0.0352304250115487
OM2_C_5F_2	0.0266027157895218	0.00984535631814224	0.00514498745907466	0.00204568192698732	0.0127728211955697	0.00810623761699497	0.00921469516740249	0.0115909932592829	0.00875791521122609	0.00685926564677339	0.0187040482552982	0.00368655923041099	0.00489230309702659	0.0162282802653923	0.0125280047165221	0.00392876378934729	0.00820476844599055	0.00973251442053435	0.00583841314275333	0.00139158833502917	0.00586207218015047	0.00491787000887325	0.0080562150901719	0.00778642333933148	0.00756721465133057	0.00713588411929561	0.0102560295170799	0.000946358232934419	0.01100343229753	0.00789556817905536	0	0.00704561341035238	0.00799083614409308	0.00224589155491844	0.00812646645257275	0.00730753875925809	0.00688293859916091	0.0113411256983272	0.0069250103509117	0.0105614811063154	0.0123501621930894	0.0061448445288595	0.0110666208364974	0.00980975842394551	0.00941370512615648	0.00185476937588612	0.00612692063856084	0.00121138427203723	0.00265498667410078	0.00568599598580134	0.00105059499054911	0.00862589223234039	0.0496877433925536	0.030401316297353	0.00811908511604498	0.00686999779128627	0.0273613770769429	0.031676807675146
OM2_C_5F_3	0.019847424754425	0.00557243687812215	0.0051423192801192	0.00735522261629937	0.0115234278431584	0.00527868787212177	0.0131943729042257	0.0078864351361589	0.0055461466927507	0.00150355349310425	0.0145431460240629	0.00903225429970306	0.0117378896353638	0.0231804660047395	0.00843025737585757	0.00699389003697345	0.0131622270856801	0.0105815235147438	0.0121990895445292	0.00629041327878547	0.0020893187773588	0.00615249378676109	0.00241868268197442	0.00157587357264909	0.00340874877380663	0.00202784337290394	0.00326778349710802	0.00796539097012895	0.00950960731167609	0.0106089638160526	0.00704561341035238	0	0.00552198653945808	0.00928765032265534	0.00377732216491557	0.00153725808101363	0.012746818969815	0.0047228175148395	0.00208036025989357	0.0175660098520198	0.0175798270549537	0.0123733379447712	0.00405537857338725	0.00278304072087563	0.0163784795467909	0.00821273905407586	0.0131385318093495	0.00657239351612817	0.00524293119273656	0.0127030225154341	0.00668059799838652	0.00342351795378291	0.0465728295504253	0.0238867914057839	0.00381310660880129	0.00804441445147002	0.0211354784666644	0.0251877625776914
OM2_C_5G_1	0.0199380461431054	0.00230833842363606	0.00944856678379516	0.0067952928822509	0.00604602320529982	0.0106163635106336	0.0166312270948202	0.00360239907252457	0.0109759632529087	0.00691110904886822	0.0107222806370347	0.0114030644514391	0.0126766213507781	0.0234197577485577	0.0139355394978372	0.01031294063477	0.0159879863657905	0.0152845514159676	0.013817060637428	0.00822386873682234	0.00385087064691409	0.0101665003278729	0.00357503169301455	0.00431846517985649	0.00883972560382952	0.00351400129575898	0.00751376739907183	0.00854325849542294	0.00401850153162265	0.0145578329039059	0.00799083614409308	0.00552198653945808	0	0.00967891192964409	0.00208547508221212	0.00704637126638784	0.0105413410444058	0.00942436394238199	0.00747149340165307	0.0177293636083059	0.0202722761376395	0.0141335216289342	0.00795572027565193	0.00636344657320957	0.0167724095868371	0.0097998550434376	0.0127813929799924	0.00686399221102534	0.00534473629973285	0.0130680650857401	0.00837727006699665	0.0029592106459043	0.042142658356321	0.0232482137575514	0.00929915638204679	0.0037688982392894	0.0199354082790979	0.0244722269720482
OM2_C_5G_2	0.0287466128303025	0.0117083166540506	0.00695931810968214	0.00292065335802033	0.013791630649712	0.0100068679704208	0.00894426321503409	0.013259764543798	0.0106676945977725	0.00908646048154604	0.0202668567824417	0.00371870505644048	0.00301485973883022	0.0140701717546972	0.0144046563576848	0.00517131021009139	0.00752331251352616	0.0106251592010082	0.00441521997429038	0.00333596096054544	0.00801696673910562	0.00647510794795713	0.0101892388165512	0.00997584784961682	0.00967607204787427	0.00927559999265352	0.0125017428826253	0.00132749301773087	0.0121999203968477	0.00834036444916022	0.00224589155491844	0.00928765032265534	0.00967891192964409	0	0.0101098155586217	0.00953532648446127	0.00548425922233332	0.0135648009142001	0.00912534292194908	0.00837514005863499	0.0112464707884059	0.00480638195380216	0.0133122877654228	0.0120453548614985	0.00727110066302235	0.00209216901215084	0.00389150740999624	0.00295077087763893	0.00456996431306162	0.00351390621275615	0.00289454959471582	0.0106859204334318	0.0507164104529907	0.0324725236829909	0.0102093718713824	0.00777949444410303	0.029362051163225	0.0337386933001992
OM2_C_5G_3	0.0188002177793486	0.00195374579086387	0.00837062322730887	0.00742043643403025	0.0078168602510621	0.00904030801713168	0.0160494621344241	0.00420530520552915	0.00932332900586594	0.00526126999232117	0.011176411387465	0.0111537861817743	0.0129999194784568	0.0241270861455882	0.012048132405458	0.00966076730269317	0.0156506452007655	0.0141086769179315	0.0139126178717161	0.00800092976262451	0.00270313447167717	0.00923085433853011	0.00153901378321035	0.0023622845266145	0.00718435661275091	0.00179140507408046	0.00543374681921961	0.00885080696482038	0.00583525806150607	0.013731582016194	0.00812646645257275	0.00377732216491557	0.00208547508221212	0.0101098155586217	0	0.00530859670544737	0.0119144302107629	0.00735111063804354	0.00583907720054737	0.0184150008197813	0.0200323135887166	0.0141815160934568	0.00587140669525789	0.00427833907046986	0.0173647612683589	0.00979034537574248	0.01357353504034	0.00716399677069889	0.00554371124044504	0.0136091866408968	0.00825350920231332	0.000910356404206151	0.043049090758786	0.0223857215491443	0.00758540589194955	0.00561268662027662	0.0192581850761984	0.02364486291439
OM2_C_6E_1	0.0203102977915588	0.0070649611639597	0.0042432722134549	0.00800865839070752	0.0130585777181936	0.00379511205300953	0.0123077049169236	0.00937741896510086	0.00402216908828406	0.000448979786037873	0.0159008213595449	0.00866128154549044	0.011703667143481	0.0231228210203259	0.00694920406085302	0.00639671208552533	0.0124823208063142	0.00928750479244228	0.011938971739043	0.00630749830515103	0.00343215763174851	0.00531134401787392	0.00390037922706356	0.00303203085437066	0.00190178500930869	0.0035645688210471	0.00318711581811771	0.0082531544237011	0.0110428049854572	0.00959656474126333	0.00730753875925809	0.00153725808101363	0.00704637126638784	0.00953532648446127	0.00530859670544737	0	0.0135181565423937	0.00403450611068243	0.000727008973829063	0.0176048207404754	0.0168646244504158	0.0120625191858478	0.00399951238120856	0.00327577367133986	0.0163741586759076	0.00816438472606467	0.0134264285797641	0.00708080802147616	0.00599408663841768	0.0128026895853994	0.00673559891862437	0.00490024866910072	0.0479564121505464	0.0244956580728544	0.00227718247251033	0.00937567518369173	0.0219074660959153	0.0258054994228522
OM2_C_6E_2	0.0304737192575717	0.0128494515776511	0.0120274780295183	0.00553208248812406	0.0121269927369508	0.0149567036131206	0.0139762847962556	0.0135500254236526	0.0156000250727761	0.013097895332487	0.0196982588255856	0.00915909382923222	0.00685968938971742	0.0139454409650296	0.0193702821721331	0.0105654280287358	0.0122616874387516	0.0161087633346507	0.00864821211302142	0.00827060694445859	0.0108833772007013	0.0117460300483982	0.0126625639254191	0.0128176593128611	0.014211422225295	0.0118912313550916	0.0159707230497475	0.00611165165097669	0.0112153525593702	0.0137665179675606	0.00688293859916091	0.012746818969815	0.0105413410444058	0.00548425922233332	0.0119144302107629	0.0135181565423937	0	0.0174344917511	0.0133232825170635	0.0087463320972042	0.0151117926503587	0.00908004051309939	0.016708375648544	0.0151925851160676	0.00831962996432799	0.00755472937152846	0.00443483828651036	0.0065695006515009	0.00753824740022487	0.0059217746061606	0.00788845547796325	0.0127426184027818	0.048059583272329	0.0336692381632157	0.0147854481769387	0.00706657402648692	0.0302302313815772	0.0348629926166122
OM2_C_6E_3	0.0172499009500892	0.00843041243349636	0.00764976747486194	0.0119733590842517	0.014924214938198	0.00557696930210522	0.0152379246729945	0.0104819441502281	0.00526807600956222	0.00448225884792673	0.0157494463108462	0.0124082389388507	0.0156392955982903	0.0269978094989686	0.00573940968256538	0.0100034565404642	0.0157758207304849	0.011209038881265	0.0157250648381082	0.0103077536650365	0.00675186242142569	0.00868861623533467	0.00585562103891499	0.00520949929728659	0.00440356171039006	0.00616621482994254	0.00193205176544199	0.0122869469039233	0.0130451016721142	0.0123600834378496	0.0113411256983272	0.0047228175148395	0.00942436394238199	0.0135648009142001	0.00735111063804354	0.00403450611068243	0.0174344917511	0	0.00447063049810689	0.0215511711726165	0.0200199008450113	0.0158040999727723	0.00181676221817875	0.00312375390267635	0.0203023783821441	0.0121227835960921	0.0174557549410656	0.0110893606344614	0.00990025854895497	0.0167898290643435	0.0107417284443788	0.0065492341579411	0.0475526976208327	0.0216767479305551	0.00412142715870295	0.012547196022946	0.0195054677825172	0.0229914764850001
OM2_C_6F_1	0.0209932034866399	0.00765275837717853	0.00353611690729337	0.00779280796146636	0.0135107588016211	0.00320218922861403	0.0115875752276941	0.00996672308244154	0.00350766890659571	0.00057842950554242	0.0165705547749376	0.00804618038628995	0.0111781971826546	0.0225686703074888	0.00670072604498519	0.00573641664805058	0.0117884685827103	0.00858690473650338	0.0113425156705354	0.00584222314320784	0.00372039508226519	0.0046075802710883	0.00449603511573016	0.00364065415655541	0.00136829776444752	0.00406026324763589	0.00383844662866081	0.00787047386818669	0.0114866305581115	0.00887013976591082	0.0069250103509117	0.00208036025989357	0.00747149340165307	0.00912534292194908	0.00583907720054737	0.000727008973829063	0.0133232825170635	0.00447063049810689	0	0.0170887716443491	0.0161620165525148	0.0114515876765186	0.00463764213102382	0.0039971221169551	0.0158459283223715	0.00765407777393742	0.013012621902905	0.00680894533928085	0.00585921286738392	0.0123197429186484	0.00627848979980697	0.0055009352471744	0.0486173131719679	0.025198449278547	0.00185829246662432	0.00955843487436608	0.022627332788627	0.0265090951869031
OM2_C_6F_2	0.0371141204162204	0.019895333500864	0.0141716589601671	0.0110126557881665	0.0206575126570836	0.0170865349326071	0.0105914893706398	0.0211935209296193	0.017720021289949	0.0171613058251894	0.0279021957913871	0.00937266786157688	0.00591317241085402	0.00571350134861404	0.0211253025678286	0.011833430606151	0.00862649785056306	0.0150601225581147	0.00621203209495432	0.0113183563663876	0.0163909794356239	0.0133001253043452	0.0185624184973119	0.018341562539072	0.0173309271673454	0.0176498109087525	0.0207017585288296	0.00969332477882862	0.0194728691394988	0.0122490636273178	0.0105614811063154	0.0175660098520198	0.0177293636083059	0.00837514005863499	0.0184150008197813	0.0176048207404754	0.0087463320972042	0.0215511711726165	0.0170887716443491	0	0.00877337874710017	0.00633230094996799	0.0215211161551289	0.0203449752370199	0.00130082465144923	0.00944145764091394	0.00497685210113909	0.0113085671223661	0.0129142516815231	0.00487574064155076	0.0109059471894785	0.0190338106046714	0.0567793528648022	0.040791781974064	0.0177855583139088	0.0150098655928876	0.0376104211863005	0.0420479600728533
OM2_C_6F_3	0.037120905349329	0.0219102576687185	0.0126263895883591	0.0140100883476387	0.0249947331614943	0.014520525409812	0.00487720674179447	0.0238428074601199	0.0149718495644625	0.0165140123244395	0.0309857882856134	0.00889601500771025	0.00852122961219069	0.0106475650289756	0.0172887122008656	0.0105889455716722	0.00442171870673491	0.00988922463241864	0.00685105000006196	0.0120810021136344	0.0174057623166935	0.0115550283405621	0.0194870392274813	0.0189092850058797	0.01568965710581	0.0186173622903099	0.0199644305136455	0.0120055118942994	0.0233123071402603	0.0077693578977459	0.0123501621930894	0.0175798270549537	0.0202722761376395	0.0112464707884059	0.0200323135887166	0.0168646244504158	0.0151117926503587	0.0200199008450113	0.0161620165525148	0.00877337874710017	0	0.00644474286661802	0.0207300484812865	0.020121499377997	0.00804683855629261	0.0105023656421557	0.0107297070200661	0.0135437184070441	0.0149452467727868	0.00919421030310708	0.0118981322429208	0.0202999168021685	0.061927897514868	0.0413517590396609	0.0159036096314812	0.0189895242781873	0.0387048476335294	0.0426611433005809
OM2_C_6G_1	0.0322165863830527	0.0159614340070127	0.00819148782147205	0.00762465369906374	0.0185851251241098	0.010938404909958	0.00512301547553074	0.0177344896109624	0.0115485741027003	0.0116440294436567	0.0248371646701032	0.00340578416356078	0.00222352614338635	0.0112965119638231	0.014836783013561	0.00581488474369835	0.00323421382818196	0.00884419452712678	0.000434033817105045	0.00623192350656004	0.0117167450195489	0.00721847256671457	0.0138994352458806	0.0134671970396345	0.0114405984209566	0.0129867622081085	0.0152464714494556	0.00565720534047584	0.0169498876710012	0.00604344716037006	0.0061448445288595	0.0123733379447712	0.0141335216289342	0.00480638195380216	0.0141815160934568	0.0120625191858478	0.00908004051309939	0.0158040999727723	0.0114515876765186	0.00633230094996799	0.00644474286661802	0	0.0160612986753751	0.0151142704885237	0.00503841848400046	0.00439192215125979	0.00507516494690507	0.00728382770393925	0.00879869537058043	0.00338399766285037	0.00593723975479071	0.0145902488221481	0.0555147750556876	0.0362025934033525	0.0118332068824466	0.0125731288854919	0.0332980805650187	0.0374944830122634
OM2_C_6G_2	0.016397100505216	0.00674187824310572	0.00813210314571755	0.0113919958833211	0.013238150446716	0.00664418549396508	0.0160565908553384	0.00871898685988952	0.00648157796952808	0.00441985154667696	0.0139578695270952	0.0126605546787065	0.0156434899040417	0.0270817221011859	0.007507148012316	0.0103739026524573	0.0163889132886587	0.0124075005372794	0.0159344346478695	0.0102044648664118	0.00583235410141605	0.00920427075561202	0.00447339181585773	0.00400200569621945	0.00508553103061929	0.00498232835382371	0.000820867038223979	0.0119966768599791	0.0114043843584039	0.0132402511522571	0.0110666208364974	0.00405537857338725	0.00795572027565193	0.0133122877654228	0.00587140669525789	0.00399951238120856	0.016708375648544	0.00181676221817875	0.00463764213102382	0.0215211161551289	0.0207300484812865	0.0160612986753751	0	0.00162156791405209	0.02030856028676	0.0120994839983129	0.017179038524567	0.0106276191059355	0.00926931200114529	0.0166816566131116	0.0106173409580247	0.00500969578112094	0.0458245674978212	0.0206825369620618	0.00499791644437839	0.0113062163284442	0.0182919059122709	0.0219969433653994
