	OM2_B_B_1	OM2_B_B_2	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4C_2	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4E_1	0.0697351631697902	0.0643776477637084	0.0340363967652642	0.0199847510274868	0.0460359482793457	0.0145872232408834	0.0466806979478843	0.00242384358353024	0.0137185167049012	0.0207883421026121	0	0.0220810275623535	0.0475078752755133	0.0302941956635539	0.0367239239088634	0.0436075543400138	0.0430545288496884	0.0287938331244969	0.0164918354362657	0.0627447982482186	0.0885479564644413	0.0200813475658925	0.025620811016485	0.0347881546915824	0.0272176287293855	0.0288409044775892	0.0357008344151734	0.0366306469360919	0.0113350545438951	0.010106696501027	0.0205340070113357	0.0582327517474869	0.0301169481397976	0.0182896745180548	0.01222314876768	0.0449291096321764	0.0131567921444417	0.0384588626356102	0.0294200399058708	0.0678830213334877	0.0427893561061787	0.0188323123301491	0.00898936350846445	0.0179930653922137	0.0340305660786285
OM2_C_4E_2	0.0482277514708336	0.0459128283065897	0.0134711683777969	0.00416966754030643	0.03596303648476	0.0172533873184477	0.0671349262629129	0.0230556562039622	0.0194242685533966	0.0428259059779908	0.0220810275623535	0	0.0258650497918198	0.0513633969414256	0.0582300283073319	0.0262573377829081	0.0220967218018397	0.0108087625346939	0.0350912629345141	0.0413137431912775	0.0668398247754631	0.0416911188184466	0.0468915685407803	0.0565902011408629	0.00924585821534968	0.0495459843126942	0.0521637962316664	0.0160721028284833	0.0266255274866985	0.0177031450209959	0.0106871812936811	0.0400940514238118	0.0105018027806629	0.0377261508843127	0.0121903666413074	0.0661605445431526	0.0334469342488397	0.0597622356864051	0.0217288903481512	0.0463328636869938	0.0214511495379245	0.0380625535474066	0.0270486990812834	0.00969134441188343	0.054331680823161
OM2_C_4E_3	0.0226463889999168	0.0261431180530079	0.0160165154056266	0.0286283821422042	0.0339646365037526	0.0416881687422541	0.0925161991910362	0.0483352252753377	0.043974360853291	0.0682013823530119	0.0475078752755133	0.0258650497918198	0	0.0771265707373503	0.0837797691253571	0.016201909603612	0.00686101752627377	0.0208607509922971	0.0606817083395286	0.0158976469035791	0.041573660218015	0.0670077080885806	0.0725710424375799	0.0819078729152523	0.0212431012536957	0.0753096902567975	0.0729350832827437	0.0120150675048632	0.0520019103106077	0.0429386396085095	0.0331364146455055	0.0213068991085298	0.0207934797570009	0.06175165035173	0.0363061910031711	0.0914395701302534	0.059137746449783	0.0854050818604949	0.0320539074278564	0.0205367083731353	0.00978242681614004	0.0638078783784096	0.0517461840457776	0.0317012428276166	0.0793597455061265
OM2_C_4F_1	0.0992515949680227	0.0938263808222219	0.063537186172162	0.0490669993638384	0.0727856105210815	0.0383990920349927	0.0186068940829254	0.0299034754942653	0.0356604391831151	0.0129079443275249	0.0302941956635539	0.0513633969414256	0.0771265707373503	0	0.00947031126018048	0.073700515790118	0.0729818305613491	0.0582630145687765	0.018799540296805	0.0923954789704716	0.117872711052688	0.0138280733486525	0.00800356507763199	0.0105333216669437	0.0574038814189477	0.00379765686318101	0.035361073935533	0.0663516910241736	0.026263520880036	0.0357856987355649	0.0466077489137664	0.0879065188332671	0.0590969475763792	0.0226009064073777	0.0422965790164315	0.0177612122788005	0.0183943670250997	0.00993964954802737	0.0566209725173717	0.0975463309842672	0.0720970917193408	0.0150208182868125	0.0278040791756101	0.0473164317485241	0.0138448844992876
OM2_C_4F_3	0.1060356976003	0.100339011365931	0.0702016307951224	0.0557690350590564	0.0776546223066216	0.0456367691042873	0.0125128175348686	0.0359224185563587	0.0421842961717947	0.0172582804731229	0.0367239239088634	0.0582300283073319	0.0837797691253571	0.00947031126018048	0	0.0795096302219605	0.0796284269925798	0.0649547296364742	0.0253074443975977	0.0991873865333209	0.124754154792094	0.0172995664341456	0.0125596084217556	0.00681178175791989	0.0637337529882082	0.0107875514451888	0.0354414120811309	0.0728526546838535	0.0341377521261761	0.0425255349972223	0.0535337250377751	0.0938391624282907	0.0659399841129963	0.0267046225040187	0.0486439163684559	0.0097560115405258	0.0250079554902645	0.00311258878198879	0.0627662108645472	0.104189893966943	0.0789784330117098	0.0224548223805175	0.0327616797399291	0.0543442998808652	0.0101483959307827
OM2_C_4G_1	0.0315157506446084	0.0235964232496173	0.0189294235802682	0.0287691530752336	0.0224959710115155	0.0419632966946441	0.0894648093587324	0.0442266581699902	0.0444782557720617	0.0630752770815658	0.0436075543400138	0.0262573377829081	0.016201909603612	0.073700515790118	0.0795096302219605	0	0.0121623769493479	0.0187391443856673	0.0588145974609478	0.0249630154254429	0.0504386384881492	0.062421870315401	0.0687971567878501	0.0767617301094801	0.0174622405319741	0.0723506284467551	0.0647843090646133	0.0138551349324644	0.0506643427432556	0.0415832544956939	0.0358324629228142	0.0163322580740939	0.0233194337956596	0.0562785692583579	0.0321788538592705	0.0870779522132734	0.0563643769266777	0.0815313884390521	0.0237067304371864	0.0296475886954387	0.0187583759508073	0.0618645567842234	0.0479718996485606	0.0281097076875455	0.0758103064381724
OM2_C_4G_2	0.0273741144930195	0.0262727423635839	0.0115033292011624	0.0247694250434737	0.0317302411276846	0.0377083045945815	0.0889123925126898	0.0438649824380335	0.0409205966750414	0.0635742857666848	0.0430545288496884	0.0220967218018397	0.00686101752627377	0.0729818305613491	0.0796284269925798	0.0121623769493479	0	0.0170266351452789	0.0568016625077354	0.0200708409307399	0.0459121016214014	0.0627391877677315	0.0682594746947137	0.0775949479993468	0.0163651844604464	0.0713052572652286	0.0690829161783584	0.00951898195992467	0.0484071287437805	0.0387622547320621	0.0302752361745374	0.0218347874909488	0.0164600406970203	0.0577615661484899	0.031384394803029	0.0875486446011949	0.0552208460573939	0.0812930886618563	0.0277294961084557	0.0252103007611987	0.00731797731688276	0.0598732226828049	0.0479660175952963	0.0266531277190861	0.0757581988309628
OM2_C_4G_3	0.0418059148218818	0.0370493153722241	0.0146204446502865	0.0146534501163996	0.0263190475623488	0.0274042034694938	0.0741695391930252	0.0300185707577084	0.0289989490375859	0.0491662281843964	0.0287938331244969	0.0108087625346939	0.0208607509922971	0.0582630145687765	0.0649547296364742	0.0187391443856673	0.0170266351452789	0	0.0436444536392006	0.03509940584946	0.0617222321616317	0.0483885917259362	0.0543015982762482	0.062402029137262	0.00667887096932556	0.0568948876308196	0.053011254763291	0.00926723167364725	0.033460520316263	0.0271977242374867	0.0212867429888332	0.0309122989291298	0.0152812151578787	0.0416784669995974	0.0188684571707821	0.0723977340347459	0.0408298026491198	0.0667714957621837	0.0141681741802419	0.0405340531306441	0.0198840898043518	0.0462458507048897	0.0335550476298595	0.0130173795064723	0.0612870538532645
OM2_C_4H_1	0.0831310474637609	0.079752277616858	0.0465860986419621	0.0321737990882255	0.0620034922719846	0.0208412039424096	0.0335755729648684	0.0156827172031131	0.0178479881745541	0.0149030775906084	0.0164918354362657	0.0350912629345141	0.0606817083395286	0.018799540296805	0.0253074443975977	0.0588145974609478	0.0568016625077354	0.0436444536392006	0	0.0762417822218786	0.101037774441971	0.012698293925377	0.0136478249342339	0.0262247621138302	0.0419224496376602	0.0159429270459617	0.0398244307362252	0.0507112278526048	0.0144312901736308	0.0183716440448872	0.0288415246698036	0.073638496203517	0.0419856261583959	0.021251752246143	0.027008622510282	0.03395915213485	0.00663543341618394	0.0261072283826694	0.045621620378035	0.0810589080221623	0.0551422665933183	0.00450121810019835	0.0148709613553854	0.0330914391661025	0.0223501853282579
OM2_C_4H_3	0.00747832415097798	0.0184152656809733	0.0306660790322816	0.044184300087038	0.0407756699046009	0.0568670700035176	0.108076407569227	0.0636544350122804	0.0597067091940717	0.0833430006688621	0.0627447982482186	0.0413137431912775	0.0158976469035791	0.0923954789704716	0.0991873865333209	0.0249630154254429	0.0200708409307399	0.03509940584946	0.0762417822218786	0	0.0268893660472433	0.0824258875271744	0.087970373876839	0.0970717156943416	0.036010287944556	0.0907182404439174	0.0865512006390701	0.026812006741598	0.0671533363638661	0.05835655799823	0.0486468844890362	0.0189941886343338	0.0354651924257278	0.0766118897129912	0.0513333699341229	0.106848150432888	0.0746322434651885	0.100836970946418	0.043579125422476	0.0062265032860416	0.0225314281747041	0.0792463411115722	0.0673144383554659	0.0460278546854	0.0950193739007479
