	OM2_B_B_1	OM2_B_B_2	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4G_1	0.0564209992779752	0.0317504329859164	0.0330881222689902	0.0335375715139966	0.0421613859307971	0.0358560979631914	0.033047800874996	0.032886707238148	0.0519419496325001	0.0310481088229312	0.050264011203995	0.0417963856609001	0.0397288346642756	0.0429798981690778	0.0364443872193849	0.0444528635873903	0.0435449434244983	0.0314887466352337	0.0365648699649406	0.0454419463746006	0	0.00332211892002106	0.0207952194000066	0.0377878950713515	0.02317972576221	0.0344649024997136	0.0234756913406527	0.0277029968842077	0.0329308003533201	0.026338394774594	0.0332167833387857	0.0495012475997354	0.0378028574249215	0.0286000075070099	0.0509104305057974	0.0173981411539183	0.0243484794238404	0.026093734787138	0.00969744726438395	0.0107299539886233	0.0133133554447321	0.0340809005227721	0.0342416871781542	0.0405702639307159	0.0258960478669282	0.0288819110847796	0.0390858306993158	0.031992809207609	0.0396705137033589	0.0465506018638885	0.0424597491938262	0.0462871481146257	0.031484340454618	0.053649445548632	0.0450221666029893	0.0440542849207619	0.0581279144616203	0.0676369806667996	0.0528257417345943
OM2_C_4G_2	0.0543787689027101	0.0297570583853258	0.0308500501290019	0.0314224193602935	0.0401231567902048	0.0333620909647847	0.0304715026056676	0.0305654639899064	0.0498763078455538	0.0290864529380213	0.0479505756460513	0.040139740009416	0.0371980201540376	0.0408880320627083	0.0345325316196374	0.0422945524247081	0.0416233553615259	0.029077118367035	0.0342896193381725	0.0434409302840297	0.00332211892002106	0	0.0180532082733385	0.0361608560533023	0.0214307729557307	0.0322104033887356	0.0218186342494874	0.0258289392573653	0.0309118022506578	0.0243431770973017	0.0312441287178912	0.0471387137721316	0.0357769333710664	0.0259251555528799	0.0488094669817731	0.0181939246298568	0.0262455734509516	0.0283771481622352	0.00939409438068864	0.00971886452563464	0.0104837379451644	0.0316329675719701	0.0323728640688486	0.0381846688185508	0.0235166055433522	0.0266294769442822	0.0368893666527445	0.0294166304891377	0.0371265693364632	0.0443517403948322	0.0400036381921419	0.0441663346778032	0.0284940616684161	0.0517593551208769	0.0429595306112635	0.0418685349695487	0.0562759698156882	0.0653413315463606	0.0503836962339569
OM2_C_4G_3	0.0373908776948805	0.0138545587161333	0.0138131628564852	0.0148351385145115	0.0234259788221893	0.0155220482060519	0.0125192496041366	0.0132470927161279	0.0328800910387467	0.0134147374974885	0.0303434479349619	0.0249493547600541	0.0192695451503895	0.0239874141143716	0.0185926739549415	0.0251544691788849	0.0252952725658327	0.0115263324180766	0.0169890640955035	0.026775545896565	0.0207952194000066	0.0180532082733385	0	0.0213813070820554	0.00906642239568436	0.0150510035556139	0.00986358074124109	0.0111721469881121	0.014779360656958	0.0093283524754758	0.0152926800889406	0.0294371865044059	0.0192969061222976	0.00788750766505302	0.0317266622019603	0.0346799070458207	0.0439281093963877	0.0463406567348475	0.0152437664982601	0.012990001241406	0.00757525676636761	0.0139170692834089	0.0167978339529631	0.0205134566354597	0.00649317101046159	0.00984240703514866	0.0197608302602672	0.0114733390020358	0.0191808649587864	0.0270611708581608	0.0221759477301653	0.0271018486214623	0.0263373977222822	0.0352797534156595	0.0261020284381736	0.0246563178377575	0.0398438485653094	0.0476893149597854	0.0325317899717987
OM2_C_4H_1	0.0196716386253461	0.00764749449010117	0.00927113154108406	0.00763913980946096	0.00714695999143962	0.0122454358879142	0.0138228375509975	0.0103703019138871	0.0155756090662583	0.00798537052355905	0.0163946858696404	0.00401942869444965	0.0133840720674355	0.00831410974555096	0.00396197962693763	0.010111429790593	0.00699647067132357	0.0120518629552098	0.00889853212500374	0.00925991985440089	0.0377878950713515	0.0361608560533023	0.0213813070820554	0	0.014743381586897	0.00897253990209072	0.0143537360273368	0.0105864252004509	0.00701061026144041	0.0123328221553635	0.0063906559320097	0.0163737444636836	0.00531330164773383	0.0165237136174133	0.0148904028079178	0.0542183276736537	0.0621102733403354	0.0636506657811502	0.0286221754099608	0.0271234039786293	0.0272267349617709	0.0117378437053461	0.00474397911513063	0.0112674462745204	0.0150102120100008	0.0118627004595636	0.00794673901209134	0.0140602880072006	0.0135917066201044	0.0121329966620619	0.0131726488426962	0.0110845327237806	0.0460738988321475	0.0162874034996368	0.00948914640807812	0.010171745345273	0.0205887038578433	0.0320846213025944	0.020051583034958
OM2_C_4H_2	0.03335640639211	0.00877924774602791	0.0108621105804168	0.0108266245324522	0.0191374187994954	0.0147807356664325	0.0129440450568326	0.0110868845237177	0.0289128236602602	0.00802902506284393	0.0277734604183128	0.0187167198565725	0.0185639258435697	0.0200364508525705	0.013307884025757	0.0216275339309822	0.0204000465338309	0.0104190972608552	0.0142920889742862	0.0223572741432736	0.02317972576221	0.0214307729557307	0.00906642239568436	0.014743381586897	0	0.0122190786765978	0.000800757324747704	0.00460232597403095	0.00998667297103314	0.00371563484525709	0.0101786304722526	0.0271832781941264	0.0147957351635415	0.0105851942344714	0.0279338380557151	0.0394945190841067	0.0474919701327614	0.0492031004118249	0.0144721625593629	0.0126905747629897	0.0128397805930699	0.0128991335297968	0.0110828762337957	0.0185891082965541	0.00619658360230487	0.0072276952894831	0.016448866219545	0.0120844018963148	0.0185911187875538	0.0237948394470127	0.0207315475364786	0.0233695365827833	0.035386805332643	0.0304916594453066	0.0220166470728514	0.0212975233404856	0.034969878001463	0.0449686603591192	0.0307463507708884
OM2_C_4H_3	0.0223779790083418	0.00417643512229644	0.001387783333882	0.00202503963292182	0.00842696150005763	0.00373253297447482	0.00486713614194596	0.00184751264965549	0.0178582683027713	0.00487970126527273	0.0158204652746502	0.0112464581844442	0.0067013406565364	0.00893865430792807	0.00504363828398012	0.0101539051866402	0.0104538034437315	0.00371543219733783	0.00211277551675491	0.0117549064617497	0.0344649024997136	0.0322104033887356	0.0150510035556139	0.00897253990209072	0.0122190786765978	0	0.0123412779711979	0.00790356312312153	0.00334019320166409	0.00853663942898358	0.00377641720049026	0.0151117934164063	0.00467724460365622	0.0083460348484012	0.0167270960122947	0.0495661782142635	0.0584167301703785	0.0604980131805921	0.0264821379820271	0.0245231371052303	0.0221428194163232	0.00277261530565379	0.0049435976118516	0.00637071424424584	0.00877122623915319	0.00558886480321781	0.00472938133435814	0.00523538776093329	0.00679309433818412	0.012158661247188	0.00852799995237629	0.0120811601496151	0.0377150767401939	0.0202618931695929	0.0110537639719163	0.00969139160375102	0.0248227960451739	0.0332063405577384	0.018591481000198
OM2_C_5A_1	0.0331717172245691	0.00872910347457811	0.0110072393976198	0.0108505960610808	0.0189985417059517	0.0150542248039953	0.013350499094723	0.0113088975108322	0.02875045476655	0.00796310270249197	0.0277566322323117	0.0183493596299818	0.0187888293868679	0.0199270358022868	0.0131188110079653	0.0215508423178812	0.0201824395971711	0.0107633362537479	0.0143862464629995	0.0221799125122223	0.0234756913406527	0.0218186342494874	0.00986358074124109	0.0143537360273368	0.000800757324747704	0.0123412779711979	0	0.00454301258918043	0.00993513256343741	0.00397707147262415	0.010078109300006	0.027199919893086	0.0146811579212905	0.0112027619587797	0.0277936219437672	0.0399267659075767	0.047805723348069	0.0494542885908193	0.014596982149496	0.012897607948204	0.0134535482360604	0.0131843942310708	0.0108766722513951	0.0187011106216444	0.00682873652262398	0.00756789636170603	0.0164456085908514	0.0125248403008745	0.0188259566204587	0.0237303692787591	0.0208679822868527	0.0232594433241369	0.0361788679907518	0.0302369299140185	0.0218777807539982	0.021240878851526	0.0346932718644274	0.04488642707323	0.0307912246882519
OM2_C_5A_2	0.0287745454720505	0.00419057130070984	0.0066237126478083	0.00631879792214882	0.0145391020689841	0.0109208896816801	0.00975405370855578	0.00710042732282892	0.0243206883337946	0.0034313012077276	0.0232159944084357	0.0144492443597821	0.0144971715222005	0.0154348117722877	0.00874552462212174	0.0170323802685556	0.015850720676802	0.00700455304048764	0.0099010837053227	0.0177741087830451	0.0277029968842077	0.0258289392573653	0.0111721469881121	0.0105864252004509	0.00460232597403095	0.00790356312312153	0.00454301258918043	0	0.00539820747208316	0.00184426776872163	0.00557647855970835	0.0226594279580987	0.0101939966452159	0.00906090588128607	0.0233351462452553	0.0437653860952559	0.0519747279079864	0.053752371482289	0.0190721280293239	0.0172841979007997	0.0166432982235301	0.00912075153939529	0.00655113668925877	0.0142240654284159	0.00550794473338683	0.00408919658301762	0.0119031249038857	0.00912796937824883	0.0145563156773405	0.0192050687360409	0.0164157071790198	0.0187682175891783	0.0370355538392074	0.0259736943286989	0.0174178988162635	0.0167109948551375	0.0304777448774814	0.0403762290509772	0.0262579914530581
OM2_C_5A_3	0.023512384614945	0.00120799000388992	0.00274649921051924	0.00131606137319432	0.00923659931653856	0.00704138743721531	0.00744587740245721	0.00383462207813651	0.0190262408720127	0.00197343216622639	0.0178260222585462	0.010221790544585	0.0099238061871391	0.0100779917810777	0.00381651651248015	0.0116428733507099	0.0107596261473748	0.00520803009801501	0.00489136141886332	0.0125383709243177	0.0329308003533201	0.0309118022506578	0.014779360656958	0.00701061026144041	0.00998667297103314	0.00334019320166409	0.00993513256343741	0.00539820747208316	0	0.00659517116116503	0.000639558266994503	0.0172946858437433	0.00487570644688924	0.0095286049329781	0.0180063612632709	0.0486456216079816	0.057119073229274	0.0589988526120446	0.0244554412122722	0.0226311228641058	0.0212681241669336	0.00574558002523301	0.00228684272362149	0.00912421442373835	0.00829145643528829	0.00498505830660281	0.00653574656458744	0.0074171027908978	0.0100380877385126	0.0138100308362021	0.0113597342600052	0.0134064231682318	0.0390696346504756	0.0209014192567315	0.012101332473457	0.0113139892415107	0.0254497377926567	0.0349891461945888	0.0209225085655564
OM2_C_5F_1	0.0301050529104583	0.00542105677523546	0.00716753057477877	0.00727054147882298	0.0158313310374153	0.0110858552134254	0.00942055002551514	0.00737193937997623	0.0256194431434258	0.00474622167845725	0.024211200776382	0.0161341326952924	0.0148510839389803	0.0166589797540059	0.0102040563801652	0.0181774451153306	0.0172892210287854	0.00679387862715586	0.010627259805636	0.0191256340930537	0.026338394774594	0.0243431770973017	0.0093283524754758	0.0123328221553635	0.00371563484525709	0.00853663942898358	0.00397707147262415	0.00184426776872163	0.00659517116116503	0	0.00690386551574283	0.0235780521777189	0.0114704327774245	0.00787731033751149	0.0245931730444535	0.0421791828817371	0.050543207725934	0.0524137512466563	0.0179952059582108	0.0160998111569171	0.0149375024412011	0.00921137003444705	0.00809242857669887	0.0149036310997553	0.00390364892833478	0.00360481932360092	0.0128947400407672	0.00864143878542935	0.0148806018871484	0.0203157065910077	0.0170309687036171	0.0199790561716332	0.0352587686310098	0.0274349659873343	0.0186942683232065	0.0178121077395865	0.0319644348312657	0.0414926083972976	0.0271073343559603
OM2_C_5F_2	0.0232275863039756	0.0014986819002024	0.00332910330251138	0.00177902601686965	0.00896933360450532	0.00750588588500465	0.00804803551397258	0.00443377860887883	0.0187585666198752	0.00216998684060318	0.0177310891898389	0.0096731047121789	0.0102266408438825	0.00985938364589802	0.00334988665240726	0.0114745998350009	0.0103903174655112	0.00584486671291293	0.00513201738872422	0.0122335551952683	0.0332167833387857	0.0312441287178912	0.0152926800889406	0.0063906559320097	0.0101786304722526	0.00377641720049026	0.010078109300006	0.00557647855970835	0.000639558266994503	0.00690386551574283	0	0.0172424755691429	0.00461789386640077	0.0101613506417269	0.0177625322930083	0.0490305218087391	0.0574364073353235	0.0592776217013236	0.0246453524177072	0.0228555109275526	0.0216846826068025	0.00629284546734745	0.001654474634302	0.00926886336675432	0.00881661425943171	0.00554369370210491	0.00651461460179973	0.00804299813718504	0.0103526732553023	0.0136582016341178	0.0115084351702168	0.0131931998090425	0.0396928157740492	0.0205384341332426	0.0118462356076913	0.0111752244195737	0.0250761009686433	0.0348154984473522	0.0208960496199795
OM2_C_5F_3	0.00973642235030377	0.0184903612223423	0.01649937625555	0.0163602648715729	0.00925850634614233	0.0139267023874295	0.0169976362633682	0.0166278315953456	0.00649872857901124	0.0192645304920802	0.00128413600204241	0.0140419419779719	0.0103795284796283	0.00809539214261124	0.0148166255640745	0.00627697473727476	0.00978030028439924	0.0180742586628372	0.0129992034402917	0.00775745424473919	0.0495012475997354	0.0471387137721316	0.0294371865044059	0.0163737444636836	0.0271832781941264	0.0151117934164063	0.027199919893086	0.0226594279580987	0.0172946858437433	0.0235780521777189	0.0172424755691429	0	0.0128840521695847	0.0217171888097529	0.0054517187262176	0.064068484729648	0.0732471635437828	0.0754600055236282	0.0415618293887662	0.039624813053713	0.0368648176781349	0.0155494300796052	0.0169258312443422	0.00896301589867353	0.0236406838392712	0.0206586030135906	0.0107611885174079	0.0180152787430836	0.0105246502473315	0.00429021629465511	0.00732568620316776	0.00556645051732738	0.0475069431085078	0.0103535574832269	0.00708331432871939	0.00632064950906177	0.013753950305651	0.0182655353125884	0.00372156504786917
OM2_C_5G_1	0.0186376644579043	0.0060583981668617	0.00560760614860604	0.0044748784386971	0.00436184935726257	0.00722654011120001	0.00936798625299148	0.00646917780320445	0.0141538022965392	0.00677985479611729	0.0132648551485625	0.00666607494827239	0.00807782016118617	0.00524655951914612	0.00201909378995307	0.00690588089169092	0.00600296061181515	0.00834538152150061	0.00381113860412979	0.00767045725486482	0.0378028574249215	0.0357769333710664	0.0192969061222976	0.00531330164773383	0.0147957351635415	0.00467724460365622	0.0146811579212905	0.0101939966452159	0.00487570644688924	0.0114704327774245	0.00461789386640077	0.0128840521695847	0	0.0130011268009316	0.0131466619483399	0.0534548923069418	0.0619834453189084	0.0638643578370998	0.0292589004464275	0.0274713920473226	0.0260447307860605	0.00716934999406167	0.00404357571531516	0.00610580024955949	0.0128354188217185	0.00948196123127541	0.00276290717193142	0.00986856522214539	0.00828251986923452	0.00910412317088373	0.00817948173268638	0.00857993339760947	0.0423764570832408	0.0160890600821545	0.00723271710395534	0.0066590847809538	0.0206507815514478	0.030219379021709	0.0165885260676949
