	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_3	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2
OM2_C_4E_3	0.0151652066233975	0.0328916263204246	0.03959943437011	0.0439642785201424	0.0210539245889195	0.0291704268363187	0.0317091310247852	0.0230288841393148	0.03335916147628	0.0224410737072289	0	0.0192201690234054	0.025860429298836	0.00253664639471861	0.0234623931496442	0.027521351667468	0.0114371670098535	0.0273722500800319	0.0230381161823782	0.0277391342653488	0.00764225018768897	0.0239288726582659	0.0146421049521104	0.0148591430793463	0.0145407701530465	0.00911861741879977	0.00639320489788883	0.0412970468647189	0.0262863647271533	0.0081040283043197	0.00795150599793661	0.0179305469023574	0.0276182417140841	0.0173398188119784	0.00632977586616538	0.0255161606156901	0.0143644232141353	0.0175065169017239	0.00962531651216145	0.0200886818605002	0.0388861688133368
OM2_C_4F_1	0.00812435626470192	0.0238757809005431	0.0254497867364925	0.0299874688640385	0.0340906698399115	0.0214062383128131	0.044452868187577	0.0109059882205143	0.0185664981560948	0.00986815679091773	0.0192201690234054	0	0.0139452081931526	0.0205615871552953	0.0100016427243318	0.0171798759662883	0.0266567148777597	0.0156499191846866	0.00899257539536127	0.0148629683343676	0.011925467224091	0.00516334071391085	0.00731086459491954	0.00845563929477828	0.0149561429871005	0.010489056273954	0.0134488240221791	0.023064551395225	0.014408883776925	0.0156984410924592	0.012380323263742	0.0332349239947267	0.0177789816360588	0.034502120412296	0.0159494877151836	0.0101184695796102	0.0057040290223538	0.00418700200363939	0.0100869344168086	0.0102227677986682	0.0251786784435534
OM2_C_4F_3	0.0110593783246217	0.00996056428303797	0.0137455110420595	0.0181489097871638	0.045053480572591	0.00800933213093571	0.0557992523158491	0.00326482684159539	0.00783941341261088	0.00424200200710597	0.025860429298836	0.0139452081931526	0	0.0280992919691226	0.00394805958351045	0.00334841459444309	0.036252208891716	0.00175895139011472	0.00497120234816298	0.00198152381044324	0.0187659135702922	0.0114689660117412	0.0119773827970103	0.0112732493488528	0.0129015737609709	0.0175476163672686	0.0196219994811227	0.0186350573118896	0.000486112771425959	0.0263695207039177	0.0180218542462284	0.0430618162059194	0.00405385653218877	0.043120156511011	0.0199591065313313	0.00507987102186666	0.0135773025095997	0.01114738901549	0.0202424016239856	0.00582142041835268	0.0130575694032639
OM2_C_4G_1	0.0172484144215161	0.0353421418657957	0.0418311148161866	0.046229694330776	0.0185221672353907	0.0316361908531385	0.0291738984563348	0.0251911772658997	0.0354953642815437	0.0245553219095553	0.00253664639471861	0.0205615871552953	0.0280992919691226	0	0.0255431786143149	0.0298710769312687	0.00890066290565051	0.0296471521030512	0.0250620194807652	0.0299486658027207	0.00953591426564904	0.0254489044029079	0.0166227058196327	0.0169658931331089	0.0170378292886484	0.0109517131466528	0.0084894994750899	0.0430449116234168	0.0285349728422148	0.00744437216564302	0.0100872165472182	0.0154239182802408	0.0299924577914206	0.0150296059879449	0.00883406723999416	0.0274905790158168	0.0160851914200796	0.0192575892634802	0.0105948839277835	0.0222971710282846	0.0411451443655908
OM2_C_4G_2	0.00830301584193717	0.0139033265901505	0.0166205619095378	0.0211530570550465	0.0418623458256773	0.0117184703143154	0.052548861171955	0.00147889024857411	0.00999798038281861	0.00115176543070359	0.0234623931496442	0.0100016427243318	0.00394805958351045	0.0255431786143149	0	0.00723932404272591	0.0333308607615229	0.00565142666076599	0.00103158748310622	0.00503244128173281	0.016031939489326	0.00782284500946839	0.0089724336416208	0.00860469698994444	0.0121199777472046	0.0146883957249645	0.0170879388381018	0.0188245316321015	0.00440801516136556	0.0230845893956044	0.0155130870536232	0.0401382078656478	0.0078892623330902	0.040497003544694	0.0179750591598348	0.00267802642867684	0.0101817634110285	0.00744955980907248	0.0169131237407119	0.00394935191517681	0.0161087896912149
OM2_C_4G_3	0.0133741943999475	0.006704123734974	0.0125857699371323	0.0166584785318939	0.0473197137138543	0.00474782384467992	0.058101779172185	0.00629942304915183	0.00812184238648456	0.00733479491682004	0.027521351667468	0.0171798759662883	0.00334841459444309	0.0298710769312687	0.00723932404272591	0	0.0382926855609765	0.00207058156112396	0.00827051320886198	0.00366422559447706	0.0208221255890692	0.0148107565951366	0.0144248852702938	0.0135175464799651	0.013651763328719	0.0197302053635777	0.0214978018102369	0.019910060405441	0.00295999893222933	0.0288106336647501	0.0199124690321398	0.0450742046681686	0.000771345629318395	0.0448508855030141	0.0213788101487668	0.00833903566409897	0.0162689299671841	0.0141233792291832	0.0227783566554984	0.00814744239269667	0.0116903549427355
OM2_C_4H_1	0.0252097820714186	0.0440078651765564	0.0498759074485085	0.0543517014085486	0.00965194982774802	0.040348863782024	0.0202781814804763	0.0331849544378821	0.0433161957083371	0.0324404737000181	0.0114371670098535	0.0266567148777597	0.036252208891716	0.00890066290565051	0.0333308607615229	0.0382926855609765	0	0.0378792632113895	0.0327163435219671	0.0380105666386074	0.0175059562080431	0.0318012966502538	0.0243855662431434	0.0249844266545896	0.0258555257336264	0.0187169926260302	0.0168236345505237	0.0496940749830599	0.0367087864848675	0.0109866183447235	0.0183948239462341	0.00681734441958656	0.0384758359941092	0.00810765729182697	0.0176912909921087	0.0349779596971535	0.0233143130567664	0.0264111150852552	0.0167980649884205	0.0304399608853845	0.0492694864824696
OM2_C_5A_2	0.0127216792892981	0.00833901750844302	0.0122766350995078	0.016600997569134	0.046735300326448	0.00679865560205149	0.0574897771948138	0.00502136532711662	0.00686798680594358	0.00600038289526595	0.0273722500800319	0.0156499191846866	0.00175895139011472	0.0296471521030512	0.00565142666076599	0.00207058156112396	0.0378792632113895	0	0.00665865372570866	0.00161859293524691	0.0203815442299052	0.0129374024284824	0.0136727902480337	0.0129186576417515	0.0140422008822212	0.0191936553846525	0.0211888732767945	0.0182883790339468	0.00127355793794238	0.028079721036158	0.0195898095991248	0.0446842633545945	0.00284192369022474	0.0446653972594064	0.0213819040040204	0.00637758030979846	0.0153178403482307	0.0129060756824506	0.0219654501355088	0.00745084694325791	0.0115222466198897
OM2_C_5A_3	0.00788907541364647	0.0149298913513927	0.0173454721714708	0.0218935958180627	0.0411502438736066	0.0127403422382542	0.0518113970802596	0.00233187999524451	0.0106235417909235	0.00156494185892118	0.0230381161823782	0.00899257539536127	0.00497120234816298	0.0250620194807652	0.00103158748310622	0.00827051320886198	0.0327163435219671	0.00665865372570866	0	0.00595067586093168	0.0155305185618839	0.00685798158033242	0.00844334687948204	0.00821816893859369	0.0122681591037913	0.0141515027968077	0.0166483345200907	0.0188625793795132	0.00542585884763313	0.0223609793079823	0.015092716286741	0.0395156919791358	0.00892048985157321	0.0399696884381438	0.0177073300626886	0.0025817460783501	0.00946915964892334	0.00661415093087766	0.0161891478051689	0.00413815870207779	0.0168787246201215
OM2_C_5F_3	0.012808446217126	0.00952256459140781	0.0118969870987453	0.0163566533211167	0.0467134378231827	0.00833768210319561	0.0574333722599136	0.00483587330156893	0.00585793102845837	0.00566940810486578	0.0277391342653488	0.0148629683343676	0.00198152381044324	0.0299486658027207	0.00503244128173281	0.00366422559447706	0.0380105666386074	0.00161859293524691	0.00595067586093168	0	0.0205572257198398	0.011754213496991	0.0136591797180371	0.0130468042689329	0.0148822397205714	0.019300504824487	0.0214632118160128	0.0168620296942748	0.00169670080489203	0.0279772019604756	0.0198644821816699	0.0448223957092457	0.00443203800738794	0.0449636228888675	0.0218911250524939	0.00513422825399473	0.0151062773551591	0.0124749943551059	0.0218210142947532	0.00765557597924826	0.0112698035993963
OM2_C_5G_2	0.00776613324463891	0.0267465654570628	0.03244860863862	0.0368989356701595	0.0265463227802039	0.02320073918504	0.0373489071091056	0.0157520079288164	0.0260106632051689	0.0150689680562965	0.00764225018768897	0.011925467224091	0.0187659135702922	0.00953591426564904	0.016031939489326	0.0208221255890692	0.0175059562080431	0.0203815442299052	0.0155305185618839	0.0205572257198398	0	0.0163934158632619	0.00708818610841612	0.00751214154691107	0.00958008672421194	0.00148837274405728	0.00154587848126927	0.0336595264205251	0.0192184847152334	0.00861427024671303	0.00144663569116838	0.0243130785513158	0.021037833457916	0.024474256459314	0.00459031089375746	0.0179583215800488	0.0067478831135162	0.0098699880611433	0.00442380498357494	0.0129461356189855	0.0318096949895049
OM2_C_5G_3	0.0106252164914612	0.0212459278936063	0.021057967796363	0.0255250975583778	0.0392205747640013	0.0194515181087822	0.0495235704225788	0.00918542002543728	0.0142626808801516	0.00830092289598223	0.0239288726582659	0.00516334071391085	0.0114689660117412	0.0254489044029079	0.00782284500946839	0.0148107565951366	0.0318012966502538	0.0129374024284824	0.00685798158033242	0.011754213496991	0.0163934158632619	0	0.0103345965611386	0.0110187576807826	0.0169935528217945	0.0149084158856054	0.0178450472055965	0.0179077614768724	0.011853792581789	0.0208559684609289	0.0165682746630463	0.038393487529155	0.0155221373640779	0.0396082911140388	0.0199377979674054	0.00662038425953591	0.00968470110931559	0.00680568923968237	0.0151383049653021	0.0100265010004808	0.0209276637261151
OM2_C_6E_1	0.00121911522643998	0.0207973773274697	0.0255082931820808	0.0300026848655984	0.0330855425629046	0.0175645343180689	0.0438363685083192	0.00882357813364087	0.0189684584439069	0.00805785900937619	0.0146421049521104	0.00731086459491954	0.0119773827970103	0.0166227058196327	0.0089724336416208	0.0144248852702938	0.0243855662431434	0.0136727902480337	0.00844334687948204	0.0136591797180371	0.00708818610841612	0.0103345965611386	0	0.00135332726454482	0.00773135667740342	0.00571769018993112	0.00825282749714168	0.0267859788512526	0.0124498476174244	0.0144176423421879	0.00674131379985529	0.0311991786865864	0.0147712687037823	0.0315393516456	0.00976230477109274	0.0108815500135701	0.00235025918137209	0.00356633834361902	0.00835560525631882	0.0062842358311112	0.0249233837111988
OM2_C_6E_2	0.000395452765223992	0.0197639830824091	0.0249392722982508	0.0293952280226335	0.0338466562690859	0.0164465235001766	0.0446229204027228	0.00824269190256427	0.0185345268935068	0.00759275655888263	0.0148591430793463	0.00845563929477828	0.0112732493488528	0.0169658931331089	0.00860469698994444	0.0135175464799651	0.0249844266545896	0.0129186576417515	0.00821816893859369	0.0130468042689329	0.00751214154691107	0.0110187576807826	0.00135332726454482	0	0.00650397988622731	0.00627672749778988	0.00849032621336356	0.0268824884298855	0.0117324006864719	0.0153053873716446	0.00690977056252336	0.0317973075603041	0.0138152546461422	0.0319605071773709	0.00955437315777356	0.0107516589801577	0.00370062585776255	0.00446481896577668	0.00936302344792966	0.00546812233330616	0.024305743889132
OM2_C_6G_1	0.00683266627797181	0.0184340939718431	0.0261914671695554	0.0303047471315196	0.0353292096006308	0.0146749678351366	0.0460844372626566	0.0110267023785985	0.020738288663027	0.0109721087195088	0.0145407701530465	0.0149561429871005	0.0129015737609709	0.0170378292886484	0.0121199777472046	0.013651763328719	0.0258555257336264	0.0140422008822212	0.0122681591037913	0.0148822397205714	0.00958008672421194	0.0169935528217945	0.00773135667740342	0.00650397988622731	0	0.00926043971392674	0.00949470171351461	0.0308955268526579	0.0132203411441333	0.0181701590743118	0.00821324290708836	0.0324576330434338	0.013586225345464	0.0317135843361349	0.00821138082354489	0.0147598910209457	0.00987636294449004	0.0108873815967004	0.0133714539538679	0.00817680722975706	0.0253310809710276
OM2_C_6G_2	0.00649430615289206	0.0257949235120497	0.0311795616673695	0.0356518816046334	0.0276023337602772	0.0223178599466112	0.0383927900730898	0.0144758694075191	0.0246814247744962	0.0137548287301992	0.00911861741879977	0.010489056273954	0.0175476163672686	0.0109517131466528	0.0146883957249645	0.0197302053635777	0.0187169926260302	0.0191936553846525	0.0141515027968077	0.019300504824487	0.00148837274405728	0.0149084158856054	0.00571769018993112	0.00627672749778988	0.00926043971392674	0	0.00296469472460798	0.0321869420934858	0.0180079953803664	0.00928868712052127	0.00209091414580882	0.0255324369719071	0.0199830669563461	0.0258258365056619	0.00569645733319368	0.0165495467658763	0.00525990140476161	0.00838874062869458	0.00414470077853048	0.0117437168354216	0.0305655410569697
OM2_C_6G_3	0.00878554433926419	0.0272235485293568	0.0333512827877211	0.0377629196289176	0.0260710023172799	0.0236042454293664	0.0368702383114552	0.0167047469160176	0.0270190626013171	0.016082289436012	0.00639320489788883	0.0134488240221791	0.0196219994811227	0.0084894994750899	0.0170879388381018	0.0214978018102369	0.0168236345505237	0.0211888732767945	0.0166483345200907	0.0214632118160128	0.00154587848126927	0.0178450472055965	0.00825282749714168	0.00849032621336356	0.00949470171351461	0.00296469472460798	0	0.0349715047162597	0.0200617807231117	0.00880415424753115	0.00160041948764084	0.0235915395820661	0.0216642221309541	0.0235112423091399	0.00322889249273482	0.0191245724977232	0.00816825203420769	0.0112384156706694	0.00562510883503672	0.013812370240555	0.0326748397858529
OM2_C_6H_1	0.0265174621014292	0.0221319215972203	0.0131103490397447	0.0152520870379442	0.0569648010924611	0.0234562172612049	0.0670649300848088	0.0198745698499917	0.0120004053118003	0.0199754824161033	0.0412970468647189	0.023064551395225	0.0186350573118896	0.0430449116234168	0.0188245316321015	0.019910060405441	0.0496940749830599	0.0182883790339468	0.0188625793795132	0.0168620296942748	0.0336595264205251	0.0179077614768724	0.0267859788512526	0.0268824884298855	0.0308955268526579	0.0321869420934858	0.0349715047162597	0	0.0185013796272139	0.0387563673671878	0.0335107289917395	0.0562791035946802	0.0205337049576199	0.0574564871220092	0.0364322510067261	0.016283644354352	0.0269746309425143	0.0238100514713852	0.0329865674402489	0.0227659745216629	0.0140221404195775
OM2_C_6H_2	0.0115230102804046	0.0095163956599036	0.0133209645942458	0.0177072117655409	0.0455237898887053	0.00766956049007386	0.0562716985170492	0.0037508640607709	0.00752467165680243	0.00472685319569981	0.0262863647271533	0.014408883776925	0.000486112771425959	0.0285349728422148	0.00440801516136556	0.00295999893222933	0.0367087864848675	0.00127355793794238	0.00542585884763313	0.00169670080489203	0.0192184847152334	0.011853792581789	0.0124498476174244	0.0117324006864719	0.0132203411441333	0.0180079953803664	0.0200617807231117	0.0185013796272139	0	0.0268463444180351	0.0184616643767089	0.0435173965560258	0.00369017847136429	0.0435559407807824	0.0203600737374531	0.00539631195012696	0.0140606920777243	0.0116326478791629	0.0207220790872584	0.00627318617229658	0.0126172605615671
OM2_C_6H_3	0.015439379202888	0.0350226781792707	0.0396916918671335	0.0442269881356696	0.0187987355091898	0.0315891260471921	0.0294834118970553	0.0231639902350105	0.0329629607558274	0.0223133865707171	0.0081040283043197	0.0156984410924592	0.0263695207039177	0.00744437216564302	0.0230845893956044	0.0288106336647501	0.0109866183447235	0.028079721036158	0.0223609793079823	0.0279772019604756	0.00861427024671303	0.0208559684609289	0.0144176423421879	0.0153053873716446	0.0181701590743118	0.00928868712052127	0.00880415424753115	0.0387563673671878	0.0268463444180351	0	0.00995790786939224	0.0175483791448537	0.0291175723095862	0.0189637179973213	0.0113593950674374	0.024456387134024	0.0129045930849664	0.0158370713702843	0.00617384310696156	0.0206941893642011	0.0391827937302504
OM2_H_2A_1	0.00721414282633474	0.0256874488679876	0.0317522400468704	0.0361635161552334	0.0275887835512046	0.0220911814208334	0.0383913552622762	0.0151109362527868	0.0254307440855032	0.0144984292467482	0.00795150599793661	0.012380323263742	0.0180218542462284	0.0100872165472182	0.0155130870536232	0.0199124690321398	0.0183948239462341	0.0195898095991248	0.015092716286741	0.0198644821816699	0.00144663569116838	0.0165682746630463	0.00674131379985529	0.00690977056252336	0.00821324290708836	0.00209091414580882	0.00160041948764084	0.0335107289917395	0.0184616643767089	0.00995790786939224	0	0.0251726410949604	0.0200877871522331	0.0251104834066233	0.00363054037202082	0.0175857196798707	0.00689445724204036	0.00986756576182568	0.00580674490586302	0.0122126908894926	0.0310751615919805
