	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6G_2	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4G_3	0.0585620613256256	0.0546980329258491	0.0577699677139324	0.0494134264783309	0.0297139886889182	0.0127217302579663	0.00654183485914387	0.0167236021145124	0.0302197349397173	0.0305444252163385	0	0.061596589488342	0.0534066484470116	0.0452726980519685	0.0751465130562804	0.0804374792691254	0.0778218015743152	0.0112695759357697	0.0224650869713607	0.020255050353441	0.0132282687014567	0.154834919746983	0.00755434804265466	0.113317485330552	0.0203730695472783	0.0233920258445296	0.0195076523037493	0.0165775816386968	0.00701995752731571	0.00681925089400047	0.00573064254500963	0.0152141452151678	0.0140327543840449	0.0169120910948701	0.00918774837708934
OM2_C_4H_1	0.00305390741651785	0.00860086415785157	0.00971133612489361	0.0183551635755709	0.0404483520613313	0.053142293316808	0.063704725605483	0.0472216067956349	0.0332471323022462	0.0323212054851282	0.061596589488342	0	0.00928804500765245	0.0193380484020183	0.0162568770101956	0.020889860072821	0.0194487846470883	0.0521789880599364	0.0425208605822146	0.0415411275827318	0.0508253295830492	0.0938662378235333	0.054856391966281	0.05226118487825	0.0419486017630902	0.0386930252152013	0.0615767559046972	0.0459304973148371	0.0586996644688266	0.0656988155213327	0.063084609882117	0.0497856052154295	0.048545734434909	0.0451543035691246	0.0535057570592545
OM2_C_4H_2	0.00657247493758763	0.00258913222850408	0.0111965190200479	0.0141959712084331	0.0312045582347766	0.0446023094099742	0.0552991117009281	0.0385230100478076	0.0244678117405852	0.0234748532241677	0.0534066484470116	0.00928804500765245	0	0.011864114221517	0.0236225092186321	0.0291726194804646	0.027490363783489	0.0436893688356125	0.0335743224827962	0.0333255980136797	0.0422744684313905	0.10214675631964	0.0466652878681624	0.0600891174474749	0.0338495845740393	0.0309430449635306	0.0524160846593376	0.0373854115639629	0.0504458377408845	0.0575911988660304	0.0549424462920885	0.0409871094400919	0.0402141877808594	0.0370366474789022	0.0453866905639023
OM2_C_4H_3	0.0165493056068299	0.011557345837591	0.0142327307840129	0.00735314609045041	0.0256175129466527	0.0381642053178327	0.0480256597205036	0.0298825239376861	0.0158460903360067	0.0162677233100986	0.0452726980519685	0.0193380484020183	0.011864114221517	0	0.0303360823872899	0.0361511848587057	0.0337321690530071	0.0365948850389243	0.0252994246183577	0.0251712352742146	0.0333294934786301	0.110597855943129	0.0393164942419821	0.0693025416646941	0.0250227272877003	0.0246698820020601	0.0443202079523682	0.0291697246793516	0.0435271071263151	0.048561413839293	0.045891282282513	0.0338173120669071	0.0314300116366002	0.0284580392939447	0.038293002985288
OM2_C_5A_1	0.0186505876770904	0.0216566576342285	0.0178229254836389	0.0268367410402937	0.0536054448855195	0.0675254419346089	0.0777877551835706	0.0601329882271684	0.0459701994003694	0.0458024168416171	0.0751465130562804	0.0162568770101956	0.0236225092186321	0.0303360823872899	0	0.00663816500767198	0.00603688410464025	0.0662629539307876	0.0553686666831176	0.0549680109505494	0.0635956489395918	0.0806023203839633	0.0689016009189991	0.0404190793561988	0.0549136968620358	0.0530875003780175	0.0739753103654868	0.0592589611297836	0.0730054107674042	0.0784960916202969	0.0758655828510852	0.0635869776371494	0.0615398084097059	0.0583180929118668	0.0676976068157711
OM2_C_5A_2	0.0235327095386913	0.0273999471012447	0.0227769767786096	0.0321167611228442	0.0597119101049943	0.0730095099310283	0.0831886238116644	0.0658345783194725	0.0517669927755615	0.0515270226775345	0.0804374792691254	0.020889860072821	0.0291726194804646	0.0361511848587057	0.00663816500767198	0	0.00350484356990077	0.0717252667514454	0.0612411820923365	0.0603426577487476	0.0692129524750293	0.0754553357728737	0.0741742294157711	0.0363860701908668	0.0602743395510253	0.0581449095838167	0.0800875039752991	0.0648216698618551	0.0782997146065029	0.0837831649246407	0.0811846859044023	0.0692720764927449	0.0670026129190961	0.0636507448977071	0.0729201707933356
OM2_C_5A_3	0.0218631875421116	0.0256279720123138	0.0201205214859771	0.0292778001561708	0.0578519814656227	0.0707374271925398	0.0807489056872971	0.0633636429621595	0.0494052387688006	0.0492737023528033	0.0778218015743152	0.0194487846470883	0.027490363783489	0.0337321690530071	0.00603688410464025	0.00350484356990077	0	0.0693455751177015	0.0589154651287367	0.0577977620944605	0.0666512076981013	0.0784706767457352	0.0716741135861956	0.0398293485341042	0.0576405933167224	0.0556950810422336	0.0778705894183525	0.0623435611820367	0.075872573913548	0.0810296202253247	0.0784462034805191	0.0669851850380244	0.0643983212786465	0.0610246652339392	0.0704374931505877
OM2_C_5F_1	0.0491614744699505	0.0451659725398343	0.0493546255610128	0.0416763697093501	0.019256421419259	0.00330407380704964	0.0116446259498751	0.00927582760062819	0.0211481314665747	0.0207989628012933	0.0112695759357697	0.0521789880599364	0.0436893688356125	0.0365948850389243	0.0662629539307876	0.0717252667514454	0.0693455751177015	0	0.0134351455725936	0.012289701123134	0.00867167819191303	0.14548129949167	0.00479910332123334	0.103494245100719	0.0135746378384366	0.0148375254687228	0.0175088990390223	0.00826093869822581	0.00735741920518301	0.01726188363956	0.0151064374852337	0.00498482631814426	0.00870861386633375	0.0106695209508393	0.00466212076096862
OM2_C_5F_2	0.039511072945469	0.0346485735437478	0.0391229333564971	0.0309643776764147	0.00998572754778882	0.015039525224561	0.0241553864761377	0.00597548378314118	0.0095623845107146	0.0103713828475592	0.0224650869713607	0.0425208605822146	0.0335743224827962	0.0252994246183577	0.0553686666831176	0.0612411820923365	0.0589154651287367	0.0134351455725936	0	0.00837736503937316	0.0100893532421388	0.134870986253914	0.0171654066577639	0.0929014952902814	0.00909859747421046	0.0131995710102174	0.0197111569556289	0.00673107565705232	0.0206773925411109	0.0262973322143467	0.02366029942336	0.00950582393701096	0.00997306977880655	0.00991036473674266	0.0167833868063108
OM2_C_5G_2	0.0384930124453755	0.0345188509033576	0.0377063794333823	0.029654840334987	0.0166195787826978	0.0146934412622212	0.0232023131687568	0.00773578685620687	0.0108063728147381	0.0110835799535493	0.020255050353441	0.0415411275827318	0.0333255980136797	0.0251712352742146	0.0549680109505494	0.0603426577487476	0.0577977620944605	0.012289701123134	0.00837736503937316	0	0.0101634162063008	0.134830898115359	0.0142456127656414	0.0932723757169558	0.00251969574492505	0.00652498413229173	0.0248442585225698	0.00535525350938021	0.0186874723973526	0.0243518126918464	0.0217287990108559	0.0113654805137694	0.00725315168668024	0.00391085836785821	0.0133424179240589
