	OM2_B_B_1	OM2_B_B_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4F_1	0.0058500158261948	0.00185265169898779	0.00310786711700646	0.00432980907611519	0.0113311537378008	0.00852698915107889	0.0103246756931921	0.00552909362082052	0.00239051921812764	0.010089125075246	0	0.00452752326386019	0.00490373813145044	0.00450662775224852	0.0175344069215465	0.00384494332055752	0.0132990634728295	0.0070900630435108	0.00747590721333522	0.00090964511041915	0.00562815988699524	0.015169412469487	0.0030312156963228	0.00464277708865829	0.0108483829125273	0.00771247051498708	0.0136223967974086	0.00862877469395806	0.00418179882887171	0.0082450737300792	0.0016201030133031	0.0130302029333695	0.0092619805707393	0.00249314545672622	0.0181182097065894	0.00805229812332757	0.0109662939783875	0.0164041517896235	0.00125078318931661	0.0073684477854702
OM2_C_4F_2	0.00132250472228522	0.00267487935668238	0.00141966308328247	0.00885727200050256	0.00680375158989344	0.0130543371868479	0.00579724646896957	0.00100157906121743	0.00213701207764464	0.0146164161539177	0.00452752326386019	0	0.000376217767385187	0.00903408695746916	0.0220613204895423	0.000682584069008012	0.00877172344944339	0.0116174566680422	0.00294841858867676	0.0054371605954759	0.00110064635961213	0.0106421427517316	0.00149631469827647	0.00917023336301911	0.00632096738037898	0.00318498585290439	0.00909506814343651	0.0131561192532299	0.00870926479070398	0.00371759863256003	0.00614761061147407	0.00850285370575469	0.00473452620864695	0.00203438578149678	0.0135910731185885	0.00352481946105646	0.00643888164766066	0.0118769344980842	0.00577829508567057	0.0028409574188675
OM2_C_4G_1	0.000946287118118081	0.00305109605835017	0.00179588051785781	0.00923347908128844	0.00642753952929284	0.0134305320337749	0.0054210328029443	0.000625361375522393	0.00251322914375894	0.0149926052681502	0.00490373813145044	0.000376217767385187	0	0.00941029361598322	0.0224374734722032	0.00105880174218814	0.00839551529110544	0.0119936562230283	0.00257220181114323	0.00581337423408484	0.000724428696179885	0.0102659392381547	0.00187253209988638	0.00954643969081484	0.00594475451673971	0.00280876925312675	0.00871886072285107	0.013532313746127	0.00908547221865993	0.00334138248645715	0.00652382313971896	0.00812664495472319	0.00435831113431627	0.00241060290859271	0.0132148787802993	0.00314860314221265	0.00606266897455169	0.0115007345505826	0.00615450820760069	0.00246474056543344
OM2_C_4G_2	0.0103565487061619	0.00635926099385625	0.00761445780062764	0.000176819876862995	0.0158375006384902	0.00402041518211421	0.0148310637783185	0.0100356344806936	0.00689712114166957	0.00558258570653681	0.00450662775224852	0.00903408695746916	0.00941029361598322	0	0.0130281380726497	0.00835152077803711	0.0178053207109986	0.00258346402164783	0.0119823947175263	0.00359698776967088	0.0101346983178847	0.0196755732874399	0.00753780765779957	0.000136150327120062	0.0153547499626131	0.0122189507286467	0.0181286381475736	0.00412220274573544	0.000324831053074586	0.0127515368896492	0.00288653206854003	0.0175364731343868	0.0137684087073084	0.00699974587096459	0.0226241963397027	0.0125587675579624	0.0154726561743839	0.0209102429729022	0.00325585094535961	0.011874938543654
OM2_C_4G_3	0.0233835879033224	0.0193868392911537	0.0206418823645381	0.0132049473363161	0.0288635661560744	0.00900788762939614	0.027857328394684	0.0230627222872251	0.0199246353071803	0.00744574150303476	0.0175344069215465	0.0220613204895423	0.0224374734722032	0.0130281380726497	0	0.0213788484321769	0.0308309705698326	0.0104447967628653	0.0250091733591253	0.0166248541990081	0.0231617712182784	0.0327007957634132	0.0205652420179334	0.0128919957236993	0.0283809121200146	0.0252456894721029	0.0311542163756185	0.00890610233120229	0.0133529494112293	0.0257781839577863	0.0159144614405274	0.0305621818391659	0.0267948736322424	0.0200272475028869	0.0356486810373372	0.0255854481034474	0.0284987949225186	0.0339351660459249	0.0162837481680502	0.0249017351423061
OM2_C_4H_1	0.0020050881631929	0.00199229655041557	0.000737079262216373	0.00817470509927131	0.00748632359833211	0.0123717914297255	0.00647982164260071	0.0016841627306562	0.00145442874504294	0.0139338804063401	0.00384494332055752	0.000682584069008012	0.00105880174218814	0.00835152077803711	0.0213788484321769	0	0.00945428788438263	0.0109349027291087	0.00363100012210824	0.00475458265381156	0.00178322996370768	0.0113246982905927	0.000813730917663165	0.00848766774949022	0.00700354096683793	0.00386756700447852	0.00977763115877782	0.0124735741129215	0.00802669729669631	0.00440017882744236	0.00546503450622404	0.00918541928345745	0.0054171042039168	0.00135180236403838	0.014273611271251	0.00420740001772721	0.00712145485890328	0.0125594832573491	0.00509571799590052	0.0035235391170098
OM2_C_4H_2	0.00744924869698317	0.0114465096394439	0.0101913425113414	0.0176285201126998	0.00196801258154995	0.0218251929550153	0.00297452942650299	0.00777016806369067	0.0109086645944373	0.0233870984146245	0.0132990634728295	0.00877172344944339	0.00839551529110544	0.0178053207109986	0.0308309705698326	0.00945428788438263	0	0.0203884588682047	0.00582335708803596	0.0142086489227125	0.00767110277521081	0.00187047983213544	0.0102679914002427	0.0179414559304358	0.00245080318354005	0.00558679172171423	0.000323353637123943	0.021926964170308	0.0174805247754819	0.00505418196876514	0.0149190549095974	0.000268876696014423	0.00403725537845509	0.0108060423403972	0.00481954883190699	0.00524696024402847	0.00233288748576598	0.00310532319390538	0.0145497626556309	0.00593081728324413
OM2_C_4H_3	0.0129398923246922	0.00894267389446295	0.010197852031483	0.0027602834590283	0.0184207027257057	0.00143695636195466	0.0174142958847758	0.0126189847188189	0.00948052638820529	0.00299913676338921	0.0070900630435108	0.0116174566680422	0.0119936562230283	0.00258346402164783	0.0104447967628653	0.0109349027291087	0.0203884588682047	0	0.0145657019641194	0.00618043179938638	0.0127180465322804	0.0222586442656139	0.0101212031097654	0.00244731399389883	0.017937966675133	0.0148022522886824	0.0207117651384714	0.00153874443509698	0.00290829422481254	0.0153348252800966	0.00546998188964333	0.0201196204343454	0.016351670542468	0.00958314959813686	0.0252071487032133	0.0151420607737882	0.0180558693533262	0.0234932661750886	0.00583929786907549	0.0144582483402832
OM2_C_5A_1	0.00162591606597464	0.00562328255425061	0.00436807532736306	0.0118055835349176	0.00385535982377145	0.0160025418081378	0.00284884476928511	0.00194684152216081	0.0050854195467066	0.0175645717419558	0.00747590721333522	0.00294841858867676	0.00257220181114323	0.0119823947175263	0.0250091733591253	0.00363100012210824	0.00582335708803596	0.0145657019641194	0	0.00838553252028083	0.00184777430953149	0.00769380787124534	0.00444472648232534	0.0121185381731252	0.0033725705910322	0.000236568035021611	0.00614670671313866	0.0161043208323852	0.0116575794352023	0.000769182968544987	0.00909597196521445	0.00555448340667141	0.00178611626818156	0.00498279399823617	0.0106428023895351	0.000576402950415084	0.00349048604120643	0.0089286243173605	0.00872666206370937	0.000107461481694457
OM2_C_5A_2	0.00675964844265597	0.00276229519182848	0.00401750828132855	0.00342016865006785	0.0122407550485928	0.00761736459849997	0.0112342841725215	0.00643872748292779	0.00330016183503568	0.00917950928360589	0.00090964511041915	0.0054371605954759	0.00581337423408484	0.00359698776967088	0.0166248541990081	0.00475458265381156	0.0142086489227125	0.00618043179938638	0.00838553252028083	0	0.00653779337150988	0.0160789805829694	0.00394085703135368	0.0037331374610521	0.0117579877415004	0.00862209461942892	0.0145319794078662	0.00771915066506268	0.00327215804681818	0.00915469499797318	0.000710458266857607	0.0139397906941476	0.0101715959258646	0.00340278788575292	0.019027746011548	0.00896192043856841	0.0118758979616463	0.0173137072505563	0.000341138213726158	0.00827807362698939
