	OM2_B_B_1	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5F_1	OM2_C_5G_2	OM2_C_6E_1	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2
OM2_C_4F_1	0.0115724971643958	0.00647731851497681	0.0124748427991504	0.0121105772016598	2.0178060025079e-05	0.00642596431129834	0.015834826269824	0.0146502337843447	0.00321946177297482	0.0191640801398054	0	0.00275460566509925	0.0111466258844225	0.00346448192412231	0.0116416227300171	0.0145765335222618	0.00544547786734018	0.00178940627407648	0.0108763698456653	0.0111013954170564	0.0305143929647059	0.00376536859079601	0.0145124399025891	0.000671237205375464	0.0696981110692475	0.0726808259065813	0.0534082258312339	0.00530099875178962	0.00603131764163593	0.0107916644226748	0.0202575499833924	0.0541088179168409	0.00175947524527079	0.00209752925996465	0.0083242129996802
OM2_C_4F_2	0.00881798907592941	0.00372273589738506	0.00972035309230377	0.00935607988656999	0.00273442765972752	0.00367138119548313	0.0130804187386498	0.0118957948099491	0.000464857538005349	0.0219182847832273	0.00275460566509925	0	0.0139010835900478	0.000709878609202104	0.00888711599452175	0.0173308979834554	0.00820004088428047	0.00454400417178123	0.0081218486425668	0.00834687835176807	0.0277605990263966	0.0010107665626525	0.0172668063120776	0.00208336979581521	0.0724478834733202	0.0754301821519682	0.0561599649134689	0.0025464059874198	0.00878587269703684	0.0080371416871411	0.0175032836562591	0.0513568855096832	0.000995132092834349	0.000657077721988374	0.00556965165466276
OM2_C_4G_1	0.0227181067939864	0.0176235032526573	0.0236203296239025	0.0232561143604876	0.0111668030718798	0.0175721538226617	0.0269798003168176	0.0257953986055822	0.0143659089437281	0.00801804791539311	0.0111466258844225	0.0139010835900478	0	0.0146109122122042	0.022787223175069	0.00343010079475531	0.00570126795622258	0.00935728430064211	0.0220220699046419	0.0222470666549954	0.0416560980600897	0.014911777511758	0.00336600273201079	0.0118178324404677	0.0585673240219264	0.0615515661316909	0.0422703414616093	0.0164472877163057	0.00511542743408563	0.0219373752290332	0.0314017155427607	0.0652417351134153	0.0129060133899933	0.0132440478062234	0.0194702124934394
OM2_C_4G_2	0.00810812809072385	0.00301286005168525	0.00901049607462666	0.00864622121883583	0.00344430394958893	0.00296150526517603	0.0123705800333822	0.0111859490114456	0.0002450210990546	0.0226280413591964	0.00346448192412231	0.000709878609202104	0.0146109122122042	0	0.00817725529901098	0.0180406996527528	0.00890990150728349	0.00525387690248554	0.00741198487134173	0.00763701545494923	0.0270509059500018	0.000300888028409748	0.0179766085380722	0.00279324697181715	0.0731564551979562	0.0761386441490238	0.0568690570971783	0.00183652853032948	0.00949573076863404	0.00732727759323015	0.0167934775711628	0.0506476521864305	0.00170501028409444	0.00136695610996675	0.0048597797154987
OM2_C_4G_3	6.91288022749515e-05	0.00516443944574999	0.00083326211740751	0.000468977445373881	0.0116214456194018	0.00521579391064789	0.00419347225348577	0.00300878940609421	0.00842227053832192	0.0308033205081605	0.0116416227300171	0.00888711599452175	0.022787223175069	0.00817725529901098	0	0.0262166137279903	0.0170867248280987	0.0134309319180162	0.000765286548123401	0.000540251570131351	0.0188751057754741	0.00787637400058765	0.0261525306403139	0.0109704152773875	0.0813168268528837	0.0842976786433463	0.0650358263625527	0.00634075984290065	0.017672509924644	0.000849995405809008	0.00861663401191306	0.0424765563543489	0.00988221774434336	0.00954417436607196	0.00331752138948166
OM2_C_4H_2	0.0261475013687674	0.0210531629664878	0.02704967080341	0.0266854773283185	0.0145967100922707	0.0210018158944446	0.030408925620314	0.0292246030873301	0.0177957058226948	0.00458799088114241	0.0145765335222618	0.0173308979834554	0.00343010079475531	0.0180406996527528	0.0262166137279903	0	0.00913130685597455	0.0127872428466659	0.0254515043475054	0.0256764883365353	0.045083964287944	0.0183415531666009	6.40983203043034e-05	0.0152477190188018	0.0551410883962173	0.0581257497180057	0.038842200512668	0.0198769998678165	0.00854547625615078	0.0253668144443675	0.0348305156728173	0.0686664933463584	0.0163358635500352	0.0166738860800747	0.0228997832367844
OM2_C_4H_3	0.0170176030065907	0.0119226505424593	0.0179198983432864	0.0175556534216051	0.00546565571717773	0.011871298118633	0.0212796673964628	0.0200951553886964	0.00866488696824404	0.0137190984671175	0.00544547786734018	0.00820004088428047	0.00570126795622258	0.00890990150728349	0.0170867248280987	0.00913130685597455	0	0.00365608394325117	0.0163215123844132	0.0165465262941855	0.0359577944505848	0.00921078097193131	0.009067210376294	0.00611670732134529	0.0642611165606441	0.0672446089680425	0.0479675913484652	0.0107463690470444	0.000585846443705261	0.0162368113015013	0.0257020436068601	0.0595481773663707	0.00720492917847333	0.00754297725544471	0.0137694743880533
OM2_C_5F_1	0.013361807426091	0.00826669155347353	0.0142641385772157	0.0138998789485684	0.00180958430952896	0.00821533781824598	0.0176240592000467	0.0164394904771413	0.00500885803990762	0.0173748803643934	0.00178940627407648	0.00454400417178123	0.00935728430064211	0.00525387690248554	0.0134309319180162	0.0127872428466659	0.00365608394325117	0	0.0126656905885614	0.0128907128378311	0.0323031860119877	0.00555476188484409	0.0127231481419109	0.00246064245463883	0.0679116494659301	0.0708946264314989	0.0516205317771405	0.00709038169823468	0.00424192723773095	0.0125809863997898	0.0220466787337311	0.0558963357347179	0.00354887764474863	0.00388693047491683	0.0101135670127122
OM2_C_5G_2	0.000696157759624064	0.00439915894247248	0.00159854831090472	0.00123426383933151	0.0108561926144365	0.00445051353870489	0.00495875326184335	0.00377407292956507	0.00765700114202391	0.0300382795637889	0.0108763698456653	0.0081218486425668	0.0220220699046419	0.00741198487134173	0.000765286548123401	0.0254515043475054	0.0163215123844132	0.0126656905885614	0	0.000225035010613084	0.0196402933217546	0.00711110234997528	0.025387420382584	0.0102051584965973	0.0805532792507552	0.0835342618856415	0.0642716486628035	0.00557548269966782	0.0169073027679438	8.47088770778767e-05	0.00938189900893379	0.0432413499054093	0.00911695515441539	0.00877891009950225	0.00255223709471564
OM2_C_6E_1	0.000471122774777615	0.00462419236145065	0.00137351347232923	0.0010092289264447	0.0110812182204494	0.00467554692123812	0.00473372009011631	0.00354903896817644	0.00788203143270448	0.0302632436222417	0.0111013954170564	0.00834687835176807	0.0222470666549954	0.00763701545494923	0.000540251570131351	0.0256764883365353	0.0165465262941855	0.0128907128378311	0.000225035010613084	0	0.0194152882533306	0.00733613328046407	0.025612404626869	0.010430185185381	0.0807778062909481	0.083758750572731	0.0644963603135222	0.00580051518034749	0.0171323151478083	0.000309743885463794	0.00915687073242014	0.0430164616859813	0.00934198350538453	0.00900393892921044	0.00277727155047923
OM2_C_6E_3	0.0189442259497797	0.024038728138366	0.018041942710395	0.0184061852005071	0.0304942214359024	0.0240900727230507	0.0146820394410151	0.0158666310397823	0.0272958640787334	0.0496683929466099	0.0305143929647059	0.0277605990263966	0.0416560980600897	0.0270509059500018	0.0188751057754741	0.045083964287944	0.0359577944505848	0.0323031860119877	0.0196402933217546	0.0194152882533306	0	0.0267500937097452	0.0450199110888018	0.0298433683410288	0.100138653511919	0.103115906433625	0.0838752395214848	0.0252148135567609	0.0365433735453542	0.0197249907485111	0.0102590550886499	0.0236081237277366	0.0287554547107909	0.0284174963747012	0.0221921424521426
