	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4C_1	0.00918974269798548	0.00509119794445159	0.0137195510039754	0.0159208839969345	0.00420197194540267	0.00231255537901308	0.0116425182684892	0.0101364207588279	0.00569220388827456	0.00538341085681669	0.00861626357761825	0.0207373789378564	0	0.0139078202446578	0.00197049229853353	0.0139135654352978	0.0188291229893882	0.00952100066378046	0.0109535773498747	0.000528317787379253	0.00909565786997049	0.015437536303062	0.00680946946783911	0.00845397971641442	0.014707898309658	0.011434891529628	0.00699498101160652	0.0212455211863888	0.0125587200595603	0.00665217243781411	0.0161019907464145	0.0186041102954956	0.0103054461071209	0.021799545352763	0.0184187704119048	0.00705657097128387	0.00671021268468239	0.00772390852052583	0.00911855923023775	0.0247850481921188	0.0166936610394996	0.00959433926636236	0.00867178449468079	0.0180288578319765	0.0115992649015388	0.0158057941053021	0.0274008318693085	0.00515802388650671	0.0178411929737783	0.0193444488054375	0.00781488392477618	0.0244586822301666	0.0403798658914122	0.0166461821602337	0.0141127671790972	0.0153840387263845	0.00936253574410945	0.0220187351406937	0.0110820605027597	0.0138750795967211
OM2_C_4C_2	0.0119434501850052	0.0189653746254644	0.0261080076562148	0.00237711845607764	0.00980985822803172	0.0135250250410366	0.00311045159510503	0.00432215454501571	0.0104990230897395	0.00857896543218038	0.00700180685576063	0.0335287146752642	0.0139078202446578	0	0.0158781347135232	0.00946285367245527	0.00803437752223638	0.00439787275509288	0.00342001335478689	0.013549287823475	0.0130075269736082	0.00358326467053051	0.0174759557487357	0.0165199360674008	0.00164145898783018	0.0094674477466731	0.0155421985639208	0.00936884904572288	0.00254183854352898	0.0205585276561402	0.00278663178381713	0.00964964706645515	0.00569956803806287	0.00992830040322989	0.00964366822255818	0.0198704824655963	0.00735959595189854	0.0190996396012096	0.0197396817443097	0.0110421468410706	0.00279763805072546	0.0168803655067916	0.0112842422170707	0.00522102692108885	0.0148455628801273	0.00498115121464222	0.0135025388809601	0.0169241362110839	0.00397633119916002	0.010885119249732	0.00695064046370268	0.0137912399013084	0.0287720945045719	0.00454117856872634	0.00133395072758848	0.00319725694130153	0.00553603719039864	0.00856253888719376	0.00287848622180784	0.0260256477102837
OM2_C_4C_3	0.0103658067911309	0.00314853393317012	0.0122328526386237	0.0178850268647432	0.00614880684867623	0.00338947059440355	0.0135888327149276	0.0120803073304099	0.00725833889726649	0.00734514124528992	0.010444142406708	0.0190528546029335	0.00197049229853353	0.0158781347135232	0	0.015477804029391	0.0206605472118342	0.0114907581078904	0.0129079999748795	0.00236522094897516	0.0100901776508254	0.0173645018325332	0.00639674275058786	0.00861749662496761	0.0166692252182236	0.0129547735922551	0.00727750845110657	0.023111051384733	0.0145068054138191	0.00468220989748249	0.018060403215123	0.0203269189668318	0.0121635874481619	0.0236604133290189	0.0201337032022985	0.00567606990794426	0.00866108904191563	0.00690469171300924	0.00842911067158432	0.0267452651694222	0.0186636987639398	0.00980096359571049	0.00995682495535011	0.0199621452194086	0.0123985491230918	0.0176920894856859	0.0293702499005714	0.00459396406697207	0.0198101065170623	0.0210156296262762	0.00970470269784331	0.0262152931082439	0.0421352779559017	0.0185670052607284	0.0160751973032404	0.017321923178175	0.0112697267133231	0.0239662143366371	0.0130507069157708	0.0124560942059293
OM2_C_4E_1	0.00593598080987325	0.0177586928803682	0.0276276426367253	0.0114810349194261	0.0104435380115609	0.0150545706598361	0.00700154858481536	0.00714191105711384	0.014364249593317	0.0108995005205934	0.0060736578762937	0.0345179827240272	0.0139135654352978	0.00946285367245527	0.015477804029391	0	0.00688719600735419	0.00872536725748791	0.0104267995480434	0.0133890319372666	0.0184601238813721	0.00702809768110505	0.0132932375961574	0.0205324708459695	0.0084085650393074	0.00255004541086069	0.0191414410745011	0.00950548034234261	0.0110716412842503	0.0195487720490688	0.00882535763297955	0.00537975763545283	0.0126839711314356	0.00991186137349955	0.00514306071414059	0.0209689765846388	0.00883150729758658	0.0148902064024408	0.0225594020115255	0.015350300680353	0.0109639796424049	0.0213535370905413	0.016888914746003	0.00873441316387504	0.0209768451671347	0.0144216159853336	0.0192269048377875	0.0187781586693047	0.0109023294716089	0.00572823505340964	0.0118388813188116	0.0112198487641008	0.0269544760318969	0.0139561912949118	0.00828440261307189	0.0126585733734436	0.00655480640196983	0.0123305823064391	0.00842044824824199	0.0277843408895398
OM2_C_4E_2	0.0125301759791285	0.023366693761993	0.0322539325393194	0.00872910362753152	0.0147443762010856	0.0193015634993676	0.00793309289580924	0.00919374151317059	0.0172870731601426	0.0143612487029332	0.0102193641795438	0.0394841037906784	0.0188291229893882	0.00803437752223638	0.0206605472118342	0.00688719600735419	0	0.0105206580404015	0.010936305880131	0.0183471383994929	0.020567491256908	0.00449705172992578	0.0197569865901541	0.0236305205947753	0.00639310393040008	0.00896020167276466	0.0224454127126306	0.00265135864944336	0.0105404984461302	0.0251317796797095	0.00557484329128623	0.0025394013347856	0.0134558924792373	0.00312179647898515	0.0027116479512437	0.0256645666072916	0.0124051489996534	0.0214054429934146	0.0264043594663215	0.0086755797974895	0.00755474707532697	0.0241845827291013	0.0188415279608249	0.00362575206923961	0.0226508070664269	0.0123186190383631	0.0127390613824279	0.0230289924730935	0.00660362156663515	0.00362247554204128	0.0139217684589071	0.00596130846189488	0.0216842853172107	0.0112448214958326	0.00679134438003298	0.0104663273893712	0.00959413256803351	0.00579533686376132	0.00924419821967203	0.0322928407783356
OM2_C_4E_3	0.00886450974452522	0.0145694235050514	0.0221020279965408	0.0065463505379625	0.00541391691331441	0.00928946623248462	0.00258812485955836	0.00160682910216062	0.00677676880069371	0.00425417377050544	0.00366933013558254	0.0294723774963783	0.00952100066378046	0.00439787275509288	0.0114907581078904	0.00872536725748791	0.0105206580404015	0	0.00222175532621698	0.00915451926624575	0.0102170034733144	0.00636943370446336	0.0133665845030286	0.0131115866412102	0.00525950785064766	0.0075469382595611	0.0119416538940874	0.0125390163666068	0.00367842433725221	0.0161725967768302	0.00667103185100883	0.0112458589702601	0.00399258878302271	0.0131139020454722	0.0111445350542037	0.0157000280884461	0.00300266307555273	0.0149464626481838	0.0159797052222741	0.0153091408369895	0.00719400094895047	0.0136833331400629	0.00852889922251179	0.00881449435908823	0.0125360401273856	0.00752323853134231	0.0178997440314724	0.0128462104036104	0.00832180252652719	0.0123315394251127	0.00344679332956922	0.0164764108594018	0.0320947974593265	0.00786609471467303	0.00465784977883487	0.0064422483250335	0.0023692228580643	0.0126395744590332	0.001571227490523	0.0220733071607234
OM2_C_4F_1	0.011079233237911	0.0160443428099817	0.0227228504043987	0.00501994020606449	0.00710196913175002	0.010302013993696	0.00352553717428415	0.00343240501177578	0.00709644086314071	0.00557452629945862	0.0058704069635816	0.0301532381400883	0.0109535773498747	0.00342001335478689	0.0129079999748795	0.0104267995480434	0.010936305880131	0.00222175532621698	0	0.0106551606600336	0.00970305214779325	0.00647615508489409	0.0153950660447707	0.0131122728075088	0.00482985398317896	0.00955858012798032	0.0121225260733576	0.0125924737930462	0.00162870321736899	0.0175540606280814	0.00615423677375986	0.0121088731956119	0.00253673514462814	0.0131625998552036	0.0120484177741222	0.0165638741380985	0.00495134977496458	0.0169378343635893	0.0163228387990517	0.0143919732783915	0.0059764588979102	0.0135040053099655	0.00797160447732532	0.00854401000525222	0.0117162111968633	0.00535422619681542	0.0165731492618876	0.0135802898145576	0.00731577628878452	0.0132810706732643	0.0035629802075116	0.0168521978247707	0.0321011943427951	0.00584760941527008	0.00428882061388184	0.00448687760769912	0.00448891080579361	0.0119794589301634	0.00202622190424156	0.0226282899843284
OM2_C_4F_2	0.00867290105711029	0.0054179573137508	0.0142424874329575	0.0155962099485753	0.00378594621567266	0.00263225965845734	0.0112242307275931	0.00971543046472883	0.00571261474840201	0.00508175504893914	0.00812986407695353	0.0212437475198805	0.000528317787379253	0.013549287823475	0.00236522094897516	0.0133890319372666	0.0183471383994929	0.00915451926624575	0.0106551606600336	0	0.00930182817138163	0.0150012153569463	0.00659343529724663	0.00885605100581854	0.0143116100251346	0.0109079359712236	0.00738548597502519	0.0207760388988426	0.0122695977478422	0.00703290871558833	0.0157002317789773	0.0180971221185678	0.0101169204761864	0.0213282848687926	0.0179104824408823	0.00758116718238413	0.00629836794513206	0.00760324966263538	0.00962484958481373	0.0243865087151822	0.0163407846341513	0.00998322352487565	0.00878431712276386	0.0175978740193683	0.0118482968339787	0.0155841862374454	0.0270486520076266	0.0056677968123725	0.0174673161697867	0.0188302320101257	0.00760596353716061	0.0239586784504708	0.0398809917471319	0.0163894816777214	0.0137188380617741	0.0151074157154872	0.00891155328681038	0.0216019020961427	0.0107078509073724	0.0144009941084694
OM2_C_4F_3	0.0160729555663437	0.0125940177130182	0.0146346570823345	0.0138539172151068	0.00902620338418234	0.00683730047898082	0.0127289956985459	0.0117619177050133	0.00436445071531085	0.00779095774970675	0.0124374163034741	0.0219493434157755	0.00909565786997049	0.0130075269736082	0.0100901776508254	0.0184601238813721	0.020567491256908	0.0102170034733144	0.00970305214779325	0.00930182817138163	0	0.0161601273941949	0.0158914339666374	0.00413887242787785	0.0145179091775039	0.0166116263180415	0.00401571707272087	0.0222937414771597	0.0105601103378191	0.0132737894502577	0.0157922645506781	0.0214587936044404	0.00731240105586233	0.0228632971998698	0.0213597711714972	0.0100291794420654	0.00971168740180019	0.0167936325750155	0.00791198185550438	0.0234305404705427	0.015114786026753	0.00405836810478232	0.00173168979018124	0.0182152049976438	0.00269296966193669	0.0117008458013715	0.0247494897466507	0.00723308038470254	0.0165755484263783	0.0225456506587735	0.00678248240562063	0.026514202711275	0.0417701711935003	0.0130601750013592	0.0139894759848919	0.0124246182608422	0.0119780249776857	0.0213767039170964	0.0113336091453136	0.0143494395555232
OM2_C_4G_1	0.0111092812655124	0.0202880941303386	0.028440297733477	0.004811510582764	0.0112394331797451	0.0155470355875073	0.00386346607138527	0.00532940075035672	0.0131123990105504	0.0104987562534874	0.00720120521310329	0.0357803174305578	0.015437536303062	0.00358326467053051	0.0173645018325332	0.00702809768110505	0.00449705172992578	0.00636943370446336	0.00647615508489409	0.0150012153569463	0.0161601273941949	0	0.0176746160358826	0.0193850698149597	0.00196756346067689	0.00791718682086225	0.0182712807245256	0.00619447697919535	0.00605303899129032	0.0219922101090497	0.00180878248583704	0.00609694388322736	0.00897767908006308	0.00676967602415964	0.00610779683933029	0.0219699360394359	0.00875091448781593	0.0193436385198229	0.0223444900698895	0.00963698090347777	0.0040170350080047	0.0198715897992895	0.0144293404245827	0.00261059847768629	0.0181812666927235	0.00824276994652258	0.0129739855041412	0.0191790365319251	0.00389275233350676	0.00734038738500977	0.00963904548709683	0.0103777625303714	0.0257634152314143	0.00741199216651708	0.00230015060727206	0.00636160262332476	0.00611284886992607	0.00668959636907753	0.00493437102179636	0.0284259788676407
OM2_C_4G_2	0.00735755648505902	0.00631120372476258	0.0170865817126183	0.0197974079766851	0.00857664678706924	0.00911247475286066	0.0145344921005177	0.0131625970694132	0.0121683264825454	0.010403907328362	0.0106120564472734	0.0228626876006988	0.00680946946783911	0.0174759557487357	0.00639674275058786	0.0132932375961574	0.0197569865901541	0.0133665845030286	0.0153950660447707	0.00659343529724663	0.0158914339666374	0.0176746160358826	0	0.0149801139890394	0.0176896840293251	0.0108739994809686	0.0135936091109617	0.0223961104059829	0.0169886995296858	0.00779294255256852	0.0189085830978076	0.0186549962632688	0.0156721839391075	0.0228779004286288	0.018423272212613	0.0112991999561062	0.0104444014282549	0.0016707622033601	0.0146486004134836	0.0272897511908764	0.0201826028933424	0.0161573952892939	0.0153400599229675	0.0202073999160436	0.0184077119325936	0.0207149928381753	0.0305674215501885	0.0109597774554075	0.0209854358778844	0.0189917458301892	0.0131919403586486	0.0245073328184802	0.0400982342115265	0.0212138750958941	0.017172102436585	0.0198032696366445	0.0119876110820346	0.0242869958386649	0.0146687817084394	0.01748115905984
OM2_C_4G_3	0.0170434874776312	0.0102913399985845	0.0104993390675084	0.0176423401775763	0.0102307687061372	0.00626692267940198	0.0156991742741049	0.014501527319449	0.00636733832725156	0.00966545663504985	0.0144866895888178	0.0178158743116195	0.00845397971641442	0.0165199360674008	0.00861749662496761	0.0205324708459695	0.0236305205947753	0.0131115866412102	0.0131122728075088	0.00885605100581854	0.00413887242787785	0.0193850698149597	0.0149801139890394	0	0.0179189937739209	0.018373137412308	0.00148830621924875	0.0255773485639349	0.014207672637028	0.0104832943289169	0.0192646318531998	0.0242023999652858	0.0109576259065169	0.0261521420034288	0.0240734367368674	0.00651201923652885	0.0117587413516737	0.0155008512435366	0.00378878825290015	0.0272500461477976	0.0188430914864885	0.00118574423343928	0.00555290278253874	0.0216334657246977	0.00484278630390439	0.0157483704193595	0.0287651408767057	0.00440845185851305	0.0202766341724197	0.0251972518694197	0.00974702580222006	0.029583252168765	0.0451341384205822	0.0170703209090705	0.0173534196488554	0.0163301519532971	0.0144118604214936	0.0250377529095959	0.0144539642362969	0.010211076045134
OM2_C_4H_1	0.0116413588000304	0.0196955387098425	0.0272969825472125	0.00307923774237609	0.0105280005686109	0.0145461800145621	0.00319003988121825	0.00466927793892351	0.0117702592055923	0.0095124276968502	0.00707919810641624	0.0346907496566635	0.014707898309658	0.00164145898783018	0.0166692252182236	0.0084085650393074	0.00639310393040008	0.00525950785064766	0.00482985398317896	0.0143116100251346	0.0145179091775039	0.00196756346067689	0.0176896840293251	0.0179189937739209	0	0.00880579073544962	0.0168820229302014	0.00779074178066156	0.00416702005459312	0.0213435913873463	0.00141218133605325	0.00806218890767073	0.00724096242777118	0.00835646412251144	0.00806850916052753	0.0209483471149634	0.00801926295695018	0.0193417203615864	0.0210350817845007	0.0100787298730386	0.00270107443386032	0.0183317549098566	0.0127883217535561	0.00371684081295479	0.0164273274758332	0.00633519096252982	0.0129331655137448	0.018062278857512	0.00329766810509661	0.00930413114317413	0.00822953470004794	0.0121670289977525	0.0272737136725684	0.00562210866553735	0.000601706080550132	0.00446453240614062	0.00573642383937218	0.00738227813151965	0.00369623900165249	0.0272433756359119
