	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_3
OM2_C_4B_2	0.0594281188534692	0.0578614861303036	0.0533690998531471	0.0490456356960146	0.0394710450082203	0.0166103153066228	0.0293885314538704	0.0289852989014207	0.0140385708703563	0.0171542654759289	0	0.0184047242230922	0.0292639927881344	0.0261744181503377	0.0126224090929063	0.00934033834899449	0.0143707823508271	0.00470155733752692	0.00607620612798397	0.0143098870718097	0.0745256099536491	0.0621282173615275	0.0144123942593579	0.00357030228708364	0.0208610051144734	0.0522775783645691	0.0350149641352758	0.0259147403751207	0.0182300852633397	0.00891259006089129	0.0165503211398439	0.00645932257832658	0.00724197267794241	0.0184551774349231	0.152635142551776	0.176761905604124	0.143779476390843	0.0318359087647329	0.0200085973649782	0.0259482579796361	0.0105187203232339	0.087582356737189	0.0136310547899012	0.0984712894831539	0.102382110982814	0.0945057175186851	0.00599085024112758	0.0383750519318088	0.0220894018247346	0.0202179682484236	0.0205055502710388	0.0211640333645251	0.0226258565996206	0.0292626594816431	0.0317763413773114	0.0225460537918848	0.0360177973564292
OM2_C_4B_3	0.0485819000323524	0.0438031656189367	0.0398664518078319	0.0367098549456129	0.0263299861845509	0.00906025476793431	0.0294121590039672	0.0222415661951203	0.0137459910510624	0.015060162808954	0.0184047242230922	0	0.0445620259620274	0.0401913379090307	0.0200344047931043	0.0257092286435068	0.0189326849708802	0.0210536265506698	0.0235425883587018	0.0271361996655132	0.0614247625648106	0.0479717076540059	0.0141202030384083	0.0186004453204458	0.0173709807647209	0.0373660764741348	0.0224745470008473	0.0110016163431204	0.00791008457578385	0.01093209648017	0.0258205410081577	0.0157243856816446	0.0135629586110952	0.0256973331111363	0.139520067715296	0.163810615268459	0.130782041557199	0.0163105241526385	0.00615845709625794	0.00989738170443554	0.0172102147656413	0.102590243953443	0.0235010849585838	0.0844629013138351	0.087404579400799	0.0794722414711437	0.0187379271370814	0.0332997163205028	0.00804536531115441	0.00954580130541644	0.0104489033881853	0.0305999581486805	0.0182645208791909	0.0159293700059211	0.0153349231356418	0.0203388202675202	0.0451722124192505
OM2_C_4C_1	0.0880092018197747	0.0866356600102827	0.0821367656922659	0.0780474426626339	0.0682189316615676	0.0389465775331229	0.055515309267384	0.0573563979742523	0.033830382304616	0.0457724662992979	0.0292639927881344	0.0445620259620274	0	0.00614247643464357	0.0390499031719616	0.0224918907693306	0.027553796822023	0.0265854637129193	0.0232442545085908	0.0180804324900795	0.103415948548622	0.0902776790767084	0.0431003619998632	0.0317273530109333	0.0359370877328943	0.080661136231233	0.0637472444477152	0.0525029979023855	0.0461354102923163	0.0374885565989537	0.0209527990680552	0.0344227754615852	0.03557431561831	0.0221235306823982	0.181202156844287	0.205052501406212	0.172324377049536	0.0596813829921959	0.0453785763601749	0.0506163229162551	0.0285900405164276	0.0594479173326117	0.0220765347935396	0.126833146333914	0.130592435503604	0.122624757671669	0.0326564798410166	0.0658975828696755	0.0479535022843658	0.0483248933992909	0.048837465762504	0.0178533178796829	0.049581350617063	0.0578085293930262	0.0545015897519811	0.0502249731771156	0.0188586841295178
OM2_C_4C_3	0.0848713480151761	0.0826708929964589	0.0782159445241582	0.0744715465858422	0.0642598817139304	0.034022890711823	0.0535561139337888	0.054495768982538	0.0288915977053463	0.0427776130561312	0.0261744181503377	0.0401913379090307	0.00614247643464357	0	0.0369548810120101	0.0205222622192116	0.0224901463152928	0.023285216578933	0.020452683342838	0.0134199136289199	0.0997582420494514	0.0860547450790715	0.0400424179755699	0.0288209423102878	0.0303474929182107	0.0764773948936538	0.0599144952241196	0.0478368956470841	0.0424373159243322	0.0339276227447203	0.0156942095780792	0.0315787116521132	0.0320993471115589	0.0170044007839642	0.177696446009837	0.201565826912307	0.1688353283067	0.055319544527631	0.040597604358483	0.0458311042133146	0.0243540962925427	0.0639877335203385	0.0177149059241537	0.122846154177448	0.126290742242927	0.118314277399519	0.0301239384125064	0.0636300180595818	0.0432562738056868	0.0445646382107734	0.0448383004841426	0.0128630520746616	0.0469630441837281	0.0537821543037585	0.0491978845865445	0.0474993503758361	0.0151435563091776
OM2_C_4E_1	0.0498560928116026	0.0510119571549327	0.0465760234688141	0.0412470244765694	0.0339749673437404	0.0220740776685327	0.017506735660126	0.019136394231296	0.0233252575929214	0.00913905736628942	0.0126224090929063	0.0200344047931043	0.0390499031719616	0.0369548810120101	0	0.0177816140786293	0.0251354230903192	0.0153220643680147	0.0171332597576584	0.0260829016869916	0.0665308572571156	0.0564127019196609	0.0110016076027175	0.0108373126928569	0.0301053497775802	0.0463835696457501	0.0286950713242251	0.0262453154182984	0.0147508755889363	0.0119279043215066	0.028417939350514	0.00746032734148967	0.0112091808377681	0.0293424120253882	0.143798931257906	0.167903448338039	0.134975834627905	0.0286377540935325	0.0226057557235107	0.028703743178247	0.0191595243486294	0.0954244166709656	0.0240183751099433	0.0908994319608068	0.0958929698023306	0.0882873276864145	0.00786705341907402	0.0270174597053149	0.0236153137339636	0.0161904859140588	0.0182320316021285	0.0323369380133128	0.0174370788675884	0.0249692189091758	0.0346945457805894	0.0123947095902022	0.0475580040964184
OM2_C_4E_2	0.0666989408926846	0.0658680991889461	0.0616016305391644	0.0569524131794267	0.0479851669440445	0.0232068745404477	0.0348646817130229	0.0356562632248461	0.0202120860558794	0.0244685587010061	0.00934033834899449	0.0257092286435068	0.0224918907693306	0.0205222622192116	0.0177816140786293	0	0.0159533943169594	0.00874074825408057	0.00535319403053659	0.0125820943939077	0.0824991398284473	0.070793888066243	0.0228019949477489	0.0116595650663635	0.0257369142037442	0.0604587578747121	0.0431423326954877	0.0344771665837053	0.0256074786340207	0.0175662412719249	0.0147999412049439	0.0131562529880723	0.0163276837134395	0.0165494969840112	0.160170960660636	0.18440728405307	0.151472820005597	0.040081629421709	0.0277310136677961	0.0333136464203966	0.012419591794643	0.0792632765920717	0.0126795376257685	0.106591795038325	0.110644676354378	0.102904796602149	0.0125203987300551	0.0441881766560765	0.0305188684581946	0.0274081518630142	0.0293229156540482	0.0170460126062411	0.0292396451231611	0.037732170318985	0.0389784955327426	0.0291431894769561	0.0313820160875874
OM2_C_4E_3	0.066597303537777	0.062405994812728	0.0583610678775123	0.0551826501323844	0.0445828585018581	0.0131311337762161	0.0407730324441425	0.0376305125837695	0.00940529743710957	0.0268108193617516	0.0143707823508271	0.0189326849708802	0.027553796822023	0.0224901463152928	0.0251354230903192	0.0159533943169594	0	0.0138378969299272	0.0140226423241054	0.0110517721115787	0.0801067192543981	0.0660623515522243	0.024378828086795	0.0172718114765417	0.0111319308975007	0.0558926746293929	0.0405190875938673	0.0272035479218815	0.0233287957548667	0.0170098264339624	0.00730302764035309	0.017793065052181	0.0169190245666003	0.00733199779168589	0.158084184926808	0.182251921011442	0.149378320299648	0.0345685848750619	0.0195226094203553	0.0240769938893359	0.00752344592385232	0.0849023963099808	0.00836889360229945	0.102851279177117	0.105623581082755	0.0976938626696116	0.0189208188920603	0.048196140004073	0.0227936476297776	0.0252668755856056	0.0260456871065284	0.0119839781707107	0.03083349390374	0.0340146049661876	0.0274066231483555	0.0324587556110871	0.0263446559248899
OM2_C_4F_1	0.0621069353547984	0.0605092506401223	0.0560038434234007	0.0518800114452844	0.0422381737768052	0.0174607823625186	0.0314394007181807	0.031771553400612	0.015058242031681	0.0199469454271627	0.00470155733752692	0.0210536265506698	0.0265854637129193	0.023285216578933	0.0153220643680147	0.00874074825408057	0.0138378969299272	0	0.00494583854178242	0.0120018224109568	0.0773394467710659	0.0646466120905686	0.0181792812767612	0.00633416755294311	0.0209274158191169	0.054858494975621	0.0375758639475986	0.0280956866183828	0.0211642943613169	0.0125812115851254	0.0146304291539338	0.00995584484399114	0.0103296243636614	0.017002289643211	0.155325585560503	0.179390145890381	0.1465206555154	0.0342916448736223	0.0215981663148966	0.0285126678797769	0.00989765219395822	0.0848478240065914	0.0123979343826261	0.100944506782177	0.104874315684295	0.0970891218649888	0.00902886298029288	0.0410504049407675	0.0240612979682964	0.022759190711777	0.0230495847723192	0.0191960044498973	0.0270629370135847	0.0319834643833794	0.0333638224207785	0.0247565593338123	0.0333238149449904
OM2_C_4F_2	0.0652915245897423	0.0638916134267229	0.059398915088266	0.0550819489345923	0.0454989532724342	0.0203225675599803	0.0341764704077372	0.0346745054176782	0.016473770659478	0.0229122225450692	0.00607620612798397	0.0235425883587018	0.0232442545085908	0.020452683342838	0.0171332597576584	0.00535319403053659	0.0140226423241054	0.00494583854178242	0	0.00999461876986984	0.0805544869976653	0.0680627001203885	0.020228844649306	0.00868473916106116	0.0223670654802906	0.0582522711135087	0.0410157667981334	0.0313459753339092	0.0239151928742912	0.0147678638748192	0.0134437033748772	0.0117078762324775	0.0129453762858416	0.0157540193080262	0.158576387718088	0.182657163334897	0.149723186745471	0.037653305656432	0.024932999066076	0.0307436618125613	0.0112621306977335	0.0815935380186813	0.0110051313004575	0.104435988667035	0.108346063727822	0.100458553971957	0.0103449852722299	0.0437193600346552	0.0272573597602782	0.025949611968272	0.026397939913126	0.017163800064093	0.0278055885626126	0.0352440638318497	0.0361703854393097	0.0279310437331499	0.0313687436539379
OM2_C_4F_3	0.0722339711909588	0.0695303561223826	0.0650363570077618	0.0614329309296309	0.0510098855441052	0.0212164990811829	0.0427287951128969	0.0423354230281348	0.0159004191251817	0.0305410114508466	0.0143098870718097	0.0271361996655132	0.0180804324900795	0.0134199136289199	0.0260829016869916	0.0125820943939077	0.0110517721115787	0.0120018224109568	0.00999461876986984	0	0.0866281226573848	0.0727733640565435	0.0274067265377966	0.0172650765953701	0.0188913917681995	0.063252963242814	0.0468549030419215	0.0345944156952684	0.0295769567778142	0.0209867011720103	0.00700252292295641	0.0197534121299693	0.0192679526651421	0.00917311884974616	0.164798613850499	0.188705964235464	0.155868791710564	0.0421039567847521	0.0276132258595703	0.0330143421220045	0.0127533421599896	0.0771404361624271	0.00657863966864074	0.109732365173474	0.113110893044623	0.105063376702838	0.0186700405213714	0.0521093119734355	0.0299917932742729	0.0318986682150506	0.031621735143027	0.00998657012174456	0.0347494606909406	0.0405359896323725	0.0367643194004661	0.0357446620305209	0.0226662625553425
OM2_C_4G_2	0.0197599449917419	0.0185792361829494	0.0220891786960234	0.0256352065405041	0.0360913399226015	0.0680660550842461	0.0541720017807305	0.0481183563229888	0.0732886240525465	0.05840732370246	0.0745256099536491	0.0614247625648106	0.103415948548622	0.0997582420494514	0.0665308572571156	0.0824991398284473	0.0801067192543981	0.0773394467710659	0.0805544869976653	0.0866281226573848	0	0.0190274255713085	0.0611020212961533	0.0724422973841802	0.0758222720925814	0.0253474912366811	0.0401525659117327	0.0542653187649273	0.0581932581744707	0.0663833186833676	0.0866386144325345	0.069607495675203	0.0680441397796451	0.0867915442743854	0.0789207049341986	0.103255174206673	0.0698874637253478	0.0459353400155832	0.0613580120403357	0.0593792720273014	0.0769799920764348	0.161033865678921	0.0834782478580051	0.0257864072272154	0.0318351300206706	0.0256041326339731	0.0714359254990384	0.0440864481757283	0.0584331014844576	0.0563782710570785	0.0551776659498366	0.0916726662991584	0.0576774607550449	0.046371119057786	0.0591858072862027	0.0553004395171273	0.10606773950678
OM2_C_4G_3	0.0232739902388228	0.0119559591549678	0.0119644985348982	0.0185725836526915	0.0231557090053722	0.05358806380367	0.0474057044229387	0.0399333474961364	0.0585242566564385	0.0476724361683471	0.0621282173615275	0.0479717076540059	0.0902776790767084	0.0860547450790715	0.0564127019196609	0.070793888066243	0.0660623515522243	0.0646466120905686	0.0680627001203885	0.0727733640565435	0.0190274255713085	0	0.0492633991901706	0.0603045359957432	0.0601700884544489	0.0129161912767394	0.0284863602448291	0.0391631515041951	0.046201290044954	0.0537149488074222	0.0726450207631679	0.0580222954452005	0.055249250134487	0.072839757314179	0.0947349525156587	0.118335692806152	0.0855068959660996	0.0320513253769477	0.0469208693225145	0.0447317959008267	0.063936368627564	0.148890790197907	0.0699010835496106	0.0382592420881251	0.0411849456636864	0.0328961194137439	0.0597468481242133	0.0402594914022061	0.0434582244608693	0.0447211725906367	0.0417743355171545	0.0779159326613604	0.0475177114776651	0.0332393267602284	0.0432470463646928	0.0458446055486733	0.0913814537781664
