	OM2_B_C_1	OM2_B_C_2	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5F_1	OM2_C_5F_2	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4G_2	0.0528082103391144	0.0820299264204024	0.102106476126281	0.101530112468411	0.101190970930556	0.106644014068612	0.104460968177794	0.110108516184247	0.057343994479648	0.0672731041244687	0	0.081821886840863	0.0655805001693862	0.08464798411419	0.0838015259546835	0.0270630234101435	0.0120279262843577	0.106523281213284	0.116383946663627	0.0937973030545091	0.0961898792524364	0.0838158890615397	0.0898065208222622	0.101694039136829	0.106114983464367	0.114095676356231	0.0763679514557751	0.0734182252441383	0.113309339316913	0.104355380979733	0.11197006574175	0.0660661069263985	0.0469662995864936	0.0471191771290086	0.0779769413802807	0.0506125943818344	0.0311733549372218	0.0498814612569912
OM2_C_4G_3	0.0414592679170115	0.00421329607073965	0.0224737819468613	0.0213554307997815	0.0285669882955311	0.0304905822850935	0.0269305748988689	0.0288223117462111	0.0267887810025072	0.0184357561232512	0.081821886840863	0	0.0238580409702605	0.0273068405964474	0.0240169955826695	0.056972330229989	0.0717585306674594	0.0252923865152331	0.0350654731784009	0.018165726265058	0.0144627207273852	0.0223529711374886	0.0136445447417482	0.0314281946006847	0.0244371433088598	0.0366124010332465	0.00873987147179709	0.00842611163121608	0.0318710858239974	0.0257320565842565	0.0311440736558092	0.057069730938172	0.0848089550383469	0.0895867435642018	0.00858656597042005	0.12391184747665	0.107956391548074	0.09769683350519
OM2_C_4H_1	0.0419347310017694	0.0268563813904086	0.0460513755506451	0.0380591842172209	0.0357034263368453	0.0413816428924669	0.0395646277720053	0.0473586278808334	0.0255131104315111	0.0258594240173411	0.0655805001693862	0.0238580409702605	0	0.0202280424677278	0.0186512432071717	0.0452543182552536	0.0575976475938831	0.0438499297337675	0.053480008650828	0.0417654522826579	0.0366069484537836	0.0184160463981397	0.0256956254182077	0.036277326945029	0.0459124764207272	0.0603264942855997	0.0152633291291916	0.0184459889840149	0.0507429840230963	0.0494535705768059	0.0537497827620744	0.0632873970551386	0.0811924498673811	0.0852962911336485	0.0160657606993563	0.112548141147966	0.094756534011968	0.0927942385874835
OM2_C_4H_2	0.0600779615498234	0.0315160146316271	0.0435244558926702	0.0278574636967086	0.0188679321106709	0.0257174609080776	0.0255563388393473	0.0367941338565859	0.0432337503274577	0.0398768995681081	0.08464798411419	0.0273068405964474	0.0202280424677278	0	0.00329119118668992	0.0654398378705254	0.0773781376952508	0.033961561698067	0.0419154409645791	0.0436299468906954	0.0327461234718315	0.00496928521139854	0.0180624727077149	0.017998465720531	0.0390805199645522	0.0572500383689463	0.0210783907074006	0.0282533565460834	0.0400047156928709	0.0472462514498892	0.0477676593378755	0.0798389354426413	0.100906712099203	0.10512929807368	0.0199413911956835	0.132432415558197	0.11440931180089	0.112723480307781
OM2_C_4H_3	0.0574418404532231	0.0282263096177984	0.0406182269610573	0.0256966982992237	0.0182784839212714	0.024838635438727	0.0241844236988364	0.0348491079569071	0.0406096351552248	0.0368663324562516	0.0838015259546835	0.0240169955826695	0.0186512432071717	0.00329119118668992	0	0.0638246898386825	0.076166191801221	0.0318563041984958	0.0402201465870308	0.0404474455371125	0.0298437642220989	0.00171054262411721	0.0152012947150146	0.0180716727501629	0.0365856364098072	0.0544802872882417	0.0179012320462121	0.025116791560711	0.0381304385268896	0.0443404935579209	0.0452495722167413	0.0769212023748904	0.098676844920296	0.102967563621264	0.0167109949626238	0.131098197287679	0.11326494621664	0.110633919823157
OM2_C_5A_1	0.0261725396937905	0.0565754879931632	0.0760784505656652	0.0776912023914666	0.0796837370385069	0.0843248952296129	0.0816362254277049	0.0857204645554656	0.0310702774968501	0.0409662671687342	0.0270630234101435	0.056972330229989	0.0452543182552536	0.0654398378705254	0.0638246898386825	0	0.0154722612127913	0.082172500125915	0.0919640791898834	0.0673977942942845	0.0710697864678829	0.0634214593282544	0.0667175143780321	0.0808616570054546	0.0808998138847649	0.087580070663252	0.0528316778579366	0.0486441086322001	0.0887821091978293	0.0781070205102156	0.086163661100238	0.0430541607959844	0.0399730372671043	0.0430225655396095	0.0545642731323692	0.067890523158043	0.0511341481490573	0.0495789192875446
OM2_C_5A_2	0.0408446866670469	0.0716236016081642	0.0913585979101602	0.0920668035533172	0.0929191545135993	0.0979851763404844	0.0955370686788704	0.100361523556529	0.0463849078685167	0.0563110664766036	0.0120279262843577	0.0717585306674594	0.0575976475938831	0.0773781376952508	0.076166191801221	0.0154722612127913	0	0.0967912661652538	0.106627762060285	0.0827817681609407	0.0860040190111452	0.075984429979688	0.0806968814683518	0.0937554614680075	0.095885429804415	0.102977493971712	0.0669691617043058	0.0633670323556862	0.103488424538726	0.0934519164424673	0.101373686957873	0.0544491413360558	0.0396819997458841	0.0409935069514305	0.0686488246661293	0.0553658982156251	0.0372357584767996	0.0455006950726525
OM2_C_5F_1	0.0656936917686171	0.0264730187773281	0.0170592086287325	0.00617448951683995	0.0190882123930669	0.0143413618770199	0.0110285838934277	0.00360498062502202	0.0519845086296789	0.0430423477230034	0.106523281213284	0.0252923865152331	0.0438499297337675	0.033961561698067	0.0318563041984958	0.082172500125915	0.0967912661652538	0	0.00991094487915168	0.0244999755137558	0.01240941220585	0.0305402800987436	0.0183133868793897	0.0226713491359007	0.00766373479904335	0.0264739803243372	0.0303918982257945	0.0335787955728069	0.00692723628776937	0.0197871185696547	0.0152846963436116	0.0780847471557724	0.108889130085068	0.113778276488026	0.0288957265775001	0.149011231141825	0.133090380812704	0.12194544155056
OM2_C_5F_2	0.0748330504859503	0.0359383258526797	0.0222708896625795	0.0154357899888121	0.0246256477794188	0.0180540080746718	0.0166080118821017	0.00630749087687714	0.0616184630742808	0.0524687607343558	0.116383946663627	0.0350654731784009	0.053480008650828	0.0419154409645791	0.0402201465870308	0.0919640791898834	0.106627762060285	0.00991094487915168	0	0.0313761388362337	0.0214384995253426	0.0390786618606282	0.027813043430101	0.0275993252554417	0.0129441304047354	0.0264107473378269	0.0402833939662055	0.0434064224809887	0.00327617670215589	0.0236879860172686	0.0153797043105037	0.0859671826044325	0.117816649540751	0.122750658681283	0.0387689014691697	0.158581826857702	0.142820955819907	0.130934114516926
OM2_C_6E_1	0.0460886886679362	0.014934864695577	0.00974182519500918	0.0250045359347965	0.0381237932816778	0.0365986491246417	0.0325911152394088	0.0267217412422124	0.0365399408306142	0.0265989816450997	0.0937973030545091	0.018165726265058	0.0417654522826579	0.0436299468906954	0.0404474455371125	0.0673977942942845	0.0827817681609407	0.0244999755137558	0.0313761388362337	0	0.0137148632872562	0.0387386636027928	0.0263400757365778	0.0417370282691851	0.0184636933793367	0.0205079947738922	0.0268868341080476	0.0240685397677688	0.0282995323908861	0.0108374867343284	0.0199558297490091	0.0547726881226885	0.0879945270451475	0.0930339514997899	0.0267012610859413	0.131426667786478	0.117140207419876	0.101253011955505
OM2_C_6E_2	0.0534649225470969	0.0146005568562374	0.010785963992281	0.0114058087860833	0.0245316934762831	0.0229569186393273	0.0189387954637421	0.0155348322213798	0.040376506068793	0.0310662920969229	0.0961898792524364	0.0144627207273852	0.0366069484537836	0.0327461234718315	0.0298437642220989	0.0710697864678829	0.0860040190111452	0.01240941220585	0.0214384995253426	0.0137148632872562	0	0.0282020856489885	0.0146879657497576	0.0281966939385677	0.00997781647856983	0.0248106094925445	0.0216356403884432	0.0228556873283104	0.0181651841880465	0.0145114439840306	0.0171662961709747	0.0658035961260888	0.0966122291824574	0.1015261497951	0.0205784592949354	0.137423899991018	0.121890153991706	0.109712614933169
OM2_C_6E_3	0.0563918058996793	0.0265642844438772	0.0389713301695279	0.024369838288859	0.017793978498321	0.0241481651634015	0.0232479883086293	0.0336008666863314	0.0395852251921127	0.0355447484490684	0.0838158890615397	0.0223529711374886	0.0184160463981397	0.00496928521139854	0.00171054262411721	0.0634214593282544	0.075984429979688	0.0305402800987436	0.0390786618606282	0.0387386636027928	0.0282020856489885	0	0.0135930418300667	0.0179358318704373	0.0350934765876243	0.0528753263031495	0.0164450990916315	0.0236913285244662	0.0369091778088079	0.0426929012028497	0.0437418198700248	0.0756531921867125	0.0978775412511365	0.102209856473648	0.0151890881116523	0.130823412792292	0.113102185327762	0.109918788426713
OM2_C_6F_1	0.0542041210186713	0.0173130226215917	0.0254712211662702	0.0123809821196058	0.01498102874327	0.0178785814398874	0.0149500909410519	0.021749846949231	0.0384416737380993	0.0313778940296571	0.0898065208222622	0.0136445447417482	0.0256956254182077	0.0180624727077149	0.0152012947150146	0.0667175143780321	0.0806968814683518	0.0183133868793897	0.027813043430101	0.0263400757365778	0.0146879657497576	0.0135930418300667	0	0.0177896215417354	0.0217640885312495	0.0392967979915518	0.0139303805686574	0.0195846803249779	0.0251449059496456	0.0291952455740746	0.0303258480685708	0.0706535873536227	0.0972886214149829	0.101946962251994	0.0121766007831919	0.134312290056918	0.117555025092913	0.109956971339565
OM2_C_6F_2	0.0711902334760468	0.0350455447055611	0.0376201485410705	0.0181210039124471	0.0037362254172007	0.00956784726908836	0.0117132106353898	0.0241833808110565	0.0548729932342713	0.0487444711276993	0.101694039136829	0.0314281946006847	0.036277326945029	0.017998465720531	0.0180716727501629	0.0808616570054546	0.0937554614680075	0.0226713491359007	0.0275993252554417	0.0417370282691851	0.0281966939385677	0.0179358318704373	0.0177896215417354	0	0.0298562219959741	0.0490043535091513	0.0299782546042005	0.0366500124739111	0.0267072925781271	0.0410165862330646	0.037948426916374	0.0883344703393095	0.113773002053017	0.118287499574524	0.0282398762940099	0.148356751700783	0.130830647821076	0.126158612703375
OM2_C_6F_3	0.0624553651010223	0.0243688516268044	0.0098240720827335	0.0119841211793393	0.0261757663682877	0.0219496739175575	0.0184477857661175	0.00862214133724004	0.0500862042821135	0.0405672057894109	0.106114983464367	0.0244371433088598	0.0459124764207272	0.0390805199645522	0.0365856364098072	0.0808998138847649	0.095885429804415	0.00766373479904335	0.0129441304047354	0.0184636933793367	0.00997781647856983	0.0350934765876243	0.0217640885312495	0.0298562219959741	0	0.019183383065051	0.0312860221355038	0.0328296668187266	0.00983813097653136	0.012204181865955	0.00869820610758583	0.0730590893647874	0.105252312131569	0.110222140781483	0.0300787479500804	0.146902595504046	0.131601251087507	0.118425627433826
OM2_C_6G_1	0.0650815487009124	0.0343984244859316	0.0143622732783118	0.0311307889744175	0.0453402577862747	0.0407446681391727	0.0374815115676123	0.0259371405010278	0.0569358783982551	0.047028560415575	0.114095676356231	0.0366124010332465	0.0603264942855997	0.0572500383689463	0.0544802872882417	0.087580070663252	0.102977493971712	0.0264739803243372	0.0264107473378269	0.0205079947738922	0.0248106094925445	0.0528753263031495	0.0392967979915518	0.0490043535091513	0.019183383065051	0	0.0450829635348712	0.0438205067836739	0.0249054870032924	0.0108910387476179	0.0114712575586978	0.0696529541995526	0.105141594390009	0.110232747932233	0.0444044189877992	0.150222849716011	0.136664852624527	0.118376119778774
OM2_C_6G_2	0.0412815694523632	0.0122776991782339	0.0308038904124866	0.0252387853955282	0.0279408923589297	0.0317424534777637	0.0288720229520254	0.033992804812976	0.0249431715450337	0.0193358323954369	0.0763679514557751	0.00873987147179709	0.0152633291291916	0.0210783907074006	0.0179012320462121	0.0528316778579366	0.0669691617043058	0.0303918982257945	0.0402833939662055	0.0268868341080476	0.0216356403884432	0.0164450990916315	0.0139303805686574	0.0299782546042005	0.0312860221355038	0.0450829635348712	0	0.0072657336994944	0.0372870126348544	0.0342036138161794	0.0387736065234439	0.0595153059800202	0.0839648789816111	0.0885388670950438	0.00178160935997272	0.120464880701674	0.103763930780827	0.0964874482059257
