	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4B_2	0.0228927093108415	0.0156203032357933	0.0116597483572459	0.017823895485904	0.0188766031887572	0.0351851040780025	0.00955063233311559	0.00632486632771656	0.0104091213141758	0.0112755870938167	0	0.0150180653955042	0.0503494807189028	0.0689528334760748	0.0464170559942082	0.0342262627396838	0.0138759554422074	0.0522592553216097	0.0671715874105861	0.0240357390778671	0.0177368221022956	0.0408300751169937	0.0269717522740233	0.0173129983908031	0.0362948819098585	0.0308189016921878	0.0205808806320215	0.0511069656571584	0.0308546749635399	0.0311911994976576	0.0403930415418416	0.0646288781156593	0.0471997778060973	0.0447980703394019	0.0395874122586579	0.0120514537377308	0.0282253765668803	0.0343027491880293	0.0332479839145888	0.0586753347705373	0.00799661111356388	0.0182050918112917	0.0607365000195261	0.0545386090027708	0.0466259774540926	0.0413161232943261	0.0376801965259749	0.0469328317220504	0.00983881524911675	0.0100228086642906	0.0157457600938604	0.0463412324720726	0.0542992502295173	0.0677769718518669
OM2_C_4B_3	0.00898160873355555	0.00264439136827573	0.00896692668509829	0.00678091981150467	0.00461065770292957	0.0201756132558807	0.0170642817673821	0.0211674180890759	0.00531955109132945	0.00544197134817949	0.0150180653955042	0	0.0360216559368582	0.0546832815753963	0.0314661043609302	0.0204919460283856	0.00807448391086567	0.0376987395284534	0.0524428894755701	0.00942923437459741	0.00456988170080616	0.0264023519862204	0.0124993001896038	0.00669288808915496	0.0214011940174802	0.0164409161108869	0.00735825963798755	0.0368066503966415	0.0164958239886004	0.0178280055948104	0.0265746183453469	0.0499164186490636	0.0322807159598373	0.0300582499334597	0.0247042216759214	0.00651057194463361	0.0134704172207408	0.0197955356192705	0.0253241586179938	0.0438928864865133	0.0143230912052147	0.0314623040550369	0.0460940757840955	0.0397813982484853	0.0323761480896886	0.0265785403741919	0.022762558315731	0.0319761583667121	0.0137594365176374	0.0139599645892263	0.00312397251307043	0.0314365847819533	0.039550143864555	0.0529995683283287
OM2_C_4C_1	0.0306582484575278	0.0348450893997666	0.0439514968304009	0.0333046489440033	0.0334959506529641	0.0181312439181353	0.0527508639161337	0.0563069746889901	0.0407434055665197	0.0397081901560139	0.0503494807189028	0.0360216559368582	0	0.018960729194899	0.0124974767728166	0.0169481076081235	0.0379978386208643	0.00636941295368267	0.0180241833924302	0.0269091744772231	0.0327351449653073	0.0120157050444012	0.0246259662799106	0.0379210861863604	0.0157856011953912	0.0204085643700732	0.0304309363128567	0.00117766832355905	0.0197236742337815	0.0195860517757542	0.010451056424938	0.0150595328896891	0.00892218520151458	0.0117346311461976	0.0133048884773117	0.0393204429395163	0.025140579721185	0.017896573672157	0.0368052456526648	0.0111529156905111	0.0498471155838483	0.0673315870104004	0.0110939487254354	0.00774608516436234	0.00659189267526869	0.0127891622637958	0.0150740471303693	0.0103834709792836	0.0477337384798436	0.0491995697375131	0.0349073716888762	0.00979298537876712	0.010668625808241	0.0200164546771416
OM2_C_4C_2	0.0493880413211834	0.0535568031350601	0.0623777921234294	0.0515391173267055	0.0518924996450472	0.0361414834984133	0.0712511063445302	0.0747707211372662	0.0592382334699753	0.0581216934622256	0.0689528334760748	0.0546832815753963	0.018960729194899	0	0.0266958196612806	0.0349120586705978	0.0561206187483937	0.0176708793246909	0.0078844274824291	0.0457413739722578	0.0515055850894297	0.0289608820540024	0.0427899346126411	0.0564156615749855	0.0339346418875174	0.0385707644515989	0.0487203929959125	0.0184192940704074	0.0382505139182124	0.0379670399270891	0.0287821199544884	0.00865666545647903	0.0242611160987009	0.0267088032278422	0.0309136236809341	0.0575961801615236	0.0430637253811691	0.0355994001417992	0.0505688710948895	0.0135017936707188	0.0681648015069309	0.0857230864816483	0.0111306671377955	0.0163992989698424	0.0226404957401556	0.0293943008333607	0.032890205401768	0.0252161330029995	0.0656781543026944	0.0674939025282115	0.0534191200270974	0.0251190463326553	0.0182087398971202	0.0109356394229734
OM2_C_4C_3	0.0255354462717279	0.0311859060522996	0.0377755346585777	0.0300779480925551	0.0278047900040744	0.0116341314320179	0.0466791787418418	0.0523978853896927	0.0361616300057387	0.0355540145610636	0.0464170559942082	0.0314661043609302	0.0124974767728166	0.0266958196612806	0	0.0164673384480307	0.0349108776522081	0.0100823037161134	0.0222118526345889	0.0232198909283476	0.029529272320472	0.009288560577315	0.019887886594084	0.0315416464352973	0.0106437020981997	0.0167610851366378	0.0266997804193599	0.0133085110539642	0.0171339731824161	0.0196690003888008	0.014518456278789	0.0203842513915673	0.00373509604699173	0.00433506723332245	0.00748360557109335	0.035436042783599	0.0184150295579155	0.0132829033062919	0.0312101950941908	0.0136676334371181	0.0440758063960666	0.0617432646936695	0.0176798611069549	0.0103132460225928	0.0104456028119344	0.00648913511115196	0.00908350088825372	0.00231046736674547	0.0423431763413966	0.0429198096865824	0.0309333956489663	0.00283317644865152	0.00931347446999124	0.0221295940971501
OM2_C_4E_1	0.0180453180584318	0.0191729066627543	0.0286731376148172	0.0166485060424247	0.0183047787033922	0.0104572847050909	0.0372777266299166	0.0399439153981389	0.024622118583726	0.023343717754796	0.0342262627396838	0.0204919460283856	0.0169481076081235	0.0349120586705978	0.0164673384480307	0	0.0212504794442219	0.0186550201345579	0.0337506165805875	0.0127571287742744	0.0173074368178799	0.00799206502866964	0.00924299078449191	0.0238684044049877	0.00797242903148034	0.00521447028392274	0.0139778616965268	0.0178749120112811	0.00481945120176331	0.00428366493136565	0.00723116880398164	0.0314239486114918	0.0158232500450564	0.0134324140128148	0.00953503634528119	0.022739192358211	0.0118707814615679	0.00557086683835746	0.0234936620068116	0.0256056303836928	0.0338266849398899	0.0511579646969582	0.0277366244211239	0.0214818378510484	0.0125920227525555	0.0102447346697611	0.00895718909309554	0.0161558406328439	0.0312167930819159	0.0335248738165221	0.0187628050276241	0.0150161689205849	0.0216490140076603	0.0346556927430451
OM2_C_4E_2	0.0162360393562872	0.0071917466169388	0.0130820432369472	0.00488531750830359	0.0105692869468406	0.0244683611860889	0.0190695622871116	0.0189710131844547	0.00661760364337799	0.00454503612602045	0.0138759554422074	0.00807448391086567	0.0379978386208643	0.0561206187483937	0.0349108776522081	0.0212504794442219	0	0.0396126153668271	0.0547598689093263	0.0141528948526859	0.00857858736197328	0.0281252058194072	0.0150581857210507	0.0142621593216729	0.0247485010446024	0.0184242672790531	0.00826136750532229	0.0388432686358832	0.0186895013994279	0.0186348023022568	0.0278451183727843	0.0524455202199307	0.035470427033969	0.0325949003048155	0.0278435957043191	0.002963173766802	0.0176136652803636	0.0219253209751037	0.0224234677067286	0.046372385259407	0.0148588686003753	0.0307150605973713	0.0486909330352445	0.0422483464800249	0.0337231350974577	0.0291378274896067	0.0261240360273284	0.0353307483015942	0.0117819499218614	0.0157727781855783	0.00565988849269389	0.0345078141330039	0.0419193680623481	0.0553535056212106
OM2_C_4F_2	0.032627779570169	0.0368439573508248	0.0450175007971859	0.0348877981557669	0.0345751492838497	0.0189859270407968	0.0539413644588082	0.0581151777190681	0.0422306497963666	0.041232801148588	0.0522592553216097	0.0376987395284534	0.00636941295368267	0.0176708793246909	0.0100823037161134	0.0186550201345579	0.0396126153668271	0	0.0152120952056689	0.0290420836984349	0.0349505209717334	0.01163788922672	0.0255466486416094	0.0391543840641031	0.0166882938142332	0.021493386090246	0.031843204475416	0.00708897970556806	0.0214978167765136	0.0221750787483309	0.0138638314699062	0.0134781443238359	0.00773565866315659	0.00914269475157046	0.0135334731637348	0.040795324469945	0.0255319534536619	0.0182302253025434	0.0348281497610423	0.00720775504729785	0.0508665933119598	0.068534631200174	0.0108570485263567	0.00369870698476144	0.00633372969375969	0.0117447317039966	0.0155315920386492	0.0086956363705282	0.0484961125831138	0.0500880263790464	0.0365470383899095	0.00808104649729727	0.0047971593382397	0.0160466026202481
OM2_C_4F_3	0.0465379017374188	0.0516561173008077	0.0595263984024906	0.0500036277666313	0.0492348520555163	0.0328554349716371	0.0684501205854177	0.0731156461642118	0.0571390431540807	0.0562380971796236	0.0671715874105861	0.0524428894755701	0.0180241833924302	0.0078844274824291	0.0222118526345889	0.0337506165805875	0.0547598689093263	0.0152120952056689	0	0.0435535665450938	0.0497074298264982	0.0267750546345709	0.0404907020150253	0.0533021114850159	0.0311031985942942	0.0365318794822012	0.0469111536299509	0.0176457874853334	0.0364204158795309	0.0370271119185127	0.0281679238524737	0.00421377530484002	0.02045649846766	0.0232025175531474	0.027852313603372	0.0558772047483813	0.0400141934355412	0.0332219494182598	0.0486021218170579	0.00867085905264524	0.0656315118764479	0.0833126671659071	0.00840587550438802	0.0126843012309001	0.0213219528983693	0.0263242008457155	0.0298325106122899	0.021071229369319	0.0634665878087796	0.0646880365886688	0.0515023164126712	0.0213292183384227	0.0138284359348887	0.0040483843384778
OM2_C_4G_1	0.00581882438616756	0.00852124977721973	0.0176714897097332	0.0097718258904801	0.00809109575651925	0.0117617128719536	0.0261510875472729	0.0302431113745738	0.0145836674347233	0.0140414757784433	0.0240357390778671	0.00942923437459741	0.0269091744772231	0.0457413739722578	0.0232198909283476	0.0127571287742744	0.0141528948526859	0.0290420836984349	0.0435535665450938	0	0.006590515232192	0.0183027542024116	0.00660637441197052	0.0120765430167488	0.0127969277735852	0.00896305973929347	0.00719479593915256	0.0276352577719492	0.00819506020674892	0.0100893495469899	0.0178358797999336	0.0408283743839467	0.0235223572467723	0.021992567118999	0.0161706954235713	0.0143111433506144	0.00794114924758743	0.012222525928511	0.0260314434807535	0.0351120604051824	0.0236633378213065	0.0408427981132017	0.0368953051957195	0.0309675174580315	0.0238807593696311	0.0184601062070334	0.0142897948187611	0.023381298019907	0.0226863382742871	0.0230521589639282	0.00926258395311306	0.0228567272673818	0.0311514422973341	0.0443760622717104
