	OM2_B_B_2	OM2_B_B_3	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_5A_1	OM2_C_5A_3	OM2_C_5F_2	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6G_1	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1
OM2_C_4C_3	0.111610237084574	0.105950282480201	0.07138073669059	0.0710221213515746	0.097606958065389	0.0894768526189118	0.074626352810503	0.081527721822124	0.0782079334819945	0.0828061237378487	0	0.0903327247843084	0.0796457265993662	0.0861116831030683	0.0130804654681121	0.090791069585368	0.0201611285019503	0.0816379286201809	0.0974297217188372	0.106238688987099	0.119454761007994	0.0887507779426862	0.0871890069665564	0.103806341947532	0.08543155805901	0.0854934857742849	0.104294475798321	0.122059811282728	0.092417212417242	0.0819246494290084	0.102146219003457	0.101078385047033	0.0802511458649722	0.0801318001477131	0.0959684041462388
OM2_C_4E_1	0.0236712911908459	0.0156916244617356	0.0197294345957832	0.0194256864247007	0.00731409395122256	0.0400032361317587	0.0164307684651652	0.00883639893610184	0.0247255136464579	0.00911413435919635	0.0903327247843084	0	0.0140218753126431	0.0053532570488008	0.101142505912857	0.00478808970225089	0.0757957897973199	0.00915220999618561	0.00818943376716118	0.016935812155736	0.0294291672902562	0.00543011081512396	0.00456436972362633	0.0176437827222049	0.00787920117056437	0.00702759851147187	0.0141622747692059	0.0326168855095877	0.00639859930750294	0.0132749957876207	0.0123210605746274	0.0141014162626195	0.0140911238894888	0.0102470049411811	0.013639151516205
OM2_C_4E_2	0.0320961097768695	0.0283081183863856	0.0088362018285858	0.0108705848818345	0.0205001654101152	0.0473093585485556	0.00632727372382677	0.00860906095388525	0.0119348627831762	0.0138026447452806	0.0796457265993662	0.0140218753126431	0	0.00866930038020387	0.0897218709699546	0.01208603216102	0.0637172826160548	0.00631909860215842	0.0187029658106328	0.0306521049182182	0.0406714452323287	0.0100055579973095	0.00952411140702539	0.0242691550946489	0.00653804867206795	0.00711356313586769	0.0273152789505307	0.0427919177625348	0.013274029473925	0.00250309640439953	0.0234953806014695	0.0215351839222079	0.000923774873582017	0.00804520864917513	0.01654588235543
OM2_C_4F_1	0.0263718520349458	0.0203146155226752	0.0149429944281325	0.0151975441101578	0.012145968690209	0.0423536439851537	0.0116266637909582	0.00544517542340011	0.0196635762327457	0.00876566111104437	0.0861116831030683	0.0053532570488008	0.00866930038020387	0	0.0966773240130054	0.00489220802078151	0.0710788836496107	0.00450655956548057	0.0113737733404069	0.0221384993517636	0.033506045228557	0.00321673556612863	0.00108097439368415	0.0193043832824282	0.00290904507657805	0.00188106355159391	0.0190561966739342	0.0362353389930716	0.00683915316390776	0.00807298753943006	0.0160997560688819	0.0159679088452822	0.00876229825211595	0.00653051899525405	0.0132070052117255
OM2_C_4F_2	0.121586187481438	0.116737211597513	0.0818120103346501	0.0817883875277219	0.108419502257436	0.102318487681022	0.0851050663682212	0.092357364501307	0.0870218439909386	0.0940307660104388	0.0130804654681121	0.101142505912857	0.0897218709699546	0.0966773240130054	0	0.10122342897418	0.0266758276897997	0.0922585738606198	0.107906229602992	0.11737690453975	0.129952343049258	0.0991520893608694	0.0977496095540194	0.113686253500274	0.0957576415528285	0.095910786385194	0.115195932534544	0.132282024939629	0.102741483213307	0.0918888587213399	0.112666652861127	0.111144610352117	0.0902556461129641	0.0909421288175722	0.105748404611463
OM2_C_4G_1	0.0214817046432891	0.0162260832632816	0.0194962069055018	0.0200098595547725	0.00868863140511536	0.0447233201947911	0.0162177331062129	0.0102529437375378	0.0213157118780464	0.0125617000088527	0.090791069585368	0.00478808970225089	0.01208603216102	0.00489220802078151	0.10122342897418	0	0.0754762389479042	0.00935016233749627	0.00672588626760255	0.0189040686528598	0.0289009519528777	0.00210367172465889	0.0038678862573525	0.014487567499132	0.00559354464302894	0.00533564286575265	0.0153155803439256	0.0314541827608163	0.00205118231051402	0.0105878861782077	0.0115331110506169	0.0111004349012489	0.0118497667881416	0.0114088128727798	0.00915494957578079
OM2_C_4G_2	0.0954709001097476	0.0913158493767385	0.0561727719720144	0.0565345427336026	0.0830476641591733	0.0829358469145612	0.0594875737354104	0.0670870838906437	0.0604542947576329	0.0693116986156705	0.0201611285019503	0.0757957897973199	0.0637172826160548	0.0710788836496107	0.0266758276897997	0.0754762389479042	0	0.0667428610074672	0.0821823503373981	0.0924026389967388	0.104231309531912	0.073383167302837	0.0721410497987197	0.0875114099186513	0.0699335858601327	0.0701691913483178	0.0899126050384891	0.106339595297767	0.0768936785658596	0.0657955509432663	0.0869752496920606	0.0850870364216987	0.064196146647461	0.0656581773328999	0.0795191412827924
OM2_C_4G_3	0.0308099822201863	0.0246462161624575	0.0106002987526726	0.0106913555846181	0.0163538216418486	0.0414569786683401	0.00728869622684505	0.00244353581904793	0.0182370924082822	0.00759065412172668	0.0816379286201809	0.00915220999618561	0.00631909860215842	0.00450655956548057	0.0922585738606198	0.00935016233749627	0.0667428610074672	0	0.015877653835085	0.0260686458226725	0.0379841321038645	0.00746567536280008	0.00558442346645804	0.0235812657404171	0.00494744432673715	0.00441893663709769	0.0232587198471562	0.0407388143217972	0.0112110021684895	0.00711804520422813	0.0205865493863722	0.0203299217191948	0.00686430660749637	0.00260226195066563	0.0169390252839828
OM2_C_4H_1	0.015493164487628	0.009833039656249	0.0261998977785992	0.0265654415910276	0.00461430344385564	0.0461333346553104	0.0229082669914711	0.0163663970750721	0.0268114347823398	0.0173012922803499	0.0974297217188372	0.00818943376716118	0.0187029658106328	0.0113737733404069	0.107906229602992	0.00672588626760255	0.0821823503373981	0.015877653835085	0	0.0135146130159682	0.0221862024097825	0.00882313015167686	0.010294145220821	0.00981550937727445	0.0122932440754516	0.0120566126004951	0.0094131668547774	0.0248828183250242	0.00549139316485696	0.0169830322802545	0.00481074895010081	0.00632983799127438	0.0183841114888015	0.0176639324232807	0.00885562001433781
OM2_C_5A_1	0.0180910993265173	0.00560901041995447	0.0365852644836106	0.0359529690663248	0.0102224590903168	0.041461534172983	0.0333143020704454	0.0254224377390532	0.0400601617846168	0.023526387857692	0.106238688987099	0.016935812155736	0.0306521049182182	0.0221384993517636	0.11737690453975	0.0189040686528598	0.0924026389967388	0.0260686458226725	0.0135146130159682	0	0.0165342451401281	0.0208291799950801	0.0211827950758352	0.0184526409891282	0.0241614966577248	0.0235438939811098	0.00434432750600852	0.0211799750367079	0.0185066160810671	0.0294368109286834	0.0104313248451995	0.0166110388601269	0.0305631156050052	0.0268527579875816	0.0218256327971696
