	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_3	OM2_C_6H_3	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2
OM2_C_4C_2	0.013676436446318	0.0194597636018525	0.010540065821333	0.0197871347856426	0.011576642302881	0.0213735209438572	0.00595921018822397	0.0195719683132544	0.0116500972618095	0.0011247538708424	0	0.0041399992019015	0.0129173120624491	0.00468609563212458	0.0182586963569653	0.023507683766187	0.0331851445908634	0.0182625825901898	0.0173404674967116	0.0167033070857033	0.00824119160088363	0.0150971869379542	0.0207408511587884	0.0176762985464721	0.0171112236500337	0.0100988652408225	0.0247553145918188	0.00783142963707737	0.00978300093671003	0.0130144289471535	0.0109293970447582	0.00882504504375338	0.0212631738286874	0.0157897043129239	0.00381472625319004	0.0153696962052875	0.00869259336420444	0.0062044068908606	0.00231841518014286	0.00334009493305811	0.00694259449107703	0.00506841706646824	0.00726513978826991	0.00867057589601632	0.00912137892354946
OM2_C_4C_3	0.0105525848111991	0.0156823409614412	0.00640083866157525	0.0159137029602497	0.00781723216552895	0.0184004520940406	0.00275807129611471	0.0162320531381735	0.00826838981774925	0.00523851410517777	0.0041399992019015	0	0.0169539091244548	0.00783316553725386	0.0142631469080926	0.0196967950981217	0.0293789927827285	0.0156547641031783	0.0136981268060264	0.01360880186593	0.00664578869598757	0.0119685568360578	0.0176082776825054	0.0138258349822883	0.0150784696299253	0.00674249782491275	0.0211056775071499	0.00454929775814932	0.00621552356475633	0.00966438697409284	0.00682134128350415	0.00475998961134615	0.0176766498368062	0.0134368111077452	0.00239427232633097	0.0125291436899655	0.0103036701941117	0.00299158447488731	0.00183806731379481	0.00116376556003103	0.0110820813979988	0.00413912392370026	0.00318500434744702	0.00467724434990474	0.00498157132408869
OM2_C_4E_1	0.0241371992913122	0.0308373126117685	0.0232854406443198	0.0314051764142382	0.0233785644172749	0.0306901961773089	0.0188213768144575	0.0298916524407906	0.0228183248048006	0.0119428222324651	0.0129173120624491	0.0169539091244548	0	0.0121167731197016	0.0302708983805413	0.0348260242104608	0.0442470599948691	0.0270777636719606	0.0285028355377053	0.0267425399031653	0.0177447149968725	0.0253877765801689	0.0304869704089815	0.0293151753449778	0.024850958265773	0.0214423200402449	0.0355764987721539	0.0194728930834534	0.0214657173601129	0.0239628191036716	0.0234742560124849	0.0217052639467061	0.0320723992348201	0.0244394759766199	0.0165528486988441	0.0250614523113603	0.0120728380010608	0.0181448492634692	0.0151252368607398	0.0159487521748096	0.00651143379372313	0.0156139797759942	0.0198666154754248	0.0215768542326103	0.0218539932850155
OM2_C_4E_3	0.0181490146935448	0.0235099260623963	0.0137324687373004	0.0237146776712756	0.0156490967483555	0.0259282681195186	0.00824926925425168	0.0239664809465737	0.0159898959477301	0.00390785151180467	0.00468609563212458	0.00783316553725386	0.0121167731197016	0	0.0219817666509163	0.0275133501114329	0.0371872075901375	0.0228984950734251	0.0215236526546625	0.0212018454402336	0.0129254672979596	0.0195755166295879	0.0252363082407731	0.0216399732518327	0.0217959290151232	0.0144378983402609	0.0289347521617251	0.0121695578782388	0.0139980233239642	0.0173799237747286	0.0144252180147467	0.0117229174094671	0.0254959481665462	0.0204545216900877	0.00605693086670254	0.0199443848211642	0.0124225104974831	0.0105187310445828	0.00641641541728971	0.00751003868675114	0.00564852517624434	0.00975155895505546	0.0109451063195778	0.0114031944442217	0.0124335939639444
OM2_C_4F_1	0.00748446797732222	0.00293872561194949	0.0084424634358055	0.002272222916085	0.00689429929101677	0.00964785344968016	0.014004498306721	0.0064103257992349	0.00768890300044126	0.0193832233697744	0.0182586963569653	0.0142631469080926	0.0302708983805413	0.0219817666509163	0	0.00591868079208264	0.0153509981416529	0.0101735598692978	0.00370375029593753	0.00722318953488045	0.0130457251504005	0.00710662309945415	0.00832755535894087	0.00184052495454335	0.0124308167285208	0.0088862579373445	0.00796555624739185	0.0108081259946362	0.00880737955863216	0.00692380024939555	0.00757426360668459	0.0105396630526219	0.00557352922971479	0.0106603237420672	0.015964806611014	0.00844588726851957	0.0198666079963598	0.0122360463729085	0.0159718653713297	0.0149190355240278	0.0250832851897133	0.0146634278985165	0.0110820032220324	0.0109732262695213	0.00959574928860019
OM2_C_4F_2	0.0107626318105147	0.00405486302479341	0.0142608705465882	0.00383793098498295	0.0119352002337336	0.00776062184530299	0.0197497631263988	0.0058397334268484	0.0120773114193828	0.024624270311477	0.023507683766187	0.0196967950981217	0.0348260242104608	0.0275133501114329	0.00591868079208264	0	0.00968782216994403	0.0103254599414684	0.0063280739290611	0.00870396777530068	0.0171153370005852	0.00966865152695604	0.00674244303052082	0.0058754195301732	0.0131911231390699	0.0135538086865168	0.00240250870303959	0.0157436029220127	0.0137447903405558	0.010871001605299	0.0132846481663585	0.016348294696923	0.00327641975391578	0.0121026647350724	0.0215861956492738	0.0104471970988032	0.0235850241802418	0.0173224647436324	0.0212938156362146	0.0202048783246194	0.0301259955186555	0.0193592125510494	0.0165750123548752	0.0168013464098405	0.015310264630249
OM2_C_4F_3	0.0201241676660163	0.0137296041392617	0.0237917085143658	0.0134803196167861	0.021619471002339	0.0145671793655107	0.0293407258226233	0.0144360070052477	0.0216787852270686	0.0342995322190255	0.0331851445908634	0.0293789927827285	0.0442470599948691	0.0371872075901375	0.0153509981416529	0.00968782216994403	0	0.0181077785442232	0.0159074991067173	0.0175927513733758	0.026514655897335	0.0188730581182383	0.0142639149509007	0.0155562519804506	0.020934144970019	0.0231850049631987	0.00868182989080304	0.0254011350524128	0.0234137230336867	0.0204111575872561	0.0228861424322015	0.0258882709798112	0.0121825257043314	0.0204702602461768	0.0312363521921409	0.0193297382183711	0.0326786784572733	0.0269937601342263	0.0309780053358382	0.0298883790108601	0.0397528736736371	0.0289385801777984	0.0262478685033195	0.026321108282146	0.0249142898193839
OM2_C_4G_1	0.00546196397724903	0.00799036346502851	0.0134034836095627	0.00909443873925387	0.0092967636582997	0.00366619280928791	0.017142233444024	0.0045528974719577	0.00787665674151854	0.0192280963934681	0.0182625825901898	0.0156547641031783	0.0270777636719606	0.0228984950734251	0.0101735598692978	0.0103254599414684	0.0181077785442232	0	0.00648349617428246	0.00316574494956433	0.0101492877354931	0.00433842048555604	0.00387578653598411	0.00834185481199897	0.00290214907056799	0.00914698644107913	0.00980862298418368	0.0111324018083336	0.00990592521084263	0.00669426520545017	0.0121495149115068	0.0148493922068751	0.00706135415225607	0.00265028343938696	0.0180253829524246	0.0032343588575296	0.0150778475758338	0.0126698119852302	0.0165877781490861	0.0155555375263342	0.023704166927941	0.01324048972132	0.0134506482208751	0.0153443474962061	0.0135174547941063
OM2_C_4G_2	0.00454393901086211	0.00238550933616232	0.00908274468646375	0.00322565897794282	0.00588972985344612	0.00648378694776504	0.0141657617995555	0.00329207913742745	0.00577292129609228	0.0184457920147104	0.0173404674967116	0.0136981268060264	0.0285028355377053	0.0215236526546625	0.00370375029593753	0.0063280739290611	0.0159074991067173	0.00648349617428246	0	0.00353578625167305	0.010810309944635	0.00372102923514228	0.00522261019870406	0.00186396040221992	0.00875048625136016	0.00728244429295522	0.00742302036104157	0.00951901789322839	0.00756390644259015	0.00454307801379458	0.00790279536189029	0.0110283424431977	0.00398656004426641	0.00705025826172823	0.0157610747126729	0.00490948812536891	0.0173947043165645	0.011136742213578	0.015188992846038	0.0140890140312779	0.0238519727718783	0.0130466786975502	0.0107029027455575	0.0115229420752214	0.00981242179424764
OM2_C_4G_3	0.00306106715550608	0.00549309255171546	0.0105167252966013	0.00653467855441439	0.00651474459291146	0.00480554387583112	0.0147388211426803	0.00316001022621845	0.005399998157903	0.0177461781986953	0.0167033070857033	0.01360880186593	0.0267425399031653	0.0212018454402336	0.00722318953488045	0.00870396777530068	0.0175927513733758	0.00316574494956433	0.00353578625167305	0	0.00910996622429803	0.00164053701938404	0.0040392607846031	0.00538526134054376	0.00521476544795144	0.00687478209177136	0.00892614740706505	0.00907895333975434	0.00750464727885462	0.00404421833110525	0.00925503722162917	0.0121284959220523	0.00554878711388022	0.00358677246012433	0.0159020622653476	0.0017590843929326	0.0150942947450485	0.0107127033398378	0.0147913272177328	0.0137084585101184	0.0227066764366464	0.0119000003311668	0.0110501199438914	0.0126318960003314	0.0108043777086577
