	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4B_2	0.0785221242827346	0.0980773689760725	0.0836466279111134	0.0785342799206328	0.0958860024823857	0.0334856681459293	0.0535691134761705	0.100377582135524	0.0579984521594703	0.0361336878373816	0	0.0231255783329528	0.0174476930333733	0.082983475483532	0.0250287573306475	0.0210749506832288	0.0476700158975672	0.0305456766428163	0.0328233704704309	0.0354322116472066	0.0429575418641478	0.0813851466850656	0.0683399038486702	0.0461126429326244	0.0575201920572888	0.106530770792736	0.0131396584135675	0.0195819414376851	0.107644630613497	0.0932018597994607	0.0638666328557744	0.105147187327849	0.0948577868269498	0.0439537544307077	0.0655908368079693	0.0547925290131573	0.0130100208476773	0.113472599108433	0.0507728893590029	0.00870794752312295	0.0684874944785639	0.124844357845148	0.0206823071470048	0.111681469561403	0.131612612792946	0.0184921799995895	0.0135698271848797	0.106620762263984	0.0329290469617405	0.0394743005200983	0.0345276048105132	0.0323415388857646	0.0557628159100841	0.0833139431415822	0.0448227137313668	0.0984102956686976	0.0532803570631359	0.0821970227068227
OM2_C_4B_3	0.088269811927387	0.107207431482529	0.0914862442614577	0.08543246384726	0.103729837836905	0.0475047420191213	0.0644734001991819	0.108181638612859	0.0633038112282943	0.039156913161663	0.0231255783329528	0	0.0121514012043724	0.088998600690605	0.0235085330208875	0.019198377433204	0.0451117572591694	0.0240027579520456	0.0320681977030987	0.0406164141663481	0.0433628020977873	0.089752790371091	0.0763279328851959	0.0486752296081506	0.0650491588600846	0.111526979625243	0.0162862519304727	0.0247324075900155	0.115427715854906	0.102742388793174	0.0691623016908982	0.11587299392571	0.103941607483977	0.0459898214792935	0.0715647919371601	0.0606963571659644	0.0171822450591461	0.118323710457489	0.0596176699714464	0.0165820114330151	0.0724096894318748	0.130780329699263	0.0298059706519414	0.118674507097993	0.140923859740857	0.0357063205432292	0.016250453730173	0.0985260981740881	0.0177013382123955	0.0243248805446541	0.0188117101173006	0.0293503094974632	0.0637989567991301	0.0901302038720787	0.0471725437139815	0.105744366525355	0.0579387313730309	0.0876737439204211
OM2_C_4C_1	0.0764538285391051	0.0956077484215346	0.0800830751187505	0.0741300955146004	0.0923795586833127	0.0357374613078365	0.0524906987328846	0.0967602373635719	0.0521382936243609	0.0278509046230665	0.0174476930333733	0.0121514012043724	0	0.0778906381689144	0.0129424388302618	0.0081787071687301	0.0363872744992469	0.0166973985827102	0.0216515984118315	0.0289776352533207	0.033054904331126	0.078186341553163	0.0647442818392357	0.0378421516875274	0.0533647432147618	0.100986487739064	0.00581569731381256	0.0126415280441833	0.104081478771456	0.0910759528141611	0.0582743030091232	0.104011394290096	0.092369977522259	0.0352726298614406	0.0603646778646161	0.0493191136808402	0.0170827296231697	0.107775029220193	0.0478167679737103	0.0133278535783819	0.0616954597309667	0.119990919226995	0.0179489714434547	0.107514045493417	0.129420304180512	0.0270839005937492	0.00638996724127631	0.0951747606939635	0.0193899504710513	0.0331907744032347	0.0236195841633374	0.0208553797310906	0.0522576446631751	0.0788574282559076	0.0366555871677254	0.0944313049128808	0.0468033608034488	0.0766794795833696
OM2_C_4C_2	0.0159799432980087	0.0219052860022982	0.00846400184443865	0.00592137429124701	0.0168407221760016	0.0555431829614081	0.0326513503604916	0.0204368866980089	0.026647154506093	0.0503051564296275	0.082983475483532	0.088998600690605	0.0778906381689144	0	0.0657043293567917	0.0710248546133152	0.0487611158926478	0.0671455488227478	0.0574112732128072	0.049632186303595	0.0462501560068108	0.0120225664308323	0.0156408541610556	0.040587881402967	0.0263140884954665	0.0259270848123898	0.0768350222288009	0.0668770116480444	0.0271753214843176	0.0203789479800182	0.023012447396587	0.0341313665658857	0.0195448316914247	0.0432950046202391	0.0182935272118363	0.0293324318092979	0.0902488651085255	0.0318871489827952	0.0333440597306637	0.0852981070156732	0.0180948120476398	0.0429660948312796	0.0632521742159406	0.0300245421109126	0.0535239178265882	0.0769073419013494	0.0771245276692321	0.0815049852638764	0.0823958404287593	0.10324475793612	0.0886825831737968	0.0622668382402415	0.0276578788406378	0.00728219397367828	0.0426521429575772	0.0203816629451015	0.0312737062588368	0.00367241861378969
OM2_C_4C_3	0.0652836526985207	0.0839705616963682	0.0681005266698317	0.0620546608780506	0.0803605987409042	0.030605863702871	0.0421060223111633	0.0849508657983204	0.0399447051781889	0.0164364489864652	0.0250287573306475	0.0235085330208875	0.0129424388302618	0.0657043293567917	0	0.00742494070195974	0.0241058001244089	0.00798350137268748	0.00948816535413067	0.0178823172541665	0.02055309973378	0.0665098034807541	0.0530735375281362	0.0255439655129229	0.0420729843270655	0.0883616955321971	0.0144177614225393	0.00952682327265294	0.0921353096349209	0.0795607839462704	0.0458286792538567	0.0930802927776246	0.0806651212110681	0.0228290111288354	0.0481505494561622	0.0374088350341473	0.0280466101830462	0.0952076907818586	0.0367205697397639	0.0232296779997841	0.04918245234263	0.107571459156857	0.0118383920031607	0.0953824345052229	0.117741923705371	0.0308402289594334	0.014260340093168	0.0854262137949072	0.0213411085269752	0.040541183163072	0.0274164877511576	0.00963467904005277	0.0405063807783713	0.0667910400322588	0.0238784450728433	0.0825383484865111	0.0345984287307979	0.0643734321434444
OM2_C_4E_1	0.0696544581410726	0.0887224131052499	0.0731261893874923	0.0671623008966571	0.0853490947116018	0.0315183606584025	0.0458141610495404	0.0898423710333668	0.0448935598191643	0.0211895498107342	0.0210749506832288	0.019198377433204	0.0081787071687301	0.0710248546133152	0.00742494070195974	0	0.0293605994140451	0.0125614147054863	0.0145235274411123	0.0218222738098839	0.02618581862605	0.0710581527411872	0.0579741202164051	0.0308867182298038	0.0466156727324477	0.0939602975238558	0.00987714112164565	0.00894263022523249	0.0971282249664113	0.0840984953347297	0.0509467242226596	0.0972620389512767	0.0854202603780256	0.0283089457824867	0.053273001557905	0.042139363492396	0.0217944937404094	0.100687396860657	0.0408385641914928	0.0178233380217966	0.0545542419728129	0.112925056717154	0.012786409256665	0.100508111418415	0.122637585670422	0.0270777170896475	0.00825307057957438	0.0903207861490974	0.0199698712515933	0.0373851699864323	0.0258672363061523	0.0149835155986197	0.0456158448150866	0.0716746504369853	0.029666797102363	0.0871049945844955	0.0398102473171001	0.0696491674416492
OM2_C_4E_2	0.0523763044715431	0.0685278029429483	0.0520937392405849	0.0458284413708524	0.0634611945788112	0.0394252762008012	0.0349438518033593	0.0685547752136688	0.024641515858414	0.0179677402887146	0.0476700158975672	0.0451117572591694	0.0363872744992469	0.0487611158926478	0.0241058001244089	0.0293605994140451	0	0.0217256535576463	0.0161382962942336	0.0187998474365985	0.0107187923060561	0.0511394273225454	0.0397120838273523	0.0144037126048197	0.0314162334422467	0.0685216541374118	0.0381846946461479	0.0306571139377933	0.0751107127553882	0.0645152505904836	0.028236403054224	0.0794164170128025	0.0650696371024371	0.0126437579800815	0.0321977312279367	0.0242579171401402	0.0502377813889586	0.0751760342692144	0.028025427069566	0.0458624682183771	0.0307521911652198	0.0881688192049387	0.0286929691488602	0.0774489185006135	0.101449484559158	0.0496735103571985	0.0370568245770816	0.066309333519787	0.0347167661500049	0.0561822798760438	0.0413023805129962	0.0171692463000099	0.029486238634443	0.0497018062016718	0.0111486812186311	0.0649501387941568	0.0210736550540907	0.0465559842237361
OM2_C_4E_3	0.0682970946068963	0.0861956175120725	0.0699398053492445	0.0637966935540119	0.0819885436572539	0.0379237259348296	0.0461751570343814	0.0868824084113711	0.0416925716059842	0.0205423167499187	0.0305456766428163	0.0240027579520456	0.0166973985827102	0.0671455488227478	0.00798350137268748	0.0125614147054863	0.0217256535576463	0	0.0120657658633969	0.0223044921939981	0.0215737785566443	0.0687439768626592	0.0556468930685888	0.0273890271586621	0.0453285443337309	0.0884948510007761	0.0201657676129101	0.0174389299320423	0.0938028071074225	0.0819310419159801	0.0467431668532702	0.0961050369481995	0.0827901339771882	0.0244863160462312	0.0498026844507672	0.0397752116897089	0.0316357383181523	0.0953820278549409	0.0402066275809345	0.0272265241514756	0.0499352739748279	0.108113852720791	0.0188570941939584	0.0966663267740545	0.119699589005534	0.0384439354643399	0.0192388873949743	0.0790291691907432	0.0163835372083476	0.0372631138078766	0.0227659018006839	0.00631322036364789	0.0431840602683553	0.0683831090214222	0.0247024476360649	0.0841387947670329	0.036572185500237	0.0655341393318209
OM2_C_4F_1	0.0576811490640106	0.0760852888814662	0.0601045244575159	0.0538766452477346	0.0722301215586876	0.0288196506566601	0.0356310811005562	0.0767389834894651	0.0315081979819916	0.00912443750055264	0.0328233704704309	0.0320681977030987	0.0216515984118315	0.0574112732128072	0.00948816535413067	0.0145235274411123	0.0161382962942336	0.0120657658633969	0	0.0110012429509209	0.011737922980394	0.0584250185772168	0.0453259159773599	0.0169105805625686	0.034354523025661	0.0800056887431436	0.0226092303115968	0.0146987664503005	0.083925358779939	0.0717368224184212	0.0375497979207673	0.0854371784192801	0.0727923710265132	0.014186646158552	0.0398801227902103	0.029134978130462	0.036005661473209	0.0866936027073287	0.0296034107800835	0.0315220054585032	0.0405281121096603	0.0991383311024334	0.014703367020837	0.0870338716394352	0.109838189533219	0.034700392429635	0.022164579897938	0.0808230153781565	0.0271733057452737	0.0480229334689723	0.034056635871146	0.00959089072131713	0.0333831925427954	0.0583942306488418	0.015762726795659	0.0740230217473153	0.0262641710206133	0.0558974180556759
OM2_C_4F_2	0.0479543347481584	0.0669989429108464	0.0514966898453946	0.0455737886048387	0.0637434634780888	0.0207469340829383	0.0249913514731502	0.0681410757233905	0.0236309683019718	0.005211461978862	0.0354322116472066	0.0406164141663481	0.0289776352533207	0.049632186303595	0.0178823172541665	0.0218222738098839	0.0187998474365985	0.0223044921939981	0.0110012429509209	0	0.0107838459981462	0.0493540990372028	0.0362453551412356	0.0115251960290268	0.0248998419416662	0.0732520829065497	0.0278757053699375	0.0181104472954299	0.0754796755274228	0.0624262449009674	0.0303309733948872	0.0756713010633591	0.0637415607254845	0.0100311679098394	0.0318730707656468	0.0205478457532494	0.0409851866145197	0.079902681661781	0.0194166552723589	0.0363042732288236	0.0339238987076604	0.091806574812138	0.0149590087511056	0.0789995747511251	0.100978992998197	0.0329104369610368	0.0276794931150223	0.0841450235610565	0.0372219502992016	0.0571025085404301	0.0437363314431088	0.0183724666418219	0.0243255325324659	0.0501215116881113	0.012064781712262	0.0655931666677932	0.0187255454071513	0.0483867000777366
