	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_2	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_2	OM2_C_4H_2	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_H_2A_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2
OM2_C_4E_2	0.0241197861191033	0.0312104276602897	0.0304430762419002	0.0204251858914747	0.0224748985393641	0.0126138319341666	0.0276407463060526	0.0301476202512276	0.0135661125622498	0.0231223895729532	0	0.00976499625732821	0.0246453115352051	0.00883362266951041	0.00745127482272565	0.0099658269893647	0.0343431465136083	0.0346546415557651	0.0288491862562029	0.0354955392234745	0.0130237244764207	0.0180374383678188	0.0149639916442788	0.0100835413369663	0.0399414001517514	0.0234149708799337	0.0133402621314105	0.0201309317860388	0.015879502202795	0.0249344764926618	0.0259278240561352	0.00812526359585929	0.00533210183914787	0.0106010805075057	0.032162417267633	0.0170194859127887
OM2_C_4E_3	0.0293163932583876	0.0350453763230595	0.0328716012053916	0.0224303262132191	0.0256638318628837	0.0168504329299516	0.031876878224799	0.0319763169461675	0.0160317536491726	0.0251866638716617	0.00976499625732821	0	0.0285288530895072	0.0114970630615567	0.0119387246287282	0.0147392858105795	0.0379289483167121	0.0368916550817743	0.0314183152308327	0.0391839168462287	0.0149086489524378	0.0198984377721632	0.0123712277360847	0.0133884210045071	0.0427470791031373	0.0262436658576498	0.0113740093322285	0.0231025165798861	0.0156309430461164	0.0274743208369469	0.0289401043008118	0.00205666596713825	0.00626298996213894	0.0132429330811622	0.0351478758366642	0.0185276797953439
OM2_C_4F_1	0.00404044967926685	0.0066216823359204	0.00687126676707491	0.00712929886280008	0.00320477390733098	0.0121974501109918	0.00340160232559055	0.00777995501008976	0.0125003313205517	0.0055368772911577	0.0246453115352051	0.0285288530895072	0	0.0172666069837991	0.0320057208679119	0.0147948615114143	0.00970970378499181	0.01078525733654	0.00540229807666441	0.0108904274864054	0.0136472464545356	0.00918245860591576	0.0183864513934317	0.015423728894588	0.0154057783047019	0.00345028558431098	0.0183332169324	0.00559936033822193	0.0141994584585854	0.00386130965924054	0.00271130265871269	0.0266619133374674	0.0231501671115171	0.0153802922094324	0.00773273809102309	0.0105681533360064
OM2_C_4F_2	0.0178257367734176	0.0238670279320989	0.0223117045954988	0.0119538717962397	0.0146147103084965	0.00535425411579761	0.0205495187320802	0.0217717847399695	0.00503321167100357	0.0147308287684939	0.00883362266951041	0.0114970630615567	0.0172666069837991	0	0.0161047892876125	0.003522975171067	0.0268657837372013	0.026483013039246	0.0207629915120827	0.0280909929959851	0.00426181270801445	0.00945320373514726	0.00740915684065239	0.00189296778159893	0.0320717297007316	0.0153736168894085	0.00584267225323137	0.0120968970659227	0.0071411793161047	0.0167778326698312	0.0180255057565561	0.00952480344840809	0.00589988578234061	0.00194632370658894	0.0243212246196718	0.00830739579669019
OM2_C_4G_2	0.0312402980011401	0.0385300260094254	0.0378857439662257	0.0278569288860315	0.029908090775087	0.0200551416204662	0.0349237079548276	0.0375934362993689	0.0209682046614636	0.0305651859456427	0.00745127482272565	0.0119387246287282	0.0320057208679119	0.0161047892876125	0	0.0174091644015772	0.0416799577714947	0.0420968887928628	0.0362902725979797	0.0428118621587048	0.0203533751410339	0.0254444675161332	0.0213366394788595	0.0174875795379915	0.0473423217116257	0.0308591564477405	0.019814010964225	0.0275785302813594	0.0229329380834471	0.0323821124916999	0.0333572940533864	0.0114661282732167	0.0112494718802697	0.0179514851398222	0.0395719566426969	0.0243826904401412
OM2_C_4H_2	0.0148085506704034	0.0214057459815231	0.0204821330472039	0.0106484407884504	0.012512742575354	0.00264846764228042	0.0179233203293932	0.0202380843527402	0.00428914981582307	0.0132566432793572	0.0099658269893647	0.0147392858105795	0.0147948615114143	0.003522975171067	0.0174091644015772	0	0.0245004348579574	0.0246952302547012	0.0188864146849242	0.0256823329886591	0.0044519100547191	0.00844975189671444	0.00996351129352879	0.00207161605739134	0.0300046007111384	0.0134530382049419	0.00861396797747815	0.0101759358242604	0.00820006385997345	0.0149824878509908	0.0159677797179476	0.0127114058410474	0.00872688011233027	0.002870794349827	0.0222197550018367	0.00772386868494476
OM2_C_5A_1	0.011106618087366	0.00318151563307574	0.00618277943456575	0.0156484971770569	0.0122871916530581	0.0218934413139205	0.0068653818065966	0.00810487079772621	0.0219682484886409	0.013057147336966	0.0343431465136083	0.0379289483167121	0.00970970378499181	0.0268657837372013	0.0416799577714947	0.0245004348579574	0	0.00521644680253399	0.00706424012699998	0.00128314310712456	0.0230405990768732	0.0181071361532203	0.0269576718388974	0.025055052847791	0.00618159796192205	0.0117095994031532	0.0272169447983944	0.014844161038564	0.0228722688586348	0.0106337433120807	0.00901756599335234	0.0361286179950373	0.0327627088308931	0.0249492024519815	0.00338474841686522	0.0195089743909389
OM2_C_5A_2	0.0136596666370257	0.0065000989854751	0.00421429094472686	0.0145840720107365	0.0122274929229339	0.0220505218023425	0.00932865028677581	0.00497169788131599	0.0214516006779128	0.0117911510622658	0.0346546415557651	0.0368916550817743	0.01078525733654	0.026483013039246	0.0420968887928628	0.0246952302547012	0.00521644680253399	0	0.00581645579677259	0.00591768195260942	0.0223492554501938	0.0171321159100073	0.0251474122848365	0.0248196155485178	0.00607796450835683	0.0112438033147863	0.0257072003718044	0.0145311309413451	0.021335700104382	0.00973842600682166	0.00882353592179153	0.0352477599747016	0.0323032888630629	0.0245380736370742	0.00349094500049002	0.0184405745846364
OM2_C_5A_3	0.0090109236984884	0.00528747580350787	0.00160932435766852	0.00899259355172919	0.00641315201583194	0.0162400048562457	0.00546391565304096	0.00255926566489816	0.0157417859423044	0.00624340324691858	0.0288491862562029	0.0314183152308327	0.00540229807666441	0.0207629915120827	0.0362902725979797	0.0188864146849242	0.00706424012699998	0.00581645579677259	0	0.00833523725809167	0.0166936724547528	0.0115353030198975	0.0200505926038007	0.019063387882387	0.0113525984451975	0.0054387938940037	0.0204279735513561	0.0087357660416187	0.0160483323283911	0.00398828293950072	0.00305643917390202	0.0297075213218765	0.0266198538440451	0.018817279966749	0.00383324913242848	0.012894468549255
OM2_C_5F_1	0.0120405227167984	0.00428720482922882	0.00739989230083401	0.0169248291420457	0.0135332912292304	0.0230854462021146	0.00792075511041598	0.00927226707355822	0.0232103323755166	0.0143395380313683	0.0354955392234745	0.0391839168462287	0.0108904274864054	0.0280909929959851	0.0428118621587048	0.0256823329886591	0.00128314310712456	0.00591768195260942	0.00833523725809167	0	0.0242908171873998	0.0193772669341801	0.0282397393808996	0.0262723929852394	0.00551790667051556	0.0129773479985153	0.0284944957304579	0.0160930002212051	0.0241522529734693	0.0119150028223441	0.0102886657459197	0.03737635604792	0.0339861606803645	0.0261793661553067	0.00460461046661009	0.0207802764809289
