	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_C_4A_1	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6G_1	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4E_1	0.0166030968721223	0.00467297684811358	0.0113296014801109	0.113297368321021	0.106688969120249	0.0462756571257806	0.054825903396893	0.0713441551949389	0.0875068855731734	0.0639174771526632	0	0.00219760779395708	0.00809465481446676	0.0243887090756633	0.0192527419948608	0.0158213783338225	0.0501497923698286	0.0473884623193628	0.0409562880739567	0.0106606616841611	0.0264573140413248	0.00892052671391562	0.0220634589667441	0.0653224788521413	0.0628697538781605	0.072243556868966	0.0332878102078428	0.0315683915793905	0.0490966296709641	0.0649320258613214	0.0764186868903408	0.0713884253109163	0.0615805721523714	0.0867430514308842	0.0259470371104508	0.0535372072146942	0.0713233642614062	0.0651491912366991	0.0742564327752732	0.0534105620971709	0.0434280781273913	0.0522228689801769	0.0517878792040497	0.0626425194847235	0.0468915569557659
OM2_C_4E_2	0.0185240291447336	0.00331681145069897	0.0108136577728807	0.112015415028717	0.105403081001293	0.0474057405183187	0.0560652953189841	0.0726873440527523	0.0888024445901463	0.0649952643906488	0.00219760779395708	0	0.00655301180402097	0.0231581513023065	0.0180088323769232	0.0141531886962405	0.0513364561843987	0.0479573246273982	0.0397719984407477	0.0110569415247623	0.0249386919541371	0.00861403026936367	0.0205585928470034	0.0640785584630012	0.0615377286376024	0.0709520038054697	0.0345611646049285	0.0328208179515657	0.0503345210604759	0.0661087906968137	0.0776657198084218	0.0726923656549025	0.0627909751496187	0.0876607084793409	0.026511683777194	0.0547634775117765	0.0725839497496988	0.066516850605056	0.0755525117760594	0.0546636500218862	0.0446019892723853	0.0534654352607628	0.053075372456299	0.0638458884366676	0.0481460731534522
OM2_C_4E_3	0.0243747228565145	0.00677185998774419	0.0102329691009861	0.105515442393816	0.0988989018561637	0.0536905112610316	0.0625481417995207	0.0787514083962378	0.0952904564805238	0.0708158563092475	0.00809465481446676	0.00655301180402097	0	0.0168845386209662	0.0121433718438023	0.00782439842312563	0.057770875369487	0.0530955218898154	0.0333185369536198	0.0126149023256688	0.0185484588373759	0.0119726888419465	0.0141219838821817	0.0575606132057465	0.0549997045891989	0.0644815990352669	0.0409963913233717	0.0392368212008005	0.0567804104460184	0.0726168944130216	0.0841873112844325	0.0792247915850426	0.0693143438975188	0.0940126397778792	0.0323183826457569	0.0611544521242287	0.0789646359081068	0.0729024835638536	0.08200800775802	0.0611457712472806	0.0510075655109761	0.0599255170096357	0.0594276221859136	0.0702841795027237	0.0543574153058368
OM2_C_4F_1	0.0400428665424203	0.0235934204936778	0.0237302881609681	0.0899943755524612	0.0834403885957224	0.0704820950754334	0.0790639586338387	0.0953028247495352	0.111639198139563	0.0874765643994951	0.0243887090756633	0.0231581513023065	0.0168845386209662	0	0.00586698953637067	0.0102379359958164	0.0744134986815767	0.0694158545768678	0.0170673583532868	0.0226307370490528	0.00464791020908474	0.0249066934246759	0.00912667796768667	0.0420628497784246	0.0393818254499677	0.0500494991415081	0.0576331512270314	0.0559090249146807	0.0733937735160935	0.0889080451424958	0.100341372906756	0.0953052863162819	0.0853036819179143	0.109583636735302	0.0466643929471763	0.0778347687817285	0.0955996111794559	0.089442786150598	0.0985046529449115	0.0776648180710159	0.0677063857422185	0.0765035457805069	0.0760980732566532	0.0868866776987215	0.0710869847914969
OM2_C_4F_2	0.0351756890867272	0.0188760821447476	0.0205986860049904	0.0957613479846699	0.0892177828460658	0.0653376252554236	0.073654967433203	0.0904872497461112	0.106192847757752	0.0828235744241086	0.0192527419948608	0.0180088323769232	0.0121433718438023	0.00586698953637067	0	0.00653344307177509	0.069076205555181	0.0651250565974319	0.0228939105140964	0.0170212151455739	0.00860049077220936	0.0190669318354211	0.0103116228936101	0.0478962199332961	0.045153095786449	0.0558326606553661	0.0523661465030775	0.0506672701619236	0.0680644383342774	0.0833529008105048	0.0947666178424649	0.0897325817392732	0.0796604756227123	0.10384639030218	0.0408326179528833	0.0725801243054029	0.090355606257981	0.0842323015416369	0.0931465902805239	0.0722671731999351	0.0624224455057358	0.0711456386353381	0.0709231251282947	0.0815300573654341	0.0660771928606144
OM2_C_4F_3	0.0321789721521095	0.0140877133360027	0.0154385183323918	0.0984357730978818	0.0918302842692299	0.0610875426253232	0.0699702364826738	0.0863042133893087	0.10270841389613	0.0780582584144472	0.0158213783338225	0.0141531886962405	0.00782439842312563	0.0102379359958164	0.00653344307177509	0	0.0651773618024206	0.0596088321205031	0.0264026758946129	0.0171800500142042	0.010930920660732	0.0172029996174054	0.00792762348424044	0.0505846554740275	0.0478069927442386	0.0576858046460528	0.0485378053772654	0.0467727878450137	0.0642420959251953	0.0798698145996756	0.0914792619466158	0.0865710787586673	0.0765118374972192	0.10064468814654	0.0382895304712053	0.0686182240292005	0.0864384429881098	0.0804900657946607	0.0894816781908189	0.068587989660921	0.0584320588458839	0.0673763485787913	0.0669673012520052	0.0776801486899426	0.0618840470583782
OM2_C_4G_1	0.0367688397744549	0.0514270956085458	0.054786950839235	0.162023871324698	0.155425542393723	0.00668342021679122	0.00551583312146454	0.0261276875771305	0.0380164516749038	0.0224325461426006	0.0501497923698286	0.0513364561843987	0.057770875369487	0.0744134986815767	0.069076205555181	0.0651773618024206	0	0.0255243888219104	0.0909011040358186	0.0549511956862498	0.0760453791528787	0.0514684003017719	0.0709713447411111	0.114625749783642	0.112233717843511	0.120592025703462	0.0169948272687494	0.0187173148415236	0.00174119757537322	0.0166983025787028	0.0281137165480002	0.0238585147920124	0.0165731576447331	0.0421263519257371	0.0345625772107026	0.00431289843324659	0.0216004273043619	0.0165326999306294	0.0245289393105238	0.00436418778914181	0.0068887505541855	0.00275336019663628	0.00545296781189677	0.0125469617010816	0.00913891303393393
OM2_C_4G_3	0.037748067521592	0.0463983162400895	0.046717972658276	0.15087998552054	0.144294594148693	0.0194978143288686	0.0301819929310023	0.034779980644148	0.0563228198950063	0.0224683554932128	0.0473884623193628	0.0479573246273982	0.0530955218898154	0.0694158545768678	0.0651250565974319	0.0596088321205031	0.0255243888219104	0	0.0840904755771052	0.0560628444189064	0.0700062876343512	0.051617917692832	0.0632381440393931	0.105156723073723	0.102940346711566	0.109241695140295	0.0249409922461717	0.0249030191715924	0.0258053274206346	0.0394699732501453	0.0496990355140111	0.0468870392925479	0.0411345016714965	0.0618968296213379	0.0424200480463171	0.0257189917693758	0.0380227429057727	0.0349038935626921	0.0431904642137703	0.0294522014149701	0.0226158705094356	0.0277443850643675	0.0245640766119481	0.0328814142554904	0.0196681256495837
OM2_C_4H_1	0.0559551449084046	0.0397586131433119	0.0379202884536399	0.073125203605093	0.0665812542525581	0.0866854019590437	0.0956403708598635	0.110799537775137	0.128190283600398	0.102726254382496	0.0409562880739567	0.0397719984407477	0.0333185369536198	0.0170673583532868	0.0228939105140964	0.0264026758946129	0.0909011040358186	0.0840904755771052	0	0.0392956673328894	0.0161819509526783	0.0419505301618066	0.0210827646653712	0.0252028402880446	0.0227264230211315	0.0338645790896447	0.0740738430322859	0.0723236720327328	0.0898687191324584	0.105671700527745	0.117100143476223	0.112057405017792	0.10217233119302	0.12648931520738	0.0636511672934265	0.0941810388158814	0.111871096085177	0.105660034974261	0.114948485014187	0.0942268308276165	0.084136947951297	0.0930113657149016	0.0923168937240266	0.103367885918538	0.0870590770788871
OM2_C_4H_3	0.0223123592983877	0.0143068197190395	0.0206080186574703	0.112223424985466	0.105726870431528	0.0521208140508659	0.0590560241294938	0.0773608029068137	0.0910590427942377	0.0710454995581348	0.0106606616841611	0.0110569415247623	0.0126149023256688	0.0226307370490528	0.0170212151455739	0.0171800500142042	0.0549511956862498	0.0560628444189064	0.0392956673328894	0	0.0255133815203661	0.00675709086570794	0.0244217461710594	0.0644407306384872	0.061865284004817	0.0724999977652021	0.038603665704418	0.0371179290801408	0.0538354858954545	0.0683083077461218	0.0793712062749339	0.074188041980908	0.064177958906128	0.0887393201175636	0.026250931395741	0.05859221076154	0.0761158843764261	0.0698380320462189	0.0783917829519886	0.057685302344854	0.0486353272568035	0.0567560796591209	0.0570613340431388	0.0671500440617776	0.0529656423871307
