	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5F_1	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_4G_3	0.0202544250792368	0.0173732733673972	0.00994896323575705	0.0316920144570172	0.0130566642639088	0.0124212915812126	0.015191636256209	0.0435984134020053	0.0151127492614879	0.0109791139167653	0.00437734567783314	0.010592949930629	0	0.00907224931440943	0.00615339224403462	0.0132976067459119	0.0200317998009744	0.00774603793558509	0.0257790897810914	0.0241407691132088	0.0191428236477602	0.0219520464701818	0.0104900089102391	0.00656588117301326	0.0278807636648766	0.0326130447361294	0.0216771810740391	0.0178854677164552	0.00911872415561387	0.0237894740247865	0.0399840759515058	0.0467595715365689	0.0560015502217694	0.0174673657287448	0.0256746802047227	0.0160187398382195	0.0312360877620637	0.0259706006043034
OM2_C_4H_1	0.0121130134541611	0.00868658193586919	0.00973878098393095	0.0233536867362708	0.00626863145305906	0.0116430610241482	0.0126880144620134	0.050827095800296	0.0230384707047023	0.00398005379560197	0.00547080839010078	0.019085798825213	0.00907224931440943	0	0.00527994855525618	0.00666068873876141	0.0126647894583348	0.00144259054321286	0.0332605759420663	0.0152459473056682	0.0100879382146387	0.0130582303507479	0.00864757856580598	0.00307264039287402	0.0194013824655818	0.0237686686771799	0.0135540482916243	0.00900185636372343	0.00171362529396341	0.0151908569453081	0.0314245962713064	0.0378058625035653	0.0476376752475856	0.0265324589421393	0.034290614686844	0.0247315973539496	0.0394213434298784	0.0334192402075451
OM2_C_4H_2	0.0173684904473804	0.011926813165138	0.012201154850525	0.0285078696828037	0.0113069051622411	0.00765580652700151	0.0164652927216336	0.0455977123489133	0.0180900149356211	0.00893098954617679	0.00193538655644579	0.0145212431096846	0.00615339224403462	0.00527994855525618	0	0.0116724134301827	0.0179277693401544	0.00478281641303531	0.0281035965293887	0.0201021754144559	0.0142809068923969	0.0179465233523261	0.00498549335631522	0.00235561283109133	0.0245216427024303	0.0286077051754476	0.018804984756312	0.0139801312769719	0.00646040247947176	0.0202864584142358	0.0364509043011869	0.0424180425891866	0.0527194799964338	0.0229261118346289	0.0296068693319911	0.0220374252290916	0.0344580228843248	0.0282549076699879
OM2_C_4H_3	0.00726776365509044	0.0108894638380123	0.00756120464629356	0.0185885047595286	0.000405816064832976	0.0182713093404211	0.00745727384055536	0.0566009563787786	0.0283106599064943	0.00274267274823851	0.0112116881332137	0.0238883954109876	0.0132976067459119	0.00666068873876141	0.0116724134301827	0	0.00673509033580787	0.00689381416476469	0.0388571860718162	0.0122297416313355	0.0100370878552151	0.0102341957776437	0.0152791133838687	0.00931820860714794	0.0149610515947528	0.0201928287688659	0.00860916856045598	0.00682767319252461	0.00521700942257407	0.0111754813400592	0.0270000486145584	0.0344677575304158	0.0428237785501336	0.0297641784455731	0.0389184583623819	0.0268757189717209	0.0445210007438461	0.0390351022920759
OM2_C_5A_1	0.00262800959561545	0.0127102458794455	0.0130559391596341	0.0121241494920582	0.0069894162900235	0.0236778266672503	0.0100596835094257	0.0632338484936398	0.0350242982134623	0.00923625974329532	0.017743791694458	0.03062124439414	0.0200317998009744	0.0126647894583348	0.0179277693401544	0.00673509033580787	0	0.0132802946223347	0.0455307428911634	0.00810232630044235	0.0100914484177607	0.0070124197086352	0.0207765462064097	0.0156275586016786	0.00887372259487797	0.0145302921222507	0.00296013257126253	0.00660211710621479	0.0115763608346402	0.00606712050229707	0.0205865853431287	0.0286046036389045	0.0361834225161992	0.0362507566401848	0.0456320964543556	0.0330456062707752	0.0512484215991886	0.0457047011816001
OM2_C_5A_2	0.0129797100546147	0.0101278413257676	0.00872868715884553	0.0243330916154608	0.00653335362295432	0.0118263779922886	0.0121628856106668	0.0500187797546195	0.0220298679742904	0.00415611926153108	0.00449621355318186	0.0179450158235529	0.00774603793558509	0.00144259054321286	0.00478281641303531	0.00689381416476469	0.0132802946223347	0	0.0323729143254469	0.0164406243324356	0.0114782451976175	0.0142495695305918	0.00886230883622102	0.00242722827333869	0.0204223087747235	0.0249452986067334	0.0144242911938134	0.0101794726453303	0.00170748957366014	0.0162475347390968	0.0324917649659732	0.0390443998127403	0.0486506775357654	0.0251793862299895	0.0331496841209877	0.0233057644513187	0.038393541336327	0.0325384753715558
OM2_C_5F_1	0.0453348924450499	0.0390404330762072	0.0352143730652941	0.0565811647709043	0.0385690955977845	0.0259498544025098	0.0405551805259499	0.0178348006227892	0.0107233360611946	0.0363049234619829	0.0278792894985007	0.01556351184189	0.0257790897810914	0.0332605759420663	0.0281035965293887	0.0388571860718162	0.0455307428911634	0.0323729143254469	0	0.0481169073279662	0.0419598222003604	0.0459915342829091	0.0275562463838449	0.030189442534217	0.0526073017185079	0.0565546226529134	0.0467781832920681	0.0420701927397443	0.0340424223971675	0.0483774557517649	0.0645024371034541	0.0699890812349066	0.0807640383341866	0.0173902252407335	0.00833317708685085	0.0225233923805883	0.00767148554991568	0.000256782673247154
OM2_C_6E_1	0.00569959166517495	0.00998428953904121	0.0197209763632591	0.00915660409237957	0.0122306348251192	0.0235563411432265	0.0178474147962132	0.0653658304584514	0.0381715335917329	0.0135414151356644	0.0206934195392667	0.0343266950448497	0.0241407691132088	0.0152459473056682	0.0201021754144559	0.0122297416313355	0.00810232630044235	0.0164406243324356	0.0481169073279662	0	0.00659235585297746	0.00219126453294994	0.0211136882801963	0.0182309414154913	0.00527799597645959	0.00852765368490744	0.00520456382145949	0.00626176653516628	0.0150310533221143	0.00242740998323696	0.0164378653105379	0.0226344921633653	0.0327671369021732	0.0414008721827709	0.0495225202042716	0.0389166972976465	0.0545402889124533	0.0482577201209239
OM2_C_6E_2	0.00769327594902976	0.00341140715096933	0.0172598418825487	0.0157346501116455	0.00981946777734909	0.017001830190757	0.0172596528187993	0.0590281819831153	0.0323028371306097	0.00995776738327474	0.0152190652352951	0.0287761360675289	0.0191428236477602	0.0100879382146387	0.0142809068923969	0.0100370878552151	0.0100914484177607	0.0114782451976175	0.0419598222003604	0.00659235585297746	0	0.00489959344481754	0.0146553093559703	0.012750272630554	0.0117847406584399	0.014681874735372	0.00850062830550438	0.00369050090445934	0.0104831700528951	0.00790062157608596	0.0228597446408878	0.0281761915106298	0.0391734739042235	0.0366051032183347	0.0438792553795804	0.0347440132744424	0.0486009027974574	0.0420894072902222
OM2_C_6E_3	0.00440242914771319	0.00829781772894306	0.0177767229702883	0.0109710131096793	0.0102035781005421	0.0216422938738407	0.0162654033629309	0.0632902843774694	0.0360053699732213	0.0114020956148943	0.0185102005301135	0.0321405341453052	0.0219520464701818	0.0130582303507479	0.0179465233523261	0.0102341957776437	0.0070124197086352	0.0142495695305918	0.0459915342829091	0.00219126453294994	0.00489959344481754	0	0.0191216613222514	0.0160511539867697	0.00696476096252057	0.0107121104006576	0.0044698062849243	0.0040705817496783	0.0128447376262195	0.00301079797382538	0.0185389102400307	0.0248200791413087	0.0348551706411247	0.0392290609205008	0.0473387055011601	0.0367949286164075	0.0523789483979286	0.0461347647170957
OM2_C_6F_1	0.019654798033774	0.0115463735200054	0.01706979156035	0.03006491340737	0.0148803259278176	0.00299565818979551	0.0210044976377865	0.0444098590374572	0.0186260831457182	0.0126272476843663	0.00683620792323334	0.0161728362736352	0.0104900089102391	0.00864757856580598	0.00498549335631522	0.0152791133838687	0.0207765462064097	0.00886230883622102	0.0275562463838449	0.0211136882801963	0.0146553093559703	0.0191216613222514	0	0.00674840615515379	0.0260401564428901	0.0293302986397783	0.0210171742753379	0.0155832622845485	0.0102629494203511	0.0218488479203372	0.0374979138850238	0.0424911056259739	0.0538102225047045	0.0255628766462448	0.0304444409022254	0.0255451356398177	0.0345163704980362	0.0276685007409267
OM2_C_6F_2	0.015175362345766	0.010811664985547	0.010364664650095	0.0264237166197525	0.00895439148195841	0.00963672562728693	0.0143104479281448	0.047768570316893	0.0199874186102339	0.00657763480147856	0.00248154387080802	0.0161247917845808	0.00656588117301326	0.00307264039287402	0.00235561283109133	0.00931820860714794	0.0156275586016786	0.00242722827333869	0.030189442534217	0.0182309414154913	0.012750272630554	0.0160511539867697	0.00674840615515379	0	0.022466495991425	0.0267567075345902	0.0166178680721604	0.0120180150471873	0.00411044670542371	0.0182498089323419	0.0344722769329512	0.0407178823382114	0.0506976262875425	0.023947621112348	0.0313140420613829	0.0225493729487846	0.0363739338199881	0.0303483459647093
OM2_C_6F_3	0.00770325128326497	0.015195062326362	0.021878705234438	0.00402840726810621	0.0150940144044662	0.0285975758121789	0.0187840739098314	0.0700324720019979	0.0424244244286619	0.0169282345591677	0.0248561749161023	0.0383333913872446	0.0278807636648766	0.0194013824655818	0.0245216427024303	0.0149610515947528	0.00887372259487797	0.0204223087747235	0.0526073017185079	0.00527799597645959	0.0117847406584399	0.00696476096252057	0.0260401564428901	0.022466495991425	0	0.00577774949677816	0.00636192069149971	0.010586523467363	0.0188477012425883	0.00424208688384664	0.0121094739550409	0.0197342135697403	0.0282491310320443	0.044711432081859	0.0535074272558682	0.0417533097824764	0.0587891004583558	0.0527595868314984
