	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4A_1	OM2_C_4A_2	OM2_C_4A_3	OM2_C_4B_1	OM2_C_4B_2	OM2_C_4B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4C_3	OM2_C_4E_1	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4F_3	OM2_C_4G_1	OM2_C_4G_2	OM2_C_4G_3	OM2_C_4H_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_2	OM2_C_5A_3	OM2_C_5F_1	OM2_C_5F_2	OM2_C_5F_3	OM2_C_5G_1	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2A_3	OM2_H_2B_1	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2C_1	OM2_H_2C_2	OM2_H_2C_3	OM2_H_2F_1	OM2_H_2F_2	OM2_H_2F_3
OM2_C_5F_1	0.00624100221463609	0.0177898064719891	0.0121936256983067	0.0143708286222333	0.00600223270185563	0.0231365512888418	0.00621658797434539	0.0100305719621325	0.00830535238343024	0.00875516525477777	0.00892518742239786	0.0212717456231154	0.00915214455140235	0.0120433179896241	0.0229533912743579	0.00891703255262409	0.0188468341676267	0.0180542874908727	0.00307717700440598	0.00608115154300439	0.00907161970666403	0.0121563183321661	0.00643288962407384	0.0128016269181632	0.00240942691592804	0.0043840717990554	0.00890533235393334	0.0525068961533536	0.0620598258593773	0.0538927176478189	0	0.00905849813848404	0.0147173068507357	0.0129096785052474	0.0200730215010914	0.0226199422407156	0.0153256724020732	0.019474888648376	0.0322824376156544	0.00379511989042709	0.0182948259193457	0.0229040755411697	0.0129267235840809	0.0245607509806754	0.00782915987913997	0.0167149977486515	0.00809363036411201	0.0085399804233341	0.020254744681905	0.0149779479404667	0.0158316459487394	0.0209005747954358	0.00975278506545586	0.00899129879856319	0.0110809683379747	0.00472083953699443	0.00583827243189423	0.017968886362804
OM2_C_5F_2	0.00882657470437956	0.0116241544346133	0.00501146053563552	0.00557600474107874	0.00408606834533242	0.0154710363750223	0.00585006686779359	0.00128806085992904	0.0046748273328751	0.00538032542707028	0.00665567703490295	0.0135875200927007	0.00762381347804649	0.00764832232648785	0.016967864674662	0.00694510968615448	0.0123010811100119	0.0123484837193003	0.00614032537825592	0.00747763447332021	0.00166568169258125	0.00416404650782014	0.00669060361391444	0.00777441251528209	0.00921324434781612	0.0118918386251728	0.00831379852975406	0.0596609195965983	0.0692581347995942	0.0604588826362072	0.00905849813848404	0	0.00778580543312515	0.00757739516136496	0.012773508753996	0.0165482684339012	0.00953506099428416	0.0130459861529231	0.0250530910351771	0.0106156688949019	0.00987450072138941	0.0153192347275037	0.00411354533870588	0.0180506779343258	0.00534472228488414	0.00966984830994639	0.00440018376411958	0.00129801953557194	0.0128792201485074	0.0100476509107763	0.00972725041092376	0.0138292007467423	0.00365176347916447	0.00466617539337652	0.00306730831075567	0.0105632066613455	0.00704814294814962	0.0138376135463632
OM2_C_5F_3	0.0110451735868759	0.00470712584656358	0.00342092308306576	0.00864687159105068	0.010253103696136	0.00921326522894542	0.0116191363936625	0.00674133148697864	0.00779972509757649	0.00643935906178828	0.00691915963638735	0.00666565666919633	0.00840966820075566	0.0040111092457706	0.00927322787813525	0.00693224828045954	0.00553502435663814	0.00475288849588631	0.0123791619501988	0.010511706094195	0.0084023150197008	0.00525362350155293	0.0111145731469499	0.00310175647145104	0.015773446800092	0.017346141614707	0.00817864197859098	0.0664638378902672	0.0759616007895771	0.0675533464282966	0.0147173068507357	0.00778580543312515	0	0.00355170336350527	0.00661822394853269	0.00889528022729734	0.00276983863244227	0.00783280082058835	0.0180489544059374	0.0143660948327383	0.00702755248574559	0.00849201376348783	0.00553200046380158	0.0103449543949869	0.0115930028739435	0.00209266157552477	0.0114404392006931	0.00765120543328583	0.0057104174962824	0.00462373713841337	0.00363412520905105	0.00627296663297866	0.00674269814300975	0.00583851340224242	0.00847482604530097	0.0144630715297058	0.0143149879756091	0.00707507299624996
OM2_C_5G_1	0.00950844306162629	0.00743669142666981	0.00307845259127839	0.00974722825025835	0.00857793456745961	0.0125281370782205	0.0113619545784572	0.00701218411533649	0.00548422145880538	0.00415658388225282	0.00428846240048479	0.00964054591185147	0.00820832305264481	0.0022372216019966	0.0111885268359866	0.00466641421374228	0.00856747639294848	0.0062292533189665	0.0107508692554476	0.00777341621792016	0.0077038584164817	0.00501084026703999	0.00855282076817696	0.0028407012012261	0.0140872763152536	0.0148955811220679	0.00557200038908217	0.064101489419034	0.0735152078372269	0.0653748196011657	0.0129096785052474	0.00757739516136496	0.00355170336350527	0	0.010025982855115	0.0109532755336096	0.0048161322775658	0.0110228706107074	0.0207939649862761	0.0120780089987692	0.0103476831514324	0.0103518527575682	0.00635507652996332	0.0119551832624571	0.00989933627933205	0.00465794913449968	0.0102673188576912	0.00686750973716999	0.00873551382285504	0.00249453743221083	0.00635551921495491	0.00872968546022431	0.00512697662633888	0.00413788269413764	0.00823047908939147	0.0131189757795665	0.0128485112729968	0.00724103563066803
OM2_C_5G_2	0.0158198818102664	0.00375224618489563	0.00968617196970918	0.0120097194265322	0.0160917170245682	0.00318962713924389	0.0155908101706074	0.0114990371332965	0.0141694844195359	0.0126531552901853	0.0130785554558208	0.00366753240977434	0.0121225824104641	0.0099019128185131	0.00675940753077553	0.0127780335377029	0.00244432912680484	0.00621178546238064	0.0178766137373213	0.0167373949372203	0.0137882790184029	0.0109393505012676	0.0174615363717236	0.00859838015291481	0.021134313887021	0.0232970850346003	0.0139796760310798	0.0721751438220666	0.0817513403487915	0.0731221157039999	0.0200730215010914	0.012773508753996	0.00661822394853269	0.010025982855115	0	0.00616995498255916	0.00600814385407081	0.00308694355691916	0.0124984814326555	0.0198794917516831	0.00531162254099749	0.00787944547061845	0.0102259207701424	0.00857803692140907	0.0174816484957029	0.00589261095780588	0.0169164895135009	0.013154097068176	0.00297754608870893	0.0102133099296913	0.00477234078638989	0.00468872433355967	0.0129459244193302	0.0118852866278172	0.0134933345665451	0.0189084755013786	0.019781933992921	0.00896280008612787
OM2_C_5G_3	0.017536058059196	0.00537154072010303	0.0122482274496023	0.0165371280748392	0.018941817892084	0.00635169415422287	0.0193665070399355	0.0154140121605094	0.0162592762002803	0.0144354722021176	0.0143443806263137	0.00549140660698837	0.0145659672734991	0.0108768366630722	0.000605159063448443	0.014051943059407	0.00509530926409233	0.004795466405053	0.0207453253598845	0.0181933572922633	0.0172883452236484	0.0139859446060858	0.0194128263129725	0.0099056856785796	0.024066240103889	0.0253020558774614	0.0147201859360104	0.0747222011388488	0.0841533740569941	0.0760590484714012	0.0226199422407156	0.0165482684339012	0.00889528022729734	0.0109532755336096	0.00616995498255916	0	0.0073758268828596	0.0074737864250399	0.0105912186738059	0.0214274923441544	0.0111675124044175	0.0071136891981309	0.0140325322599476	0.00397872883780636	0.020410322438327	0.0073926552919548	0.0203328964323598	0.0164877678402189	0.00490659665165551	0.00973521328022561	0.00740015025232806	0.00398090807193075	0.0155013645431102	0.0140487166073003	0.0172316061409747	0.0211522051808334	0.023102930790211	0.00614669850905674
OM2_C_6E_1	0.0106609627898897	0.00279009910875377	0.00571015185891654	0.0110962974080453	0.011742957435737	0.00884461807982667	0.012169763451678	0.00849730411666117	0.0093415862226618	0.00735427894176136	0.007456381876745	0.00685805648412696	0.00771143729438632	0.00408310308854004	0.00776609870147833	0.00710312819549209	0.00407248643000084	0.00322448587293994	0.0133960124800349	0.0112841672402764	0.0103897422221032	0.00775730007539401	0.0124904516067161	0.0028102148508405	0.0167100321944592	0.0181896085975786	0.00812627995692226	0.0675549486478675	0.077044632701099	0.0688259637534365	0.0153256724020732	0.00953506099428416	0.00276983863244227	0.0048161322775658	0.00600814385407081	0.0073758268828596	0	0.00646620058778385	0.0171298361204945	0.0144993837084906	0.00809641765817281	0.00924522402093344	0.00802929237106822	0.00970223345482622	0.0135118305638053	0.00338564813357726	0.0133923738057496	0.00940508095688863	0.00555647446571054	0.00522518913065053	0.00183329965221117	0.00601252231075177	0.00874105715344545	0.00682367501206299	0.010812166688679	0.014218115971217	0.0158865324837971	0.00500865915793719
OM2_C_6E_2	0.0148658704872972	0.00424926943367999	0.0107045905485151	0.0132151529795447	0.0162902855491947	0.00547060124825802	0.0146775649833322	0.0117998302019857	0.0147059680259339	0.0128926562360421	0.0132396532530614	0.00668609948631186	0.010909993205187	0.0102697187304717	0.0080701464363269	0.0127095780333405	0.00331700627998507	0.00739445451812016	0.0176001231721903	0.0168040014964655	0.0143213287284833	0.0121160174247588	0.0178398856423286	0.00891056759692576	0.020688530573554	0.0230455459917452	0.0138694918690877	0.0717537619029838	0.0813568077334305	0.0727931105611471	0.019474888648376	0.0130459861529231	0.00783280082058835	0.0110228706107074	0.00308694355691916	0.0074737864250399	0.00646620058778385	0	0.0137052953662822	0.0192344417543289	0.00652217757292943	0.0108287526241885	0.0113817767745989	0.0107444870602557	0.0180599499788652	0.00777292382376938	0.0174021251875059	0.0135131075382194	0.0057746635461872	0.0114923074782365	0.00476550176333428	0.00724744708635333	0.0137343873176017	0.0120728171404382	0.0143883195730295	0.0176786352000233	0.0198653719963232	0.00935126050067261
OM2_C_6E_3	0.0274630704699653	0.0145657975403675	0.0212814297731496	0.0232681407141515	0.0282025517114688	0.00974415962507005	0.0280357466307288	0.0237991785250534	0.0258208747263727	0.0242938687881277	0.0244472467364042	0.0117722507930147	0.0239559135903994	0.0209826970365772	0.0105615506192748	0.0241887876256829	0.0134631936544169	0.0151058518091006	0.0301582150696046	0.0282760663008872	0.0258579542693754	0.0224741104469224	0.0291225153785834	0.0198652367583952	0.0334756576754602	0.0352499854072821	0.0250526047366204	0.0844118429207662	0.0939225978024636	0.0854088395618519	0.0322824376156544	0.0250530910351771	0.0180489544059374	0.0207939649862761	0.0124984814326555	0.0105912186738059	0.0171298361204945	0.0137052953662822	0	0.0315682764585005	0.016469141897173	0.0126215796419895	0.0219151342032384	0.0103277018983054	0.0293407897617154	0.0163904197623884	0.028939931518862	0.0253247137412403	0.0123930694824265	0.0197539559891831	0.0164804602318692	0.0121396614364229	0.0246235225553561	0.0237286101436337	0.0252545197062643	0.0307837937271305	0.0320304061030535	0.0166972013761285
OM2_C_6F_1	0.00462915981670021	0.017045072968886	0.0122931464125967	0.0160910842426513	0.00757928816935917	0.0229727546810873	0.0083369990845128	0.0113390808330749	0.00846247504304011	0.00819157594156572	0.00779107788016575	0.0209499836749563	0.00860045427152788	0.0109528345128462	0.0216879292573199	0.00763751279377439	0.0182656110865429	0.01686570921093	0.00558346762896248	0.0050413642656892	0.0106754180362594	0.012827420032814	0.00683338350271481	0.0118869759790152	0.00604257067210513	0.00535011652259741	0.00699635361992143	0.0538373133185906	0.0632585872652156	0.0555984413862235	0.00379511989042709	0.0106156688949019	0.0143660948327383	0.0120780089987692	0.0198794917516831	0.0214274923441544	0.0144993837084906	0.0192344417543289	0.0315682764585005	0	0.0190904098847831	0.0223909608607338	0.013933145267029	0.0233882728734462	0.00970627768993553	0.0162212664331657	0.0103863841312546	0.00982625312397933	0.0198216281974451	0.0137153406478624	0.0152720096835983	0.0202008443620684	0.0103098451103302	0.00872285440645519	0.0127431684795505	0.0043055405288659	0.00892560461423487	0.0161402468783469
OM2_C_6F_2	0.0155415553747124	0.00748511946403438	0.00844409445635364	0.00768269418439584	0.0137996134624612	0.00685975454567456	0.0132716612972995	0.00864595875563078	0.0126915817603471	0.0119581200935138	0.0128495817073501	0.00672747566721254	0.011969714824685	0.010596823729956	0.0117193701730568	0.0127568882095904	0.00685465138083047	0.00968832225643943	0.0157256692611756	0.0158355606615932	0.0108604116409565	0.00866661776536698	0.0157956780009185	0.00949196057757007	0.0187973401766432	0.0215543100722569	0.0142533008324364	0.0692469494670173	0.0788792004772574	0.0698212493823691	0.0182948259193457	0.00987450072138941	0.00702755248574559	0.0103476831514324	0.00531162254099749	0.0111675124044175	0.00809641765817281	0.00652217757292943	0.016469141897173	0.0190904098847831	0	0.0100050992656482	0.00719492709514426	0.0127457230663897	0.0147131434831871	0.00722061526498665	0.0137572826752997	0.010635169457423	0.00660824668019532	0.0115188971157006	0.0069489787650686	0.00836178374911712	0.011032425813962	0.0110091208635159	0.0100962228582441	0.01802583821449	0.0167706611200204	0.0126188595622076
OM2_C_6F_3	0.019313743363043	0.00849483247701944	0.0108205548109623	0.0133850937077404	0.0178393738295804	0.00724927684045992	0.0199167511467956	0.0142966378615716	0.0151055580067169	0.0143192551413786	0.0146158196892847	0.00423454555510099	0.0167120241471821	0.011624514178143	0.00718131423030955	0.014827561641943	0.00817798305679251	0.00734559023383788	0.0203951292582255	0.0180404544715588	0.0155183847593194	0.0116480082333283	0.0182486274761978	0.010951362658725	0.0237771948093797	0.024985257185525	0.0157216505958808	0.0735686763982753	0.0829629302092219	0.0745027957859493	0.0229040755411697	0.0153192347275037	0.00849201376348783	0.0103518527575682	0.00787944547061845	0.0071136891981309	0.00924522402093344	0.0108287526241885	0.0126215796419895	0.0223909608607338	0.0100050992656482	0	0.0116250256915034	0.0050087698287467	0.0183346516984223	0.00645139488436158	0.0182911555608837	0.0152352356843763	0.00509537423399974	0.00923926848120406	0.00966933414302716	0.00402211361673265	0.0137845474881354	0.0139616640718191	0.0146818848322381	0.0228879809045486	0.0216584884807591	0.010065264842374
OM2_C_6G_2	0.0116954632191732	0.00971602645399588	0.00332163893574549	0.00342120682278124	0.00739356608932484	0.0124734007444087	0.00965903356240592	0.00333367156884333	0.0062568257527762	0.00670089025890987	0.00789092634827987	0.0102695266001044	0.00971756408460295	0.00730875077188834	0.0144404212981131	0.00831091606878105	0.01015510074548	0.0102434806306417	0.00998982393082022	0.00990843554425258	0.00427304071890329	0.00188666849830522	0.00912320162304973	0.00710207765008178	0.0131496832628917	0.015359219702994	0.00975863493369924	0.0630924899674947	0.072645138729377	0.0637852780885291	0.0129267235840809	0.00411354533870588	0.00553200046380158	0.00635507652996332	0.0102259207701424	0.0140325322599476	0.00802929237106822	0.0113817767745989	0.0219151342032384	0.013933145267029	0.00719492709514426	0.0116250256915034	0	0.0149618924047482	0.00778287251954943	0.00685012407414069	0.00714005419829587	0.00439848078282739	0.00983765394450865	0.00839731616553295	0.00825626546067835	0.0107442629486084	0.00429170573032335	0.00597091760076157	0.00334900212086512	0.0141541214471783	0.0105320582379601	0.012479556619261
OM2_C_6G_3	0.0199433907469732	0.00831903777872365	0.0133319496226585	0.0172729666672767	0.0202880061543724	0.00784156503566438	0.0217303922523605	0.0169846950214899	0.0173527213773511	0.0159378804886448	0.0158774002837619	0.00606752915109224	0.0173284111542276	0.0125594208214838	0.0036446410310206	0.0158364613981181	0.00807586215104989	0.00673777541168777	0.0224663609920197	0.019574401060777	0.0184773995317297	0.0147770036332577	0.0204563653734766	0.0118293334412941	0.0258454867617695	0.0267820541010988	0.0164430488540909	0.0759663152777266	0.0853244747312047	0.0772327019692179	0.0245607509806754	0.0180506779343258	0.0103449543949869	0.0119551832624571	0.00857803692140907	0.00397872883780636	0.00970223345482622	0.0107444870602557	0.0103277018983054	0.0233882728734462	0.0127457230663897	0.0050087698287467	0.0149618924047482	0	0.0213089495322548	0.00838232407943749	0.0213839286641945	0.0178764036251743	0.00624621101430648	0.0102775077019479	0.0101361753834116	0.00456741538108663	0.0164598640332013	0.0156731873699118	0.0181052576881764	0.0236968045472262	0.0244274745907721	0.00825333412934945
