	OM2_B_B_1	OM2_B_B_2	OM2_B_B_3	OM2_C_4C_1	OM2_C_4C_2	OM2_C_4E_2	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4F_2	OM2_C_4G_1	OM2_C_4H_2	OM2_C_4H_3	OM2_C_5A_1	OM2_C_5A_3	OM2_C_5G_2	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6H_1	OM2_C_6H_2	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2C_1	OM2_H_2F_1	OM2_H_2F_2
OM2_C_5G_2	0.0262657711960941	0.0321245269023199	0.0236991645066033	0.0137480873546411	0.0238084055527279	0.0157591628951491	0.0184574133466687	0.0340692394432089	0.0342168321986245	0.0187661740360943	0.0293830121405738	0.013274242399634	0.0203791242453701	0.0145932276359153	0	0.00691433522451869	0.0243715557391901	0.0254295870117056	0.0122346631973034	0.0153040739771707	0.00793792899615368	0.0177624947633805	0.0116832539323575	0.0091252484300635	0.00158005275773402	0.00776079728390829
OM2_C_5G_3	0.0314310066213595	0.0376523229891268	0.0290052347584411	0.0205427079004082	0.0300972388498152	0.0214170181597241	0.0250972027786005	0.0392135420835191	0.039812303866728	0.0250765591184486	0.0353687795222023	0.0184186516327489	0.0264570519573931	0.020313587396378	0.00691433522451869	0	0.0301923241532804	0.0308523831118594	0.0178828716514943	0.0187151189660809	0.0098499375506769	0.0182649394327677	0.00677006813956884	0.0130525504576635	0.00825285274754801	0.0140955585495628
OM2_C_6E_1	0.00465752922808372	0.00795729554677121	0.00348681095297029	0.0130255616479959	0.00382920442733878	0.00878009854887635	0.00885433737402681	0.0106709350199575	0.00992339848176272	0.00647516803008866	0.00528510398273532	0.0119705566211497	0.00428644340696589	0.00988591642897157	0.0243715557391901	0.0301923241532804	0	0.00286649560168331	0.0123157968378581	0.0145843049482648	0.0215889287908122	0.0218770664390407	0.0360100921141372	0.0176986114835143	0.0239361540517052	0.0166460747612532
OM2_C_6E_2	0.00179135620930621	0.0068113720549937	0.00193698578211315	0.0151491223853099	0.0066877648776509	0.00968061654936474	0.0113938439413711	0.00875448998162188	0.00899737750144806	0.0087278831959302	0.00608967652915003	0.0124369251869415	0.0064581781375643	0.0108539923639799	0.0254295870117056	0.0308523831118594	0.00286649560168331	0	0.0131988882254561	0.0139774031815106	0.021774124885574	0.0207713199708736	0.036935304569696	0.0179949164533904	0.0251579848338942	0.0178584374943879
OM2_C_6H_1	0.0140590780862593	0.0199253661771969	0.0114719582078313	0.00702455461681641	0.0125045434344685	0.00355602823431993	0.00896278720746007	0.0218493618237503	0.0220449387747053	0.00771930339809077	0.0174983609381133	0.00194750922331483	0.00868192488837783	0.00243113332322442	0.0122346631973034	0.0178828716514943	0.0123157968378581	0.0131988882254561	0	0.00719014015555026	0.00986007804658467	0.0143216281412676	0.0237700354935398	0.00600796567278618	0.012036845226424	0.00487068309810379
OM2_C_6H_2	0.013930698717475	0.0205256253914728	0.0120511548928711	0.0141846415393906	0.0164849707804918	0.00790217645771795	0.0151389796834229	0.0213134109256654	0.0227349593094875	0.0129190428836943	0.0197172940170771	0.00536798563705714	0.0126779845745404	0.00777158260934832	0.0153040739771707	0.0187151189660809	0.0145843049482648	0.0139774031815106	0.00719014015555026	0	0.008883547441487	0.00775002740100747	0.0253743054093679	0.00618073728649661	0.0158282078118509	0.0104590372261806
OM2_C_6H_3	0.0221203656589374	0.0285604035555584	0.0198606216785079	0.0151632008714978	0.0222977432578583	0.0130198926002181	0.0185550107490175	0.0297949092869444	0.0307603951006169	0.0175785390727122	0.0268706606894311	0.00965005043126593	0.0184047316499355	0.0121068684862352	0.00793792899615368	0.0098499375506769	0.0215889287908122	0.021774124885574	0.00986007804658467	0.008883547441487	0	0.00982530538359132	0.0165624001131196	0.00392103965030437	0.00908291717203082	0.00842010575964262
OM2_H_2A_1	0.02029776692425	0.0267912016879901	0.0189403257596089	0.0212768116926323	0.0241165582805116	0.0156275167268392	0.0228064179385334	0.026826354046192	0.0289414649288335	0.0206652588692467	0.0267766249518164	0.012773572353905	0.0203783892304834	0.0153895607645771	0.0177624947633805	0.0182649394327677	0.0218770664390407	0.0207713199708736	0.0143216281412676	0.00775002740100747	0.00982530538359132	0	0.0249233246216515	0.0102563872126398	0.0188632423466883	0.0160440350324558
OM2_H_2A_2	0.0376517401168185	0.0436847921195779	0.0351469918781767	0.025119073412647	0.0354745429192582	0.0273222436006434	0.0299783527893453	0.0454619818925229	0.0458031423408318	0.0304370467836976	0.0410537303561603	0.0245745912850215	0.0320553640418076	0.026172495943298	0.0116832539323575	0.00677006813956884	0.0360100921141372	0.036935304569696	0.0237700354935398	0.0253743054093679	0.0165624001131196	0.0249233246216515	0	0.0195201233643576	0.0123998285339963	0.0194419563206345
OM2_H_2C_1	0.0184465265842323	0.0248005712347612	0.0161014909830756	0.0119332802505867	0.0183859979535659	0.00909909398771503	0.0148646353897477	0.0261980623089792	0.0269902247525064	0.0137142924327168	0.0229766722992274	0.00573833594340565	0.0144867769222182	0.00819678864618441	0.0091252484300635	0.0130525504576635	0.0176986114835143	0.0179949164533904	0.00600796567278618	0.00618073728649661	0.00392103965030437	0.0102563872126398	0.0195201233643576	0	0.00971240817794128	0.00584838044472344
OM2_H_2F_1	0.0260888437473433	0.0317754728240659	0.0234866136170382	0.0127550973350176	0.0231388863985747	0.0154853960135036	0.0175832207917761	0.033859657623464	0.033832188230923	0.0181169976923653	0.0288448456550191	0.0132726000327701	0.0198467381037677	0.0143097094335595	0.00158005275773402	0.00825285274754801	0.0239361540517052	0.0251579848338942	0.012036845226424	0.0158282078118509	0.00908291717203082	0.0188632423466883	0.0123998285339963	0.00971240817794128	0	0.00731112011026997
OM2_H_2F_2	0.0188342093300414	0.0244675457229829	0.0162146515105993	0.00691963016742484	0.0160859219020957	0.00820145763243628	0.0110583099153323	0.0265784739835214	0.0265303547186181	0.0110426645206902	0.0216256029102133	0.00642902647347188	0.0126195728203366	0.00702576234026752	0.00776079728390829	0.0140955585495628	0.0166460747612532	0.0178584374943879	0.00487068309810379	0.0104590372261806	0.00842010575964262	0.0160440350324558	0.0194419563206345	0.00584838044472344	0.00731112011026997	0
