	OM2_B_B_1	OM2_B_C_1	OM2_B_C_2	OM2_B_C_3	OM2_C_4B_2	OM2_C_4C_1	OM2_C_4E_3	OM2_C_4F_1	OM2_C_4G_1	OM2_C_4G_3	OM2_C_4H_1	OM2_C_5A_1	OM2_C_5A_3	OM2_C_5G_3	OM2_C_6E_1	OM2_C_6E_2	OM2_C_6E_3	OM2_C_6F_1	OM2_C_6F_2	OM2_C_6F_3	OM2_C_6G_1	OM2_C_6G_2	OM2_C_6G_3	OM2_C_6H_1	OM2_C_6H_3	OM2_H_2A_1	OM2_H_2A_2	OM2_H_2B_2	OM2_H_2B_3	OM2_H_2F_1
OM2_C_5A_3	0.0186899019074445	0.0313199637428516	0.027881630884333	0.0178576760085989	0.00285445202568445	0.0155123509450217	0.0429181594396664	0.0182275050116894	0.021585137915044	0.0172622775381822	0.0352587644365778	0.00824751386141503	0	0.0357706972763808	0.0135735994492608	0.011291932770516	0.00967821873662811	0.019258096962904	0.0202875643894615	0.0128343626046312	0.0180804183320896	0.020517648535897	0.00314852787066193	0.00397173997995271	0.0158603336682285	0.0142704023734179	0.0428724350913442	0.0381155104345643	0.0545107200113269	0.0628959180405159
OM2_C_5G_3	0.0544304624429282	0.0583306273824593	0.0636146089142944	0.0533392306362324	0.0382351954228677	0.0507984119531081	0.00809678726555425	0.0536202062556279	0.056148623042522	0.0530112752070833	0.00757464113564242	0.0439407323147052	0.0357706972763808	0	0.0492594327655248	0.0469430819774935	0.0447893298489483	0.0550117827170082	0.0553610500236604	0.0484181299934054	0.0535304070787306	0.0562653944646861	0.0375330958023095	0.03960281920283	0.0513150562460557	0.0439456243762772	0.0779046131125245	0.0157436275276922	0.0899776738467303	0.0985329548649093
OM2_C_6E_1	0.00578944714189815	0.0253881392056078	0.0144134976474727	0.00451654163213455	0.0114747915487281	0.00633462748524747	0.05647328151851	0.00503657597001039	0.012196865104546	0.0044057223790523	0.048781547123647	0.00533217247432894	0.0135735994492608	0.0492594327655248	0	0.00417938863830315	0.0051335987019503	0.00602151313633496	0.00749976772344799	0.00422582946236823	0.00478632365106752	0.00713012475276047	0.0118459809469426	0.00966905955063506	0.00570162206250612	0.0161717294166036	0.0307477188031765	0.0512216936710493	0.0415865713433154	0.049611514959308
OM2_C_6E_2	0.00758007958186899	0.0291409836942356	0.0169489375239251	0.00843977108365779	0.00871489792351798	0.00458216324940238	0.0539021120149538	0.00903365448256469	0.0110623474491139	0.00622534263664692	0.0459469166187737	0.00424216835983213	0.011291932770516	0.0469430819774935	0.00417938863830315	0	0.0061590619314156	0.00831231058747235	0.0115699410950974	0.00159217537031308	0.0087309499830353	0.00965446470806709	0.010483072535705	0.00787906104351199	0.00467508249831565	0.0120392405080939	0.031670884263765	0.0479240372798201	0.0432331111274419	0.051698710040979
OM2_C_6E_3	0.0109228784007899	0.0241027804994279	0.0192400380128752	0.00859465001653171	0.00838259073704357	0.0103377389541486	0.0521875859399591	0.00884346402768888	0.0167240366378529	0.00953032911702044	0.0447747943620484	0.00279233814430256	0.00967821873662811	0.0447893298489483	0.0051335987019503	0.0061590619314156	0	0.0111136553467869	0.0106867490673563	0.00739367603105459	0.00876925688512647	0.0121352384154485	0.00729186692620958	0.00577014264332803	0.0100468543944403	0.016923370098248	0.0358777775281667	0.0477849500175756	0.0466032798807084	0.0544563163542456
OM2_C_6F_1	0.00106430821799543	0.0271188009638987	0.00866224279671218	0.00421213775555536	0.0168867527948792	0.00632372084335747	0.0620906516863246	0.00469755680321892	0.00883449619740847	0.00209397979440855	0.0542173327299144	0.0111644897609425	0.019258096962904	0.0550117827170082	0.00602151313633496	0.00831231058747235	0.0111136553467869	0	0.00646738859816794	0.00710785558224004	0.00436354717501692	0.00136183150528386	0.0177913977403673	0.0154773514562804	0.00532415095532207	0.0182465109950702	0.0248160545417945	0.0562061114704643	0.0355778505305141	0.0437031445715803
OM2_C_6F_2	0.00737492482011334	0.0207095422715929	0.0102453650691082	0.00320492713276414	0.0185804713675952	0.0118345748687333	0.0628247856800718	0.00256211225545726	0.0152976485569784	0.00733781105953942	0.0554484320064014	0.0122587826615365	0.0202875643894615	0.0553610500236604	0.00749976772344799	0.0115699410950974	0.0106867490673563	0.00646738859816794	0	0.0111322086287421	0.00290704069474001	0.00607025735582552	0.0179669092361514	0.0163218149304191	0.0108503942313567	0.0232331452710981	0.0283594291514331	0.0583150775265923	0.037561620216975	0.0447033025405904
OM2_C_6F_3	0.00627851386823166	0.0295911641200882	0.0156533052031112	0.00793284183339766	0.0102048651394068	0.00304081705812559	0.0553231920497137	0.00857036325103501	0.00953184379953819	0.00502017337736197	0.0473089431409354	0.00575903352938907	0.0128343626046312	0.0484181299934054	0.00422582946236823	0.00159217537031308	0.00739367603105459	0.00710785558224004	0.0111322086287421	0	0.00823074541259502	0.00846834726988334	0.012075032614088	0.00946942490193577	0.00308313578037841	0.0121259146226107	0.0300926723931055	0.0491282602822728	0.0417103718934145	0.0502359118685159
OM2_C_6G_1	0.00504134857058782	0.0229361010015746	0.0107003733725071	0.000298083250878806	0.0161611431773931	0.00900859329574464	0.0608716656708971	0.000384820210911456	0.0130351827434832	0.00465885226535179	0.0533225739988491	0.00988109930184002	0.0180804183320896	0.0535304070787306	0.00478632365106752	0.0087309499830353	0.00876925688512647	0.00436354717501692	0.00290704069474001	0.00823074541259502	0	0.00454702679422598	0.0160130704576879	0.0141160231105628	0.00804518111414057	0.0203267549380196	0.0282515783480799	0.0559348027632761	0.0382317317267235	0.0458152741862613
OM2_C_6G_2	0.00232598580601739	0.0267709153231249	0.00736856448473773	0.00448014390403023	0.0181864066428709	0.00759916676175904	0.0633756601319268	0.00481097586771901	0.00939230314126884	0.00345056259217987	0.0555310553237855	0.0123703665058206	0.020517648535897	0.0562653944646861	0.00713012475276047	0.00965446470806709	0.0121352384154485	0.00136183150528386	0.00607025735582552	0.00846834726988334	0.00454702679422598	0	0.0189632487136883	0.016700914631607	0.00661455370430066	0.0195193532305206	0.0239639522848968	0.0575564395892258	0.0344833056361098	0.0425016465818858
