	OM1_B_B_1	OM1_B_B_2	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1E_3	0.0786256744298552	0.0632779124180535	0.0771049703321026	0.0763849790216198	0.0439271627602062	0.0414436702584471	0.0267194711350308	0.0117764061619896	0.0282696357990194	0.0560342601676948	0.00831568520628171	0.0475004177981798	0.0396986988416752	0.0538436053215752	0	0.0349991056306295	0.0251125141795824	0.0172715629678201	0.0493176593900734	0.047118078291263	0.0243030694149133	0.0520156389064959	0.0629375760973954	0.0509346298855784	0.0348315713695824	0.0423163585455191	0.0633737959462134	0.0491101830745335	0.0455151448277815	0.0504665299134293	0.0739918865720154	0.0127139545627333	0.055255065405509	0.045744059751493	0.0667158052475701	0.0386196075162091	0.00873702365797764	0.0489602724788759	0.0302874550726028	0.00585336786211154	0.0579927567641656	0.0307336812292336	0.0595591421909133	0.0363985106305348	0.0122059403133441
OM1_C_1F_1	0.04525282939073	0.0295039547307042	0.0436512416561953	0.0423910561555248	0.00991633656399636	0.0167258405956444	0.0125258449876098	0.0269007428523463	0.00941471957386562	0.0218188745254746	0.0281366838841204	0.0158253446193026	0.00694069805443985	0.0216521959875439	0.0349991056306295	0	0.0105202587068073	0.0183172157335346	0.0160760486229192	0.0136405241914798	0.0118762346673915	0.0190655672031714	0.028835917539708	0.0188995491476681	0.00576135503374865	0.00900494676295048	0.0313655751933946	0.0194757606107619	0.0138953613191153	0.0197057715791672	0.039365971459349	0.026092830127999	0.0207706189203048	0.011383841517411	0.0323250156818205	0.00662599810621204	0.0281160949232805	0.0178605772775172	0.00543165934424739	0.0293242223696669	0.0252888122313829	0.00885974877681048	0.0250418595019793	0.00665784724346523	0.0291634164080678
OM1_C_1F_2	0.0539857374789668	0.0384615934674445	0.0522670571138559	0.0514523711014927	0.0188416964779956	0.0193114558548322	0.0105165030020645	0.0189262147739017	0.00399488947041462	0.0310915455049201	0.0180903277843192	0.0230009131317791	0.0149015885492215	0.029261283184872	0.0251125141795824	0.0105202587068073	0	0.00830175836333417	0.0248235466376799	0.0223425969040212	0.0042170010468023	0.0277320849416455	0.0380006866484684	0.0264891717600796	0.0114429449342129	0.0178570045053045	0.0388687892327261	0.0252629733445524	0.0217528004570067	0.0264853140911495	0.0489657776842017	0.0183047546165906	0.0302797147773193	0.0206933427405941	0.041701804245067	0.0141273252293705	0.0192224694482521	0.0246927491535558	0.00760685880776662	0.0194303124698424	0.0334740255511666	0.00674069373698571	0.034507912773372	0.0120403319528152	0.0214655251061068
OM1_C_1F_3	0.0614151696454608	0.0460349243378784	0.0599729623049458	0.0591891956572596	0.026991838962628	0.0249040516704598	0.012235178116566	0.0127814944552195	0.0113274644519113	0.0388269478515455	0.00986430117378126	0.0302999455893854	0.0224728644919495	0.036683184235151	0.0172715629678201	0.0183172157335346	0.00830175836333417	0	0.0320924636226206	0.0298735310830633	0.00716863341454018	0.0348216421259317	0.0457177104050372	0.033721538426109	0.017886231392155	0.025158375691162	0.0464175005347158	0.032171954226358	0.0284146630493648	0.0333533555194496	0.0568786959892407	0.0126684394308549	0.0380960135375104	0.0288542344416549	0.049543710119863	0.0213968848481437	0.0117430912842645	0.0318148129271593	0.0143218145143801	0.0114571354985928	0.0407690985265455	0.0136353338633401	0.0424387247606338	0.0191375718041613	0.0147618623267685
OM1_C_2A_1	0.0298613564233458	0.0143977328954471	0.0292168739135169	0.0278020526191237	0.00964828832841409	0.0138879418487341	0.0253158382389598	0.0419139638022581	0.0219743861610672	0.00777140348679015	0.0416248765712127	0.00578246213076983	0.00997884847898682	0.00832078002318601	0.0493176593900734	0.0160760486229192	0.0248235466376799	0.0320924636226206	0	0.00312544408758056	0.0250370830347503	0.00310104276595924	0.0142899106971219	0.00528755718168532	0.0149600428454852	0.00732223992361529	0.0182067707457259	0.00981504998450993	0.00498790565852253	0.00694310649217249	0.0257011875609129	0.0413256491382988	0.00762795632108349	0.00921812788028737	0.0183286493579221	0.0107665756727343	0.0425211942409715	0.00666148306866111	0.0211817116272772	0.043481223562358	0.00988188939049532	0.019411977039955	0.0121033328616499	0.0130052397857263	0.043333825914794
OM1_C_2A_2	0.0318914435556587	0.0162590363582223	0.0307236724483943	0.029521853649594	0.00668198603269936	0.0126489457963857	0.023761287846826	0.0398611148910389	0.0194114986463263	0.00907299034504743	0.0395142103254044	0.00447509124266363	0.00746679054182452	0.0087390249637192	0.047118078291263	0.0136405241914798	0.0223425969040212	0.0298735310830633	0.00312544408758056	0	0.0229233473072085	0.00614635316891724	0.0159304908679398	0.00584373520412524	0.0132320362092079	0.00552920031549962	0.0188604964046847	0.00910881627217503	0.00550376272683799	0.00753286105212606	0.0272961370432792	0.039220727421917	0.00862502022813567	0.00657021719453828	0.0198658476077015	0.00860680003330134	0.040503317097979	0.00618797945965473	0.0189161825400806	0.0413048452101573	0.0116799647559965	0.0169438103358141	0.0131080932426965	0.0108050128842504	0.0415355443197876
OM1_C_2A_3	0.0545619349461738	0.0391282793977775	0.0533116045926393	0.0523735873165787	0.0205292922304324	0.0190798565986895	0.00794168486793659	0.01796433466902	0.00627118989935898	0.0319152558746874	0.0167638877491386	0.0236288621570885	0.0155675284508603	0.0300714395026777	0.0243030694149133	0.0118762346673915	0.0042170010468023	0.00716863341454018	0.0250370830347503	0.0229233473072085	0	0.0277434951012103	0.0388319646992551	0.026959541878888	0.0107434672282738	0.0180717156097338	0.0400778565842288	0.0259068074085993	0.0213053556037277	0.0266990626201972	0.0500254371787289	0.0176263262209341	0.031194218292582	0.022358918638086	0.042688105606809	0.0143640854857201	0.0178167010751434	0.0252149097042531	0.00877485517492828	0.0184600070121175	0.0339368164908097	0.00778905973185113	0.0356268749733354	0.0121940627341874	0.0196099512172516
OM1_C_2F_1	0.0273754869995692	0.0122865286392033	0.0272014482080495	0.0256554027821509	0.0125921458632462	0.0155240531701047	0.0277731352967809	0.0446145575757112	0.0248695104507919	0.00690491211410755	0.0442451742526009	0.00766387236287883	0.0129776138321968	0.00807227417415167	0.0520156389064959	0.0190655672031714	0.0277320849416455	0.0348216421259317	0.00310104276595924	0.00614635316891724	0.0277434951012103	0	0.0124693818243534	0.00563060862220432	0.0175972757345359	0.0101924496140835	0.0170990216448367	0.010697327738013	0.00678160224615822	0.00703259146793297	0.0238184640480866	0.0440654216180104	0.00727084769716864	0.011962358158647	0.0165609515582726	0.0136341750270639	0.0451621162510751	0.00773790629914068	0.0240794360379523	0.0461714889596495	0.00793080947946975	0.022229750594359	0.0112001331912348	0.0158047865146368	0.045859707457024
OM1_C_2F_2	0.0166439979510611	0.00200634228906251	0.0153616271536619	0.0136575883322679	0.0198105331984485	0.0252401871876086	0.0392392546834811	0.0555382974591654	0.0349429288537134	0.00703900406246885	0.0553570350187788	0.0162037127615791	0.0233034900610544	0.0107697034787195	0.0629375760973954	0.028835917539708	0.0380006866484684	0.0457177104050372	0.0142899106971219	0.0159304908679398	0.0388319646992551	0.0124693818243534	0	0.0131059524899941	0.0289738135707117	0.021125523820658	0.00970082824750708	0.0169898837751814	0.0190649969028625	0.0148813317468879	0.0117705257459645	0.0548216388146226	0.00818537839382386	0.0183171012884225	0.00427662961767177	0.0245262755821885	0.0563632643237904	0.0155017472652698	0.0341718698923341	0.0571499543893126	0.00718733119805859	0.0325054980843607	0.00483274962745667	0.026700179490295	0.0572723362628736
OM1_C_2G_1	0.0277632267637008	0.0128890200882362	0.0267126925503676	0.0259832619843755	0.0112652414593005	0.0122157252578222	0.028581697367448	0.0444907297558	0.0231147156576027	0.00784626810459974	0.0430841392801386	0.00360779848326708	0.012193388655271	0.00380697849258741	0.0509346298855784	0.0188995491476681	0.0264891717600796	0.033721538426109	0.00528755718168532	0.00584373520412524	0.026959541878888	0.00563060862220432	0.0131059524899941	0	0.0179714429175459	0.0108445935031355	0.014237423984096	0.00528908098040054	0.00854051964690926	0.00266483350943601	0.0248569409936304	0.0439342704236431	0.0085172088718985	0.0110592037705957	0.0173107771864697	0.0132434512949371	0.0447445901137159	0.00263966333752459	0.0241166439972496	0.0451364457852366	0.00710176044101388	0.0203737651716628	0.0118237986376785	0.0148669380576716	0.0460295660583436
OM1_C_2G_2	0.0448088331901377	0.0292832317774711	0.0439311207296373	0.0426041688640117	0.0123473477177366	0.0142024755972268	0.0106416441475703	0.0270335216810007	0.0101093453494556	0.0220274132015954	0.0273833881001064	0.0151102553984178	0.00667459877406748	0.0213506370806782	0.0348315713695824	0.00576135503374865	0.0114429449342129	0.017886231392155	0.0149600428454852	0.0132320362092079	0.0107434672282738	0.0175972757345359	0.0289738135707117	0.0179714429175459	0	0.00785563503181397	0.0317046235937014	0.0185771576920956	0.0112284620519666	0.0181766726813603	0.0400322674497212	0.0265181936305862	0.0212647180470942	0.0138118570405388	0.0328004886501522	0.00502998665089305	0.0276603522815611	0.0168840507905591	0.0079563653289112	0.0290112333173131	0.0245004035493511	0.00855627012324207	0.0258584111529607	0.00458569506039715	0.0283945202580456
OM1_C_2G_3	0.0370986810428308	0.0214810704551994	0.0361378967283447	0.0347665499777398	0.00699346759167925	0.0125294132750001	0.0182682705911083	0.0346425032865066	0.0154290475921078	0.014174399175053	0.0348042569235027	0.00851963921847086	0.00362774064813836	0.0140997641040808	0.0423163585455191	0.00900494676295048	0.0178570045053045	0.025158375691162	0.00732223992361529	0.00552920031549962	0.0180717156097338	0.0101924496140835	0.021125523820658	0.0108445935031355	0.00785563503181397	0	0.0243487757835195	0.0128728426172994	0.0051559010989233	0.0117269810938022	0.0322309788440999	0.0340284605126195	0.0134527754376806	0.00781868386581634	0.0249563253242551	0.0039336068094336	0.0353789566311241	0.0104196424227227	0.0139205636756553	0.0364936568873936	0.0169632483436357	0.0131628512374204	0.0180673021381699	0.00653878283392109	0.0361946716338524
OM1_C_2H_2	0.0177280541229633	0.00937368911274304	0.0146011339038714	0.0155654326216973	0.0218298741666804	0.024022919826394	0.0423227236256049	0.0574783780394318	0.0352808941450583	0.0127227239744557	0.0557023123571488	0.0168213819449776	0.0253337094482023	0.010507111273001	0.0633737959462134	0.0313655751933946	0.0388687892327261	0.0464175005347158	0.0182067707457259	0.0188604964046847	0.0400778565842288	0.0170990216448367	0.00970082824750708	0.014237423984096	0.0317046235937014	0.0243487757835195	0	0.0150684892170311	0.0225506103438385	0.015072494689274	0.0166064961222862	0.0568016524836395	0.0140208228397985	0.0208882119045507	0.0111799878777147	0.0267512975530014	0.0577949776926932	0.0154699700776424	0.0367608907974446	0.0577165080501012	0.00966521080379979	0.0327924323385898	0.0116915703824153	0.0282670932074924	0.059455710478179
OM1_C_3D_2	0.0303978760846069	0.016658065771264	0.028916751176504	0.0288712858998078	0.012555069963536	0.0090269521734919	0.0289497825473923	0.0437584099692909	0.0215150582257813	0.0125230720237217	0.0411915129889547	0.00466863465002695	0.0127962410411753	0.00625450908834872	0.0491101830745335	0.0194757606107619	0.0252629733445524	0.032171954226358	0.00981504998450993	0.00910881627217503	0.0259068074085993	0.010697327738013	0.0169898837751814	0.00528908098040054	0.0185771576920956	0.0128728426172994	0.0150684892170311	0	0.0113528260033103	0.00414539952650837	0.0284318269806495	0.0432594089987595	0.0131773219305204	0.0130229271061913	0.0210092972105975	0.0138431949644031	0.0436090397729916	0.00315395512971503	0.0244240585536164	0.0434129996673028	0.010703644689943	0.0187208724649878	0.0159283903676599	0.0146066066994402	0.0453933140818384
OM1_C_3D_3	0.0340573033569497	0.0189836538012354	0.0338062675131098	0.0323942679970684	0.010798124149094	0.011737138725186	0.021310483101044	0.0381844929435482	0.0191170560408642	0.0127374440914206	0.0377122832777618	0.00754014589552135	0.00794263754036943	0.0122484893540868	0.0455151448277815	0.0138953613191153	0.0217528004570067	0.0284146630493648	0.00498790565852253	0.00550376272683799	0.0213053556037277	0.00678160224615822	0.0190649969028625	0.00854051964690926	0.0112284620519666	0.0051559010989233	0.0225506103438385	0.0113528260033103	0	0.00883435149882491	0.0304355557366144	0.0377154594733652	0.0125391920729904	0.0111664313267869	0.0231372018462145	0.00788666790916243	0.0385846687083695	0.00863984438922674	0.0184239829470313	0.039667646579125	0.014045263043376	0.0164725560420601	0.0170624255118323	0.00986741814123212	0.0392570034508378
