	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1E_1	0.00628563008412228	0.00310279715505315	0.0176052163831831	0.0109704025802812	0.00406659775983954	0.00362549673204411	0.00774760966211724	0.0214941941993825	0.0160580397893267	0.0127734081094287	0	0.0035702196315005	0.0090296945428763	0.00748182177260912	0.0132460454441072	0.0118136426813991	0.00536009156714037	0.00604043501619278	0.0285807278159516	0.0126136169857505	0.0190451404350843	0.00500101027834736	0.0139471926896809	0.0180884166841017	0.0118581861079997	0.0113818494963286	0.0133833440541408	0.00709589458645323	0.00817450468619678	0.00865665122898301	0.00968735453175365	0.0164653760301335	0.00555395837170999	0.0122351246024991	0.0194350994097562	0.0121447608903575	0.00646688258282001	0.0105470037821315	0.0208524539745754	0.0176865164470837	0.00491732600154771	0.0163182910864435	0.00386879436317058	0.00855833498036543	0.0211113191159465	0.0101562635346876	0.0172877486499724
OM1_C_1E_2	0.00315444163051252	0.00642842220260814	0.0149648070558574	0.00970617381619868	0.00326620620308679	0.00231665353947971	0.007512575552442	0.0183398018726349	0.0182355962543346	0.00931121951859977	0.0035702196315005	0	0.00550206504035218	0.00915078010565834	0.0167927231209421	0.00850574535744107	0.0039180551295702	0.00249469908156123	0.0254266338122087	0.0119336668688235	0.0197034163326062	0.00232263743710221	0.0151346543439559	0.0199490897166111	0.00829726268851317	0.00796883436243358	0.00985818580840345	0.00872389278162064	0.00515113581801084	0.00596523464578302	0.0111036925702779	0.0187538684247657	0.00699863791790306	0.0138014858994662	0.0162021664259536	0.0128513598141347	0.00381044172133773	0.00839435580310548	0.0233335832950343	0.0201098652135495	0.00147035525286118	0.0127595668579643	0.00742002290877693	0.00507796111866994	0.0230862660107501	0.00681434682207624	0.0186829844203824
OM1_C_1E_3	0.00440050831435869	0.0119257053509722	0.0109513619966008	0.0111740433484837	0.00667638157452362	0.00692327564784349	0.0107970364876649	0.0132621532712068	0.022893806156609	0.0051414879454586	0.0090296945428763	0.00550206504035218	0	0.0138112500509619	0.0222732169388927	0.00348824219215376	0.00601546339060355	0.00331785043800425	0.0202803929017655	0.0138754571982463	0.0227448262310389	0.00455094206044562	0.0189794331868842	0.0242773204008885	0.00338211216066704	0.00438974540689078	0.00517901136745753	0.0133938174757026	0.00475188540382669	0.00597795503603913	0.0154162865917444	0.0234966975195621	0.0117397932558507	0.0180750714056928	0.0110297258237112	0.0163590864772036	0.00545617939422966	0.00862835457883785	0.0281753351705313	0.0249438726654036	0.00446304685562672	0.00731639620295243	0.0128046929646071	0.00260339984876924	0.0274603754617639	0.00407226699748652	0.0225844624310389
OM1_C_1F_1	0.00950025700416814	0.0056003343065191	0.0240929168864556	0.00790373264217608	0.011326718231994	0.00703397014981091	0.00439554995880526	0.0270688672192514	0.00912716611295114	0.0152818214844772	0.00748182177260912	0.00915078010565834	0.0138112500509619	0	0.0123290681107473	0.017222974617678	0.0125036691805211	0.0105494518378632	0.034080992631461	0.00782474549828283	0.0117855587116311	0.0114194114432379	0.0064988701983486	0.0108139414386986	0.0153715627655029	0.0138521499484855	0.0162744889278228	0.00042741610823769	0.0102472476103234	0.00973161147928563	0.0022330357833383	0.00969754577129051	0.00215228621959576	0.00477030358933494	0.0248379936491121	0.00514324240147012	0.00866890811304462	0.00960103979004945	0.014366840154513	0.0111344971712867	0.0095249318047792	0.0201688284712466	0.00792092151655095	0.0119844403944325	0.0139386102682386	0.0125751316073902	0.00980998835616763
OM1_C_1F_2	0.0190664551047727	0.0104851016735281	0.0297531443013275	0.0201686839485483	0.0164619068687715	0.016020940872791	0.016451102275353	0.0343167771986926	0.0126436932984162	0.025647286077461	0.0132460454441072	0.0167927231209421	0.0222732169388927	0.0123290681107473	0	0.024935941790865	0.0177058465615737	0.0192001421388146	0.041326508232533	0.0200671244991905	0.0206715642945373	0.0180733622639123	0.0156190056161194	0.0153177600469379	0.0249916430434218	0.0241954991819327	0.0263949806210234	0.0124435651552155	0.0206367782016549	0.0206485241088843	0.0132732235314635	0.0123100450956536	0.012959336516588	0.0135256924296986	0.03238900857266	0.0162483738551638	0.0188086012666622	0.0214144486414559	0.0141534556257246	0.0123093605871791	0.0180336410868814	0.0295458312949759	0.00957378395983722	0.0215693187416698	0.0168808489404543	0.0228972276060148	0.0167639237946583
OM1_C_1F_3	0.00788429552021249	0.014856468220025	0.00760235557624811	0.0144761956080503	0.00861588837612971	0.0102446615810341	0.0142840047386647	0.00987663139811565	0.0263299347053501	0.00654590300692914	0.0118136426813991	0.00850574535744107	0.00348824219215376	0.017222974617678	0.024935941790865	0	0.0075419263733866	0.00667421686173913	0.0169464093438395	0.0172041612921664	0.0261701837519575	0.00686748174679172	0.0224669818288533	0.0277534491611698	0.00450819885463367	0.00655112098545367	0.00593960899774645	0.016801621931662	0.0081058198283181	0.00927949346222032	0.0188809422834626	0.0269178867186292	0.0151226671982615	0.0215485418914363	0.00770232409828767	0.0198409972618968	0.00894321521355014	0.0117781623888963	0.0315792516827356	0.0283464771517188	0.00773863291859773	0.00572706634530574	0.0153670191589167	0.00591416553938396	0.0309350952655304	0.00683850273699997	0.0260716070705011
OM1_C_2A_1	0.00642873182103579	0.00838867385231947	0.0123345383905087	0.0135583293102367	0.00131911449207599	0.00617672051269003	0.0114019511300526	0.016618800064865	0.0213519872253862	0.0110121594398193	0.00536009156714037	0.0039180551295702	0.00601546339060355	0.0125036691805211	0.0177058465615737	0.0075419263733866	0	0.00496850206904121	0.0236483874715111	0.0158444218022358	0.0235167472301247	0.0020033904550083	0.018766601315866	0.0232800339458452	0.00939283842019828	0.00996844428971476	0.0111797946200295	0.0120887191796049	0.00824287041722022	0.00931472678026751	0.0146058662096176	0.0217874077452867	0.0104021141664728	0.0172607065267077	0.0147123162033891	0.0166205913887947	0.00739792625430347	0.0119684999083336	0.0262075727197557	0.0230336479805924	0.0047630578942683	0.0129277471347153	0.00821034950116207	0.00719422673804757	0.0263536842955022	0.00914049406452846	0.0222485094574747
OM1_C_2A_2	0.00164938607348934	0.00875388694476304	0.0137727628301064	0.0090888100903984	0.00494397961680308	0.00360614451112271	0.00789011946122894	0.0165340954150602	0.0196619012490927	0.00683603302664686	0.00604043501619278	0.00249469908156123	0.00331785043800425	0.0105494518378632	0.0192001421388146	0.00667421686173913	0.00496850206904121	0	0.0235758513872871	0.0116245875492063	0.0200889098376292	0.00296851121801774	0.0159826528686067	0.0211410527477909	0.00581970892003112	0.00552939584004521	0.00736367752285058	0.0101279316661855	0.0032772188858163	0.0043938336795838	0.0122472616561536	0.0202457734559604	0.00845230055489308	0.0149329274439794	0.0143218022814469	0.0134646409891298	0.00279758282174196	0.00712107646289559	0.0249083070708142	0.0216750938165325	0.00117886614625642	0.0103772199487877	0.00990360445853868	0.00261294357080642	0.0243169839251942	0.00444996143407885	0.0195857987223437
OM1_C_2A_3	0.0246045893190911	0.0316709563627101	0.011949444995608	0.0299628411136959	0.0249210670745049	0.0271712329935461	0.0307579639802189	0.00709378961824924	0.0431233709780846	0.0201487079717864	0.0285807278159516	0.0254266338122087	0.0202803929017655	0.034080992631461	0.041326508232533	0.0169464093438395	0.0236483874715111	0.0235758513872871	0	0.0326309160863793	0.0418167921894809	0.0235831714848312	0.0388661041854243	0.0443571709127435	0.0191812371196616	0.0212268944230549	0.0190076869511638	0.0336656972159066	0.0242636376456363	0.0251971119357052	0.0356008232365198	0.0437453693361456	0.0320158759962862	0.0382063214771286	0.00925596270032992	0.0361254598549633	0.0255369734287629	0.0270286599967713	0.048432393815225	0.0452053956679482	0.024672326565256	0.0148229184198568	0.0318477271539516	0.0222382507734347	0.0475354936483002	0.0222374023037979	0.0424190086560331
OM1_C_2F_1	0.00998572566672883	0.0123407733871424	0.0247923399893099	0.00273871527364698	0.0151177919599919	0.00979123605834854	0.00487728081147661	0.0261244635968668	0.0128953001934619	0.012487352655295	0.0126136169857505	0.0119336668688235	0.0138754571982463	0.00782474549828283	0.0200671244991905	0.0172041612921664	0.0158444218022358	0.0116245875492063	0.0326309160863793	0	0.00919245781813776	0.0140407350953569	0.00737007482309547	0.0129629461473756	0.0136155722962971	0.0114537790555578	0.0136288099002327	0.00780831564944524	0.00912642792610819	0.00792616039925363	0.00693567787589873	0.0137112328249536	0.00806136408342949	0.00805607527429939	0.0238357693437298	0.0048155151331497	0.00882755001436041	0.00562459987685369	0.0181208167609214	0.0152842115363166	0.0112558302907523	0.0178285526456195	0.0147903648725701	0.0113082978377502	0.0159191735989683	0.0106058137718286	0.0104144301842198
