	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1B_3	0.00632009968327805	0.0168872364062066	0.00542926191414062	0.00355314490687012	0.0221039941168838	0.0100835698009309	0.0287778782897429	0.00822067912107748	0.00552191462643826	0.00817407217873256	0	0.0114398053514127	0.00465230123916333	0.0628192823685425	0.0991178226240981	0.08449616834637	0.00270252247115179	0.00705926024103179	0.0401285653618835	0.00667708667916422	0.00509270409684497	0.0067390356646479	0.00853890999836337	0.00908686107822825	0.0120972501331607	0.00169130370932004	0.00433596379425818	0.00377654752222479	0.000667825362690731	0.00570647660935264	0.00255738547769349	0.00193730503209515	0.0260020351511009	0.00597355159972863	0.00637251478255562	0.00945666912372215	0.00623703629058774	0.000793784487348673	0.00465119861761314	0.00265220035559481	0.00616073111234552	0.00751653380166221	0.0471091203898779	0.00356659926170091	0.00194110807792539	0.0136285183668116
OM1_C_1D_2	0.016091621354272	0.0272648478526179	0.015154235413985	0.0147440901220279	0.0332129576902857	0.00304301154701419	0.0173443543243619	0.0196548772593817	0.00592545760753575	0.0111806278080587	0.0114398053514127	0	0.0120841311317654	0.0738958804289766	0.110385509888557	0.0955628083936795	0.00995530696907419	0.00443274098165805	0.0515283663897335	0.00505039215286878	0.0080102281527327	0.00931110522243689	0.00638395412258706	0.0196826275739479	0.0194297849594069	0.011761826323122	0.0141674799221182	0.0147112056606926	0.0119661926863798	0.0160575353122955	0.0131389970704564	0.0120831532157309	0.0372387013747286	0.017035139681823	0.00521123537854563	0.0128702456374866	0.014962018350597	0.0107847552735895	0.0114431373282899	0.0107348445954481	0.0170971488353683	0.00953977682635459	0.0584589316682514	0.0149604245554385	0.0111105934803313	0.0237182406100994
OM1_C_1D_3	0.00415197938993994	0.0152210515925102	0.00331580353520017	0.00472753553300131	0.0215064567654751	0.00970717373059258	0.0287787235662054	0.00951116651235412	0.0071355998677286	0.0125141407246331	0.00465230123916333	0.0120841311317654	0	0.0644570231056361	0.100190326681795	0.0860582925297798	0.00688727564161827	0.00851017289260961	0.0403021164235862	0.00711678922751289	0.0040740923574568	0.00372826988246959	0.00684229880111816	0.00789520412232548	0.00810966149918104	0.00634146239134147	0.0026798673280562	0.00422576058640154	0.00429899188747132	0.00446599189328294	0.00317685393633045	0.00656260618427384	0.0276693411246872	0.00606335855099174	0.00819033226794053	0.00497391292202596	0.00287818539076138	0.00422565820826085	0.00066469698375665	0.00713897515060532	0.00592306856137166	0.0115573849355629	0.0481996565363472	0.00550525980454909	0.00277285340037635	0.0116494172104286
OM1_C_1E_1	0.0606998134285079	0.0528458568845272	0.0612946873237954	0.0601378861998969	0.0456507332212937	0.072880571036749	0.0909283426810256	0.0550598311337282	0.0680998461134356	0.0644179508831919	0.0628192823685425	0.0738958804289766	0.0644570231056361	0	0.0375150342456733	0.021736974764028	0.0639634802067595	0.0694994244562389	0.0285625623076582	0.0694667729234201	0.0675540132713101	0.0681577790280485	0.0709617696420052	0.0571970457758916	0.0627037989152785	0.0622055138762011	0.0617827670510837	0.0604437756325886	0.0624315710746072	0.0600727455602328	0.0619156426927494	0.061872903499067	0.0368837075824283	0.0584058770405485	0.0687040523520207	0.0680068746987088	0.0623578118569278	0.063573051049011	0.0650498900270663	0.0631847103904156	0.0585517206962956	0.0656322082371477	0.0174033085327892	0.0596313204613866	0.0638039543837758	0.055722530615181
OM1_C_1E_2	0.0962289425986496	0.0870504845509228	0.0969295073677171	0.0961780698245498	0.079804674239518	0.109101958999312	0.127540947706822	0.0910998409435241	0.104522397445328	0.101429134757127	0.0991178226240981	0.110385509888557	0.100190326681795	0.0375150342456733	0	0.0176369805811026	0.100513115651161	0.105976956583734	0.0608630461698378	0.105757274580235	0.103590936207744	0.103898822804309	0.106888615261149	0.0925671217467836	0.0971913152238495	0.0986826781453862	0.0975564449720071	0.0964020453040406	0.0986707130744426	0.0957472838082075	0.097931869678328	0.0983652061198107	0.0732959546740462	0.0942336034495962	0.105206256219542	0.103192682421103	0.0978354288234559	0.0998365898103897	0.100816596283802	0.0997596402257457	0.0943191079323554	0.102558088619212	0.0521410806475468	0.0957695785325294	0.0998947412853461	0.090314481163663
OM1_C_1E_3	0.0822567404802502	0.0739908034964785	0.0828747306231591	0.0817881758168598	0.0667325467237743	0.0945422310410009	0.112546413818537	0.0767090942757944	0.0897763796781394	0.0860282742845263	0.08449616834637	0.0955628083936795	0.0860582925297798	0.021736974764028	0.0176369805811026	0	0.0856463865221962	0.0911741744418409	0.0485682706693148	0.0911365680184021	0.0892022092795954	0.0897615023121612	0.0925942296829076	0.0787113626464853	0.0839826945887319	0.0838910420708205	0.0833901656387018	0.0820820073191563	0.0841040042038444	0.0816597814029987	0.0835625404088579	0.0835590791617034	0.0585741235245587	0.0800211283376517	0.0903798908392899	0.0894926539144691	0.0839052363939542	0.0852467051536028	0.086657407732707	0.0848683409511135	0.0801557634088783	0.0872648216587727	0.0383238892472657	0.0812944304995451	0.0854601809192747	0.0770101854228549
OM1_C_1F_1	0.00902179556987755	0.0194653062338291	0.00812411818618402	0.00609598527523528	0.0243928591911228	0.00928891787026834	0.0271960127131672	0.0102208823666137	0.004253236236819	0.00563184461812197	0.00270252247115179	0.00995530696907419	0.00688727564161827	0.0639634802067595	0.100513115651161	0.0856463865221962	0	0.00555621996498386	0.0420444943561749	0.00590410199716235	0.00568792583033903	0.0078946788440606	0.00869470483241184	0.0116909895392216	0.0146919353942017	0.0019537193122191	0.00702136892681249	0.00641449136581168	0.00335896637066514	0.00839472168631134	0.0052589538867205	0.0022161011993117	0.0273098944823483	0.0084912202250539	0.00475185364828782	0.0112654201777887	0.0088576662635129	0.00273676315363672	0.00669346647684082	0.000804524713988173	0.00872527667608876	0.00483076642441801	0.0485872936940794	0.00589284495846653	0.00415584971654206	0.0162736999850789
OM1_C_1F_2	0.0122202281695585	0.0233660497206199	0.0112582231707878	0.0104643814059634	0.0290324957986286	0.00410055713024693	0.0217628472066898	0.0152777661599067	0.00155569035765072	0.0079950847412981	0.00705926024103179	0.00443274098165805	0.00851017289260961	0.0694994244562389	0.105976956583734	0.0911741744418409	0.00555621996498386	0	0.0471817864178113	0.00187296307286386	0.00469546738209538	0.00677892017945333	0.00523775215191136	0.0156443197902831	0.0164283015795499	0.0073311535163486	0.0101979901576343	0.0104991159418254	0.00761793718625453	0.0120284707964478	0.00895653330867926	0.00765498207008158	0.0328115951047634	0.0128182110451858	0.000821129241110901	0.0107406412780133	0.0113206194715634	0.00644824221521459	0.00794006867637225	0.00634856177952949	0.0129203204517626	0.00635763492187056	0.0540333028164943	0.0106118995302513	0.00697935823280534	0.0198953137026626
OM1_C_1F_3	0.0361875540813581	0.0263143280451682	0.0369886650043049	0.0368109699484916	0.0191166254745377	0.0497513736044324	0.0687854475199715	0.0319195429980604	0.0456412501266193	0.044497401594573	0.0401285653618835	0.0515283663897335	0.0403021164235862	0.0285625623076582	0.0608630461698378	0.0485682706693148	0.0420444943561749	0.0471817864178113	0	0.0465862788200974	0.0440417535888469	0.0439636841501617	0.0471366811912612	0.0324398666323657	0.0365003312734987	0.0400998975134974	0.0377682690592794	0.036898869970871	0.0395792388803295	0.0358774902978291	0.038476399504176	0.0398308976806105	0.0172036815215732	0.0346016266931104	0.046485572861139	0.0427874296147366	0.0377154932668991	0.0407572869122577	0.0409570918166237	0.0413831345514715	0.0346021015972688	0.0452099357530705	0.0114730757700652	0.0365846462024237	0.0405081074765465	0.0296903282265791
OM1_C_2A_1	0.0110552568616077	0.0222352419914735	0.0101122391998558	0.00978579213417537	0.0281756507903488	0.003444150468033	0.0222316673725999	0.0147938510007388	0.00180885593365611	0.00943419033429038	0.00667708667916422	0.00505039215286878	0.00711678922751289	0.0694667729234201	0.105757274580235	0.0911365680184021	0.00590410199716235	0.00187296307286386	0.0465862788200974	0	0.00309100825989671	0.00496613330968708	0.00347545090276759	0.014632852147881	0.014818808504204	0.00737398819518853	0.00911774180523884	0.00970761275207935	0.00712454023038377	0.0110077406154538	0.00812942794851246	0.007722690311445	0.032673880527312	0.0120252577138916	0.00219618409704017	0.00890662608115442	0.00998657987227864	0.00594981684485404	0.00649856642504268	0.0067020258418337	0.0120707607076308	0.00786021964519354	0.0537663423171392	0.010079876140413	0.00609431877737267	0.0187041838116052
