	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_1	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_3	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_3	OM1_H_1C_3	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_3
OM1_C_1E_3	0.0609392195631391	0.0453263087530279	0.0343061709239776	0.0564488004567631	0.0695467676468266	0.0473551825557471	0.0197343588200706	0.0198565596294763	0.0118222276568967	0.0332030857165087	0	0.0245712125491484	0.0119766461159138	0.0429100832803288	0.0436457764430897	0.0159728160662985	0.0429526486328291	0.0294571043491928	0.0261479904082182	0.00983025035293395	0.0337727689227121	0.0411331488805369	0.0356085607001233	0.00717588997988968	0.0210496603176278	0.0126798073350495	0.015984193563314	0.0198671022789186	0.0148288819156358	0.0166334166081365	0.0333673154498451
OM1_C_1F_2	0.038401657109655	0.0227852696041153	0.0113087391343494	0.0782938359644294	0.0459844991035593	0.023374121531035	0.00984749995288508	0.017334629268828	0.0153875416380233	0.0086476384195633	0.0245712125491484	0	0.0158437623062375	0.0193340460910289	0.0205316657121229	0.01036543222876	0.0211247784462718	0.00643458584008129	0.00182302777189658	0.0198973127265582	0.0101315560083694	0.0192058435360602	0.0126812499302997	0.0190143643328208	0.00436068763563906	0.0150789723655758	0.0126126942544185	0.0110861525354297	0.0124660639613067	0.00850435216118298	0.00975314786444902
OM1_C_1F_3	0.054173687128752	0.0384912087183027	0.0269880343841052	0.0624904988671369	0.0617788820706917	0.0391563395473262	0.00821473582795224	0.00849814348719489	0.000694237898682332	0.0238466556821642	0.0119766461159138	0.0158437623062375	0	0.0351725558236068	0.0363327055855081	0.0122160413316966	0.0314808308801184	0.0219641389473244	0.0176538187001271	0.00407842106210464	0.0259475019185323	0.034694437541531	0.0283661317178173	0.00480400668605094	0.0115575881143952	0.012893746275733	0.00422833201179222	0.0170760597153204	0.00354113551133008	0.0109658806541427	0.0255610110132808
OM1_C_2A_3	0.0192366128428492	0.00479605435590481	0.00861895005094141	0.0975530374392865	0.02676475526332	0.00474340641818121	0.0285388319919132	0.0355213680731594	0.0347091150649864	0.0123926457210036	0.0429100832803288	0.0193340460910289	0.0351725558236068	0	0.00203156682294628	0.0270857538110578	0.0216307264702465	0.0135098545345232	0.0175247786478202	0.039218795537355	0.00927551628945621	0.0052904339569726	0.00736290332609582	0.038115743676436	0.023654729324004	0.0312701665789439	0.0318139814188441	0.0243575139117797	0.031779876102134	0.0263040643759283	0.0096742774303925
OM1_C_2G_1	0.0178782031139877	0.00279499242625231	0.00943538246891696	0.0986461739042169	0.0259397652583819	0.00520406217072743	0.0299423858148253	0.0370391037165571	0.0358454357531626	0.0140665344041775	0.0436457764430897	0.0205316657121229	0.0363327055855081	0.00203156682294628	0	0.0277291514721154	0.0236532337963045	0.0144566030290428	0.0187100702273343	0.040352998412059	0.0104010802161425	0.00404894565069196	0.00808374839178937	0.03909647513182	0.0248835365986422	0.031759460318148	0.0331001100676431	0.0247017120197951	0.0329929652923055	0.0271090683268284	0.0107815407241171
OM1_C_2G_2	0.0449933351774641	0.0293647603417981	0.0184716499295892	0.0719427763467204	0.0536455813276897	0.031633447511213	0.0125070445067405	0.0185332798965297	0.0115275044926161	0.0186380434112848	0.0159728160662985	0.01036543222876	0.0122160413316966	0.0270857538110578	0.0277291514721154	0	0.0312940570016982	0.0138120922220833	0.011446471254794	0.0152547465280605	0.0181241078642218	0.0251702708753085	0.0197376661408874	0.0126682296678697	0.00897263152832931	0.00472136373428237	0.0119061179025039	0.00487963488177617	0.0106646166851707	0.00240850475667357	0.017722038071562
OM1_C_2G_3	0.0368547720484021	0.0263234881361024	0.0215380073625532	0.0899552602988952	0.0398513171972372	0.0215825864166927	0.0233183051136846	0.0265683804600945	0.0314283745788885	0.0150639068010458	0.0429526486328291	0.0211247784462718	0.0314808308801184	0.0216307264702465	0.0236532337963045	0.0312940570016982	0	0.0215607509835177	0.0206067669506299	0.0350683096032024	0.0199213406164456	0.0260282283249941	0.0218547761872844	0.0360810400502564	0.0227863646884937	0.0359082532361136	0.0272576063509771	0.0320349848752562	0.0282212003717032	0.0291469308622079	0.0200173428290664
OM1_C_2H_2	0.0322493719868013	0.0165346719405612	0.00503677402418408	0.0842519019242852	0.0402623596314089	0.0179105969626056	0.0162683767448396	0.023722386624316	0.0214522282913501	0.006549242048213	0.0294571043491928	0.00643458584008129	0.0219641389473244	0.0135098545345232	0.0144566030290428	0.0138120922220833	0.0215607509835177	0	0.0046874815589006	0.0259517384976054	0.00432630574829909	0.0128079851981333	0.00641159807179042	0.0246513410840883	0.0107360219710655	0.0182665899046313	0.0189794595560494	0.0120498292397125	0.0187155078288211	0.0128270223048673	0.0039214729173032
OM1_C_2H_3	0.0365803322653544	0.0209644571173029	0.00949601211089298	0.0800920703988164	0.044198950045317	0.0216047555331947	0.0115879159941896	0.0190359880088529	0.0171899297489603	0.00722421848807952	0.0261479904082182	0.00182302777189658	0.0176538187001271	0.0175247786478202	0.0187100702273343	0.011446471254794	0.0206067669506299	0.0046874815589006	0	0.021701240964733	0.00830982756467205	0.0174086289280037	0.0108661782506445	0.0207453783860673	0.00618301395110468	0.0161599535983913	0.0144318591868729	0.0114336049526723	0.0142870139082834	0.00981297806970055	0.00793056984626838
OM1_C_3D_1	0.0581753213142817	0.0424764720468671	0.0309834161697949	0.0584373263005783	0.0658401129827614	0.0432253629661091	0.0120419237749527	0.0101535313964684	0.0045128332375108	0.0279201230993136	0.00983025035293395	0.0198973127265582	0.00407842106210464	0.039218795537355	0.040352998412059	0.0152547465280605	0.0350683096032024	0.0259517384976054	0.021701240964733	0	0.0299804741478566	0.0386296995067375	0.0323598402563953	0.003667393542061	0.0156296488286198	0.0148329341688862	0.00806126929062306	0.0201171359490462	0.00759910621340473	0.0144113734353746	0.0295914264845694
