	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1F_1	0.0104283837213557	0.00331762327644703	0.0076623317658618	0.00289425227648659	0.00816887265422643	0.0103999870835774	0.00780813877468411	0.0135987063749391	0.0204058511391117	0.0135491987590114	0.00746871897000813	0.0153753653862917	0.00964869221146002	0.0186183767334413	0.0164393820763216	0.0210348575629446	0.0306503213341478	0	0.00749670832729934	0.0514311901995533	0.0110280402505163	0.0113792934645111	0.0441637312879769	0.00552788979324695	0.00523314885884739	0.00438107447698356	0.00592272175045	0.00642800381078526	0.0089470257013726	0.00199455482745053	0.0143275983348291	0.00885844326166819	0.0133263565348298	0.0152362759044517	0.00583372888236651	0.00248211332181265	0.00822737608492204	0.0134611278772898	0.0193070041577579	0.0138579871325944	0.0182765260184887	0.00368995944732832	0.00537743693607249	0.0187516266655739	0.00923263684472857	0.0241323092671459	0.0220726515736262	0.00353191612277211	0.00947176135866126	0.017102335367516
OM1_C_1F_2	0.0103753291983774	0.00442195830441518	0.0142620466919776	0.00460310189955401	0.00775442990313924	0.00644769584939277	0.00180310871230583	0.00628058220281524	0.0129905432060923	0.00703212423666991	0.00433751629264613	0.0080746671506327	0.00224775993721956	0.0114322360648334	0.00895798595029201	0.0137616438760703	0.0231709322222462	0.00749670832729934	0	0.0446832216001443	0.00506965684358356	0.00395644723064508	0.0368606523056606	0.005492123339481	0.00790865609321863	0.003721277162478	0.00809799276851321	0.00546337096172825	0.00221152978298008	0.00610405953538042	0.0076158899815874	0.00590073118734566	0.00606329054862816	0.00778220725386302	0.0019738523323277	0.00660373393513946	0.00196838402098801	0.00596597807448125	0.0118168671350718	0.00646378049355546	0.0110791163701117	0.0109885873592067	0.00768122256882718	0.0114229097446035	0.00450566938260912	0.0172033869683547	0.0145919643049815	0.00396862301109191	0.0145920517655954	0.00963083609500659
OM1_C_1F_3	0.0528895568782149	0.0489584402309681	0.0588320149756769	0.0488206245144987	0.0510811049090554	0.047428860564117	0.045459933239464	0.0405964895574838	0.0354128952255952	0.0379252907105486	0.0478415743298893	0.0367495473473737	0.0431773661790555	0.0333561864163076	0.0374522963776641	0.0312507973388803	0.0252201401143477	0.0514311901995533	0.0446832216001443	0	0.0404143455446358	0.0417993217818898	0.0124038489403281	0.0498856210003423	0.0524398103536029	0.0470630717785937	0.0524828272798748	0.0495199889942688	0.0444619576243881	0.0505832800048353	0.037195037596845	0.0483738144606722	0.0409751999219093	0.0386845288073717	0.0466552282566934	0.051213191372298	0.0433743467409072	0.0395916058469235	0.0343276411870665	0.0384415647822225	0.0337127731534212	0.0551162011771334	0.0521684743910527	0.033607791723969	0.0464359215009645	0.0274925178859634	0.0318129370149977	0.0482781633802111	0.0591722559219207	0.0359038571430551
OM1_C_2A_1	0.0153846477767827	0.00873825508915037	0.0185017588256768	0.00846604064930251	0.0128056409865858	0.0109094999196993	0.00663174771199152	0.00713077466491669	0.0121383274271062	0.00258236276060692	0.00933436535722867	0.00533518215967619	0.00508526911348453	0.00800936129286743	0.00807693675046733	0.0104872500097746	0.0206336059002052	0.0110280402505163	0.00506965684358356	0.0404143455446358	0	0.00539222201453796	0.033429156620377	0.0105116686562481	0.0128105615844229	0.00665472740366155	0.0130736353245159	0.0105318864663019	0.00629109463112845	0.0102788310564594	0.00343674594438133	0.0107446035205517	0.00718969656646257	0.00744678905322886	0.006847599078772	0.0109970250746333	0.00323183889880685	0.00557842533535797	0.00988459217822173	0.00456130137687048	0.00770440786198257	0.0147177313875463	0.0126162192511272	0.00844708290948798	0.00902972462839316	0.0131639679508778	0.0123204287842891	0.0079683658689275	0.0193441874414065	0.00766459584482255
OM1_C_2A_2	0.0115496065574813	0.00816259854804012	0.0176895665621736	0.0084937277354553	0.00938581040778729	0.00631685650044802	0.00384170416963989	0.00236209907903731	0.00904285548944789	0.00583109580470706	0.00604777508318523	0.00515694584828171	0.00173183906964507	0.00849518404344274	0.00508445904627068	0.0105711189874504	0.0194425570759511	0.0113792934645111	0.00395644723064508	0.0417993217818898	0.00539222201453796	0	0.0334128952720951	0.00817773865922667	0.0107523236069451	0.00764480148053394	0.0107274314493656	0.00773776321924311	0.0027253024601803	0.00981827891714047	0.0059616638297619	0.00678044578033401	0.00220794585075209	0.00385828867229273	0.00558261266523895	0.0101622063088663	0.00437970478218827	0.00225546306064648	0.00810308487764166	0.00347899621598808	0.00814151731282621	0.0147463273470033	0.0104583794269358	0.00820299562103916	0.00480741544346182	0.0144235502401967	0.0109015451908399	0.00785359392094585	0.0174626866858388	0.00606113542908306
OM1_C_2A_3	0.0436215588061496	0.041277797892458	0.0510552572695388	0.0413469245620538	0.04220146776911	0.0382849055335143	0.0372429405100526	0.031754526953224	0.0256355340223171	0.0308487126007603	0.0392874267865292	0.0288164115859209	0.0350025345010176	0.0255614561410284	0.0285419621752839	0.0231403664426078	0.0146054162831056	0.0441637312879769	0.0368606523056606	0.0124038489403281	0.033429156620377	0.0334128952720951	0	0.041560063871165	0.0441246582703274	0.0398424129534613	0.0440347579807627	0.0410341531940629	0.0361357700631099	0.0429570915428982	0.0300012093476457	0.039472488164313	0.0321208669082629	0.0298307610886676	0.0387761577613435	0.0434394715399849	0.0359466146271466	0.0311612673959228	0.02537945332617	0.0304002907271565	0.0259001665291511	0.0477847021232902	0.0438187412972647	0.0254483855934902	0.0376495662758437	0.0204349390894364	0.0226137695024606	0.0407431280578171	0.0507541745594106	0.0273577722173121
OM1_C_2F_1	0.00566459151963293	0.00314434851045422	0.00971432273365572	0.00408845461718534	0.00300353681406119	0.0050117250351826	0.00443014581822499	0.00989030309143958	0.0165763912810382	0.0125123137744354	0.00244159210433358	0.0131462855751238	0.00671454036656832	0.0165411956238235	0.013065164787324	0.018721152380242	0.0274316914701269	0.00552788979324695	0.005492123339481	0.0498856210003423	0.0105116686562481	0.00817773865922667	0.041560063871165	0	0.00257480348834871	0.00557911709242936	0.00262770885855901	0.000914163716237241	0.00546005869764009	0.00355631980575239	0.0130568014631507	0.00340208784562641	0.00954295631042751	0.0117771646648803	0.00368341143080909	0.00315589101344066	0.00729237000302901	0.0104316868092116	0.0161992415561343	0.0114541707381576	0.0161844663788662	0.00762786670096632	0.00228752696083384	0.0163503214837437	0.00432641412000898	0.0224279869210635	0.018986369004018	0.00392731771091676	0.0093042515255182	0.0142328293012352
OM1_C_2F_2	0.00525153700361395	0.00445883873697736	0.00730763485888143	0.00521310317973229	0.00341262117079315	0.00692296914357445	0.00699126583238243	0.012427322176706	0.0190511812956356	0.0149361894252854	0.00489382552663353	0.0157047813423889	0.00927716005287903	0.0191004067912353	0.0156166397605767	0.021292670174021	0.0299628594905241	0.00523314885884739	0.00790865609321863	0.0524398103536029	0.0128105615844229	0.0107523236069451	0.0441246582703274	0.00257480348834871	0	0.00710593323975607	0.000700527673762163	0.00314468726222934	0.00803448308231645	0.00376241153695932	0.0155204140730111	0.00531712414661598	0.0120739569300668	0.0143271868719608	0.0059859066778625	0.00290156448483267	0.00958045431652071	0.0130059355461425	0.0187601695068223	0.0140161002003276	0.0187437025372852	0.0060009383560679	0.000341708220403791	0.0189220411841834	0.00670103874792338	0.0249750756182928	0.0215431271616238	0.00536240691129189	0.00674140380798268	0.0168059924271943
OM1_C_2F_3	0.011237148641984	0.00264938991029953	0.0118878091171774	0.00198827370786857	0.00854457305944848	0.00893008022230861	0.00482664238059201	0.00998991871174066	0.0166283281606303	0.00916836628693824	0.00605360138413732	0.0111069002112498	0.0059632682890118	0.014288114140359	0.0125286276389178	0.0167253213265162	0.0265019252939946	0.00438107447698356	0.003721277162478	0.0470630717785937	0.00665472740366155	0.00764480148053394	0.0398424129534613	0.00557911709242936	0.00710593323975607	0	0.0075865762329326	0.00612140301650004	0.00573334675925392	0.00381374818082524	0.00994976148429295	0.00780211843678199	0.00978154166137028	0.0114081554642583	0.00296876124159514	0.00465301960671195	0.00391730613581517	0.00950778485324077	0.0152226674620587	0.00966593319500135	0.0139508145674615	0.00806903024905502	0.00702754295506543	0.0144762910457725	0.00719598624987631	0.0197545713506356	0.0179441226494771	0.00174700748575302	0.0130831411594284	0.0129755862639094
OM1_C_2G_1	0.00455115766079652	0.00493996981180246	0.00765709536596612	0.00574558832394496	0.00281584384886519	0.00651762341002991	0.00704169526728243	0.0122987916008064	0.0188428482195078	0.0151272324098084	0.00475141728639456	0.0157500887209275	0.00931943861324738	0.0191422654866646	0.0155049700458427	0.0212931557926701	0.0298082050778182	0.00592272175045	0.00809799276851321	0.0524828272798748	0.0130736353245159	0.0107274314493656	0.0440347579807627	0.00262770885855901	0.000700527673762163	0.0075865762329326	0	0.00300480996928377	0.00803239532778098	0.00439197669889991	0.0156812428973349	0.00494870140919424	0.0119382553169764	0.014214969879486	0.00622648875951291	0.00355562460803608	0.00984313597703998	0.0129718858637127	0.0186648567299338	0.0140545634988586	0.0187856741301058	0.00663385900598079	0.000582382102390767	0.018923150530146	0.00647788257064174	0.0250392361714737	0.0214361218297248	0.00583985010651124	0.00674054860447504	0.0167577417556595
OM1_C_2G_2	0.00517239363697341	0.00386371569175354	0.0104206200006187	0.00481163462561589	0.00245802544778082	0.00410800389312819	0.00415009001703174	0.00930352428044614	0.0159070677509282	0.0123960778176036	0.00175492631202865	0.0128019940562241	0.00639059223572841	0.0161867335693605	0.0125050767111525	0.0183081106835993	0.0268298942060896	0.00642800381078526	0.00546337096172825	0.0495199889942688	0.0105318864663019	0.00773776321924311	0.0410341531940629	0.000914163716237241	0.00314468726222934	0.00612140301650004	0.00300480996928377	0	0.00506706490914285	0.00444644867398826	0.0128893268232669	0.00249110856188838	0.00894591299682567	0.011214903100763	0.00384894627426948	0.00406997873152938	0.00735942155119427	0.0099758060542713	0.015662060579548	0.0111034423004823	0.0158305976027313	0.00850963634324536	0.00281822466775445	0.0159395129810475	0.00356796066918601	0.02209878060169	0.0184361092751496	0.00456531173319509	0.00974383994529382	0.0137561305920385
OM1_C_2G_3	0.00930711728639099	0.00564921074392852	0.0149816898491361	0.00612799641715171	0.00692375418972327	0.00463139288412726	0.00116348282191135	0.00469413400407568	0.0115206205069612	0.00764079832272198	0.00345152980421113	0.00773565658732097	0.00137930362454672	0.0111202935822215	0.00773322442422337	0.0132653077937059	0.0221224287103477	0.0089470257013726	0.00221152978298008	0.0444619576243881	0.00629109463112845	0.0027253024601803	0.0361357700631099	0.00546005869764009	0.00803448308231645	0.00573334675925392	0.00803239532778098	0.00506706490914285	0	0.00725215285945483	0.0080121747098451	0.00454199368536224	0.00439853304332347	0.00646579707873676	0.00312902228725239	0.00751768206684015	0.00379234333153854	0.00498048808540411	0.0108086400957047	0.00603684553582988	0.0107640686061099	0.0121638943476569	0.00774493699614461	0.0108944213708226	0.00273952314465445	0.0170332772611508	0.0136059777501934	0.00549920965975547	0.0147572869406685	0.00878636101003955
OM1_C_2H_2	0.00872831731170272	0.00168235165371997	0.00825937096900929	0.00184103677564085	0.00631924220309801	0.00840689200165201	0.00609131106382735	0.0119443439767807	0.0187706236775552	0.0126840741181133	0.00549046443710103	0.0141588561346611	0.00811038835448402	0.0174854230618378	0.0149023715018068	0.0198471646241196	0.0292260967026151	0.00199455482745053	0.00610405953538042	0.0505832800048353	0.0102788310564594	0.00981827891714047	0.0429570915428982	0.00355631980575239	0.00376241153695932	0.00381374818082524	0.00439197669889991	0.00444644867398826	0.00725215285945483	0	0.0133991475465572	0.00686459248226871	0.0116500911574289	0.0136647035044808	0.00424385120395429	0.000906434506718952	0.00721588297903923	0.0119837407506802	0.0178678833520996	0.012566069882965	0.0171356652942342	0.00492840615603673	0.00381230066262382	0.0175191000757301	0.00728495763278522	0.023159206346971	0.0206565086724535	0.00231433740320027	0.00927154689240088	0.0157144954388072
OM1_C_2H_3	0.017303319912265	0.0117796322204853	0.0216574559774126	0.0116419915191186	0.0149244721594193	0.012248829444358	0.00874991686399744	0.00658956687840764	0.00966516423615065	0.000888696687882182	0.0114218664722874	0.00261504280016228	0.00663358921875931	0.00460357247713229	0.00606542824761573	0.00707568474677467	0.0172858892833221	0.0143275983348291	0.0076158899815874	0.037195037596845	0.00343674594438133	0.0059616638297619	0.0300012093476457	0.0130568014631507	0.0155204140730111	0.00994976148429295	0.0156812428973349	0.0128893268232669	0.0080121747098451	0.0133991475465572	0	0.0125154511948741	0.00681980095674435	0.00597010963713651	0.00957113175756031	0.0140423488717221	0.00618359626672917	0.00475857436497514	0.00698690717868553	0.00304531523044213	0.00431593193569122	0.018008949267204	0.0152855157445354	0.00515765908137929	0.0105951018036263	0.00980623869929799	0.00915412304273592	0.0110922831646744	0.0222032589013754	0.00498776183390662
OM1_C_3D_1	0.00479241065031862	0.00600270475958021	0.0125986635460963	0.00691126211935816	0.00273533059468757	0.00163215963405841	0.00414824711457439	0.00780483493062274	0.0140418536537263	0.0121775105327593	0.00175521111729968	0.0119291567684275	0.00590184561734899	0.0152217734478477	0.0110048552962558	0.0171512318484435	0.0250966621938331	0.00885844326166819	0.00590073118734566	0.0483738144606722	0.0107446035205517	0.00678044578033401	0.039472488164313	0.00340208784562641	0.00531712414661598	0.00780211843678199	0.00494870140919424	0.00249110856188838	0.00454199368536224	0.00686459248226871	0.0125154511948741	0	0.00742768507624495	0.00973600971910965	0.00498838327301347	0.00655196610906801	0.00785868648062798	0.00885829412800557	0.0141809938513999	0.0102591929393066	0.0148725955049228	0.0109775656391896	0.0049754666007218	0.0148178093426069	0.00197529054491429	0.0211422546167861	0.0168897820828627	0.00652237734032997	0.0114091751818341	0.0124790030875556
OM1_C_3D_2	0.0119557213560459	0.0100427823160726	0.019229864426138	0.0104742594240274	0.0101583971124229	0.00649117585421672	0.00555915111853118	0.000379022652139717	0.00712853982476318	0.00696380701956088	0.00719138392946358	0.00514988339540355	0.00381845303998557	0.00809202014403662	0.00358787898019796	0.00980090830846107	0.0178930726674321	0.0133263565348298	0.00606329054862816	0.0409751999219093	0.00718969656646257	0.00220794585075209	0.0321208669082629	0.00954295631042751	0.0120739569300668	0.00978154166137028	0.0119382553169764	0.00894591299682567	0.00439853304332347	0.0116500911574289	0.00681980095674435	0.00742768507624495	0	0.00230936772922933	0.00749310372627682	0.0118908536856219	0.00658198746497986	0.00207362804387852	0.00676580133779856	0.00381963342543039	0.00776346879246434	0.0165561517107902	0.0117562304891436	0.00752458656928992	0.00554113247881329	0.0139156009899658	0.00951027111953907	0.00983715194155945	0.0186494080231287	0.00510103989523663
OM1_C_3D_3	0.0142263219456245	0.0120162508405424	0.0214220920293557	0.0123486837135763	0.0124674235127841	0.00875706261792988	0.00762278274845829	0.00193446057359187	0.00522069059085666	0.0063970230807455	0.0094638877823913	0.00367421481371144	0.00558799996729449	0.00606442757089371	0.00129025731220074	0.00756669874002396	0.015671808724624	0.0152362759044517	0.00778220725386302	0.0386845288073717	0.00744678905322886	0.00385828867229273	0.0298307610886676	0.0117771646648803	0.0143271868719608	0.0114081554642583	0.014214969879486	0.011214903100763	0.00646579707873676	0.0136647035044808	0.00597010963713651	0.00973600971910965	0.00230936772922933	0	0.00943719382730151	0.0139771824023709	0.0078105498775695	0.00199482213923121	0.00446080250841308	0.00305785028533413	0.00576322218134322	0.0185915480941087	0.0140144755083271	0.00536323378425208	0.00784770851923491	0.0117469640082744	0.00722215537617471	0.011708744007484	0.0209377692496363	0.00288654121818978
OM1_C_3E_1	0.00897922238588877	0.00258008062822592	0.0123119623284368	0.00299919826657377	0.00627792647346759	0.00599100083560641	0.00203287706727106	0.00776624194825655	0.0145809785343186	0.00895958878754271	0.00324081734938902	0.0100239520555828	0.0038675209155688	0.0133932623929383	0.0106653412723213	0.0157041346364609	0.0249846804040097	0.00583372888236651	0.0019738523323277	0.0466552282566934	0.006847599078772	0.00558261266523895	0.0387761577613435	0.00368341143080909	0.0059859066778625	0.00296876124159514	0.00622648875951291	0.00384894627426948	0.00312902228725239	0.00424385120395429	0.00957113175756031	0.00498838327301347	0.00749310372627682	0.00943719382730151	0	0.00466696950258025	0.00361832123978987	0.00774052242678219	0.0136260322199427	0.00839021512235295	0.0130392642857223	0.00916938685772681	0.00577724481308898	0.0133555101057417	0.00422733916364046	0.0191763571467187	0.0164166607200699	0.00237315750252836	0.0126336491859914	0.011483840041184
