	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_2	OM1_C_3F_3	OM1_H_1B_2	OM1_H_1C_1	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_2A_1	0.0268213600735267	0.0184335867866844	0.024315373180695	0.0267734008141965	0.0174358064967971	0.0182747324637458	0.0142583554181516	0.0107701809437701	0.0145144671546994	0.00296892216020708	0.0142598912846555	0.0226823385119757	0.00164921621591741	0.00843615551751617	0.027656138683128	0.00483963680193435	0	0.00878691272460256	0.00297274720973526	0.069641362796804	0.0651213683291148	0.0588374715048029	0.0273673096286843	0.0266062000526571	0.0210542258385383	0.0191356818654238	0.0119981141780296	0.00450974860160418	0.00970682634614361	0.0106266009874031	0.0580238951790017	0.0174828500685313	0.0346029413260383	0.00156850014188667	0.0168534755839938	0.0210299792540356	0.0162637618219478	0.0154125445361877	0.0146254578541654	0.00548989534624803
OM1_C_2A_2	0.02368565886695	0.0146378164881582	0.0224906199864595	0.020859929540437	0.0141405229718531	0.0146835751154431	0.0109894600246073	0.00541925199195854	0.00843422575714002	0.00817648747490067	0.00990567794098994	0.0153540459866631	0.00716315964533638	0.0102903553743424	0.0213787194874996	0.0132121284109883	0.00878691272460256	0	0.00932075774074879	0.0651471119154983	0.0605338837062979	0.0539622470478358	0.0218449711112171	0.0204101154513429	0.0172018429092115	0.014756797806311	0.00371480456915293	0.00463389478890699	0.00393833280424514	0.00458737634992062	0.0538307478561974	0.0143305573364837	0.0280590569068276	0.00722478612710624	0.00994142564311583	0.0168289278196457	0.0129354480913596	0.00913345193310929	0.0113071333086667	0.0109010464693781
OM1_C_2A_3	0.0243191200598551	0.0162561986711759	0.0216170720072381	0.0249941505166087	0.0151741771207538	0.0160527111819671	0.0121529661128896	0.00967766226045627	0.0132357491994533	0.00115744402681933	0.0124517530652415	0.0215542816779213	0.0031880394247146	0.0113260494763222	0.0259903395552398	0.00678825523633236	0.00297274720973526	0.00932075774074879	0	0.0672293459183753	0.0627384167686287	0.0565378048709438	0.0254515992049556	0.0249282495941617	0.0188114885575157	0.0170845357289096	0.0118739063018414	0.00609091894858707	0.0112828575767503	0.0122263580328512	0.0555675752794137	0.0151860085747152	0.032952933781861	0.00326914433649779	0.015743042550531	0.0188744721525198	0.014060194564111	0.0141413499466738	0.0125088163233277	0.00844496400200934
OM1_C_2F_1	0.0429622246013585	0.0513234007916543	0.0461191672174328	0.0444988253628342	0.0522524700084886	0.0514428071534522	0.0554936952126589	0.0601611716938021	0.0567367708729995	0.0667510477575033	0.0558444003930969	0.0510989401194533	0.068528442736068	0.0752627785962401	0.0443026818762262	0.0739966425336112	0.069641362796804	0.0651471119154983	0.0672293459183753	0	0.00465105702407374	0.0114696182587215	0.0433693410575688	0.0451323381446437	0.0486716137091425	0.050801149672839	0.0618539862282366	0.068407996693166	0.0686173252488164	0.06881003207043	0.0117672838212011	0.052193128384464	0.038736681161364	0.0686750691550394	0.0554203510408167	0.0487943132121978	0.0534469039388706	0.0560293930150523	0.0551245343668866	0.0745576971313847
OM1_C_2F_2	0.038497048878416	0.0467712452515716	0.0417476852392005	0.0398600059799359	0.0477170953484254	0.046898558395654	0.0509461945528378	0.0555684506245767	0.0521260786911913	0.0622414590873677	0.0512684391301084	0.0464524244478106	0.0639897519820437	0.0706671844144562	0.0396564416115183	0.0695110856478662	0.0651213683291148	0.0605338837062979	0.0627384167686287	0.00465105702407374	0	0.00684827625381266	0.0387402116359032	0.0404886442277612	0.0441236992620904	0.0462272838646646	0.0572270546184813	0.0638284469342764	0.0639915334893092	0.0641792042553391	0.0075857089356756	0.047663823933834	0.0341039461862197	0.0641361401694756	0.0507897359314425	0.0442294782933389	0.0489053813019376	0.0514128955641414	0.0505769882247893	0.070004472893776
OM1_C_2F_3	0.0324481767118487	0.0404319563518111	0.0359330419367154	0.0331985908734727	0.0414264577310849	0.040583335685329	0.0446107774164634	0.0490789879586828	0.0455764546581911	0.0559913719287817	0.0448428904753879	0.0396989866207768	0.0576550444574327	0.0641472240326723	0.0329344061357736	0.0633122685649232	0.0588374715048029	0.0539622470478358	0.0565378048709438	0.0114696182587215	0.00684827625381266	0	0.0321348237654105	0.0337907449900613	0.0378052617660001	0.039819727500049	0.0506016035070301	0.0573704748751578	0.0573623424194779	0.0575251759491143	0.00512469854656614	0.0413914233954548	0.0272727124707389	0.0578005098967461	0.044155727710518	0.0378567951149802	0.042593060259988	0.0448412273675272	0.0442422991252005	0.0636186260265616
OM1_C_2G_1	0.00781327375162521	0.00944233462321591	0.0112216316695769	0.00161992371234724	0.0106750100077133	0.00975098954332293	0.0133271058067853	0.0170778502014294	0.0134772443643433	0.0247087157490418	0.0131103598724011	0.00863250273726904	0.0260236023663915	0.0320678359800659	0.00283488194014755	0.0320846800324767	0.0273673096286843	0.0218449711112171	0.0254515992049556	0.0433693410575688	0.0387402116359032	0.0321348237654105	0	0.002697987835824	0.00738699920665659	0.00841864027235304	0.0185053344994482	0.0253968399696725	0.0252793363798149	0.025486513435833	0.0321977018035177	0.0107756051083292	0.00809685051597503	0.0261640711226651	0.0120688718768626	0.00694730324227934	0.011581850607271	0.0127206300776107	0.0129829946088269	0.0317839311286613
OM1_C_2G_2	0.0102141294602972	0.00964765641045204	0.0132206916991582	0.00108780641183904	0.0109098765005066	0.0100245780958923	0.0130500113814942	0.016010459708893	0.0122770229765785	0.0240953253848927	0.0124802950742479	0.00620722229160013	0.0251754598813462	0.0306948318310437	0.00106550843997189	0.0313999024631886	0.0266062000526571	0.0204101154513429	0.0249282495941617	0.0451323381446437	0.0404886442277612	0.0337907449900613	0.002697987835824	0	0.00820339743434201	0.00842454196213417	0.0169054260841166	0.0242502560076955	0.0236405607073834	0.0237678228273822	0.034162432833758	0.011077228406094	0.00802861463149633	0.0253106085342162	0.0104764823244974	0.00753394596008637	0.0115894591917869	0.0114387308406207	0.0127408982121946	0.0307214468289488
OM1_C_2G_3	0.00652988552938042	0.00266316194311283	0.00674926733619624	0.00766874148217998	0.00363791852537416	0.00278041963682544	0.00683025054277017	0.0118550746253669	0.00909092814815481	0.0182162108764063	0.0073580625730585	0.00992491778742642	0.0198915789270193	0.0268895885697556	0.0091362595662638	0.0255775509618479	0.0210542258385383	0.0172018429092115	0.0188114885575157	0.0486716137091425	0.0441236992620904	0.0378052617660001	0.00738699920665659	0.00820339743434201	0	0.00254319880131681	0.0145918958253091	0.01988178818085	0.0210348728799894	0.0214754233381158	0.0371120960651519	0.00363958895079339	0.0154772591235507	0.0200381209879445	0.0091743440729765	0.000869034351211084	0.00479181166706026	0.00872436758574705	0.00646059415018879	0.0259320903310328
OM1_C_2H_2	0.00906001853093407	0.00131574052244575	0.00903855225581765	0.00820532532778996	0.00252823709111648	0.0017377233932309	0.00493243907703827	0.00947392170448984	0.0065569849788069	0.0163899889453954	0.00505175442257787	0.00842102583658079	0.0178801304760837	0.0245882528812293	0.00946531541001295	0.0237791680539409	0.0191356818654238	0.014756797806311	0.0170845357289096	0.050801149672839	0.0462272838646646	0.039819727500049	0.00841864027235304	0.00842454196213417	0.00254319880131681	0	0.0120613994577636	0.0176420450881012	0.018555393790428	0.0189744339865557	0.0393134852022257	0.00274041476591758	0.0162602397611825	0.0180245111046277	0.00671085294108613	0.00207263337704722	0.00319420529909378	0.00618200857677103	0.00457953233211842	0.0238273245418225
OM1_C_2H_3	0.0211191306345904	0.0122070016322531	0.0204718185743265	0.0174235776688502	0.0119772087439951	0.0123408934917488	0.00921957663340357	0.00406227595282067	0.00550516727086081	0.0107251682714338	0.00773480096312805	0.0116651514059813	0.0103495671704389	0.0138992206849799	0.0178446229307477	0.0166444880101505	0.0119981141780296	0.00371480456915293	0.0118739063018414	0.0618539862282366	0.0572270546184813	0.0506016035070301	0.0185053344994482	0.0169054260841166	0.0145918958253091	0.0120613994577636	0	0.0082237665682936	0.00677533873233615	0.00702954283230633	0.0506401351924617	0.0122160796277697	0.0244343663198364	0.010438889171788	0.00645265656550553	0.0140948829792413	0.010875459244683	0.00600035725046662	0.00946183563877936	0.0146013097613733
OM1_C_3D_1	0.0261228344145051	0.0172223764085081	0.0242552364788454	0.0245789156810618	0.0164497351284424	0.0171642688661828	0.0131422891128681	0.00832202934105947	0.011982502433189	0.00516624041450496	0.0125908537367919	0.019628540188756	0.00310100840305487	0.007080968688643	0.0252624337708155	0.00861023378164039	0.00450974860160418	0.00463389478890699	0.00609091894858707	0.068407996693166	0.0638284469342764	0.0573704748751578	0.0253968399696725	0.0242502560076955	0.01988178818085	0.0176420450881012	0.0082237665682936	0	0.00527162092590586	0.00620929255260085	0.0569366150233401	0.0165719615735584	0.0320932176827962	0.0030960432341924	0.0139591767109646	0.0196748391411478	0.0152156437647814	0.0128136096305924	0.0135046061095914	0.00650794458153928
OM1_C_3D_2	0.0275429001169972	0.0185069380132234	0.0264250395726138	0.0241853022030542	0.0180524583875078	0.0185701714783329	0.0149240233333743	0.00934087048617134	0.0120952276658928	0.0102676512788742	0.0137964689383384	0.018156010725158	0.00837225994286971	0.00767104440820327	0.02455893024517	0.0131703607755896	0.00970682634614361	0.00393833280424514	0.0112828575767503	0.0686173252488164	0.0639915334893092	0.0573623424194779	0.0252793363798149	0.0236405607073834	0.0210348728799894	0.018555393790428	0.00677533873233615	0.00527162092590586	0	0.000943569262189104	0.0573985813788543	0.01824860030202	0.031022830282447	0.00836341128814997	0.0132217353410306	0.020621590910197	0.0168552802494407	0.012700433718548	0.0152387955549765	0.0096454306224893
OM1_C_3D_3	0.0279972429369802	0.0189842052508025	0.0269979260665912	0.0243487346098916	0.0185809210385587	0.019065470888291	0.0155048417969537	0.00990783544409016	0.0124613635129681	0.0112097415311517	0.0143071826202874	0.0181571439834841	0.00930886692445796	0.00804087668115619	0.0246645874426512	0.0139900525882195	0.0106266009874031	0.00458737634992062	0.0122263580328512	0.06881003207043	0.0641792042553391	0.0575251759491143	0.025486513435833	0.0237678228273822	0.0214754233381158	0.0189744339865557	0.00702954283230633	0.00620929255260085	0.000943569262189104	0	0.0576433939750546	0.0187865824811454	0.0310364591352969	0.00929797681451322	0.013419915855465	0.021031888603798	0.0173983386570822	0.0130178502445367	0.0158098176501586	0.010318200027774
OM1_C_3E_2	0.0312694054291423	0.0397723578994713	0.0343670562677929	0.0334388799850846	0.0406620605022271	0.0398724595150947	0.0439292378209676	0.048738864329869	0.0454050753715909	0.0551151667338497	0.0443602137631327	0.0402754141117988	0.0569460733725968	0.063859843560024	0.0334120287208956	0.0623324690067135	0.0580238951790017	0.0538307478561974	0.0555675752794137	0.0117672838212011	0.0075857089356756	0.00512469854656614	0.0321977018035177	0.034162432833758	0.0371120960651519	0.0393134852022257	0.0506401351924617	0.0569366150233401	0.0573985813788543	0.0576433939750546	0	0.040590369379079	0.0284999665813342	0.0570932743950871	0.0442422871234515	0.0372804009384326	0.041869342306707	0.0447345223712304	0.0435602947920115	0.0630123225294889
OM1_C_3F_3	0.00955250256353928	0.00144090949267551	0.00825991428827401	0.0107657938720261	0.000301893953462402	0.00105308189017365	0.00343707350639352	0.00891179128990254	0.00698487844212115	0.0146161410695627	0.00450265480307234	0.0109412463879691	0.0163722431776342	0.0236350210835851	0.0120991702883111	0.0219609047837547	0.0174828500685313	0.0143305573364837	0.0151860085747152	0.052193128384464	0.047663823933834	0.0413914233954548	0.0107756051083292	0.011077228406094	0.00363958895079339	0.00274041476591758	0.0122160796277697	0.0165719615735584	0.01824860030202	0.0187865824811454	0.040590369379079	0	0.018774590457974	0.0165196443695998	0.00806511439360028	0.00384759148259005	0.00139615591809382	0.00696442648031345	0.00308286618547177	0.0224616952616786
OM1_H_1B_2	0.0145577806208022	0.0173924298803072	0.0185747458507209	0.00805926475046113	0.0186478119213771	0.017731634712016	0.0210267381547054	0.0239434950694604	0.020185415496668	0.0321171785291576	0.0205073873200066	0.0128827721481446	0.0331517522149264	0.0383230383658899	0.00696681118746529	0.039406013495786	0.0346029413260383	0.0280590569068276	0.032952933781861	0.038736681161364	0.0341039461862197	0.0272727124707389	0.00809685051597503	0.00802861463149633	0.0154772591235507	0.0162602397611825	0.0244343663198364	0.0320932176827962	0.031022830282447	0.0310364591352969	0.0284999665813342	0.018774590457974	0	0.0332849559961655	0.0181636228286237	0.0149954884553889	0.0194537036012138	0.0193181682755111	0.0207064961777906	0.0385886815884267
OM1_H_1C_1	0.0259619482689888	0.0173933251804229	0.0236440815683297	0.0255152376047561	0.0164511340035155	0.0172610036311417	0.0132114838811832	0.00937736326092298	0.0131385512532353	0.0026758563486825	0.0130712933102582	0.0212374742731126	0.000147977291439892	0.00825414117618918	0.0263540859127312	0.00629652277173044	0.00156850014188667	0.00722478612710624	0.00326914433649779	0.0686750691550394	0.0641361401694756	0.0578005098967461	0.0261640711226651	0.0253106085342162	0.0200381209879445	0.0180245111046277	0.010438889171788	0.0030960432341924	0.00836341128814997	0.00929797681451322	0.0570932743950871	0.0165196443695998	0.0332849559961655	0	0.0154216122291023	0.019964284638822	0.0152532815058616	0.0140288950577135	0.0135809180641111	0.00600270573774529
