	OM1_B_B_2	OM1_B_C_1	OM1_C_1B_1	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_1	OM1_C_3D_2	OM1_H_1B_1	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_3	OM1_H_1G_2	OM1_H_1G_3
OM1_C_2A_2	0.0169239737769825	0.0423017530242983	0.00321486716614452	0.0144610341938562	0.0062360735416819	0.0665342160591657	0.0182324577118018	0.0256553577460899	0.0388425201858409	0.0181690264237629	0	0.00844092242768276	0.026505281356799	0.0456423223329538	0.0308394354851597	0.000585968599373472	0.0111854138245556	0.0288930978173965	0.00997801558790983	0.00836144332030264	0.00968585161374022	0.00539333456031395	0.011697119684072	0.00788774759819115	0.00764413076286317	0.00394445513428564	0.0127691686654527	0.0439287137901352
OM1_C_2A_3	0.01226378683505	0.0382812064900034	0.00879904602310658	0.0195744213618813	0.00249596974182771	0.0612172960096597	0.0255623065204569	0.0196849763041586	0.0321986236833989	0.0155055872344698	0.00844092242768276	0	0.0309700047717859	0.0394222208009047	0.0254413425579782	0.00838582389082695	0.0118084532770591	0.0229887458043158	0.0165069465949855	0.0052757041310815	0.0161168659006093	0.0104702488256571	0.00986538436283153	0.00183386339004195	0.0107007715626427	0.00513218666928268	0.00524356035583872	0.0399081690234484
OM1_C_2F_2	0.0426601810534195	0.0685626706199974	0.0237421624112467	0.0120475941169264	0.0304124511572349	0.0920835522502752	0.0140012560390686	0.0506335701801381	0.0629588272321111	0.0445792786222754	0.026505281356799	0.0309700047717859	0	0.0702954728809183	0.0563127378135281	0.026009665214238	0.0376270215498416	0.053936012834399	0.0169131304428889	0.0260666815267629	0.0170950159765738	0.0214653847141371	0.0380820256313406	0.031859299700974	0.0338626027662557	0.0296042910240448	0.0361698741430208	0.0701931518582115
OM1_C_2F_3	0.0288185826761384	0.0138536401554247	0.0475298589119759	0.0589379803564126	0.0403375532189355	0.022720504963447	0.0638341222513972	0.0200046968830815	0.0076469629706044	0.0291737799607715	0.0456423223329538	0.0394222208009047	0.0702954728809183	0	0.0151865971908026	0.0459500275387263	0.0368654188016456	0.0167615792071959	0.0553627184560945	0.0442761717930196	0.0550139750057557	0.0495761310154531	0.0346414250894306	0.0387467454355411	0.0405461491091015	0.0418293465672085	0.0341904852745152	0.0139565216702438
OM1_C_2G_1	0.0139195960560209	0.0138987849849614	0.0329768773461947	0.0446208936924619	0.025954532049642	0.0358742699715695	0.0489440283307025	0.00597563341894741	0.00997883007339455	0.0140020873425895	0.0308394354851597	0.0254413425579782	0.0563127378135281	0.0151865971908026	0	0.031191559852514	0.0216862310185013	0.00310164564960342	0.0407196864594006	0.0305907386913915	0.040391430421625	0.0351272489912143	0.0195516494888997	0.024474677459844	0.0253963061011343	0.0271452632719065	0.0203885596306526	0.0154127229228008
OM1_C_2G_2	0.0172757651129884	0.0427453246359275	0.00262987148851614	0.0139692238674639	0.00628253622217413	0.0669164171780285	0.0179615499049283	0.0259573337188457	0.0391086779859721	0.018627807746	0.000585968599373472	0.00838582389082695	0.026009665214238	0.0459500275387263	0.031191559852514	0	0.0117193798438896	0.0292067475936641	0.00956899691597836	0.00796575983209239	0.00926427681715644	0.00482480627901818	0.0121422156879044	0.00795945826277403	0.00821359458753836	0.00415726004027511	0.0128739501248692	0.0443734812953253
OM1_C_2G_3	0.00896043044935333	0.0317118284625394	0.0142180108285158	0.0255922094513756	0.0100558644057673	0.056558126051661	0.0280063428602528	0.0176337096092743	0.0308758286771484	0.00781235039822334	0.0111854138245556	0.0118084532770591	0.0376270215498416	0.0368654188016456	0.0216862310185013	0.0117193798438896	0	0.0204712416122299	0.0208548211066007	0.0160022060045011	0.020618801873699	0.0165026205421808	0.0033357128739528	0.0099757788632947	0.00394536518023091	0.00901580675306731	0.0113445347622876	0.0333182097174231
OM1_C_2H_2	0.0120820859764258	0.0169770958863919	0.0308431817380584	0.0423729241043071	0.0237011253931034	0.0382607657845223	0.0470939984928093	0.00330783514595375	0.0104138844557423	0.0131437006571935	0.0288930978173965	0.0229887458043158	0.053936012834399	0.0167615792071959	0.00310164564960342	0.0292067475936641	0.0204712416122299	0	0.0386577637972733	0.0280477454753198	0.038314971697	0.032933661568137	0.0180006155353203	0.022155199687163	0.0239884901245425	0.0250950406139683	0.0178351259532298	0.0184736312486319
OM1_C_3D_1	0.0268159829190014	0.0522542643422532	0.00786566825329131	0.00516185389221535	0.0151172301021742	0.0764582723538995	0.00918042613993173	0.0353833418889665	0.0483857058997863	0.0281151066191742	0.00997801558790983	0.0165069465949855	0.0169131304428889	0.0553627184560945	0.0407196864594006	0.00956899691597836	0.0208548211066007	0.0386577637972733	0	0.0130778581428516	0.000417767224262704	0.00605478048101227	0.0216664547925017	0.0167730760927528	0.0170168090038692	0.0135847219928007	0.0216209871250785	0.0538786476043092
OM1_C_3D_2	0.0175384626029906	0.0435416014926439	0.00670698524089444	0.0151669128106516	0.00601287430915173	0.066270473779281	0.0222444338362547	0.0247599151983724	0.0369212239497829	0.0206445500151691	0.00836144332030264	0.0052757041310815	0.0260666815267629	0.0442761717930196	0.0305907386913915	0.00796575983209239	0.0160022060045011	0.0280477454753198	0.0130778581428516	0	0.0126617713705519	0.00727337508462154	0.0146696745585497	0.00673882297668004	0.0138546572551307	0.00733823878061931	0.0102181303482366	0.0451669119978282
