	OM1_B_B_1	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_2	OM1_C_1B_2	OM1_C_1D_1	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_2G_1	0.00503342581820315	0.00343032826976209	0.00853104481667932	0.00468166275844373	0.0186095162964441	0.00713759271634949	0.00612710505199105	0.000995512759124606	0.00243002683085447	0.00932014987097343	0.00680995291218284	0.0699668147675431	0.086498956033844	0	0.00337531398436406	0.00922114666295863	0.00971579973137704	0.01775592881908	0.00163443156859682	0.00937802118892599	0.00240065816843381	0.00734434981142748	0.00749128227209302	0.00787008094820943	0.0122755698152857	0.0116133239179761	0.00195365449503983	0.0010763148089257	0.00645699665926975
OM1_C_2G_2	0.00165812161277072	5.50145062037065e-05	0.00515578235271405	0.00130635594028388	0.0152345341685319	0.0105128186702536	0.00275181082109049	0.00237980400212865	0.000945289845639923	0.00594490078332622	0.00343466632922334	0.0665969575737744	0.0831320762912633	0.00337531398436406	0	0.0058458958171589	0.0130909644536599	0.0143809137421435	0.00500973595290092	0.00600277313961269	0.00577595589420478	0.0107195714316235	0.0108665007514349	0.0044948084015989	0.0156506582630603	0.0149884335791202	0.00532895627268802	0.0044516231761115	0.00983223616874267
OM1_C_2H_1	0.0041877882855134	0.00579088195669377	0.000690120678163685	0.0045395519029001	0.00938892821208041	0.0163583654055375	0.00309410226073006	0.00822566011170694	0.00679117264230877	9.90061596229308e-05	0.0024112462803394	0.0607592750781154	0.077299249198938	0.00922114666295863	0.0058458958171589	0	0.0189363569458929	0.00853526667332058	0.0108555214337121	0.000156879231610032	0.0116217155119829	0.0165651067958016	0.0167120279289319	0.00135109972837307	0.0214958708194635	0.0208336952491197	0.0111747312684596	0.0102974259938705	0.0156778191059168
OM1_C_2H_2	0.0147489748229188	0.0131459756698575	0.0182463190448854	0.0143972348371436	0.0283235383861911	0.00257826927011847	0.0158425769906176	0.0107112764588581	0.0121457268496447	0.0190353507172601	0.0165253726478101	0.0796638383738687	0.0961866998384002	0.00971579973137704	0.0130909644536599	0.0189363569458929	0	0.0274700834301327	0.00808141281091196	0.0190932164885693	0.00731520093089574	0.00237150884318131	0.00222457383873658	0.0175854134158291	0.00255987647553256	0.00189759879032762	0.00776219649899304	0.0086395163523942	0.00325887425056932
OM1_C_3E_1	0.0127228973177893	0.0143259031656093	0.00922536851648202	0.0130746429674299	0.000853685248470542	0.0248924266212102	0.0116292624778124	0.0167605188221541	0.0153261313409599	0.00843626298483921	0.0109464348645683	0.0522334287480448	0.0687798034264939	0.01775592881908	0.0143809137421435	0.00853526667332058	0.0274700834301327	0	0.019390165167735	0.00837839133015091	0.020156288902136	0.0250991426236979	0.0252460455606837	0.00988632688444523	0.0300292258962217	0.0293671501487845	0.0197093461189624	0.0188321187755217	0.0242119620998041
OM1_C_3E_2	0.00666783833572404	0.00506474997476907	0.0101654271754782	0.00631607754157148	0.0202437342658352	0.00550318347586792	0.00776150962921551	0.00262994284094859	0.00406445279154412	0.0109545235088786	0.00844435184418446	0.0715984064493985	0.0881290602383489	0.00163443156859682	0.00500973595290092	0.0108555214337121	0.00808141281091196	0.019390165167735	0	0.0110123941594878	0.000766227644716579	0.00570994208156	0.00585687564536185	0.00950447006877152	0.0106412125532768	0.00997895826601645	0.000319223280886529	0.000558117100730603	0.00482258279003313
OM1_C_3E_3	0.00434466652733143	0.0059477593144517	0.000846999878009993	0.00469642997468653	0.00923205369355557	0.0165152299284076	0.00325098094518994	0.00838253559148051	0.00694804930667882	5.78730728360984e-05	0.00256812517508315	0.0606025965383828	0.0771426956830449	0.00937802118892599	0.00600277313961269	0.000156879231610032	0.0190932164885693	0.00837839133015091	0.0110123941594878	0	0.0117785872935794	0.0167219709460697	0.0168688918115654	0.00150797884913483	0.0216527246988225	0.0209905506623613	0.0113316036086389	0.0104542993670963	0.0158346848223387
OM1_C_3F_2	0.00743405278638168	0.00583096975734407	0.0109316252520674	0.00708229327921086	0.021009848839186	0.0047369627802026	0.00852771965833272	0.00339616810726309	0.00483067520873062	0.0117207169927943	0.0092105587903337	0.07236325732343	0.0888932035188777	0.00240065816843381	0.00577595589420478	0.0116217155119829	0.00731520093089574	0.020156288902136	0.000766227644716579	0.0117785872935794	0	0.00494372196190438	0.0050906559489169	0.0102706717377153	0.00987501294132449	0.0092127551440124	0.000447004402277562	0.00132434454870062	0.00405636035949364
OM1_H_1B_1	0.0123776166182852	0.0107745837304933	0.015875049105611	0.0120258688682547	0.0259526350891165	0.000206760867948418	0.0134712442255896	0.00833984137020796	0.00977431600235211	0.0166641034703061	0.0141540567631694	0.0772973916801516	0.0938226151773395	0.00734434981142748	0.0107195714316235	0.0165651067958016	0.00237150884318131	0.0250991426236979	0.00570994208156	0.0167219709460697	0.00494372196190438	0	0.000146935274500192	0.0152141252562606	0.00493137487316255	0.00426910093108275	0.00539072221924438	0.00626805223398602	0.000887367797864077
OM1_H_1B_2	0.0125245439696678	0.0109215129894852	0.0160219713863198	0.0121727966606467	0.026099535799021	0.000353696138502457	0.0136181701252758	0.00848677302536322	0.00992124631893773	0.0168110244348286	0.0143009816947027	0.0774440220362495	0.0939691010035016	0.00749128227209302	0.0108665007514349	0.0167120279289319	0.00222457383873658	0.0252460455606837	0.00585687564536185	0.0168688918115654	0.0050906559489169	0.000146935274500192	0	0.0153610485906534	0.00478444080760847	0.00412216655818364	0.00553765596666141	0.00641498545176496	0.00103430302548013
