	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1E_2	0.00514872021466645	0.0264931364319211	0.0049772764922079	0.0209445860821884	0.02842382161093	0.0447831513021612	0.0515405546009563	0.0230573345502332	0.011145845987637	0.00939934194679864	0	0.0150890226473626	0.0228533823479132	0.0120267427874202	0.0144883916871082	0.0550818541727867	0.00914688824927394	0.00930789761021965	0.00577726976331686	0.019076069532006	0.0130009529112157	0.0212295397958195	0.0314224106670291	0.0252789176975508	0.0138686097852272	0.0287572911799411	0.00182651065732813	0.00444210723218552	0.0171068079956739	0.00145682610369853	0.0133750574921369	0.0192439162479684
OM1_C_1E_3	0.0102183148944343	0.0413197643415802	0.0109837653142814	0.00586699708853533	0.0133375717663736	0.0297034190411117	0.036551160652039	0.0381306833031035	0.00745448054213563	0.0230919114948713	0.0150890226473626	0	0.00778153714567873	0.00334143605096875	0.00342110238012377	0.0400847299353197	0.0242005873619638	0.00739271183370785	0.00940132075541491	0.0043496321721701	0.00633059431032915	0.006357292278325	0.0164282409181714	0.0104610050413225	0.0111457991192864	0.0437970937375842	0.0163392722108728	0.0167445398153289	0.0320785241276571	0.0145657953121881	0.00481843185349464	0.00467620058987904
OM1_C_1F_1	0.0178988434995611	0.0490790243891016	0.018562953772346	0.00216433132599789	0.00562217318950261	0.0219553333738836	0.0287850010192125	0.0458695544249903	0.0138348986521288	0.030770566274417	0.0228533823479132	0.00778153714567873	0	0.0108943698273191	0.00956151015050686	0.0323152698222484	0.0319370399547434	0.0148375840405601	0.0171822115055668	0.00464183219440361	0.0120308223323447	0.00307487160350445	0.00903165468267521	0.00331522983555127	0.016697876609451	0.0515077520912557	0.0241193286905883	0.0244375285461644	0.0398551945713563	0.022345766754302	0.0107543350032438	0.00416553545084138
OM1_C_2A_1	0.00700676620813955	0.0384433050968203	0.00769314776277564	0.00911656879361526	0.0165072345638434	0.0328432413162257	0.0395254063130579	0.0349973274336493	0.00461181125195797	0.020486007823734	0.0120267427874202	0.00334143605096875	0.0108943698273191	0	0.00495850198283623	0.043069214747324	0.0210601985686839	0.00581288757377443	0.00655487966378576	0.00768148260154393	0.00423068197829124	0.00969548185911256	0.0197066592529749	0.0132593230396991	0.0112146006027437	0.040626032977812	0.0134088515871326	0.0141698730852783	0.0291140219613652	0.0116599603247138	0.00308356222074377	0.00722933088435216
OM1_C_2A_2	0.0102626485027186	0.0399942657016258	0.0112719189941449	0.0074051690442569	0.0146684205827059	0.0308601369600653	0.038064776248123	0.0373899907483753	0.00956857877532514	0.0214894133226778	0.0144883916871082	0.00342110238012377	0.00956151015050686	0.00495850198283623	0	0.0415598421594188	0.0235936672610813	0.00551498513430948	0.00875013034268784	0.00504211598134359	0.00899609097049776	0.0071538134661527	0.0172324832628639	0.0126752157488964	0.00782729087743231	0.0431439200018142	0.0154208687384678	0.0152397211616015	0.0309766217188145	0.0136670734527749	0.00759683036142422	0.00756561905910681
OM1_C_2F_1	0.0500340893222131	0.0813366499338216	0.0505697718113343	0.0343437139640872	0.0269063565383675	0.0111380584534332	0.00355289527976241	0.0779538789446781	0.045071267967168	0.0629948068380704	0.0550818541727867	0.0400847299353197	0.0323152698222484	0.043069214747324	0.0415598421594188	0	0.0640652121864633	0.0470190538945379	0.0494734638684	0.0365360687003263	0.0430774475799007	0.0344106661508892	0.0246563177346675	0.0298495855910594	0.0473744573358955	0.0834856176470668	0.05640096607514	0.0566945475315926	0.0721143615525222	0.0546325091074002	0.0421910951895831	0.0358783071661883
OM1_C_2G_1	0.0140607729414594	0.0181269262878482	0.0135323460872548	0.0300634558148491	0.0375269759642084	0.0538736093329939	0.0605206299445431	0.0139427635326033	0.0193898959691464	0.00728629886829103	0.00914688824927394	0.0242005873619638	0.0319370399547434	0.0210601985686839	0.0235936672610813	0.0640652121864633	0	0.0182702486315564	0.0149221981950027	0.0282203785131312	0.0213725634113919	0.0303725773391981	0.0405605207386997	0.0342453525651776	0.0217641101078337	0.0196155185370996	0.00825113772576465	0.00959574953648939	0.00867818174237691	0.00995329436548112	0.0220273310201267	0.0282179447198045
OM1_C_2G_2	0.00612022307271632	0.0344841156831725	0.00729278514852536	0.0127290388003046	0.0201240209596592	0.0363641966552581	0.0435137254210632	0.031965648953667	0.00890561589339678	0.0159989216344936	0.00930789761021965	0.00739271183370785	0.0148375840405601	0.00581288757377443	0.00551498513430948	0.0470190538945379	0.0182702486315564	0	0.00398545243088067	0.0104948030186992	0.0095273155213059	0.0126388304275854	0.0227464616501403	0.0177620351802128	0.00637583564651444	0.0377412742578767	0.0100325551761109	0.00972656080987052	0.025476738629801	0.00832029484590809	0.00875444843691646	0.0120661677377557
OM1_C_2H_1	0.00229599078894083	0.0319474192503638	0.00345981731313319	0.015224207331481	0.0227150783860756	0.0390751694130566	0.0459386652595321	0.0288124803190081	0.00732400898355773	0.0139452179351028	0.00577726976331686	0.00940132075541491	0.0171822115055668	0.00655487966378576	0.00875013034268784	0.0494734638684	0.0149221981950027	0.00398545243088067	0	0.0133048991404568	0.00870691175063883	0.0154618418493191	0.0256597432005949	0.0197517093055713	0.00989469980242207	0.0345258916176222	0.00693843515360044	0.00766458294383874	0.0226804556427073	0.00516540954859589	0.00857764365781886	0.0137512298635962
OM1_C_2H_2	0.014401412732887	0.0449457607840269	0.0152388786145242	0.00249408171547983	0.00963479705306563	0.0258949894582428	0.0330347319920679	0.0421069625391462	0.0116630883825015	0.026491734356766	0.019076069532006	0.0043496321721701	0.00464183219440361	0.00768148260154393	0.00504211598134359	0.0365360687003263	0.0282203785131312	0.0104948030186992	0.0133048991404568	0	0.0102750311107749	0.00216452055472463	0.0123627577832679	0.00790149730368454	0.0120819417272892	0.047819180176114	0.0201754679996099	0.0202062207399821	0.0358473017264395	0.0184019714674438	0.00877610675821194	0.00436948306092856
