	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1D_3	0.0369955256134155	0.0307902719282219	0.016109286820416	0.122422964905997	0.177168176446787	0.179076279401335	0.0145292986520322	0.0375835286656096	0.00220924372542101	0.0268336900508226	0	0.0160278338943549	0.0288424279554122	0.0243199089947152	0.0127338023533847	0.0278901032366144	0.00983399508777161	0.00964314276045956	0.0122193366192545	0.00595834335170081	0.0303331045756258	0.0435273843554245	0.031941773044344	0.0350183699226399	0.0249100133777077	0.00882918617916117	0.0205394112274108	0.0132335932086438	0.0245781951937057	0.0278987117643372	0.00982954384718791	0.0360819816320432	0.0326352755653072	0.00721553751194764	0.0196274677887089	0.0113299938365131	0.0263531062289925	0.0304826371711685	0.0168851965329317	0.0186090239286164	0.0309834430154353	0.00487926622153435	0.0307773521780419	0.0220510046963388	0.0080197073018802	0.0319270740728074	0.0359235262271822	0.0292844636513134
OM1_C_1E_1	0.0223576247367506	0.0154324637424604	0.000569473977980756	0.106649138675025	0.161667998612127	0.163809652958198	0.0045896111226096	0.0215813452689018	0.0172293795575818	0.0110768162465137	0.0160278338943549	0	0.0139038891239712	0.00929385621673622	0.00390888706640294	0.0120727920129734	0.0106842125256944	0.0148009524836406	0.00383385752218551	0.0110903250918368	0.0145471742787221	0.0283567598450449	0.0160564309452115	0.0197259038631127	0.00898385868835056	0.00745618471439157	0.00479647521226301	0.00915850067963157	0.00878230805241778	0.0130394156775177	0.00636669102827187	0.021786676226859	0.0168219536145172	0.00973392167542998	0.00371282671679855	0.00487472093005025	0.0103898060444352	0.0146380365290877	0.00267606733921276	0.00708630255575279	0.0149991131639727	0.0112804323221447	0.014784465996553	0.00611065099748239	0.00987987378155665	0.0465996348926001	0.0505800357880016	0.0428995936216415
OM1_C_1E_2	0.00845521199942354	0.00243414943679105	0.0135585749590188	0.0940039973523269	0.148743040184518	0.150598432911925	0.0143325944653387	0.0128801404872065	0.0304206131699536	0.0103825624814923	0.0288424279554122	0.0139038891239712	0	0.00463702356038024	0.016233698420884	0.0101108144375133	0.0245565182523922	0.0286737606607214	0.0171293131867924	0.0230805519763519	0.00418264190590505	0.0146974946741786	0.00571224044725942	0.00623501188707079	0.00631126767927286	0.0200646325150639	0.00918777840916538	0.0225545234058982	0.00585111298341615	0.0142541706999627	0.0199838184857691	0.00798355838813952	0.00562072667354514	0.023445362459909	0.0103706817816943	0.0177367067148832	0.00877896112852519	0.0105907087985716	0.0121498964316062	0.0177338873157656	0.00640454379883829	0.024531676781816	0.00895469987781601	0.00840847201710017	0.0237337308527061	0.0602639683397	0.0642561066155877	0.0567427081476481
OM1_C_1E_3	0.0130771367336158	0.00647893747691675	0.00893235345601564	0.0983390012435163	0.153162668822179	0.155092252528055	0.00988616298527902	0.0152578090392301	0.0258471056037101	0.0087557138297988	0.0243199089947152	0.00929385621673622	0.00463702356038024	0	0.0116448085183195	0.00899575526443038	0.0199694494427701	0.0240875041419795	0.0124996019797482	0.0186406603852583	0.00653191529405489	0.0192813956842778	0.00832276049706876	0.0107083761854734	0.00363749275551437	0.0155092051452457	0.00467630483755865	0.018109858045012	0.00275221296394156	0.0126079376493204	0.0153493497078411	0.0125004811812536	0.00875391284613964	0.0188101888919083	0.00587179278942225	0.0131342068298356	0.00706641917111579	0.0105618789338303	0.00753030012856751	0.0137606234692647	0.0080380821368206	0.0199347218167456	0.00951549537225082	0.00430951372492256	0.0191008721308866	0.0556456178690454	0.0596373270317316	0.0521118794140148
OM1_C_1F_1	0.0245516426351153	0.0180923971351017	0.00373920524228571	0.109770108120587	0.164619385547815	0.1665913768048	0.00259493150533804	0.025179554370974	0.0142048112976804	0.0149202837292765	0.0127338023533847	0.00390888706640294	0.016233698420884	0.0116448085183195	0	0.0158868497486494	0.00972646946169454	0.0136020026518312	0.00153708542647268	0.00736415601037475	0.017611283540553	0.0309178472236072	0.0192428797818828	0.0223491324640972	0.012262134543027	0.00390847229994864	0.00786219249335549	0.00958997551786468	0.0118748922908713	0.0169398819236354	0.00412986919877938	0.023773233857723	0.0199156152556892	0.00748674750141132	0.00706021058245274	0.0015313228933104	0.0141168043448934	0.0184238759365688	0.00415301977396045	0.00999995138183872	0.0183572839515232	0.00829984470591257	0.0184362151959916	0.00944755623913463	0.00809606165434901	0.0440773390418447	0.0480758919995361	0.040738068906511
OM1_C_1F_2	0.0163252003793449	0.00944207201006413	0.0121539822941884	0.09567656563772	0.151037194090323	0.153574861666167	0.0154811466498168	0.00994948312245921	0.0288471840519568	0.00110215287626222	0.0278901032366144	0.0120727920129734	0.0101108144375133	0.00899575526443038	0.0158868497486494	0	0.0205603793518933	0.0243561205675125	0.0158752195273791	0.023161246510646	0.00696148832991051	0.0201594702757803	0.00717216941033867	0.012512184541763	0.00543020789268535	0.0195217505386757	0.00870749097478553	0.0174989189683948	0.00632679397060077	0.00418063774341578	0.018064051330699	0.0166494671469425	0.00818667936102677	0.0210557602342621	0.00904009175557446	0.0169462529864435	0.00205412233034144	0.00259440659514745	0.0123597422028896	0.0112389814518901	0.00549301411253612	0.0230359253371414	0.00341645332564342	0.00705887164696488	0.0207868698374456	0.0570529281203432	0.0609595903324041	0.052745192454767
OM1_C_1F_3	0.0330057773729716	0.0259492582293054	0.0110872841231847	0.116125720715768	0.171300648004808	0.17369238592603	0.0123211850001525	0.0305065026564031	0.00966381915843514	0.0194584595492652	0.00983399508777161	0.0106842125256944	0.0245565182523922	0.0199694494427701	0.00972646946169454	0.0205603793518933	0	0.00411905964249054	0.00827253503066423	0.0094053623467704	0.024759459276826	0.0388245332977927	0.0260755944045582	0.0302171357218113	0.0191635948004233	0.00792953626925156	0.0153785762375524	0.00358568995186	0.019160266043185	0.0195366224304927	0.00573880533324025	0.032465079201593	0.0269432220834544	0.00375792551617517	0.0142111871864576	0.00839988271704228	0.0194815962639451	0.0230824077604743	0.0128740236512083	0.00979889051758298	0.0247768504342482	0.00607743412472212	0.0238262401860808	0.0164132239234137	0.00248857224570959	0.036554263970751	0.0404891678367489	0.032488795997877
OM1_C_2A_1	0.0371214324573729	0.030049852857297	0.0151978024107803	0.119889757641666	0.175094944725314	0.177566487551954	0.0161780920256084	0.0342769948016608	0.00855970392618864	0.0232565901709421	0.00964314276045956	0.0148009524836406	0.0286737606607214	0.0240875041419795	0.0136020026518312	0.0243561205675125	0.00411905964249054	0	0.0122181989220104	0.0115519499790258	0.0288144771116474	0.0429080215731249	0.0300935370311747	0.0343104860132641	0.0232327516343074	0.0111771664139941	0.0194946133681167	0.00688107724152147	0.0232527817402155	0.0229757195923087	0.00949094755434689	0.0365815175318964	0.030976705445554	0.00655414371940075	0.0183246538097586	0.0121814206927731	0.0233949719003225	0.0268293283438312	0.0169484880798897	0.0132869375941074	0.0287573922759484	0.00782636097204521	0.0276788072777134	0.0205066876518924	0.0055881921812498	0.0327251174601106	0.0366277577510138	0.0284858070135568
OM1_C_2A_2	0.0255224379097612	0.0188676206531332	0.00389070888082183	0.110347339384971	0.165278974802117	0.16733760263352	0.00409031259469089	0.0254120699850616	0.0135051367250925	0.0148606451138334	0.0122193366192545	0.00383385752218551	0.0171293131867924	0.0124996019797482	0.00153708542647268	0.0158752195273791	0.00827253503066423	0.0122181989220104	0	0.00732311356894169	0.018195697806794	0.0317604105244494	0.0197639373573168	0.0231519176368985	0.0127078155835007	0.0036571387979665	0.00837243845549941	0.00805735238666744	0.0124191587242086	0.0165461088065558	0.00288146037391164	0.024810878485867	0.0204898882273339	0.00634193537420223	0.0074154516966356	0.00117493317498448	0.0142210161006711	0.0184505341852882	0.00498931044048463	0.0089202884587331	0.0187708049501128	0.00754342035853857	0.0186176248410551	0.00984038594372706	0.0068014838369615	0.0431594678642475	0.0471525325354206	0.0396769082106687
OM1_C_2A_3	0.0311312705584187	0.0251153229786783	0.0110339217200584	0.116877603242454	0.171545638880679	0.173361659816782	0.00876032706414726	0.0325401797259892	0.00790648302346234	0.0221620013617449	0.00595834335170081	0.0110903250918368	0.0230805519763519	0.0186406603852583	0.00736415601037475	0.023161246510646	0.0094053623467704	0.0115519499790258	0.00732311356894169	0	0.0248498797553849	0.0377369886823934	0.02652161054862	0.0292939209887767	0.0196007924913481	0.00367109286367934	0.0152002434307116	0.0117243744160145	0.0191719996194649	0.0238203837634553	0.0059308871829015	0.0301816023458963	0.0271525269294538	0.00564923001314819	0.0144239382099895	0.00621851129793332	0.0214461600942686	0.0257223006296413	0.0114015043510764	0.015423997696863	0.0256928541908607	0.00372809828360353	0.0257906584272211	0.0168060806483145	0.00691886307093717	0.037881165937992	0.041877623638472	0.0351359805371654
OM1_C_2F_1	0.00945167924718724	0.00258439963356931	0.0143476928022833	0.092251208418408	0.147296914521108	0.149435666337139	0.016186366157203	0.00896170518428689	0.0316971071754977	0.00757523412153057	0.0303331045756258	0.0145471742787221	0.00418264190590505	0.00653191529405489	0.017611283540553	0.00696148832991051	0.024759459276826	0.0288144771116474	0.018195697806794	0.0248498797553849	0	0.0141777172043552	0.00180159396336232	0.00582016338238652	0.00561136111213116	0.0215187931561131	0.00982400791828818	0.0222621366740715	0.00577869248960243	0.0111037508954333	0.0209018423756437	0.009692252986915	0.00230523659857829	0.0242764196556501	0.0108359814162973	0.0190108133681233	0.0063313467696981	0.00675370438093433	0.0134746535046488	0.016662747586573	0.0022431812361748	0.0257375070471548	0.00497336017027878	0.00845136548442459	0.0243486472202586	0.0610874095124698	0.0650557537287011	0.0572222748507039
