	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1B_3	0.0209969623453961	0.0479309311466967	0.0158899375081	0.0314987757087614	0.0193698659930226	0.0493064891308339	0.0740775730434133	0.0775295236484485	0.0196006838952392	0.0557071440213041	0	0.0157977345205655	0.0430315380701791	0.0500290550881941	0.0574219150101541	0.0444239569422795	0.0129544071201031	0.0175610224497721	0.0910415381628294	0.013954414317285	0.0162057196788823	0.00283838855913262	0.0496032418481686	0.0530073682730013	0.0860608203049207	0.0185359287356575	0.00640921302065142	0.00920213479572807	0.0383608887224233	0.0566253732020841	0.0747532683886594	0.109446720177475	0.0176656852529855	0.02080454546579	0.0324175396551065	0.0849870398020746	0.0824035644104441	0.115731757918675	0.116429514029187	0.109410240253518	0.0522931800862304	0.0568381736051079	0.0696422521239584	0.0729300786189645	0.0637754266665612	0.13701766437552	0.0552539841894698	0.0531349480411277	0.0677194165783109
OM1_C_1D_2	0.0078700892012954	0.0372359087015167	0.00525728419264367	0.0197623768220035	0.0155682805820072	0.0356159263477637	0.0614124731414121	0.064451846652976	0.0247653698736468	0.06527596734818	0.0157977345205655	0	0.0325834573231059	0.037005411700726	0.0435663256601534	0.0368402227635887	0.00477161547028319	0.00930421329740178	0.0782127144849958	0.025363745184042	0.0304521321422078	0.0175662275356783	0.0364910653712331	0.0400686795002759	0.0743562405648194	0.0269808772428868	0.00969242502279577	0.0167047878027561	0.025729207100205	0.0461649123649938	0.0622191845576122	0.097088176571682	0.0314831095074686	0.0355635606211694	0.0467807948372765	0.0718352797472577	0.0702147514750854	0.101536326057807	0.10300840012546	0.0978826378524417	0.0387934446664932	0.0449675005857084	0.0570067110198357	0.0589597831101858	0.0509201658240557	0.123513954356483	0.042919546776525	0.0409356352012759	0.0558082816795323
OM1_C_1D_3	0.0255311875264583	0.0103263693700393	0.0290982671889764	0.0130087804942373	0.0254005557384932	0.0156372236972053	0.0324381818618637	0.0374316554621114	0.0572389297825515	0.0972685922360178	0.0430315380701791	0.0325834573231059	0	0.0129779700164181	0.0220070437665416	0.00937841492632215	0.0340431835364508	0.0260769169913377	0.0497286144585969	0.0553589579006861	0.0587441467439437	0.0437651197688957	0.0142864414795428	0.0155897341582609	0.0448844859022985	0.0587987501355341	0.0386469101477694	0.0369996356129255	0.00980051399657289	0.0151480097165132	0.0328244097275744	0.067747354476272	0.0598881994298852	0.0631620702384539	0.0748215795124546	0.0450492844808932	0.0418017164930548	0.0760774983644617	0.0754413975946007	0.0677991246078355	0.014767016200604	0.0150495358012711	0.0290478772589571	0.0346406124047743	0.0231320244679038	0.0972748745174485	0.0165715660198969	0.0127103468843648	0.0273958710165203
OM1_C_1E_1	0.0300342979595592	0.0107685489427831	0.0345785572170021	0.0194238021256899	0.0331664625915209	0.00432974648864123	0.0248073456632771	0.0277590016938068	0.0611881951237726	0.101478091467309	0.0500290550881941	0.037005411700726	0.0129779700164181	0	0.00966272269283207	0.0207057230138335	0.0388255358430921	0.0325813686619729	0.0416451964972131	0.0607759941979477	0.065485884385251	0.0508974197920329	0.00398992585610466	0.00433318517531831	0.0389269882458525	0.0633812573750243	0.0447395249737762	0.0457669852756834	0.0118898714637924	0.014424853628598	0.0255157163364911	0.0604008036722487	0.0662532322422533	0.0702791352104804	0.0817891530672509	0.0358629014629228	0.0338098947112056	0.0662796370307868	0.0668285446117585	0.0619004760147406	0.00504893572317118	0.00994075643993925	0.0206934804687285	0.0239179314951577	0.0141365553271684	0.0878294341442393	0.00766813676455925	0.00612128964347718	0.0206861471691517
OM1_C_1E_2	0.0367512435453099	0.0171388338753775	0.0416588704216417	0.0274845839603518	0.0415543169438192	0.00834613454576756	0.0202307592186697	0.0216521517495659	0.0668627581709202	0.106857336067393	0.0574219150101541	0.0435663256601534	0.0220070437665416	0.00966272269283207	0	0.0288965705651285	0.0455224937568473	0.0403747596590918	0.0354504085465405	0.0673894834081603	0.0724088742793834	0.0582767366661059	0.00868906429212856	0.00692966558141333	0.0340109761091801	0.0693749780017642	0.0517450117312253	0.0538745459170309	0.0200007946055276	0.0183823168060846	0.0214348628268434	0.0545151623681242	0.0730953351640873	0.0773700402629729	0.0889876098729868	0.0286600676268785	0.0283989879488396	0.0587903019185007	0.0598072993747333	0.0566664157454558	0.0091517915428386	0.0128562382742824	0.0155978841827631	0.0158460409578537	0.0107269174019129	0.0801914531211886	0.00885050677977423	0.0109755131496511	0.0169798215010364
OM1_C_1E_3	0.0298686108339217	0.013324686623338	0.0325092866084868	0.0187034855969969	0.0265322525592779	0.0236407913262647	0.0356135715935019	0.0412309487860998	0.0606828639058052	0.0996511427789639	0.0444239569422795	0.0368402227635887	0.00937841492632215	0.0207057230138335	0.0288965705651285	0	0.0374145936384942	0.0290018977903849	0.0521042108446499	0.0571686209210696	0.0594155748058214	0.0446924250599088	0.0214724372618062	0.0221275265926488	0.045525301781779	0.0614483139447558	0.0409729428115711	0.0374167816594036	0.0177489157026618	0.0159012639055303	0.0358071110952908	0.0689417020533325	0.0606387830799718	0.0633953848683576	0.0751025663260061	0.0481786777417151	0.0436837465614989	0.0800403120410152	0.078012901126568	0.0677195543438314	0.0228288332537959	0.019254414506918	0.0324318028195469	0.0400081277189376	0.0278838611762573	0.0997846383597235	0.02156018062687	0.0183667983362298	0.0295181807025525
OM1_C_1F_1	0.00941786610916018	0.038046009105274	0.00520438294057249	0.0215867264721266	0.0139352336014511	0.0375749034646126	0.0632759010206639	0.0661621335401481	0.0236685369199145	0.0634915056314067	0.0129544071201031	0.00477161547028319	0.0340431835364508	0.0388255358430921	0.0455224937568473	0.0374145936384942	0	0.00897929621321957	0.0799991955384234	0.0223044712081981	0.0273857878648712	0.0142109800213443	0.0381794558664839	0.0417189888866211	0.0757562005413145	0.0249251048591059	0.00691784899940667	0.014937485709717	0.0275083579893627	0.047189245938049	0.0640626750053459	0.0986692592281645	0.0281648536984959	0.0324684777260159	0.0438618743113421	0.0735850748430827	0.0715206189318528	0.10389056925072	0.105049755017002	0.0992260352730178	0.0411031006323659	0.0465605832001082	0.0586614883426061	0.0611445190772787	0.0527644113222971	0.125284988354462	0.0442936188634266	0.042546184011308	0.0571423442665733
OM1_C_1F_2	0.00694734463109214	0.0310994571012833	0.0047543291690211	0.0144753769086516	0.0066501264050777	0.0321347343279333	0.0567433582324642	0.0601427379459151	0.031998025050885	0.0714879621350205	0.0175610224497721	0.00930421329740178	0.0260769169913377	0.0325813686619729	0.0403747596590918	0.0290018977903849	0.00897929621321957	0	0.0737823106057181	0.0293846722166972	0.0334056877063227	0.0185855278633151	0.0324105255661145	0.0357046681858441	0.0692562709550634	0.0329996737021887	0.0129780571797005	0.0144139507640916	0.0210061009582355	0.0397351438219637	0.057376269373319	0.0922349468880438	0.0343891584512726	0.038072687070272	0.049528042610642	0.0678790543276733	0.0652403283542725	0.098546123989016	0.0991954769375059	0.0925742349652263	0.034983898228672	0.0395344484146548	0.0524242520120693	0.0558426059907454	0.0463748045141619	0.119969811542805	0.0380126071600124	0.0358043799919395	0.0507754966175566
OM1_C_1F_3	0.0710299469942863	0.0441107988395763	0.0757388312899213	0.0600575094109938	0.0735984027705377	0.0428815124224797	0.0174430123860791	0.0155080859520064	0.101987670921961	0.141871822784467	0.0910415381628294	0.0782127144849958	0.0497286144585969	0.0416451964972131	0.0354504085465405	0.0521042108446499	0.0799991955384234	0.0737823106057181	0	0.101801981689256	0.106139895782023	0.0916745087886583	0.0418994903776033	0.0383922961812158	0.0120432798511119	0.104285889923711	0.0858039593139051	0.0861274752723669	0.0529901088385181	0.0366999552135945	0.0172257465044978	0.019370960225757	0.10692749631784	0.110851881777304	0.12265024096421	0.00849310833148211	0.0116564846194241	0.0299205367548225	0.0261768688727473	0.0230015752807172	0.0400693750441924	0.0348099040190553	0.0214974316506658	0.0213977452605356	0.0276192480167331	0.0480897203700393	0.0360594742701259	0.0381145454180293	0.0243712551583262
OM1_C_2A_1	0.0316414533594948	0.05922901621077	0.0269586002789862	0.0434646507710078	0.0311862157028247	0.0595717685248903	0.0852206146406188	0.0878044980304768	0.0124219979189281	0.0431014159379298	0.013954414317285	0.025363745184042	0.0553589579006861	0.0607759941979477	0.0673894834081603	0.0571686209210696	0.0223044712081981	0.0293846722166972	0.101801981689256	0	0.00904673994626088	0.0135958574196165	0.0601268887955443	0.0636070177805633	0.0972492746641875	0.00785121607868803	0.0174862726168457	0.0229120977717121	0.0495848150660879	0.068335592353754	0.0859629792752808	0.120209449877769	0.007979527025321	0.0132949569206785	0.0225477025791567	0.0953062398957754	0.092886148990647	0.125579984711764	0.126851502286647	0.12054274643412	0.0632751516081905	0.0683475711506735	0.0804878699036612	0.0830860422033296	0.0747161231964089	0.146526436409912	0.0659800267426399	0.0644221618503405	0.0787076686087398
OM1_C_2A_2	0.0361017860497204	0.0628589777858741	0.0312798990097116	0.0472639233125539	0.0345309668790896	0.0645135443384832	0.0894444110408435	0.0926688701714166	0.0180618967006472	0.0421211022768692	0.0162057196788823	0.0304521321422078	0.0587441467439437	0.065485884385251	0.0724088742793834	0.0594155748058214	0.0273857878648712	0.0334056877063227	0.106139895782023	0.00904673994626088	0	0.015059469751879	0.0647444299161218	0.0682090422036491	0.100781568098802	0.0130377987113594	0.0212649650557791	0.0235120481745638	0.053927234667833	0.0717575885047988	0.0901882261023094	0.124410552983157	0.00357742991008342	0.00534853031396476	0.0177400967868905	0.0998261638703077	0.0972198319607089	0.130855305724766	0.131492529118474	0.124071115471268	0.0679078093711313	0.072290402871568	0.0847383393654315	0.0879880386502689	0.0791674215422802	0.15154658160446	0.0703361973988854	0.0685353557880313	0.082548354659246
OM1_C_2A_3	0.0221277284320054	0.0482709346448208	0.0170944488176987	0.0324925791589826	0.0196989005209676	0.0502179968406865	0.0747983743382708	0.0782331516120493	0.020692806313667	0.0555929136803887	0.00283838855913262	0.0175662275356783	0.0437651197688957	0.0508974197920329	0.0582767366661059	0.0446924250599088	0.0142109800213443	0.0185855278633151	0.0916745087886583	0.0135958574196165	0.015059469751879	0	0.0503616828615005	0.0537418540552536	0.0864266170844888	0.0189081265225965	0.00799105456999945	0.00984795521785656	0.0392700628233818	0.0570101591591369	0.0754790209842908	0.109949498421269	0.0164145471376972	0.0195545668658569	0.0315114633094444	0.0856033247799476	0.0828374632991679	0.116706305789953	0.117171924116461	0.109720180754228	0.053340720130906	0.0575050079339853	0.0702565516283631	0.073819696039752	0.0645465573086262	0.137626790953321	0.0558346869413594	0.0538292765418418	0.0681439577638393
OM1_C_2F_1	0.0292897543902212	0.0100480754950516	0.0340354623538045	0.0193583094882337	0.0332283750612532	0.00331711861442487	0.0254464189963273	0.028308776746587	0.0604308515573053	0.100581066922431	0.0496032418481686	0.0364910653712331	0.0142864414795428	0.00398992585610466	0.00868906429212856	0.0214724372618062	0.0381794558664839	0.0324105255661145	0.0418994903776033	0.0601268887955443	0.0647444299161218	0.0503616828615005	0	0.00378227702817632	0.0386622799694697	0.0625839372216502	0.0441493528947155	0.0456421300862212	0.0118453182771284	0.0151210700615855	0.0264065713698624	0.0607459231243075	0.0655139018558053	0.0696028373818935	0.0813386549212764	0.0356042990848975	0.0338997735336401	0.066758176999501	0.0671066721490934	0.0619523151880287	0.00698039466120452	0.0111326000030219	0.0206599207116085	0.023774198562524	0.0149483887443223	0.0878089302682025	0.00718307073233305	0.00695152453545457	0.0201158622349001
OM1_C_2F_2	0.032877398695675	0.0105209343013072	0.0375367397701555	0.0225437172015064	0.0361654450286879	0.00568744961576067	0.0218910702062251	0.0247208891641196	0.0640723829427276	0.104205651240514	0.0530073682730013	0.0400686795002759	0.0155897341582609	0.00433318517531831	0.00692966558141333	0.0221275265926488	0.0417189888866211	0.0357046681858441	0.0383922961812158	0.0636070177805633	0.0682090422036491	0.0537418540552536	0.00378227702817632	0	0.0353523139740434	0.0661908154529824	0.0476567774546216	0.0488230241670185	0.0150298084670326	0.0129856295673963	0.0227882513363916	0.0571619145504853	0.0689539250839768	0.0730175184260703	0.0846991733317968	0.0323009211671956	0.0303195582295393	0.0635474244285636	0.0637167748051669	0.0584792229440647	0.00664715023902152	0.00832864573725031	0.0171799645801857	0.0208830066566189	0.0113431313101919	0.0845039551268582	0.00404195974109567	0.00494308052592527	0.0169173614118086
OM1_C_2F_3	0.0667807827158958	0.0385589235518422	0.0713247928161553	0.05565407957433	0.0685746121382254	0.040474766217833	0.016420547829122	0.0186060198058879	0.0983066743567653	0.137951836943346	0.0860608203049207	0.0743562405648194	0.0448844859022985	0.0389269882458525	0.0340109761091801	0.045525301781779	0.0757562005413145	0.0692562709550634	0.0120432798511119	0.0972492746641875	0.100781568098802	0.0864266170844888	0.0386622799694697	0.0353523139740434	0	0.100137758275579	0.0811104761480737	0.0806912892616923	0.0491295547822608	0.030822704614046	0.0165450034385305	0.0254291247537182	0.101703639409307	0.105318933146414	0.117444355543586	0.0130759601939231	0.0112675032640037	0.0409508439032494	0.0350547158270001	0.0238065546338158	0.0379236754143847	0.0306682914318844	0.0187401763517159	0.0234695708941959	0.0256340328061201	0.0560377422136741	0.0322823633832214	0.0341609403778449	0.0187869877312849
OM1_C_2G_1	0.0339364131509856	0.0627188459057137	0.0297605157503767	0.0462907886373861	0.036059687659607	0.061756716239957	0.0878290453163583	0.0903394960390782	0.00592666584514643	0.0386213343111382	0.0185359287356575	0.0269808772428868	0.0587987501355341	0.0633812573750243	0.0693749780017642	0.0614483139447558	0.0249251048591059	0.0329996737021887	0.104285889923711	0.00785121607868803	0.0130377987113594	0.0189081265225965	0.0625839372216502	0.0661908154529824	0.100137758275579	0	0.0206219436936694	0.0275141558207412	0.0522897618499053	0.0719716296477608	0.0886790317312885	0.122991891469696	0.012719435573164	0.0168228424348682	0.0243414000249444	0.0975460808376759	0.0958340914419818	0.127104273271782	0.128886567860928	0.123599045645307	0.0654736193912194	0.0713826325187177	0.0831015056960003	0.0848461215309876	0.0773046639322054	0.148478584941538	0.0688553999761666	0.0673133231674215	0.0815979301188934
OM1_C_2G_2	0.0150815025977945	0.0432283729316944	0.0101831373551548	0.0264755646686076	0.0165157044226941	0.0437171137418229	0.0689337501480841	0.0722374272871481	0.0202261634535549	0.0589772633751433	0.00640921302065142	0.00969242502279577	0.0386469101477694	0.0447395249737762	0.0517450117312253	0.0409729428115711	0.00691784899940667	0.0129780571797005	0.0858039593139051	0.0174862726168457	0.0212649650557791	0.00799105456999945	0.0441493528947155	0.0476567774546216	0.0811104761480737	0.0206219436936694	0	0.0105869488032276	0.033108294827376	0.0521717953639798	0.0696905690437072	0.104401254905227	0.0225123379354501	0.0262665497089276	0.0379634423849746	0.0795493962596362	0.0773408124161969	0.110103706808819	0.111013042302593	0.1045925029984	0.046895288211996	0.0519425763666949	0.064410441521362	0.0672577048732984	0.0585523043834794	0.131501754439474	0.0500823733520404	0.0480788993941843	0.0626582940440142
OM1_C_2G_3	0.0192983786917693	0.0428814026651142	0.0147394166834219	0.0267157481574793	0.014857234501939	0.0456697470420902	0.0689682598121203	0.0731531651536064	0.0280997997219019	0.0639496375830333	0.00920213479572807	0.0167047878027561	0.0369996356129255	0.0457669852756834	0.0538745459170309	0.0374167816594036	0.014937485709717	0.0144139507640916	0.0861274752723669	0.0229120977717121	0.0235120481745638	0.00984795521785656	0.0456421300862212	0.0488230241670185	0.0806912892616923	0.0275141558207412	0.0105869488032276	0	0.0340652734899182	0.0508734034517573	0.0695331137488833	0.104291436919527	0.0253848643469799	0.0273293235831803	0.038860462980108	0.0805914944520166	0.0776677204336525	0.111613022988783	0.111731632528494	0.103851680640699	0.0478594483662752	0.0515202039194253	0.0648757729369426	0.0689619873135076	0.0590156633733895	0.132956236321267	0.0507949840311613	0.0481792026714987	0.0627633965383277
OM1_C_2H_2	0.0185436120228208	0.0131421701506754	0.0229785246307479	0.00767650480920955	0.0222225318956169	0.0118092729213233	0.0359473478331854	0.03953239922055	0.0502913512694608	0.0906525987694559	0.0383608887224233	0.025729207100205	0.00980051399657289	0.0118898714637924	0.0200007946055276	0.0177489157026618	0.0275083579893627	0.0210061009582355	0.0529901088385181	0.0495848150660879	0.053927234667833	0.0392700628233818	0.0118453182771284	0.0150298084670326	0.0491295547822608	0.0522897618499053	0.033108294827376	0.0340652734899182	0	0.0211964018975293	0.0366786456865116	0.0717128804095674	0.0548697839294146	0.0587195736290679	0.0703951235940314	0.0471244161656571	0.0449895216497547	0.0778343850716448	0.0783132749748666	0.072507879587988	0.0142311411777517	0.0192674188073384	0.0317010566984101	0.0350551611443221	0.0255211673866633	0.0993971721496907	0.0176932542178623	0.0152478304482274	0.0306192714841675
