	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1F_1	0.00434683795992862	0.00927333410025762	0.0207352492338795	0.00748678038158615	0.0175195512864518	0.00990356846400402	0.00882703198479999	0.0146919575649037	0.0154916994039022	0.016717908855952	0.036982323273944	0.0345314211105803	0.0125647807812986	0.0163028058525896	0.00228886110312143	0.0244456145562283	0	0.00156492212542166	0.0290752339542178	0.0172082227901006	0.0129615992468897	0.0316683543669249	0.0824270132790428	0.0715594807373501	0.0754374736489409	0.00427914432141191	0.00837652584110641	0.0118703494850721	0.00941365027496955	0.027943396809672	0.0146255827564198	0.0239441853512462	0.0240484264414681	0.00720706682013436	0.00929672117724999	0.0135245071044125	0.0254513215488847	0.0323315045797059	0.0164758750998474	0.0133070637764485	0.0216581373754659	0.005635584449583	0.0051173868199674	0.0187352956931418	0.0152597431096728	0.0166921203212788	0.00606847921507542	0.00568303031474842	0.0122303027686004
OM1_C_1F_2	0.00539215071200264	0.0100437718819715	0.0212602124654519	0.0075979229911872	0.0181616421402127	0.0100877008334759	0.00907910132713959	0.0158982994961478	0.0160982105829064	0.0177611675672132	0.0377671560793102	0.0340099799579888	0.0117040520701352	0.0168112295035477	0.00332457820165186	0.0250048004412607	0.00156492212542166	0	0.0296205802714633	0.0180597251447573	0.0140744508036829	0.0322551039077294	0.0819076322848876	0.0709366026037867	0.0750290392352954	0.00475873863032268	0.00936493226508607	0.0126043547582182	0.00980544179058515	0.0285128595520982	0.0153633146615492	0.0246771427547236	0.0246393317606887	0.00750015066402122	0.010148447497112	0.0138971268936499	0.0261345426976269	0.0330838687131771	0.0173368496934657	0.0137213585692934	0.022280262079995	0.00547860622319998	0.00559943809760527	0.0195154897384304	0.0163880893358388	0.0170840127936632	0.00723995522247655	0.00538538444085402	0.0130595540546061
OM1_C_1F_3	0.024947047383459	0.0233212180884113	0.00909749950702978	0.0224251607388968	0.0119087038824879	0.0203548553370448	0.0211068009075332	0.0178379964301234	0.0136502374860026	0.014871624771308	0.0104191310028166	0.0634272408359612	0.0412174120537101	0.0128186690754125	0.0269443149986934	0.00465586813259761	0.0290752339542178	0.0296205802714633	0	0.0129366683262667	0.0180849795959295	0.00375149969034699	0.11095487279146	0.10038101881401	0.104090173951828	0.0249195760586323	0.0342690302395615	0.0175382566802576	0.0198649502440862	0.00346476609819178	0.0146491900799311	0.0066446405147916	0.00722199566593729	0.0221781791710264	0.0214522853956879	0.0158423433517376	0.00484717471164408	0.00793410323703568	0.013750512178931	0.016315467152901	0.00898168607018951	0.024706869840043	0.0242234853493717	0.013073136130683	0.0167279003239353	0.0127423005191431	0.0316164929874485	0.0249273186883839	0.0172657331303284
OM1_C_2A_1	0.0128748948209949	0.0128737013491215	0.00564543925572236	0.012087622548999	0.00455868748843557	0.00996198239855792	0.0102856973659794	0.00565729513483529	0.00432444584219095	0.00271728874288858	0.0197955875075627	0.0515414184200555	0.0296639051571414	0.00474424047082389	0.0151331897440911	0.00851684051751293	0.0172082227901006	0.0180597251447573	0.0129366683262667	0	0.00529753451145323	0.0150424511995414	0.0992562029986751	0.0886121488800204	0.0920847125490643	0.0133641599945829	0.0218328889821397	0.00656249023774748	0.00907360458062706	0.0115247445113471	0.00320705337856457	0.00792908480378258	0.00969323895381325	0.0113331602517998	0.010502095693805	0.00657882693508941	0.00927662093193688	0.0152917487532227	0.00385853637084381	0.00634884037008839	0.00568728881449098	0.0138240638151989	0.0129565079152735	0.00391159554161093	0.0051917882079292	0.00619827234473085	0.0192991054916436	0.0144409098818489	0.00572655284166687
OM1_C_2A_2	0.00868494319976057	0.00934921994285573	0.0106280285117907	0.00961856548318497	0.00763623850794697	0.00865494484403336	0.00837271687613307	0.0023506047320588	0.00640937763932732	0.0038467740502602	0.0246048042264435	0.04676774177234	0.0254407261184829	0.00759300725484579	0.0109383705514164	0.0136612589643022	0.0129615992468897	0.0140744508036829	0.0180849795959295	0.00529753451145323	0	0.0202740581327422	0.0943941662159692	0.0838900357890189	0.0871031316041906	0.00976294533348563	0.0166660818141992	0.00484689463243365	0.00721560623358976	0.0168142294026959	0.00456519507322226	0.0124350015409944	0.0137623738277313	0.00864610280166844	0.00701966502400619	0.00742542760696857	0.0140377014074089	0.0202117538557894	0.0054124791479946	0.00705932067161679	0.0108151705494397	0.01098847755459	0.00942815016833325	0.00769920292130891	0.00319945769823678	0.00891559023412848	0.0142392157179875	0.0115947418047271	0.00375860583134448
OM1_C_2A_3	0.027472254414288	0.0264035876801115	0.0111368194037715	0.0252934580041686	0.0149113534273581	0.0227516286812157	0.0235382000635266	0.0199445280559313	0.0164834698539555	0.016800441568454	0.0073471560817221	0.0661436620767709	0.0438176271684803	0.0156382610284889	0.0295940527648619	0.00749372943500128	0.0316683543669249	0.0322551039077294	0.00375149969034699	0.0150424511995414	0.0202740581327422	0	0.113801164182025	0.103072539686806	0.10682981851739	0.0275123141459165	0.0367930366659646	0.0203572826812737	0.0224966925120573	0.00385550508163925	0.017181955183735	0.00951939309597741	0.0107764501266376	0.0249169220976371	0.0243984725517391	0.0185368137641695	0.0078129333265911	0.0050259461829177	0.0164898035052932	0.018712381759419	0.0104459405369236	0.0272838817096334	0.0269886009067941	0.0143597077223797	0.0190671184936279	0.0157363220028766	0.0342051543503459	0.0277346855959956	0.0199592765192669
OM1_C_2F_1	0.0866111341530254	0.0881134234862979	0.10303620719669	0.088860937749978	0.0991772106212792	0.0918481473499053	0.0909054164955794	0.0953707045233276	0.0974386401202602	0.0981994063012858	0.118815714360088	0.0480842087570569	0.0708820201640334	0.0983237235495283	0.0844044494175927	0.10646377067806	0.0824270132790428	0.0819076322848876	0.11095487279146	0.0992562029986751	0.0943941662159692	0.113801164182025	0	0.0149564683946159	0.00951057701208744	0.086588254371123	0.0780489978661493	0.0936058248587316	0.0915983672942422	0.110171119094255	0.0967650006509474	0.105394824928137	0.104977004116848	0.0891538085074452	0.0897982669646836	0.0955955887897463	0.10703132775707	0.114395868369212	0.097871400486102	0.0955705815111534	0.103982541802294	0.0871498856170225	0.0869817709807254	0.100832701164005	0.0960124777304314	0.0984592885365095	0.0802797618399612	0.0865575462134547	0.0940406556335677
OM1_C_2F_2	0.0758234442466483	0.0781354464500567	0.0920910127631933	0.078083778605905	0.0887481463903643	0.0806496232359916	0.0797646285591112	0.0850816983900424	0.0868515045172691	0.0877089258343819	0.108291362834354	0.0372817279861545	0.0594826155109201	0.0876265112095505	0.0736680052759484	0.095819102556992	0.0715594807373501	0.0709366026037867	0.10038101881401	0.0886121488800204	0.0838900357890189	0.103072539686806	0.0149564683946159	0	0.012808362300021	0.075668942863584	0.0679431513807349	0.0831264368107599	0.0806916408404087	0.09933822329587	0.0861176863609984	0.0951394071005415	0.0948305959501424	0.0783119205096246	0.0795921763037856	0.0847179587229223	0.0967093484053045	0.103612142445135	0.0875876706459903	0.0845360808263474	0.0930207177351857	0.0760176758506768	0.0762665945838341	0.0898309224995262	0.085821993413196	0.0877648128411508	0.0700621048754347	0.0756441635648706	0.0835543817007147
OM1_C_2F_3	0.0795461377361096	0.0812174502174287	0.0960890724021194	0.0821327037131322	0.0922639652096992	0.085013244120689	0.0840371715035594	0.0879928743065808	0.0905240403406465	0.0908825201103796	0.111565596395908	0.0412177803239955	0.0641550954390951	0.091462759908418	0.0774166881621714	0.0995642214886686	0.0754374736489409	0.0750290392352954	0.104090173951828	0.0920847125490643	0.0871031316041906	0.10682981851739	0.00951057701208744	0.012808362300021	0	0.0796625929636964	0.0706128678691211	0.0866409508475294	0.084736111232092	0.103198776397878	0.089728996727879	0.0983922189009204	0.0981713579517418	0.082334125282495	0.0828361515923639	0.0887816167869977	0.100064222095227	0.107152370299889	0.0907969402512772	0.0886784641519101	0.0969206411366941	0.0803629904459849	0.0801079789525938	0.0936008158651294	0.0887232612064508	0.0917005975370217	0.0729754622164667	0.0798704388629139	0.087001881388031
OM1_C_2G_1	0.00198091543355789	0.0076044009059261	0.0165337446069501	0.0037987441659218	0.0135521040134375	0.00576970772892379	0.00467088867612308	0.011789715961284	0.011429887762357	0.0132722956577678	0.0330252366178883	0.0387147483872275	0.0164184615288902	0.0121349081934361	0.00264217962623934	0.0202886710646805	0.00427914432141191	0.00475873863032268	0.0249195760586323	0.0133641599945829	0.00976294533348563	0.0275123141459165	0.086588254371123	0.075668942863584	0.0796625929636964	0	0.0117791260846501	0.00809205268472756	0.00514826741788766	0.0237716212703969	0.0106401026738609	0.0200365425244247	0.020139234481945	0.00310333931623925	0.00665103543182007	0.00926866200821487	0.0214646434194213	0.0283488871309029	0.0128171161899157	0.00905694087336633	0.017546386245661	0.00238271806450008	0.00190670698523837	0.0148921630800969	0.0121767868390296	0.0125133262168793	0.00909424431721065	0.00303967404732319	0.00850886331051541
OM1_C_2G_2	0.0106122679559167	0.0126112180531506	0.0265267781482765	0.0146436486849615	0.0225655119313286	0.0173048366481034	0.0161773388420349	0.0174348043672739	0.0209493643798952	0.0203980643779117	0.041136652822137	0.0308223561085023	0.0131980291095148	0.0221187496636334	0.00925621972087793	0.0297648647552003	0.00837652584110641	0.00936493226508607	0.0342690302395615	0.0218328889821397	0.0166660818141992	0.0367930366659646	0.0780489978661493	0.0679431513807349	0.0706128678691211	0.0117791260846501	0	0.0170223205265791	0.0162500624490428	0.0332790240580297	0.0198330737033548	0.0283135565681377	0.0287168914219281	0.0143349330782607	0.0134873783982857	0.0200269419529505	0.0300335340933016	0.0368456609933215	0.0206471995267566	0.0198777701936396	0.0271029160085954	0.0137536896331152	0.0119885374321874	0.0237368934851366	0.0182230003298075	0.0227625051398938	0.00285551759154594	0.0135158682541762	0.0170944712282594
OM1_C_2G_3	0.00782704957162928	0.00669283613142863	0.0101915003317089	0.00617232561429386	0.00571831074228823	0.0065698501625368	0.00638637960845403	0.00638511653688663	0.00398983809177862	0.00692900566515267	0.0257168114234888	0.0460174255311202	0.0242787379639565	0.00522748202515318	0.00962568635003962	0.0130056468776847	0.0118703494850721	0.0126043547582182	0.0175382566802576	0.00656249023774748	0.00484689463243365	0.0203572826812737	0.0936058248587316	0.0831264368107599	0.0866409508475294	0.00809205268472756	0.0170223205265791	0	0.00433310926378332	0.0168452885324046	0.0035908576367548	0.0121198992109353	0.0122598808782832	0.00573398568762134	0.0043143463564826	0.00430821067915303	0.0136525953737656	0.0214576195634713	0.00487118302912931	0.00514454987534944	0.0112612344726943	0.0088109635557647	0.00708037130386358	0.00957603161491018	0.00569151802403861	0.00591520991209916	0.0142584022534448	0.00868281617835025	0.00113474298824943
OM1_C_2H_2	0.0057664614824189	0.00801585079823619	0.0115347835142831	0.00341069201887036	0.00885458377522044	0.00252186804004083	0.0021872594566859	0.00941595876807407	0.00662125016565642	0.00977573230930047	0.028277821005426	0.0437883083767581	0.0213726326996624	0.00710443272106512	0.00749184486604857	0.0152505567620303	0.00941365027496955	0.00980544179058515	0.0198649502440862	0.00907360458062706	0.00721560623358976	0.0224966925120573	0.0915983672942422	0.0806916408404087	0.084736111232092	0.00514826741788766	0.0162500624490428	0.00433310926378332	0	0.0187622943681302	0.00611648871243256	0.0153393522881437	0.0154092362999578	0.00254898649161174	0.00595569868646521	0.00412237097212978	0.0166383955386095	0.0236345115633809	0.00877783977136054	0.00411898047727016	0.0127325629097384	0.00498010829802419	0.00482102401375634	0.0107261582705153	0.00935880980854428	0.00745794238916742	0.0134603213267753	0.00549036473118772	0.00485607206830772
OM1_C_2H_3	0.0237673159517401	0.0231075328249269	0.00731239112143397	0.0216430891655231	0.0116112860529057	0.0189379307768156	0.0197329440042756	0.0167257164180117	0.01295682330431	0.0135033112293019	0.0104168165361188	0.0624401716374665	0.040038539239708	0.012050110010641	0.0259056587868416	0.00432169477599539	0.027943396809672	0.0285128595520982	0.00346476609819178	0.0115247445113471	0.0168142294026959	0.00385550508163925	0.110171119094255	0.09933822329587	0.103198776397878	0.0237716212703969	0.0332790240580297	0.0168452885324046	0.0187622943681302	0	0.013577067495638	0.00727466603061508	0.00884329347734797	0.0212170659517084	0.0209979282982263	0.0148338243678068	0.00587882134103629	0.0063385997246543	0.0132806105943827	0.0149130645554522	0.00665348945375799	0.0235068449977136	0.0233220419721647	0.0107259711472813	0.0159201952603703	0.0122312020641405	0.0306693515537468	0.0240408772189822	0.0164430321645643
OM1_C_3D_1	0.0103771188014474	0.0102200228538176	0.0068709687483488	0.00897509180801528	0.0037800525523565	0.00738260999830511	0.00763807644118797	0.00586985258336495	0.00205731885872897	0.00458013418851784	0.0224902466631712	0.049051972890605	0.0270475872220397	0.00303753981055879	0.0124921562224043	0.0100347172489312	0.0146255827564198	0.0153633146615492	0.0146491900799311	0.00320705337856457	0.00456519507322226	0.017181955183735	0.0967650006509474	0.0861176863609984	0.089728996727879	0.0106401026738609	0.0198330737033548	0.0035908576367548	0.00611648871243256	0.013577067495638	0	0.00958517210643758	0.010379777114132	0.00833099557006341	0.00781680732123048	0.00381062584365053	0.0109911692837553	0.0180403545042028	0.0034152608101454	0.00404693231383234	0.00773202589535362	0.0110151151758424	0.0100617841997738	0.00616309281748657	0.00521809161902031	0.00441579578627471	0.0171541834660521	0.0114134692452159	0.00300799359090261
OM1_C_3D_2	0.0197517668993302	0.0174617562747413	0.00706381661502212	0.0177447625628244	0.00662430640889334	0.0164483994137939	0.0169340007457769	0.0118511354701951	0.00873356750031815	0.00935867642309014	0.0143756503649001	0.0580236066113191	0.0363680891307824	0.0085181591545803	0.021717712630357	0.00407208456395239	0.0239441853512462	0.0246771427547236	0.0066446405147916	0.00792908480378258	0.0124350015409944	0.00951939309597741	0.105394824928137	0.0951394071005415	0.0983922189009204	0.0200365425244247	0.0283135565681377	0.0121198992109353	0.0153393522881437	0.00727466603061508	0.00958517210643758	0	0.00331761095348306	0.0174539460659141	0.0156774630577147	0.0117879978210185	0.00182743724799239	0.0112791885545603	0.00769715199208125	0.012470448193786	0.00715688173258677	0.0203145653599028	0.0191581512136442	0.00976059475518268	0.010521474490424	0.00885121027362861	0.0257404136319994	0.0203547779732879	0.0117423303352344
OM1_C_3D_3	0.0200759580091673	0.0170293296247914	0.00833702986180498	0.0173616333148385	0.006738408807439	0.0166559310082925	0.0171571163458441	0.0134310260439773	0.00894912370939696	0.0113453105116654	0.0162463284088022	0.0578025144304061	0.0362178767033476	0.00862981666690558	0.0218037607690189	0.00516489614627166	0.0240484264414681	0.0246393317606887	0.00722199566593729	0.00969323895381325	0.0137623738277313	0.0107764501266376	0.104977004116848	0.0948305959501424	0.0981713579517418	0.020139234481945	0.0287168914219281	0.0122598808782832	0.0154092362999578	0.00884329347734797	0.010379777114132	0.00331761095348306	0	0.0173254639666882	0.0155313796224902	0.0117873749153012	0.00365456395438679	0.0136261360888028	0.0084889130358749	0.0128915709423676	0.00914442627163058	0.0202654935390295	0.0190516137192666	0.0119527206923089	0.0118623169393932	0.00842486860059862	0.0260567314812081	0.0199818357108366	0.0121817281300234
OM1_C_3E_1	0.0041645300618166	0.00681672310189596	0.0140343036714864	0.0013631027773776	0.0108680377044192	0.00398888563527556	0.00312938784196601	0.0107354163113055	0.00875736783494945	0.0117086362891783	0.0306851313484926	0.0413889573424419	0.0190767891411453	0.00936855306481795	0.00530114660687602	0.0175914079554319	0.00720706682013436	0.00750015066402122	0.0221781791710264	0.0113331602517998	0.00864610280166844	0.0249169220976371	0.0891538085074452	0.0783119205096246	0.082334125282495	0.00310333931623925	0.0143349330782607	0.00573398568762134	0.00254898649161174	0.0212170659517084	0.00833099557006341	0.0174539460659141	0.0173254639666882	0	0.00536116338179801	0.00647431615047666	0.0188201636209082	0.0261073641027536	0.0105608564451023	0.00665520261043707	0.0152536512023549	0.00320448708404053	0.0024526084611549	0.0131521511143079	0.0107329615704604	0.00958460434856313	0.0115296907765966	0.00311641658138467	0.00639760348253222
OM1_C_3E_2	0.00605243277840721	0.00252706833039229	0.0144959543044839	0.00542936650239739	0.00955376541282515	0.00840256474231259	0.00769736493474061	0.00816518594349788	0.00817869799410756	0.0101000750758349	0.0295379782908808	0.0424294690809484	0.0214004451728427	0.00941290916409927	0.00704432297471742	0.0170455519864142	0.00929672117724999	0.010148447497112	0.0214522853956879	0.010502095693805	0.00701966502400619	0.0243984725517391	0.0897982669646836	0.0795921763037856	0.0828361515923639	0.00665103543182007	0.0134873783982857	0.0043143463564826	0.00595569868646521	0.0209979282982263	0.00781680732123048	0.0156774630577147	0.0155313796224902	0.00536116338179801	0	0.00805371312129232	0.0173190326372825	0.0254679950066839	0.00823655803157981	0.00882526346054606	0.0155322656864674	0.0081521955169384	0.00508156903302487	0.0135400505157528	0.0077268004101352	0.00984020938367779	0.0107253618246881	0.00728353354928775	0.00485375688758388
