	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1D_2	0.0392763493886109	0.0425448763346203	0.00413095791964533	0.0480400057098904	0.0399158504554504	0.0229183253382065	0.0166307906610367	0.0154489569248291	0.0536794084658868	0.0525399020867122	0	0.0372053588129595	0.0186844914929398	0.0277864396505299	0.0381164898127766	0.00955032843480094	0.0167493666434073	0.0542423917252692	0.0077907079054531	0.00280876826814364	0.0794832264544261	0.0479940871707329	0.0109317826947293	0.0246299775242627	0.0302654350056251	0.0351566738688219	0.0371810440921587	0.0158875719045361	0.00955965412702837	0.015106354819896	0.0559764735365934	0.00776520003117444	0.0291830054990339	0.0389546733593866	0.0136859065566168	0.0199361030229532	0.0110393661565973	0.0312955837230492	0.0091291823345859	0.00630138772959836	0.082562539977417	0.0148386407932471	0.018708330039041	0.0220150824496602	0.0156160959095985	0.0219979469365354	0.0451817247901126
OM1_C_1D_3	0.0742449737418779	0.0781372294191623	0.0370843109062652	0.0841728641470725	0.0747768499579664	0.0544020071866625	0.0252859773650132	0.0449934737817693	0.065520680802251	0.0164641949111239	0.0372053588129595	0	0.0275529960892638	0.0117833715410079	0.00823617289045611	0.034234769305888	0.0213195743251075	0.0182727180584055	0.0357308130920427	0.0345315660716092	0.0445889904745137	0.0831090520760274	0.0449063192321362	0.0589379043914983	0.0657447788150447	0.0700771153319242	0.0056187733932705	0.0229813864568762	0.0460790410704685	0.0222889356494645	0.0210257606275392	0.0339555523743397	0.0111506615910389	0.0104566580200338	0.0244129582499578	0.0263711181053141	0.026316154568717	0.00685336119284732	0.0361010860973199	0.0373840453089562	0.0527078108776048	0.0511048369665748	0.0189385820212206	0.0158955929786106	0.0468642341769801	0.0578275520687139	0.011895192842695
OM1_C_1E_1	0.053581043129526	0.0585938240465263	0.0167926561962325	0.0643535568535472	0.0542279049109807	0.0345568201916486	0.0109654352208778	0.0246942644911914	0.0614245794067391	0.0395489929479825	0.0186844914929398	0.0275529960892638	0	0.0161133411974316	0.0263539788588115	0.0147502279198512	0.0151878868831734	0.0418077549418624	0.0168506414115428	0.0173000884727059	0.0652903992512722	0.0624361214391579	0.0216593518435501	0.0372971539345819	0.0446933458025779	0.0503096976422557	0.0258453908189477	0.0173071314177657	0.0249957958163348	0.0121112004313182	0.0417575371828934	0.0145417693554636	0.0168761200045123	0.0261042665056984	0.0121148751528104	0.0111386952042354	0.0144050706485165	0.0239688145557698	0.0211823240898886	0.0227355011271011	0.0770235835073992	0.0319218586600231	0.0128621570997562	0.0130404267530047	0.0318752947413153	0.0397561232968522	0.031317469810375
OM1_C_1E_2	0.0644417727689797	0.0689436952675981	0.0269314818693906	0.0750714858596303	0.0650043607479154	0.0443274975781791	0.0144653625985727	0.0345497231536764	0.0607277215606684	0.0250012843305564	0.0277864396505299	0.0117833715410079	0.0161133411974316	0	0.0133533512266492	0.0236793309777222	0.0128642231184798	0.027776461698847	0.0255270223673837	0.0252365993323304	0.0530926323468316	0.0733871356941766	0.0341586661032691	0.0486089454360532	0.05581140520971	0.060574536797828	0.0100276617330327	0.0165243373842831	0.0360791433816052	0.0128880806787243	0.0284766354536097	0.0235566169864218	0.00149779014445511	0.0117270286094304	0.0146130474100669	0.0152269839675617	0.0177750426003454	0.00993351803377853	0.0270407188679148	0.028908002319892	0.0636499595326954	0.0417885849664595	0.00943837493678691	0.00607490504067559	0.0384606056217326	0.0491116518611944	0.0178489485236783
OM1_C_1E_3	0.0764304854210601	0.0802799961943556	0.0381462818350229	0.0859719676957379	0.0770196193649859	0.0569607296815319	0.0274412051341526	0.0472086201784995	0.0721956380812662	0.0170865769699092	0.0381164898127766	0.00823617289045611	0.0263539788588115	0.0133533512266492	0	0.0359848611900435	0.0241543184531333	0.0164774509642782	0.0375812081705193	0.0357006557182608	0.0415404314130291	0.0853205070455047	0.0456609405913896	0.0607771342725501	0.0676114746259279	0.0723982847648066	0.0107494916475587	0.02391027611107	0.0471428727640723	0.0237840811831959	0.0194919922763015	0.0354985257200839	0.0124441575937248	0.0139758617841668	0.0263254296597908	0.0284071019244018	0.027449737652201	0.0104499504994283	0.038855874760401	0.0395582976293707	0.0521150902634388	0.0527257923271602	0.0208990292641435	0.0170192634358159	0.0498918952684959	0.0595905343008028	0.00968549037925685
OM1_C_1F_1	0.0408979744217039	0.0458265321441643	0.00601016318642626	0.052148265968757	0.0414790999440897	0.0211615296300906	0.00971831091702093	0.0113879581942433	0.0490648003020269	0.0484042816913171	0.00955032843480094	0.034234769305888	0.0147502279198512	0.0236793309777222	0.0359848611900435	0	0.013797643863769	0.051374010931134	0.00262934680438061	0.00844197910597799	0.0765587050189093	0.0498636546255354	0.0114838747354379	0.0249557679462986	0.0322385320602654	0.0372189983945936	0.0328555855696573	0.0177936685656074	0.0136416738603667	0.0129577514797342	0.0519247672010474	0.00195678983756636	0.0249818687512867	0.0336107444092486	0.0102030008434455	0.0118189669881126	0.0122308707041385	0.0294832705701149	0.00743133693000587	0.0109106255136811	0.0834662898718109	0.0194978902725156	0.015554250983133	0.0190478448713701	0.01760411846695	0.0274103205211567	0.041386578005175
OM1_C_1F_2	0.0530295731935696	0.0569406493782309	0.0163945830297263	0.0630614420636132	0.0535729937152717	0.0336326765538022	0.0079214977686886	0.0244554596963315	0.0524484420620093	0.0367332028172377	0.0167493666434073	0.0213195743251075	0.0151878868831734	0.0128642231184798	0.0241543184531333	0.013797643863769	0	0.0391712776163475	0.0147850488977811	0.0139611351443201	0.0651113229602116	0.0619005831581889	0.0244706879048392	0.0378792090831364	0.0444853911627555	0.048842397609864	0.0210540910315728	0.0086827605231163	0.0251233923798708	0.00387196426263872	0.0408078982310775	0.0132991311388996	0.0143569616697225	0.0231851094305262	0.00419806021974686	0.0119577564597605	0.00736372257439924	0.0161013348508197	0.0148846091633261	0.0164449164116891	0.0700132854095206	0.0299458617333155	0.00400342152557264	0.0079434608651626	0.0259471683143177	0.036906156298473	0.0302941255612164
OM1_C_1F_3	0.0919122490520295	0.0959308991163602	0.0541115530381071	0.101812559154635	0.0924675566778868	0.0719268737854479	0.0421871186667698	0.0622569995089199	0.0816041374636789	0.00794427058464674	0.0542423917252692	0.0182727180584055	0.0418077549418624	0.027776461698847	0.0164774509642782	0.051374010931134	0.0391712776163475	0	0.0530825096101046	0.0517226477541571	0.026363497865926	0.100808496879751	0.0615705452326358	0.0762724517573175	0.0832773045249686	0.0878739670371638	0.0197384953464695	0.0397330038883792	0.0631833450605439	0.039505562193066	0.00793453471915788	0.0511110058659393	0.0265742473860611	0.0209400462372821	0.0417951721158817	0.0424294786107103	0.0434256365883269	0.0240611962886423	0.0540150040478283	0.0551407703756127	0.0430038978037152	0.0686210632199771	0.0362694710223247	0.0326111828026338	0.0649581874829939	0.0754280965774635	0.0113605564656785
OM1_C_2A_1	0.0390108362159168	0.0436407558073058	0.00446244589571207	0.0499143132496808	0.0395927250220243	0.0197118592977207	0.0118631491252691	0.0103982638273911	0.0484246441830908	0.0502826921857946	0.0077907079054531	0.0357308130920427	0.0168506414115428	0.0255270223673837	0.0375812081705193	0.00262934680438061	0.0147850488977811	0.0530825096101046	0	0.00702497183144732	0.0784354582267636	0.0479622560792067	0.0102837768040469	0.0233259472266231	0.0303090413972711	0.0351767175277868	0.0346433022287992	0.0180044756775194	0.011537740421642	0.0140760730795584	0.0539064297486087	0.00239531463838646	0.0268793004125453	0.0356354417890234	0.0114335857339761	0.0142977928803463	0.0124329120631014	0.0306834935987834	0.0054591673850837	0.008596674110414	0.084153306105255	0.01707321949022	0.0169521217830817	0.0206082815173893	0.0151675315281236	0.0249113226773663	0.0433197241539686
OM1_C_2A_2	0.0413645468732223	0.0447384480344464	0.00465778226372875	0.0503763834721512	0.0419836231036433	0.0242222176555189	0.0143406868105335	0.0161653084230517	0.0529690363137183	0.0499333202415064	0.00280876826814364	0.0345315660716092	0.0173000884727059	0.0252365993323304	0.0357006557182608	0.00844197910597799	0.0139611351443201	0.0517226477541571	0.00702497183144732	0	0.0771143112619616	0.050134460178779	0.012805180120297	0.0265697030172017	0.0324299690643586	0.0371897875829561	0.0345120015329205	0.0135306751459591	0.0119511176193508	0.0124649908723769	0.0534779585859897	0.00654878357291416	0.0266555913401941	0.0363524097047864	0.0110307258326108	0.0179386571338095	0.00847607720259899	0.0286517306316958	0.00808802272224796	0.00599635421852219	0.0803070581099043	0.0170569229808363	0.0160448288609655	0.0194633745469493	0.0164447410209599	0.0241863880965896	0.0427030283225384
