	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_2	OM1_C_1D_1	OM1_C_1D_2	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3F_1	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_2F_3	0.0365784125511161	0.0811742535587302	0.0383925678276517	0.0494020183106943	0.0486929857130102	0.0491410586145591	0.00919085335290867	0.0278881263031462	0.0151235061817889	0.0382530900139178	0.0224929244220404	0.014023020316291	0.0426696990456022	0.0426395658695421	0	0.0340553759764065	0.0180579730678042	0.11424081791808	0.00645031964678922	0.0351883318734291	0.0485314117065744	0.0367479482957669	0.0131562721642263	0.0264680987210439	0.00820455910021499	0.0668049261654859	0.0222660176064078	0.0251418118856654
OM1_C_2G_1	0.0122709791370216	0.0472010526446592	0.0179029681219498	0.0183062415718587	0.0158933565300091	0.0170316020632355	0.0420995780349686	0.00703097290046588	0.0364975993501108	0.00813181801937011	0.0156672549935098	0.031237927259028	0.0132153188555119	0.0139734114198572	0.0340553759764065	0	0.0235926055559099	0.120234744091571	0.0404407980350229	0.0243278328268991	0.0145867146974041	0.00774474820170937	0.0247644686761036	0.0076592378801906	0.0373385709576116	0.0351422895159243	0.0172187228418957	0.0210047321788127
OM1_C_2G_2	0.0208253231356875	0.0689572830894132	0.0212123752457829	0.0343091106610106	0.0347870785882208	0.0346753446295514	0.0224905313465228	0.0165927802356554	0.0132305216897106	0.0243175568859748	0.00796984496398128	0.00812280960903122	0.0275671132797715	0.0272202467626994	0.0180579730678042	0.0235926055559099	0	0.127142421161286	0.0227796742482705	0.0171352115906065	0.0362016884346842	0.0227480294120213	0.00504035379798829	0.0168358691526759	0.016589760172962	0.0511496927087716	0.00660548814082549	0.00717208923345919
OM1_C_2H_1	0.131984498216981	0.140296073816755	0.137221610376216	0.136118726654339	0.132011135137056	0.133946358379462	0.11913311266254	0.12133963381926	0.129280456008841	0.128258448712017	0.125003709811901	0.127319146764547	0.132988748222424	0.13389432065872	0.11424081791808	0.120234744091571	0.127142421161286	0	0.115157759325069	0.14045505599654	0.127305907806889	0.127917096673651	0.122817893790942	0.118956290669296	0.121971638199807	0.148090218889892	0.126244900267163	0.131671570266068
OM1_C_2H_2	0.0423698216484703	0.0875575797437905	0.0437490086324867	0.0554073361491181	0.0548782796438804	0.0552508218423928	0.00419473430271812	0.0341601112638434	0.0158664243620788	0.0443758022319714	0.0282348387943154	0.0168740743042024	0.0486399978496952	0.0485473975672228	0.00645031964678922	0.0404407980350229	0.0227796742482705	0.115157759325069	0	0.0396643978946542	0.0548694462237495	0.0428494304726714	0.0182856034385601	0.0328282305897106	0.00790639515082282	0.0727382274210041	0.0277994498164469	0.0299466599087185
OM1_C_2H_3	0.0134612035459021	0.0602180409240755	0.00909898765060282	0.0241908023479775	0.0267652476204225	0.0256768677379354	0.0388106008802686	0.0201222749705033	0.0269192697356111	0.0192537222888105	0.0157578019219886	0.0233164181401232	0.0189703793580766	0.0180292103165464	0.0351883318734291	0.0243278328268991	0.0171352115906065	0.14045505599654	0.0396643978946542	0	0.0304618884567608	0.0182664792461855	0.0221021394484104	0.0222297364628233	0.0327663398091795	0.0383553448351861	0.0147929950600952	0.0101841801576699
OM1_C_3E_1	0.0173681433123214	0.0329845774515261	0.0215160210790499	0.00989289335786121	0.00533149527315619	0.00739898179938806	0.0563134830757839	0.0208048088214178	0.0494179233995783	0.0121757195598444	0.0283771892975422	0.0442474162189884	0.0116506045625359	0.0127181652582551	0.0485314117065744	0.0145867146974041	0.0362016884346842	0.127305907806889	0.0548694462237495	0.0304618884567608	0	0.0136661509023704	0.0383708043024528	0.0220779831461471	0.0512687295121203	0.0223024208493593	0.0296024717951545	0.0316509799854887
OM1_C_3E_2	0.00499570405364699	0.046249003811764	0.0105923081560276	0.012766461047264	0.0121708502131042	0.0124143225207002	0.0438052358721613	0.00938283697343815	0.0359589092358257	0.00157610967484558	0.0151538176472419	0.0308560359266818	0.00635421846952642	0.00678062158656538	0.0367479482957669	0.00774474820170937	0.0227480294120213	0.127917096673651	0.0428494304726714	0.0182664792461855	0.0136661509023704	0	0.0254133027225416	0.0115888775321529	0.0384292521819494	0.0302383600544526	0.0161984203633213	0.0179971783671294
OM1_C_3F_1	0.0243052648330541	0.0713043548411771	0.0254745608280307	0.0376077076905933	0.0375787757526254	0.0377032274119945	0.018557259481376	0.0178127846373454	0.0121515237497378	0.0269833374077509	0.0103045012181197	0.00707326797233629	0.0308106187569461	0.0306083920233871	0.0131562721642263	0.0247644686761036	0.00504035379798829	0.122817893790942	0.0182856034385601	0.0221021394484104	0.0383708043024528	0.0254133027225416	0	0.0173349790170711	0.0130225439283975	0.0547743730975853	0.00960835039527352	0.0119950909910203
OM1_C_3F_2	0.0139031285736222	0.0548332011984222	0.0185879026413621	0.024159372356309	0.0226333942773071	0.0233971961172296	0.0344455876361846	0.00249091722856455	0.029296047339402	0.0128290817085962	0.00938268840740599	0.0240487847144812	0.0179425499255696	0.0183141008368179	0.0264680987210439	0.0076592378801906	0.0168358691526759	0.118956290669296	0.0328282305897106	0.0222297364628233	0.0220779831461471	0.0115888775321529	0.0173349790170711	0	0.0297250922215104	0.0415260343476576	0.0110809922727617	0.015987372012471
OM1_C_3F_3	0.03718139573495	0.084180954302623	0.0377860502685996	0.0505627507101589	0.0505891651227101	0.0507061034964402	0.00604819075132101	0.0305522837928003	0.00797850507612012	0.0399979341689437	0.0233163073436719	0.00948862389265549	0.0437738275324436	0.0435304042615944	0.00820455910021499	0.0373385709576116	0.016589760172962	0.121971638199807	0.00790639515082282	0.0327663398091795	0.0512687295121203	0.0384292521819494	0.0130225439283975	0.0297250922215104	0	0.0676084282061445	0.0225039297634702	0.0235554325238894
OM1_H_1G_1	0.0304869398393524	0.0258671427534634	0.0305145838531309	0.0174764018931731	0.0192800084330282	0.0181796503398365	0.0732959248602914	0.0395308305885709	0.0636718963539845	0.028820713334684	0.044574250196723	0.0590591837780807	0.0241647603795728	0.0242279942602708	0.0668049261654859	0.0351422895159243	0.0511496927087716	0.148090218889892	0.0727382274210041	0.0383553448351861	0.0223024208493593	0.0302383600544526	0.0547743730975853	0.0415260343476576	0.0676084282061445	0	0.045183330391361	0.0446926037681672
OM1_H_1G_2	0.0147059263587744	0.0623999341320788	0.0161496068677073	0.0280751599745518	0.0283033103459405	0.0282881842412095	0.0281533189668234	0.0103445259718853	0.0198297383638764	0.0177727077914046	0.00170350222396732	0.0146739598950616	0.02128511781645	0.0210377420999465	0.0222660176064078	0.0172187228418957	0.00660548814082549	0.126244900267163	0.0277994498164469	0.0147929950600952	0.0296024717951545	0.0161984203633213	0.00960835039527352	0.0110809922727617	0.0225039297634702	0.045183330391361	0	0.00557823898419081
OM1_H_1G_3	0.0149768742895229	0.0638213056401903	0.0143471553395642	0.0283448747181767	0.0294476570020294	0.0290378806747229	0.0295313901557902	0.0147045289228288	0.0190094558639074	0.0194810445466534	0.00709813197603537	0.0144782839833602	0.021806629803067	0.0212802721243981	0.0251418118856654	0.0210047321788127	0.00717208923345919	0.131671570266068	0.0299466599087185	0.0101841801576699	0.0316509799854887	0.0179971783671294	0.0119950909910203	0.015987372012471	0.0235554325238894	0.0446926037681672	0.00557823898419081	0
