	OM1_B_B_1	OM1_B_B_2	OM1_B_C_3	OM1_C_1A_2	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1F_2	0.00255675021333456	0.0153534048033372	0.00587327582739276	0.0152553235521939	0.00265548938763925	0.022935432461055	0.000100637471056756	0.000110978523212525	0.122315397660526	0.015042880411108	0	0.0163315205233993	0.0117184661439593	0.0165375276342372	0.0108008655072995	0.0320460095115414	0.00863019807062177	0.00799618205633773	0.0131398227283102	0.0158932829174884	0.0108969642677883	0.00157046565429061	0.0311613476082595	0.00619480503019787	0.0304002859952402	0.00680024793085456	0.00211178065070747	0.00651010192269522	0.0178215149409985	0.0140187147045576	0.00394916250090518	0.00317234790077843	0.0119034079263027	0.00577679901763738
OM1_C_2A_1	0.0137749800661954	0.0316820527496654	0.0104586111403716	0.00107629539487198	0.0189867103923031	0.00660482372822991	0.0164321481580335	0.016442488192891	0.138550223462635	0.00128875631056338	0.0163315205233993	0	0.00461337785148306	0.000206027548739041	0.00553101229286104	0.0157175360078699	0.0249604425378206	0.00833573652468065	0.00319194893294658	0.0322217799336886	0.0054349104657359	0.0179018190751081	0.0148326217813856	0.0225254979985371	0.0140713508762383	0.0231308358733182	0.0142199186802477	0.0228407407315589	0.00149015382568097	0.00231300006364247	0.0123826494658691	0.0195035009600675	0.00442842803172074	0.0105550852378193
OM1_C_2A_2	0.00916181580825395	0.0270701134459326	0.00584533693585287	0.0035370889438026	0.0143737931887569	0.0112180747774652	0.0118190985495736	0.0118294390765917	0.133966836332533	0.00332462884111249	0.0117184661439593	0.00461337785148306	0	0.00481940370700046	0.00091764306910906	0.02033036409866	0.0203479193915726	0.00372241133940552	0.00142143664097814	0.0276098939244737	0.000821540204632778	0.01328884298954	0.0194455036639187	0.0179127999906514	0.0186842768352866	0.0185181795098979	0.00960677197636764	0.0182280642599293	0.00610351615667734	0.00230038684851388	0.00776943455718355	0.014890613179485	0.000184951212877468	0.00594181371040774
OM1_C_2A_3	0.0139809930215198	0.0318880044431206	0.0106646302222534	0.00128232283826537	0.0191927104037905	0.0063987994185738	0.0166381550189145	0.0166484950280022	0.138754862244939	0.00149478371235538	0.0165375276342372	0.000206027548739041	0.00481940370700046	0	0.00573703742631511	0.0155115272452668	0.0251664227632536	0.00854175866219934	0.00339797565501606	0.0324277290498749	0.00564093568079231	0.0181078221138063	0.0146266109408288	0.0227314869245837	0.0138653383463244	0.0233368227178957	0.0144259306884548	0.0230467285803748	0.00128412642322603	0.00251902716805492	0.0125886651938611	0.0197094994681855	0.00463445401732783	0.0107611041647588
OM1_C_2F_1	0.00824419809395217	0.026152705959524	0.00492770355225307	0.00445472668830493	0.0134562148766444	0.0121356716476985	0.0109014986738681	0.0109118392794488	0.133054915145869	0.00424226714471153	0.0108008655072995	0.00553101229286104	0.00091764306910906	0.00573703742631511	0	0.0212478598157465	0.01943040830728	0.00280477178482204	0.00233907858787013	0.0266924960333052	9.61028908835158e-05	0.0123712549920664	0.0203630117325995	0.0169952586697324	0.0196017950925261	0.017600645342351	0.00868915692206247	0.0173105266342314	0.00702114472430296	0.00321802741771132	0.0068518093708103	0.0139730397544999	0.00110259421327366	0.00502418067893744
OM1_C_2F_3	0.0294901475869582	0.0473909201358014	0.0261745480270524	0.0167937252328711	0.0347004162705297	0.00911306748113484	0.0321466089217759	0.0321569460499276	0.154149588101639	0.0170061635989331	0.0320460095115414	0.0157175360078699	0.02033036409866	0.0155115272452668	0.0212478598157465	0	0.0406720961852734	0.0240520999075743	0.0189091308599546	0.0479304018139787	0.0211517729723914	0.0336158545569345	0.000884992091444557	0.0382380365416404	0.0016463224807884	0.0388431606343757	0.0299349734454291	0.0385531684560991	0.014227506906996	0.0180302912890089	0.0280981552704769	0.0352170451591652	0.0201454410617166	0.0262710015165911
OM1_C_2G_1	0.0111868593065333	0.00672352549044466	0.014503208521893	0.0238843816152897	0.0059747579294749	0.0315633572741688	0.00852956326719499	0.00851922248534762	0.113726968009991	0.023671964457626	0.00863019807062177	0.0249604425378206	0.0203479193915726	0.0251664227632536	0.01943040830728	0.0406720961852734	0	0.0166259655562203	0.0217691267185072	0.00726344123484423	0.0195264979391575	0.00705976684572612	0.0397876364673522	0.00243543980005322	0.0390267446956626	0.00182998869913759	0.0107419081660422	0.00212013892008599	0.0264502363883412	0.0226479199812766	0.0125792059369885	0.00545790390049422	0.0205328424785319	0.0144067378186187
OM1_C_2G_2	0.0054394722335299	0.0233485541699244	0.00212294249861199	0.00725946513766731	0.0106515894971433	0.0149402557593485	0.00809681716350046	0.00810715796966453	0.130267136138567	0.0070470081164819	0.00799618205633773	0.00833573652468065	0.00372241133940552	0.00854175866219934	0.00280477178482204	0.0240520999075743	0.0166259655562203	0	0.00514383798391223	0.0238883715107448	0.00290087438923239	0.00956660416163578	0.0231672929581012	0.014190732813175	0.022406110368515	0.0147961390345433	0.0058844374881404	0.0145060108662325	0.00982584529710567	0.00602277923689178	0.00404706600359011	0.0111684273347182	0.00390736156490155	0.00221942033206306
OM1_C_2G_3	0.010583201971059	0.0284911521004184	0.00726675142540528	0.00211565622487126	0.0157951119475054	0.00979669598194972	0.0132404538322297	0.0132507942248949	0.135379250357799	0.00190319551606377	0.0131398227283102	0.00319194893294658	0.00142143664097814	0.00339797565501606	0.00233907858787013	0.0189091308599546	0.0217691267185072	0.00514383798391223	0	0.0290309170580932	0.00224297588211941	0.0147101780766349	0.0180242523725498	0.0193340571271546	0.0172630106910452	0.0199394248266025	0.0110281534749201	0.0196493152875572	0.00468209451447546	0.000878951266486577	0.00919083399659894	0.0163119237366218	0.00123648554777359	0.00736322753656826
OM1_C_2H_2	0.0184497637238407	0.000539925122640708	0.0217658276149888	0.0311458778297644	0.0132379938674183	0.0388235837388149	0.0157926545137952	0.0157823143865613	0.106494076886924	0.0309334912899495	0.0158932829174884	0.0322217799336886	0.0276098939244737	0.0324277290498749	0.0266924960333052	0.0479304018139787	0.00726344123484423	0.0238883715107448	0.0290309170580932	0	0.0267885740207877	0.0143229455105879	0.0470461485015153	0.00969881980694441	0.0462854308607968	0.00909338680908419	0.0180048464545278	0.00938352859265357	0.0337113436452993	0.0299095910306524	0.0198419976282206	0.0127211649554869	0.0277947936544455	0.0216693660315345
