	OM1_B_B_1	OM1_B_B_2	OM1_B_C_2	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_1F_3	OM1_C_2A_1	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_3	OM1_H_1G_3
OM1_C_1F_1	0.029363114859769	0.0499798268927559	0.0582212781886	0.152739809865068	0.093456267629038	0.0907470313164301	0.105089965730672	0.0916331571413709	0.105055000707131	0.0287825372107011	0.0327279203779465	0.101896487391883	0.0987748319282305	0	0.0134454468558512	0.0039401548918843	0.0148503147582286	0.00230659247420334	0.0514209242678848	0.0391477043187183	0.0416767680164429	0.0332268318404155	0.037829300924424	0.0374579543395562	0.0401080324334105	0.0497983657407713	0.0179756298513611	0.035319213205301	0.0222614663801341	0.00544703170134032	0.0228667919324447	0.00284122593627937	0.0156600340906147	0.0208150790403912	0.0190553791032062	0.0143422598064583	0.00505853935632746	0.0090707579026771	0.0244059948953515
OM1_C_1F_2	0.04180515956106	0.0611030617667776	0.0709966536160151	0.16352159556462	0.104585970016113	0.102178560088339	0.116644921721801	0.103595489838821	0.11656141914266	0.0411394627864414	0.0442920481589259	0.11331916646958	0.110482872117943	0.0134454468558512	0	0.0110307128571853	0.0254214896724233	0.0153810022723482	0.0633138346613821	0.0510091283021327	0.0535163142517678	0.045146558968005	0.0496626153363244	0.0499229344810486	0.0518260565971001	0.0613347562623119	0.029936407688325	0.0470975822408597	0.0332958156529473	0.01808653726025	0.0352068104394605	0.0111629949707635	0.00509917439380978	0.0294495809686446	0.00933859667528586	0.00190655085954653	0.0152871696825699	0.00754811884856158	0.0127916429172496
OM1_C_1F_3	0.0308118284714867	0.0505847381482885	0.05998871034598	0.153300335235583	0.0941371687724373	0.0915945508851808	0.10602521511605	0.0928080538868429	0.105961648617305	0.0301596850081051	0.0335448451748083	0.102751183794954	0.0997957753975691	0.0039401548918843	0.0110307128571853	0	0.0148674576065747	0.00487515056266094	0.0525009586751492	0.0401817750489186	0.0427020835279091	0.0342852063992228	0.0388409453763067	0.038937703858696	0.0410489546269159	0.0506471183307125	0.0189984874447002	0.0362866418472297	0.022677607515207	0.00936464312581795	0.0242162225842817	0.00131690126363873	0.0143377887066036	0.019932032202357	0.0182402858976561	0.0123249819222034	0.00436314308504427	0.0053030881764016	0.0230984545348312
OM1_C_2A_1	0.0171784262375605	0.035762081736651	0.0463718944834365	0.138578964013343	0.0793492618149848	0.076863970094392	0.0913476460418604	0.0782927368106825	0.0912691590066875	0.016410407304733	0.0189033794212153	0.0880314249347915	0.085165266533488	0.0148503147582286	0.0254214896724233	0.0148674576065747	0	0.0126575608126303	0.0379678404208946	0.0256824558207057	0.0281722444093258	0.0198910753246859	0.0243312491585793	0.0250941828593429	0.0264514992401893	0.0359377325997976	0.0056184173710726	0.0217586616269669	0.00787732810092897	0.0157583782823902	0.0108384817854133	0.015364681593471	0.0291799512162525	0.00684173944479321	0.0330985234192879	0.0269489343480767	0.0105540854809181	0.0181289691304041	0.0378927659931702
OM1_C_2A_3	0.027086749251812	0.0476784947327739	0.056007460663254	0.15045865040952	0.0911589716773437	0.0884504105609943	0.102799055689757	0.089352445914811	0.102763103214776	0.0264986329196474	0.0304226010374184	0.0996024325653905	0.0964861352311176	0.00230659247420334	0.0153810022723482	0.00487515056266094	0.0126575608126303	0	0.0491246863579194	0.0368465063274029	0.0393758486086757	0.0309249530138251	0.0355270315504945	0.0351903965835487	0.0378043790888985	0.0474947292104127	0.0156693714213612	0.0330152407155338	0.0199817810532365	0.00524639570728829	0.0205757205306003	0.0042707747251286	0.017875027823647	0.0188008903280182	0.0213386305830028	0.0164047352190424	0.00371605271076855	0.0101667590376005	0.026644203620092
OM1_C_2F_1	0.0222581414098455	0.00653671057613067	0.0126197194646958	0.102146825198027	0.0425674253864082	0.0395301332088131	0.0538174000852598	0.0403977701898455	0.0537998884016406	0.0227435887088919	0.0190741817733487	0.050681435730764	0.0474614742611861	0.0514209242678848	0.0633138346613821	0.0525009586751492	0.0379678404208946	0.0491246863579194	0	0.0123304999205695	0.00981235192573313	0.0182393484043592	0.0136739135392035	0.0145924334690072	0.0115258618652252	0.00355222275845216	0.0335545226731103	0.0162374799373335	0.030130543967436	0.0496520612566007	0.0285861264309712	0.0527388840233779	0.0667615621298005	0.0355688361525498	0.0704115588392017	0.0647667474709462	0.0481485800708088	0.0560801478829791	0.075534434258844
OM1_C_2F_2	0.010333119826099	0.0117445019296828	0.0217402811923638	0.114096193939804	0.0545385698457452	0.0516984244230981	0.06606485268542	0.0527150380057375	0.0660296168166466	0.0106824392809274	0.00685690547678116	0.0628713373511385	0.0597521926689737	0.0391477043187183	0.0510091283021327	0.0401817750489186	0.0256824558207057	0.0368465063274029	0.0123304999205695	0	0.00253106048267836	0.00592486474991525	0.0013518035869706	0.00487576504399578	0.00134133229501896	0.0107963117993019	0.0212372876533334	0.00392497331898997	0.0178844746648904	0.0375890690587407	0.0163628320654902	0.0404258381966036	0.0544549222318785	0.0237807649299696	0.058127434254046	0.0524559107028905	0.0358273009368968	0.0438004525350444	0.0632324420958889
OM1_C_2F_3	0.0127787656237038	0.00954054853825054	0.0197178520896057	0.111599916522301	0.0520297958980753	0.0491732237251934	0.0635385332131999	0.0502014207470774	0.0635035575460523	0.013165400194183	0.00929601867302233	0.0603464170236438	0.0572264536821378	0.0416767680164429	0.0535163142517678	0.0427020835279091	0.0281722444093258	0.0393758486086757	0.00981235192573313	0.00253106048267836	0	0.00845586524009742	0.00386411418116981	0.00631445142230765	0.00185558457122348	0.00832398134872606	0.0237659243481333	0.00642569279705087	0.0203518885478124	0.0400931220565681	0.0188859982333013	0.0429514561767579	0.0569780595898941	0.0260780349192719	0.0606539131410649	0.054969779544828	0.0383467968415885	0.0462912719482534	0.0657534537507091
OM1_C_2G_1	0.00496137666160842	0.0172545646665779	0.0268187243234073	0.119939104224463	0.0604150543579708	0.0576089569164661	0.0719771149296146	0.0586038075340831	0.0719412190882401	0.00506411368765327	0.00220036879779419	0.0687805649319776	0.0656640412968488	0.0332268318404155	0.045146558968005	0.0342852063992228	0.0198910753246859	0.0309249530138251	0.0182393484043592	0.00592486474991525	0.00845586524009742	0	0.00460944877446309	0.00602349513550292	0.00693037156216645	0.0166511493622075	0.0153194250132732	0.00221295248203261	0.0122061928174227	0.0317440586608785	0.0104717093353797	0.0345141363652571	0.0485484712607434	0.0186344030882224	0.0522119525135703	0.046574768855743	0.0299341625635053	0.0379863254453922	0.0573307623593361
OM1_C_2G_2	0.00916724598496615	0.012835636879877	0.0229898289702063	0.115367492960089	0.0558190156659783	0.0530064933882394	0.0673853807871293	0.0540583742005156	0.0673467647294193	0.00946614800772757	0.00551518693100279	0.0641816935230253	0.0610821892697285	0.037829300924424	0.0496626153363244	0.0388409453763067	0.0243312491585793	0.0355270315504945	0.0136739135392035	0.0013518035869706	0.00386411418116981	0.00460944877446309	0	0.00479764912797042	0.00236353910292503	0.0120550291473599	0.0199055343266862	0.00257323795805395	0.0165336254160566	0.036324058720719	0.0150722792893776	0.0390911196358451	0.0531194970891357	0.022473067782826	0.0568012691295753	0.0511123630988321	0.0344853456856158	0.0424502209243154	0.061896386906421
OM1_C_2G_3	0.00813125426677262	0.0157676923753559	0.0212877114212981	0.116616862573099	0.0571274084548837	0.0539976518887645	0.06813129674763	0.0543484117334074	0.0681479906224374	0.00879423798139353	0.00805775035030653	0.0650964439488888	0.0616789893228344	0.0374579543395562	0.0499229344810486	0.038937703858696	0.0250941828593429	0.0351903965835487	0.0145924334690072	0.00487576504399578	0.00631445142230765	0.00602349513550292	0.00479764912797042	0	0.00614404526657778	0.0141109904355953	0.0200311389519085	0.00560234691923589	0.017750908899346	0.0352903628370111	0.0147280524700923	0.0390272666949039	0.0530163838413444	0.0245166841835175	0.056491443076536	0.0512491146412294	0.0346464307584678	0.0429771512218417	0.0617944154466125
OM1_C_2H_2	0.0115261813895209	0.0104872395490131	0.0215562350738924	0.113052365092971	0.0534982931586146	0.0507230012318351	0.0651309767002989	0.0518909183036753	0.0650842242477931	0.0118293053183555	0.00755028806838556	0.0619042129755127	0.0588538396043481	0.0401080324334105	0.0518260565971001	0.0410489546269159	0.0264514992401893	0.0378043790888985	0.0115258618652252	0.00134133229501896	0.00185558457122348	0.00693037156216645	0.00236353910292503	0.00614404526657778	0	0.00972271858627802	0.0221606114576931	0.0047920330770854	0.0186073976921586	0.0386663874835469	0.0174013921198043	0.0413249359270764	0.0553439225445377	0.0242396162002773	0.0590542797328941	0.0532974662207887	0.0366901334760843	0.0445693657751064	0.0641137698629108
OM1_C_2H_3	0.0211012210140722	0.00316801876201518	0.0161698441525732	0.10338110469588	0.0437862245838483	0.0410489189827536	0.0555099739869533	0.0425053969800559	0.0554470791028492	0.0214754616986828	0.0171217438390355	0.0522401103629691	0.0492933293828486	0.0497983657407713	0.0613347562623119	0.0506471183307125	0.0359377325997976	0.0474947292104127	0.00355222275845216	0.0107963117993019	0.00832398134872606	0.0166511493622075	0.0120550291473599	0.0141109904355953	0.00972271858627802	0	0.0318421395806831	0.0145060019609801	0.028064070542304	0.0483678765663543	0.0271203034140918	0.0509609792805851	0.0649544181719071	0.0330560821407431	0.0687036372539355	0.0628439759538863	0.0462887570140099	0.0540043024236264	0.0737062876062552
OM1_C_3D_1	0.0119454368103192	0.0320438204238667	0.0412459567625601	0.134940908715969	0.0755399825583624	0.0728419962240023	0.087233212318243	0.0738852318612294	0.0871885617518792	0.0112404182808245	0.014757683876663	0.084010489554914	0.0809437699720339	0.0179756298513611	0.029936407688325	0.0189984874447002	0.0056184173710726	0.0156693714213612	0.0335545226731103	0.0212372876533334	0.0237659243481333	0.0153194250132732	0.0199055343266862	0.0200311389519085	0.0221606114576931	0.0318421395806831	0	0.0173728692011038	0.00511889900532987	0.0171824855936257	0.00539007378996825	0.0191999953931432	0.0332416474873097	0.00957999895488586	0.0369173019442729	0.0313141901669703	0.0146642837932904	0.0229608004787854	0.0420309007466586
OM1_C_3D_2	0.00711066927707281	0.0150447255436109	0.0253868066407349	0.117800891484009	0.0582738560009543	0.0555087976492438	0.0699076189073529	0.0566188754974664	0.0698632626966301	0.00726579752018286	0.00299430676342769	0.0666868407784004	0.0636207030279991	0.035319213205301	0.0470975822408597	0.0362866418472297	0.0217586616269669	0.0330152407155338	0.0162374799373335	0.00392497331898997	0.00642569279705087	0.00221295248203261	0.00257323795805395	0.00560234691923589	0.0047920330770854	0.0145060019609801	0.0173728692011038	0	0.0139640616802042	0.0339227180062437	0.0126398132640346	0.0365485947347726	0.0505747913404212	0.0200089324797994	0.0542739984061707	0.0485526086772437	0.0319291321855375	0.0398791637034094	0.0593502190361613
OM1_C_3D_3	0.0103742475758923	0.0279219751201757	0.0389501230945526	0.13084576456038	0.0715290489242807	0.0690120006277379	0.0834982280182414	0.0704504127368297	0.0834215323047237	0.00953456557391561	0.0110606279056097	0.080186437051937	0.0773108052010071	0.0222614663801341	0.0332958156529473	0.022677607515207	0.00787732810092897	0.0199817810532365	0.030130543967436	0.0178844746648904	0.0203518885478124	0.0122061928174227	0.0165336254160566	0.017750908899346	0.0186073976921586	0.028064070542304	0.00511889900532987	0.0139640616802042	0	0.0220679331136555	0.00569479573165317	0.0230899411886047	0.0370073936917906	0.00737505786966065	0.0408694754217919	0.0348183702618465	0.0183290603387797	0.0259798033270729	0.0457396851241511
OM1_C_3E_2	0.0274088809896081	0.0488877589437186	0.0554455591071773	0.151381175486619	0.0920307473439626	0.0891009565162066	0.103289358405193	0.0895378478012252	0.103293398759354	0.0269494145638627	0.0316011889813077	0.100212482094467	0.0968714135544191	0.00544703170134032	0.01808653726025	0.00936464312581795	0.0157583782823902	0.00524639570728829	0.0496520612566007	0.0375890690587407	0.0400931220565681	0.0317440586608785	0.036324058720719	0.0352903628370111	0.0386663874835469	0.0483678765663543	0.0171824855936257	0.0339227180062437	0.0220679331136555	0	0.0212900621480901	0.00828265646223225	0.0192810971496203	0.0224353001042808	0.0219826554656067	0.0186411096445751	0.00889186754823061	0.0145053158420481	0.0276685744520514
OM1_C_3F_3	0.00660280408406846	0.0276248022898118	0.0358871150136815	0.130335674883608	0.0708635300710667	0.0680270602996716	0.0823448398607085	0.0688325986849363	0.0823212929395588	0.00594931710011672	0.0103910776739591	0.0791836948360695	0.0759947417333026	0.0228667919324447	0.0352068104394605	0.0242162225842817	0.0108384817854133	0.0205757205306003	0.0285861264309712	0.0163628320654902	0.0188859982333013	0.0104717093353797	0.0150722792893776	0.0147280524700923	0.0174013921198043	0.0271203034140918	0.00539007378996825	0.0126398132640346	0.00569479573165317	0.0212900621480901	0	0.0243262312918633	0.0383464665400066	0.0128341370155797	0.0419052209022892	0.0365347417347933	0.0199244871499121	0.0283195450812918	0.0471360869040322
OM1_H_1B_1	0.0309016346322114	0.0509776034537911	0.0599879217681878	0.153723662321108	0.0945191268810032	0.0919218650549336	0.106325175941957	0.0930256259696739	0.106271103294923	0.030273314429453	0.0338527091725636	0.103077503595785	0.100066457713993	0.00284122593627937	0.0111629949707635	0.00131690126363873	0.015364681593471	0.0042707747251286	0.0527388840233779	0.0404258381966036	0.0429514561767579	0.0345141363652571	0.0390911196358451	0.0390272666949039	0.0413249359270764	0.0509609792805851	0.0191999953931432	0.0365485947347726	0.0230899411886047	0.00828265646223225	0.0243262312918633	0	0.0140460200404676	0.020719053909279	0.0177938450663867	0.0122916964045742	0.00482459029784641	0.00622971451595174	0.0228409659769604
OM1_H_1B_3	0.0449016709619943	0.0648975345562204	0.0738491374987876	0.167447813889426	0.108404948021484	0.10586614539741	0.120269539203284	0.107010667009738	0.120209531493382	0.0442878901740916	0.047858833089795	0.117007994482705	0.114033424142015	0.0156600340906147	0.00509917439380978	0.0143377887066036	0.0291799512162525	0.017875027823647	0.0667615621298005	0.0544549222318785	0.0569780595898941	0.0485484712607434	0.0531194970891357	0.0530163838413444	0.0553439225445377	0.0649544181719071	0.0332416474873097	0.0505747913404212	0.0370073936917906	0.0192810971496203	0.0383464665400066	0.0140460200404676	0	0.0337667621629563	0.00430013104842063	0.00322394354655731	0.018696417776919	0.0121247072281033	0.00879776365963414
