	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1B_2	OM1_C_1D_1	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2H_1	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3F_1	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1E_3	0.00487013208468163	0.0110308504975159	0.015179444786542	0.0178436236441932	0.00739502349219711	0.00155387447009265	0.0154414595838437	0.0116958301617639	0.0112270385032097	0.00953059553013679	0	0.0171107753809013	0.0241988260817948	0.0140929903217467	0.012663909081232	0.00850414416885801	0.0154770459448966	0.0171766877479868	0.0199847540881585	0.016219146311605	0.0117009033480336	0.00242160525361801	0.0217272773442214	0.0246405990914467	0.0201712040120185	0.0217521010817462	0.0131570128329212	0.0157951652075026	0.0136649409870878	0.0241088730069898	0.0177022003930573	0.00567827584729247	0.0107150523528064	0.0228839046281959	0.0183879330976127
OM1_C_1F_1	0.0122409982517289	0.0281397729629138	0.00193150493343894	0.000732926005451894	0.00971617955042573	0.0186644770033112	0.00166946908100512	0.0054153219916458	0.00588412988143528	0.00758060975041799	0.0171107753809013	0	0.00708906980708708	0.00301803800400466	0.00444720128582095	0.0086070668110708	0.00163387979742531	6.5919097122666e-05	0.00287432009587793	0.000891715058828639	0.00541024861543811	0.0195320987030408	0.00461709805504178	0.00753092605637088	0.00306079555244447	0.00464192568117988	0.00395407196791944	0.00131573374102789	0.00344611445792717	0.00699910006664414	0.000591487255460496	0.0227882795254711	0.00639613077324904	0.00577391428446639	0.00127729732560842
OM1_C_2A_1	0.0193294859467821	0.0352264001233257	0.00902053190653713	0.00635615525289221	0.016804847739454	0.0257523636240902	0.00875850294111863	0.0125042252915175	0.0129730119780826	0.0146694060733362	0.0241988260817948	0.00708906980708708	0	0.0101070328154708	0.0115361449471334	0.0156958043519791	0.00872291456683682	0.00702315184680041	0.00421477948716898	0.00798076737124502	0.0124991521388394	0.0266198885022004	0.00247199980266737	0.000441864426701715	0.00402830455931249	0.00244717204409539	0.0110430344143703	0.00840477636242969	0.0105350950029915	8.99712879573171e-05	0.00649759199873377	0.0298756727149467	0.0134849884767164	0.00131517418466214	0.00581179072845136
OM1_C_2A_2	0.00922307860842215	0.0251224775854686	0.00108653526865379	0.0037509611307192	0.0066982097576118	0.0156467453890636	0.00134857128102348	0.0023972975886298	0.00286610954663776	0.00456260798973694	0.0140929903217467	0.00301803800400466	0.0101070328154708	0	0.00142916994003519	0.00558907922083519	0.00138416057525281	0.00308395688947664	0.00589234036773571	0.00212632493087031	0.0023922241708838	0.0165143991476052	0.00763509915512498	0.0105488809095291	0.00607881407654674	0.00765992646222623	0.000936037840958504	0.00170230660879089	0.000428077999228166	0.0100170646855358	0.00360952302385677	0.0197707144516636	0.00337811540808965	0.00879189914985214	0.0042953295847656
OM1_C_2F_1	0.00779394437284959	0.023693603944457	0.0025157038524286	0.00518012143242908	0.00526905734248087	0.0142176860329509	0.00277773936244634	0.000968128800521107	0.00143694165076122	0.00313344514709462	0.012663909081232	0.00444720128582095	0.0115361449471334	0.00142916994003519	0	0.00415992082427208	0.00281332858319551	0.00451311992505708	0.00732148891190546	0.0035554911202347	0.000963055374358289	0.0150853530609837	0.00906423477653382	0.0119779882049811	0.00750796138174335	0.00908906187779809	0.00049313232810286	0.00313147390404337	0.00100109215353652	0.011446177778246	0.00503868394213693	0.0183417248755746	0.00194894873606124	0.0102210245320558	0.00572448732838158
OM1_C_2F_2	0.00363406452562749	0.019534354336619	0.00667560040998175	0.00933997236438375	0.00110914497045347	0.0100579722791274	0.00693763234137521	0.00319179649057112	0.00272298482982414	0.00102648032775557	0.00850414416885801	0.0086070668110708	0.0156958043519791	0.00558907922083519	0.00415992082427208	0	0.00697322106080709	0.0086729842012111	0.0114812883289056	0.00771537231018211	0.00319686990040074	0.0109256709288861	0.0132239825079498	0.0161376299667831	0.0116677556868084	0.0132488088096523	0.00465304983605282	0.00729136173763462	0.00516100551086023	0.0156058407065998	0.00919853781095854	0.0141821809585678	0.00221097831783075	0.0143807331212256	0.00988432641834928
OM1_C_2F_3	0.010607192136898	0.0265063172640883	0.000297625462011206	0.00236680481961986	0.00808234430539664	0.017030777718715	3.55893172305579e-05	0.00378145380740255	0.0042502642675099	0.00594675552325169	0.0154770459448966	0.00163387979742531	0.00872291456683682	0.00138416057525281	0.00281332858319551	0.00697322106080709	0	0.00169979883223383	0.00450819254931799	0.000742165113644335	0.00377638040476225	0.0178984174541192	0.00625096149697687	0.00916476674776202	0.00469466720601239	0.00627578896989137	0.00232019737264263	0.000318146293587607	0.00181223820168372	0.00863294562768648	0.00222536630678629	0.0211546736320038	0.00476226825152827	0.00740776984511417	0.00291117501531443
OM1_C_2G_1	0.012306913901564	0.0282056738582768	0.00199742394353985	0.000667006918231405	0.00978209647362253	0.0187303880936189	0.00173538811309478	0.00548124041095198	0.00595004817879657	0.00764652752244473	0.0171766877479868	6.5919097122666e-05	0.00702315184680041	0.00308395688947664	0.00451311992505708	0.0086729842012111	0.00169979883223383	0	0.00280840118211907	0.000957634137661559	0.0054761670359862	0.019598009032019	0.00455117943708664	0.00746500824304716	0.00299487666366509	0.00457600706842896	0.00401999070265396	0.00138165279779103	0.00351203327945595	0.0069331820775143	0.000525568164228542	0.0228541866878963	0.00646204892596052	0.00570799593951203	0.00121137826258556
OM1_C_2G_2	0.0151151337179035	0.0310132206629022	0.00480581577424231	0.00214139565499502	0.0125903776042803	0.021538395695437	0.00454378161370694	0.00828959731802018	0.00875839857920759	0.0104548507930072	0.0199847540881585	0.00287432009587793	0.00421477948716898	0.00589234036773571	0.00732148891190546	0.0114812883289056	0.00450819254931799	0.00280840118211907	0	0.00376603180664015	0.00828452401113525	0.0224059817738819	0.00174278597896987	0.00465664090787613	0.000186476025443516	0.00176761376311078	0.00682836513979908	0.00419004834039327	0.00632041283494663	0.00412480874139145	0.0022828341864572	0.0256620154267325	0.00927039173029946	0.00289961087400772	0.00159702480376407
OM1_C_2H_1	0.011349326216573	0.0272482958166958	0.00103979049596812	0.00162464069595909	0.00882449103752475	0.0177728647458925	0.000777754423988712	0.00452361451431086	0.00499242391450925	0.00668891038748294	0.016219146311605	0.000891715058828639	0.00798076737124502	0.00212632493087031	0.0035554911202347	0.00771537231018211	0.000742165113644335	0.000957634137661559	0.00376603180664015	0	0.00451854112248065	0.0186404964877891	0.00550880524779338	0.00842262150159109	0.00395250686948288	0.00553363279600973	0.00306236065614052	0.000424018854754686	0.00255440212302927	0.00789079804746028	0.0014832020429741	0.0218967191828747	0.00550442661150002	0.00666561744145148	0.00216901152742438
OM1_C_2H_2	0.00683090682298662	0.0227307292930462	0.00347875630014743	0.00614316616752496	0.00430600956193278	0.0132546938046073	0.00374079126198224	5.07342347023525e-06	0.000473886504434093	0.00217039204842436	0.0117009033480336	0.00541024861543811	0.0124991521388394	0.0023922241708838	0.000963055374358289	0.00319686990040074	0.00377638040476225	0.0054761670359862	0.00828452401113525	0.00451854112248065	0	0.0141223690808744	0.0100272597737642	0.0129409917844912	0.00847099549696056	0.010052086716473	0.0014561874622945	0.00409452499078903	0.00196414687013107	0.012409185689497	0.00600172920585094	0.017378776373531	0.000985894004648494	0.011184041704402	0.00668752990421692
