	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1B_3	OM1_C_1D_2	OM1_C_1D_3	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1F_1	OM1_C_1F_2	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_2	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1G_1	OM1_H_1G_2
OM1_C_1E_1	0.0390115014538727	0.0207017532307902	0.0314967061183651	0.033764608127512	0.0111561232823588	0.00454141940953711	0.00920265274585602	0.00647881502299906	0.00991195031222104	0.0246473405267337	0	0.000853238978552993	0.00256452888626813	0.0239878881649406	0.0113230268164303	0.0423086795881719	0.0246443491862029	0.00318807873211895	0.0334427023297772	0.0261841013490572	0.0196740667618052	0.0229918448689958	0.0155466894124601	0.00537689471560265	0.0118097169713834	0.00264406113929479	0.0148479237817613	0.000365246545653046	0.0178507252890945	0.0445002681098355	0.00196244623806993	0.0277380947299498	0.0215580303877536	0.006557336021016	0.00329083525078412	0.0221030672850744	0.00513344863890853	0.0256915711440595	0.0138727566130768	0.0265778340488899	0.0104172071154569
OM1_C_1E_2	0.038158720030092	0.0198486396019514	0.03064376285858	0.0329117099458184	0.0103029192414098	0.00368818551018156	0.00834943710624881	0.0056255871043442	0.0107651570887174	0.0237942807338861	0.000853238978552993	0	0.00341776521332675	0.0231348187001017	0.0104698238748251	0.0414559804924576	0.0237912893488712	0.00404131381393688	0.0325897975521699	0.0253310651477679	0.0188209406972387	0.0221387613088863	0.0146935199830295	0.00623012356988391	0.0109565173329535	0.00179082359569905	0.0139947480508881	0.00121848538953682	0.01699757876985	0.0436476275823303	0.00110920791900418	0.0268850838849099	0.022411124069201	0.0074105603188575	0.0041440701048763	0.0212499716686084	0.00428021632467879	0.0248385272212157	0.0130195725905042	0.0257248041292643	0.00956399841253447
OM1_C_1F_1	0.0415745341775618	0.0232658410771511	0.0340602484682547	0.0363280079791952	0.0137205124985309	0.00710591891751281	0.0117670828905779	0.00904329053571608	0.00734748741579975	0.0272112543325011	0.00256452888626813	0.00341776521332675	0	0.0265518330843717	0.0138874122100549	0.0448714547028658	0.0272082631349453	0.000623551650902574	0.0360061230010301	0.0287479394871753	0.0222381951724263	0.0255558352403215	0.0181109609677751	0.00281237955077581	0.0143740909255186	0.00520857749628533	0.01741221644579	0.00219928307069555	0.0204149208350142	0.0470628604440385	0.00452696704380719	0.0303018518449734	0.0189938712644936	0.00399283088345851	0.000726308534799442	0.0246670966482292	0.00769794154308732	0.0282554340157403	0.0164370772261264	0.0291416520873708	0.0129816126386712
OM1_C_1F_2	0.0150287337672302	0.00328672413105796	0.0075108766312125	0.00977959657112291	0.0128329995163039	0.0194472283102893	0.0147864079305497	0.0175100495596382	0.0338969650735622	0.000659593389907072	0.0239878881649406	0.0231348187001017	0.0265518330843717	0	0.0126660982427806	0.0183275746146912	0.000656601392377571	0.0271752240773653	0.00945756910774024	0.00219671249835835	0.00431455612452692	0.000996241847335489	0.00844233274477611	0.0293634303260792	0.0121794119376529	0.0213443120142639	0.00914113669974218	0.0243530583623968	0.00613811049760784	0.0205203768472691	0.0220258132818625	0.00375111044206803	0.04553755760415	0.0305435091699781	0.0272779537858389	0.00188518192973438	0.0188552721640005	0.00170406294244783	0.0101163432199602	0.002590543678288	0.0135718999092544
OM1_C_2A_1	0.0276929018487601	0.00937951579881182	0.0201762747335539	0.0224446795487502	0.000166911074959434	0.0067817318193077	0.00212045303724711	0.00484433866930972	0.02123413130216	0.0133256511595673	0.0113230268164303	0.0104698238748251	0.0138874122100549	0.0126660982427806	0	0.03099103418353	0.0133226593547838	0.014510919199146	0.0221226997576035	0.014862660290991	0.00835170765272414	0.0116699098874894	0.00422392900098478	0.0166995601184382	0.000486713438777326	0.00867905831073327	0.00352510924305474	0.0116882561481258	0.00652817166742167	0.0331833080832732	0.00936065471259837	0.0164169246953746	0.0328782195581274	0.0178798911209544	0.0146136683565519	0.0107810097861793	0.00618970656046468	0.0143700483711308	0.00254987320637149	0.015256459762238	0.000905857905736798
OM1_C_2A_2	0.00329917929345646	0.0216138188271036	0.0108172501691326	0.00854854696621117	0.0311578865271715	0.0377698825252376	0.0331106950840589	0.0358334169167019	0.0522127669950679	0.0176680601247143	0.0423086795881719	0.0414559804924576	0.0448714547028658	0.0183275746146912	0.03099103418353	0	0.0176710517774616	0.0454945484485098	0.0088705763164514	0.0161311022306781	0.0226414711525625	0.0193236862443232	0.0267683848650514	0.0476816716897539	0.0305044884682764	0.0396662205042205	0.0274670203984315	0.0426736883643502	0.0244646721834619	0.00219311042277129	0.0403474424656717	0.0145768350072494	0.0638458953375032	0.0488611409223663	0.0455972286922856	0.020212498925622	0.0371781494870682	0.0166237035724748	0.0284419811000318	0.0157373072468091	0.0318965659040118
OM1_C_2A_3	0.0143721846705983	0.00394332241536899	0.00685428765320529	0.00912301671909554	0.0134895595895693	0.020103736676349	0.0154429548709717	0.018166575194889	0.0345532895660856	2.99199795313239e-06	0.0246443491862029	0.0237912893488712	0.0272082631349453	0.000656601392377571	0.0133226593547838	0.0176710517774616	0	0.0278316461370746	0.00880098780767499	0.0015401119195704	0.00497115237611243	0.00165284284444395	0.00909891576328709	0.0300198229128783	0.0128359760036038	0.0220008017686201	0.009797716676754	0.02500951515904	0.00679470190270811	0.0198638744435089	0.0226822959402953	0.00309451184332606	0.0461936640836408	0.0311998849439311	0.0279343745114454	0.00254178217220372	0.0195117859934136	0.00104746197917772	0.0107729185657411	0.00193394349095776	0.0142284552261565
OM1_C_2F_1	0.0421976928594237	0.0238892691284097	0.0346835363163099	0.0369512595926366	0.0143440205344288	0.00772945842391693	0.0123906022520412	0.00966682284449137	0.00672394663880731	0.0278346372977699	0.00318807873211895	0.00404131381393688	0.000623551650902574	0.0271752240773653	0.014510919199146	0.0454945484485098	0.0278316461370746	0	0.0366293799018111	0.0293713029765374	0.0228616338082993	0.0261792379835724	0.0187344373082191	0.0021888292566063	0.014997594790888	0.00583212243473941	0.0180356984098443	0.00282283335112739	0.0210383770751863	0.0476859082206983	0.0051505135436599	0.030925194544667	0.0183703961585552	0.00336928219657203	0.000102756900511465	0.0252905094958869	0.00832147902718791	0.0288788038642952	0.0170605666713325	0.0297650104135648	0.0136051251592321
OM1_C_2F_2	0.00557145809343537	0.0127441479045778	0.00194674350370321	0.000322038468005949	0.0222895809683823	0.0289028629507202	0.0242427405273483	0.0269659920865198	0.0433495109940679	0.00879799589491859	0.0334427023297772	0.0325897975521699	0.0360061230010301	0.00945756910774024	0.0221226997576035	0.0088705763164514	0.00880098780767499	0.0366293799018111	0	0.00726091211250121	0.0137719191731551	0.0104537747763625	0.0178993789285381	0.0388170949861933	0.0216360708759878	0.0307996206792318	0.0185981177053041	0.0338078005424899	0.0155953479545449	0.0110636058525795	0.0314809989464355	0.0057065332156873	0.0549866102317223	0.0399968957400851	0.0367320872644961	0.0113426767900149	0.0283110035680967	0.00775355213005736	0.0195732276995257	0.0068670873461527	0.0230283902698707
OM1_C_2F_3	0.0128321776126411	0.00548342215894988	0.00531419636019641	0.00758294402155094	0.0150295578827329	0.0216436055024065	0.0169829199421347	0.0197064869231098	0.036092709264824	0.00153711992418182	0.0261841013490572	0.0253310651477679	0.0287479394871753	0.00219671249835835	0.014862660290991	0.0161311022306781	0.0015401119195704	0.0293713029765374	0.00726091211250121	0	0.00651124607831762	0.0031929517887422	0.0106389733130227	0.0315594079210357	0.0143759844710368	0.0235406245939958	0.0113377662269875	0.0265492569616176	0.00833478197802357	0.018323970112707	0.0242221012792859	0.0015544026422162	0.0477325581056054	0.0327394290606867	0.0294740280948566	0.00408188824520727	0.0210516683662458	0.000492650231517788	0.0123129560453499	0.000393832001495285	0.0157684414482043
