	OM1_B_B_1	OM1_B_B_2	OM1_B_B_3	OM1_B_C_1	OM1_B_C_2	OM1_B_C_3	OM1_C_1A_1	OM1_C_1A_2	OM1_C_1A_3	OM1_C_1B_1	OM1_C_1B_2	OM1_C_1D_2	OM1_C_1E_1	OM1_C_1E_2	OM1_C_1E_3	OM1_C_1F_1	OM1_C_1F_2	OM1_C_2A_1	OM1_C_2A_2	OM1_C_2A_3	OM1_C_2F_1	OM1_C_2F_2	OM1_C_2F_3	OM1_C_2G_1	OM1_C_2G_2	OM1_C_2G_3	OM1_C_2H_2	OM1_C_2H_3	OM1_C_3D_1	OM1_C_3D_2	OM1_C_3D_3	OM1_C_3E_1	OM1_C_3E_2	OM1_C_3E_3	OM1_C_3F_3	OM1_H_1B_1	OM1_H_1B_2	OM1_H_1B_3	OM1_H_1C_1	OM1_H_1C_2	OM1_H_1C_3	OM1_H_1D_1	OM1_H_1D_2	OM1_H_1D_3	OM1_H_1G_1	OM1_H_1G_2	OM1_H_1G_3
OM1_C_1B_2	0.00351563267835028	0.0120621025693726	0.0123652772144741	0.00884528623422276	0.0072043885297192	0.012791840462489	0.021816131400748	0.0111271898321093	0.0123529254349943	0.00552999957715677	0	0.00861205958105548	0.00312991067260616	0.0104041446657554	0.00463002552576728	0.00882120568423505	0.00826393766123047	0.00638246466175932	0.00274398552723921	0.0210108369376011	0.00372512635305492	0.00880520984183573	0.0154556411385801	0.0126276325236353	0.0112482741719482	0.0126715354782461	0.00404728268419852	0.00977946297628067	0.00348751093367664	0.00257126406390953	0.00366648964155733	0.00693938989949615	0.00540031366879893	0.00695496135755954	0.0126568939903539	0.0113687978828582	0.00720644896682459	0.00800186054786721	0.00627021129385798	0.00609366989444899	0.00320999499540816	0.00519125715690432	0.0197777194931189	0.0106390349680984	0.00678744225792175	0.00813970511261583	0.0102893225647355
OM1_C_1D_2	0.0107748759911531	0.0192730368556405	0.0205901409625965	0.0134940073156318	0.0134228173097319	0.0213750833483372	0.0132786054906201	0.0197140448090184	0.00750894270598267	0.0045942928417024	0.00861205958105548	0	0.0117228449200148	0.0186577812502135	0.0106129158140355	0.0140197314195544	0.00915971919435654	0.00967020726453743	0.0104491092492743	0.0294952390191529	0.0112851511287604	0.0172058193840762	0.0219311706106915	0.00483953247192238	0.00568215254326076	0.0211849090656518	0.00545494187858705	0.0183891661639256	0.00514476609004809	0.0097782705289802	0.0108345673628216	0.0102122554241801	0.00675877884527775	0.00738390789738554	0.0204326423306404	0.00278690514039007	0.00170057143486503	0.00620880985332762	0.00654656522816576	0.0101405959659685	0.0115667055548502	0.0118635022218859	0.0279394660726821	0.0190448251468689	0.0145275943668455	0.00599267612958081	0.013503382965677
OM1_C_1E_1	0.00300555069190518	0.00969326909780763	0.00977261251143737	0.0083884966150539	0.00608197336220877	0.00977299694375151	0.0249442597979518	0.00811014014057116	0.0151569678458475	0.0082703512487039	0.00312991067260616	0.0117228449200148	0	0.00742511857977035	0.00535973167851355	0.00804793487844272	0.00965117747490351	0.00729474943459743	0.00237182376390905	0.0180803818575997	0.00267188379138615	0.00575579839941449	0.0133604898755574	0.0155693846077989	0.0138761445288711	0.00975555346804853	0.00681888817315745	0.00670501309139942	0.00658047560887503	0.0030190409723926	0.00388617518216303	0.00767727867944234	0.00794610307844858	0.00883654481186409	0.0104637152259407	0.0144891033085069	0.0103361952219285	0.0106854291412854	0.00841173557944529	0.00671586119118641	0.00186787670436848	0.00432717711380261	0.0167716263705947	0.0075695744647492	0.00443824404200233	0.0104575755404803	0.0103232852877028
OM1_C_1E_2	0.0079549578924002	0.00435144534081111	0.00885535434309672	0.00919965518805005	0.00695501579294729	0.00612739718229307	0.0319243542337022	0.0052742523692885	0.0225765164635646	0.0145369828501355	0.0104041446657554	0.0186577812502135	0.00742511857977035	0	0.0121019068996217	0.00833624941336388	0.0135029815251064	0.0111048482330112	0.00820948776448139	0.0136806218245248	0.00740922197401548	0.00176758065084589	0.00803295430449511	0.0218364955768058	0.0194644540839011	0.00700469810218957	0.0132989716126442	0.00422431341709961	0.0136012882867217	0.00889406126624911	0.0106776044967897	0.0110561550062606	0.0153412324634745	0.0136850951660801	0.0108688916566989	0.0214417195839769	0.0174565261449512	0.0180925136844483	0.0137444788567388	0.010332275937049	0.00865636755840857	0.00735401428598046	0.0093747073986578	0.00103814733901087	0.00436026527098451	0.0157576011287959	0.0114054105590744
OM1_C_1E_3	0.00762584691615179	0.014965899179404	0.0104458501531012	0.0132191309183336	0.0112149662382503	0.0121614936108	0.0228088092799318	0.0106434879112313	0.011254335182977	0.00924953696064766	0.00463002552576728	0.0106129158140355	0.00535973167851355	0.0121019068996217	0	0.0130542745282374	0.0128291830960479	0.0110118569745382	0.00678253019790044	0.0195938563400224	0.00757833692567466	0.010334719990013	0.0186941852963823	0.0153087934840066	0.0147512544367423	0.0116264990637712	0.00791929675420406	0.00976503831210762	0.00656422877742619	0.00694702262190782	0.00148719007126735	0.0115636179423585	0.00434520317165893	0.0113757312357799	0.00992531674621447	0.0129963961260885	0.0089224087008158	0.00684827181135834	0.0105722532510313	0.0106997973573654	0.00359912327299617	0.009269942285367	0.0210700066157465	0.0119325228009738	0.0097844949735323	0.0121971608317433	0.0148360050132645
OM1_C_1F_1	0.00543543369708563	0.00622943678731005	0.0158416011652171	0.000898009434113198	0.00202652163219091	0.0140694890135787	0.0265215114022369	0.0127703732374381	0.0201585379199264	0.00942920143285531	0.00882120568423505	0.0140197314195544	0.00804793487844272	0.00833624941336388	0.0130542745282374	0	0.00605545041997954	0.00440335660411704	0.00627975031386654	0.0220012971404853	0.00549753186164096	0.00815079365327948	0.00799938298481199	0.015675996675688	0.0126943835477784	0.0146796571924148	0.00889146469088899	0.0112820089495234	0.0101532570731385	0.00625348342467082	0.0116976491773854	0.00396086671061546	0.0139918944699542	0.00707581447275685	0.0172830897204354	0.0165454744421708	0.0134724904908957	0.0162791683361453	0.00763866332841523	0.00387961868168051	0.0098874852133839	0.0037903886884369	0.0157537495925176	0.00928838789423299	0.00495053691562876	0.00916339086179575	0.00307661942330264
OM1_C_1F_2	0.00679054444657739	0.012234309861951	0.0192317852688235	0.00524957686423098	0.00662478980670053	0.0183955973091164	0.0207373156404579	0.0168564503356161	0.0162811515239267	0.00509893878032271	0.00826393766123047	0.00915971919435654	0.00965117747490351	0.0135029815251064	0.0128291830960479	0.00605545041997954	0	0.00250485811131042	0.00728340520303471	0.0267084653983219	0.00730341312755477	0.0127337984711987	0.0138875669329329	0.00979349498278545	0.00667506564010742	0.0187190020355894	0.00555304791733311	0.0153088159326972	0.00724340953352193	0.00665320041044353	0.0119245714586079	0.00244714228804454	0.0117702121170735	0.0018886537948877	0.0201038194386715	0.0112855599535117	0.00920600324521648	0.0132761455480499	0.00287523652553763	0.003253443363812	0.0109507920864808	0.0063862434082678	0.0217116906544329	0.0142915082802535	0.00926477434742608	0.00339924207718206	0.00448177088093777
OM1_C_2A_1	0.00435283062946953	0.0102481524988698	0.0167628456858754	0.00382465319853558	0.00438894004073377	0.0158923548245037	0.0221473900700699	0.0143518934797152	0.0161676886166074	0.00511173451734985	0.00638246466175932	0.00967020726453743	0.00729474943459743	0.0111048482330112	0.0110118569745382	0.00440335660411704	0.00250485811131042	0	0.00492751327905517	0.0242123586707839	0.00483939546615221	0.0102609579006917	0.0123981890626615	0.0113699770165325	0.0085640671350094	0.0162157949608366	0.00485285209856488	0.012804164211434	0.00637539438391784	0.00437632974010162	0.00994759343648994	0.000630411347238119	0.0107074010543716	0.00275954821832487	0.0176993487670476	0.0121507231896111	0.00926520654808862	0.0126336568172421	0.00323610342927861	0.000773120557264828	0.00873589044834839	0.00389007974835344	0.0195915266554976	0.011857230361175	0.00681111194533004	0.00489753767945709	0.00425659788932121
OM1_C_2A_2	0.000844436670986325	0.00938793130197537	0.012040119271902	0.00644487375385702	0.0045235114503164	0.0116822653022034	0.0237195204622672	0.0100486648451294	0.0149907146580566	0.00646521883561803	0.00274398552723921	0.0104491092492743	0.00237182376390905	0.00820948776448139	0.00678253019790044	0.00627975031386654	0.00728340520303471	0.00492751327905517	0	0.0200546117449685	0.000988952553347393	0.00680152429365735	0.0127183829719726	0.0138369011914177	0.0118504112851987	0.0118067017042427	0.00513157729215694	0.00855223457541109	0.00543086268243579	0.000758860541610955	0.00546698578907718	0.00532926216300125	0.00814216382304677	0.00655336328905905	0.0128228059550788	0.0132334748269762	0.00928411864643282	0.0107098846049264	0.00622541548114544	0.00437219475225523	0.00389493158351922	0.00252191282748936	0.0175185415022778	0.00862852522607133	0.00420589310053607	0.00830236803551334	0.00818788881809366
OM1_C_2A_3	0.0202263565860543	0.0171404762698111	0.00916088910617065	0.0228498499635972	0.0204670789530847	0.00837794661859598	0.0423233186097138	0.0100080454611849	0.0306333271371092	0.0263484065267753	0.0210108369376011	0.0294952390191529	0.0180803818575997	0.0136806218245248	0.0195938563400224	0.0220012971404853	0.0267084653983219	0.0242123586707839	0.0200546117449685	0	0.0196545235473378	0.0140305552379936	0.019501253708747	0.0336219409957962	0.0318949182886897	0.00834111133853031	0.024896406519002	0.0115107975061881	0.0244761704294227	0.0208113270573144	0.0188781533554188	0.0243043358354193	0.0239266233541821	0.026471538531069	0.0102895534535188	0.0321570972711228	0.0279343493306217	0.0263960359217501	0.0262606440958364	0.0234559968186617	0.0179342852068525	0.0203241981356798	0.0119189775328732	0.0127139579775638	0.0175114037481941	0.0283419715331503	0.0250756456962615
