a	b	r	l1	markers
C12P8	C69M3a	-0.6221120294485608	2.8558060058304213	11
C12P8	C69M3b	-0.1673513644791209	2.8669045974184466	11
C12P8	C69M3c	-0.06915572760302317	2.8661950178332933	11
C12P8	C79P1	0.22637377547992837	1.6686104580091585	11
C12P8	C79P2	0.2469549093875503	1.649077336989879	11
C12P8	C79P3	0.42852470436312223	1.605699631910148	11
C12P8	C79P4	0.5699697483868843	1.6494600203428702	11
C12P8	C79P5	0.5034917102641104	1.6069440630846115	11
C12P8	C79P6	0.2551681429255128	1.6472404629389132	11
C12P8	C79P7	0.33458401253902426	1.640517715758149	11
C12P8	C79P8	0.30986190928038243	1.6735134320888634	11
C12P8	C79P9	0.32040150376791293	1.6422074700809168	11
C12P8	C79P10	0.3908744776797858	1.6670857620915214	11
C12P8	C79P11	0.4169566284967587	1.6113212481118333	11
C12P8	C79P12	0.34854350602229406	1.6710419973241428	11
C12P8	C79M1	0.20159402513447902	1.6616435733453805	11
C12P8	C92L1	0.3757566352824057	1.4474575727225083	11
C12P8	C92L2	0.2632555276800412	1.5356271495941565	11
C12P8	C92L3	0.45056109074768147	1.0773835173068458	11
C12P8	C92P1d	0.36705230023281216	1.3875200699121046	11
C12P8	C92P1e	0.4759461784880008	1.2740491862122234	11
C12P8	C92P1f	0.5075747367687005	1.2021866707156703	11
C12P8	C92P1g	0.38689616248154246	1.3256962762887683	11
C12P8	C92P1h	0.4053598518179183	1.4079413404318069	11
C12P9	C45P2	0.27298806456305774	2.1774465388547557	14
C12P9	C45P3	0.23702121254385317	2.178580241155323	14
C12P9	C45P1	0.2173152044807957	2.1466505573535417	14
C12P9	C45L1	0.14701161451746317	2.056603394572597	14
C12P9	C45L2	0.24747682807002566	2.1077315989876104	14
C12P9	C45M1	0.16107319290056246	2.1510692275872043	14
C12P9	C45M2	0.24903717311074	2.1487314843697427	14
C12P9	C46P4	-0.5885902375438673	2.2852481185590956	13
C12P9	C46P1	-0.5989140066877253	2.2941440401394386	13
C12P9	C46P2	-0.4443086486268262	2.283713277789755	13
C12P9	C46P3	-0.5117682638497343	2.278943264396175	13
C12P9	C46P5	0.08174615911460135	2.2661958875240766	13
C12P9	C46M1	-0.037648928750078366	2.1626247757273833	13
C12P9	C46L1	-0.06394151956561288	2.23099887339836	13
C12P9	C51P2	0.3529171566785239	1.9183693473483985	12
C12P9	C51M1a	0.3761169936505859	1.9118236228497676	12
C12P9	C51M1b	0.372242405107957	1.8573772582273602	12
C12P9	C51L1	0.36078397508134913	1.945938647296438	12
C12P9	C51L2	0.5127406082749947	1.817340781961595	12
C12P9	C51P1	0.5336625773188397	1.8624656105208015	12
C12P9	C51P3	0.4614768163312855	1.9039966324658533	12
C12P9	C53P1	-0.2529338897399034	1.8660119424347705	11
C12P9	C53M1a	-0.097020530112253	1.8093983669354237	11
C12P9	C53L1	-0.0691576790468999	1.7923442782492094	11
C12P9	C53P2	-0.4272256527835654	1.8051172522278556	11
C12P9	C53P3	-0.12606935254037085	1.8142141823996794	11
C12P9	C53P4	-0.4050659840669368	1.8901899524467325	11
C12P9	C53M1b	-0.09889983103537238	1.818187716847963	11
C12P9	C53M2	-0.12133648738063531	1.804216042546788	11
C12P9	C53M3	-0.4407056648525341	1.8606249846035967	11
C12P9	C59P3	0.20048349286786765	2.197119060727815	12
C12P9	C59M1b	-0.07826346157311229	2.2821980732608513	12
C12P9	C59L1	0.16094787412836722	2.256536977054921	12
C12P9	C59L2	0.31301725021357363	2.2427993077952277	12
C12P9	C59L3	0.4336515111186578	2.137943968240892	12
C12P9	C59M1a	-0.06456056298350003	2.246267122807461	12
C12P9	C59M1c	-0.1264344128951151	2.3246837946447516	12
C12P9	C59P1	-0.030728952694753203	2.2176393909270518	12
C12P9	C59P2	0.05589098012337783	2.248285175263079	12
C12P9	C59P4	0.11746325099249559	2.195819663110433	12
C12P9	C59P5	0.05606451073579372	2.2774246305259545	12
C12P9	C63M1	0.23086044793534438	2.177062097507103	13
C12P9	C63L1	0.46674690829220994	2.0928334067627885	13
C12P9	C63P1	0.45376321968194977	2.1361412796572727	13
C12P9	C69P1	-0.7185573018730659	2.561047155222195	11
C12P9	C69P2	-0.621258072285131	2.591886403782308	11
C12P9	C69P3	-0.6916812217221825	2.5960049459579633	11
C12P9	C69P4	-0.7497056075223103	2.605098632263286	11
C12P9	C69P5	-0.41332172448971355	2.616971946038756	11
C12P9	C69P6	-0.49514849857628734	2.5851613733814003	11
C12P9	C69L1	0.4883328118490845	2.4290473117221563	11
C12P9	C69M1	-0.18406075303876485	2.495905890479177	11
C12P9	C69M2	-0.4500481521654088	2.487061753027912	11
C12P9	C69M3a	-0.6734900605142933	2.5325856800105826	11
C12P9	C69M3b	-0.2049177985372917	2.543684271598608	11
C12P9	C69M3c	-0.11921221028968772	2.5429746920134546	11
C12P9	C79P1	0.28949051610263504	1.4743272318868543	11
C12P9	C79P2	0.295761248636697	1.500043584139376	11
C12P9	C79P3	0.4536198581771366	1.4979505936770559	11
C12P9	C79P4	0.5639426292601729	1.5605273172341858	11
C12P9	C79P5	0.5240541064230599	1.484554455425357	11
C12P9	C79P6	0.3254166197743494	1.4594717804238764	11
C12P9	C79P7	0.3724555453687699	1.4843796675913064	11
C12P9	C79P8	0.3427461490973694	1.50834471240792	11
