u	mu	n	divs	mean_l1	l1_95	l1_05	exp_l1
40	4e-4	50 tracts	153	0.059599	0.11	0.02	0.0612
40	4e-4	50 tracts	154	0.059822	0.11100000000000002	0.02	0.0616
40	4e-4	50 tracts	155	0.060188	0.11100000000000002	0.02	0.062
40	4e-4	50 tracts	156	0.060482	0.11100000000000002	0.02	0.0624
40	4e-4	50 tracts	157	0.061038	0.11100000000000002	0.02	0.06280000000000001
40	4e-4	50 tracts	158	0.061275	0.112	0.02	0.0632
40	4e-4	50 tracts	159	0.061659	0.112	0.02	0.0636
40	4e-4	50 tracts	160	0.061916	0.113	0.02	0.064
40	4e-4	50 tracts	161	0.06242499999999999	0.114	0.02	0.0644
40	4e-4	50 tracts	162	0.062875	0.115	0.02	0.0648
40	4e-4	50 tracts	163	0.063152	0.116	0.02	0.06520000000000001
40	4e-4	50 tracts	164	0.063481	0.116	0.02	0.0656
40	4e-4	50 tracts	165	0.063779	0.117	0.02	0.066
40	4e-4	50 tracts	166	0.06429900000000001	0.118	0.02	0.0664
40	4e-4	50 tracts	167	0.06467300000000001	0.119	0.02	0.0668
40	4e-4	50 tracts	168	0.065	0.119	0.02	0.06720000000000001
40	4e-4	50 tracts	169	0.06543299999999999	0.121	0.02	0.06760000000000001
40	4e-4	50 tracts	170	0.06578700000000001	0.121	0.02	0.068
40	4e-4	50 tracts	171	0.06601	0.121	0.02	0.0684
40	4e-4	50 tracts	172	0.066554	0.12102499999999998	0.02099999999999999	0.0688
40	4e-4	50 tracts	173	0.06700500000000001	0.12102499999999998	0.02099999999999999	0.0692
40	4e-4	50 tracts	174	0.067592	0.12102499999999998	0.021975	0.06960000000000001
40	4e-4	50 tracts	175	0.068039	0.12202499999999998	0.021975	0.07
40	4e-4	50 tracts	176	0.068328	0.12202499999999998	0.021975	0.0704
40	4e-4	50 tracts	177	0.068661	0.12302499999999998	0.021975	0.0708
40	4e-4	50 tracts	178	0.06916800000000001	0.12402499999999998	0.021975	0.0712
40	4e-4	50 tracts	179	0.069509	0.12302499999999998	0.022975	0.0716
40	4e-4	50 tracts	180	0.069973	0.12302499999999998	0.023975	0.07200000000000001
40	4e-4	50 tracts	181	0.070375	0.12402499999999998	0.023975	0.0724
40	4e-4	50 tracts	182	0.070572	0.124	0.023975	0.0728
40	4e-4	50 tracts	183	0.07097200000000001	0.125	0.023975	0.0732
40	4e-4	50 tracts	184	0.071238	0.126	0.024	0.0736
40	4e-4	50 tracts	185	0.07167799999999999	0.126	0.025	0.07400000000000001
40	4e-4	50 tracts	186	0.072046	0.127	0.025	0.07440000000000001
40	4e-4	50 tracts	187	0.072423	0.127	0.026	0.0748
40	4e-4	50 tracts	188	0.072718	0.127	0.027	0.0752
40	4e-4	50 tracts	189	0.073124	0.128	0.027	0.0756
40	4e-4	50 tracts	190	0.073321	0.129	0.026975	0.076
40	4e-4	50 tracts	191	0.07359600000000001	0.129	0.026975	0.07640000000000001
40	4e-4	50 tracts	192	0.074063	0.130025	0.026975	0.07680000000000001
40	4e-4	50 tracts	193	0.07431600000000001	0.130025	0.027975	0.0772
40	4e-4	50 tracts	194	0.074695	0.131025	0.027975	0.0776
40	4e-4	50 tracts	195	0.074945	0.131025	0.027975	0.078
40	4e-4	50 tracts	196	0.075495	0.132025	0.028975	0.0784
40	4e-4	50 tracts	197	0.075975	0.132025	0.028975	0.07880000000000001
40	4e-4	50 tracts	198	0.076489	0.133025	0.028975	0.0792
40	4e-4	50 tracts	199	0.076742	0.134025	0.028975	0.0796
