sample	length	marker	subject
MSI1B21419	-0.8455339725149271	Nax17	MSI1
MSI1B21435	-0.033624890287824005	Nax17	MSI1
MSI1C9	-0.01826578117871458	Nax17	MSI1
MSI1C931	-0.5014819542201128	Nax17	MSI1
MSI1C93113	-0.07411183615720596	Nax17	MSI1
MSI1C93133	-0.09894367594559261	Nax17	MSI1
MSI1M2	0	Nax17	MSI1
MSI1A3	-0.11110263542823251	Nax1	MSI1
MSI1A333	0.09455481613801009	Nax1	MSI1
MSI1A33311	-0.02123987494533708	Nax1	MSI1
MSI1A33322	-0.03520313698964905	Nax1	MSI1
MSI1A3333C	-0.27028764288381524	Nax1	MSI1
MSI1B2	-0.020539678236087155	Nax1	MSI1
MSI1B214	0.10028739104423945	Nax1	MSI1
MSI1B21418	-0.06405521072339582	Nax1	MSI1
MSI1B21419	-0.21914197836933447	Nax1	MSI1
MSI1B21435	-0.03904374975473868	Nax1	MSI1
MSI1C9	0.1252005145886086	Nax1	MSI1
MSI1C931	-0.0774232042406684	Nax1	MSI1
MSI1C93113	-0.09878670977127424	Nax1	MSI1
MSI1C93133	-0.1303335180931402	Nax1	MSI1
MSI1M2	0	Nax1	MSI1
MSI1A3	0.01804676123963378	Nax27LA	MSI1
MSI1A333	0.006981350238101314	Nax27LA	MSI1
MSI1A33311	0.00827183166922607	Nax27LA	MSI1
MSI1A33322	-0.0049422449543974345	Nax27LA	MSI1
MSI1A3333C	0.003285544124787876	Nax27LA	MSI1
MSI1B2	0.008518462959427708	Nax27LA	MSI1
MSI1B214	0.00789304921559597	Nax27LA	MSI1
MSI1B21418	8.707539138177456e-4	Nax27LA	MSI1
MSI1B21419	0.006314282921942693	Nax27LA	MSI1
MSI1B21435	0.010860374296497666	Nax27LA	MSI1
MSI1C9	0.0026282810182078897	Nax27LA	MSI1
MSI1C931	0.0020358109677707237	Nax27LA	MSI1
MSI1C93113	0.006756932166205765	Nax27LA	MSI1
MSI1C93133	0.005213081741127112	Nax27LA	MSI1
MSI1M2	0	Nax27LA	MSI1
MSI1A3	0.003613765350964915	Nax27UA	MSI1
MSI1A333	-0.0019302822907165673	Nax27UA	MSI1
MSI1A33311	-0.0016650433450917657	Nax27UA	MSI1
MSI1A33322	-0.008128047057396115	Nax27UA	MSI1
MSI1A3333C	0.006812962010297685	Nax27UA	MSI1
MSI1B2	-0.00774331597519895	Nax27UA	MSI1
MSI1B214	-0.015609758712125332	Nax27UA	MSI1
MSI1B21418	-0.01225073602208493	Nax27UA	MSI1
MSI1B21419	0.0021382815810060407	Nax27UA	MSI1
MSI1B21435	-0.004397809082932191	Nax27UA	MSI1
MSI1C9	-0.006321358472483274	Nax27UA	MSI1
MSI1C931	7.969914417618185e-4	Nax27UA	MSI1
MSI1C93113	0.0016365140776362086	Nax27UA	MSI1
MSI1C93133	0.01673862936537951	Nax27UA	MSI1
MSI1M2	0	Nax27UA	MSI1
MSI1A3	-0.017440753692746558	Nax30	MSI1
MSI1A333	-0.45667230002668147	Nax30	MSI1
MSI1A33311	-0.4585499286886243	Nax30	MSI1
MSI1A33322	-0.4712005580001053	Nax30	MSI1
MSI1A3333C	-0.5567739158537877	Nax30	MSI1
MSI1B2	0.0028468588575529807	Nax30	MSI1
MSI1B214	0.048834697310544684	Nax30	MSI1
MSI1B21418	-0.018119421033016003	Nax30	MSI1
MSI1B21419	-0.013934687227980636	Nax30	MSI1
MSI1B21435	-0.020499748878662682	Nax30	MSI1
MSI1C9	-0.10791648067926385	Nax30	MSI1
MSI1C931	-0.032580843849109975	Nax30	MSI1
MSI1C93113	0.010706593906036233	Nax30	MSI1
MSI1C93133	-0.24585725161305394	Nax30	MSI1
MSI1M2	0	Nax30	MSI1
MSI1A3	-0.013280909828527587	Nax38	MSI1
MSI1A333	-0.4477196573809108	Nax38	MSI1
MSI1A33311	-0.4516126381000545	Nax38	MSI1
MSI1A33322	-0.46591575376633454	Nax38	MSI1
MSI1A3333C	-0.44975768567724983	Nax38	MSI1
MSI1B2	-0.0033504929112355697	Nax38	MSI1
MSI1B214	0.008698583957057693	Nax38	MSI1
MSI1B21418	-0.052821592653158334	Nax38	MSI1
MSI1B21419	-0.012452577209270732	Nax38	MSI1
MSI1B21435	-0.013732912472270709	Nax38	MSI1
MSI1C9	-0.009166683220416694	Nax38	MSI1
MSI1C931	0.03746271372408838	Nax38	MSI1
MSI1C93113	-0.05892163502760139	Nax38	MSI1
MSI1C93133	-0.015163221262056492	Nax38	MSI1
MSI1M2	0	Nax38	MSI1
MSI1A3	-4.041624948136757e-4	Nax40LA	MSI1
MSI1A333	0.0023969063426125814	Nax40LA	MSI1
MSI1A33311	-0.013225681245096377	Nax40LA	MSI1
MSI1A33322	-0.004388595408082896	Nax40LA	MSI1
MSI1A3333C	5.173377199967355e-4	Nax40LA	MSI1
MSI1B2	-0.006545876310230181	Nax40LA	MSI1
MSI1B214	0.006540677045008492	Nax40LA	MSI1
MSI1B21418	-0.001733256063624733	Nax40LA	MSI1
MSI1B21419	0.0039048119430122874	Nax40LA	MSI1
MSI1B21435	-5.561180357926965e-5	Nax40LA	MSI1
MSI1C9	-0.012945194426025042	Nax40LA	MSI1
MSI1C931	0.00249824088795525	Nax40LA	MSI1
MSI1C93113	-0.003491658532130959	Nax40LA	MSI1
MSI1C93133	1.6308971626166624e-4	Nax40LA	MSI1
MSI1M2	0	Nax40LA	MSI1
MSI1A3	0.006366987466175367	Nax40UA	MSI1
MSI1A333	-0.01756395418465484	Nax40UA	MSI1
MSI1A33311	-0.027807489279070285	Nax40UA	MSI1
MSI1A33322	-7.623041053337332e-4	Nax40UA	MSI1
MSI1A3333C	0.04199803680316583	Nax40UA	MSI1
MSI1B2	-0.012672610829340236	Nax40UA	MSI1
MSI1B214	-0.014421720208169564	Nax40UA	MSI1
MSI1B21418	-0.011143111986027243	Nax40UA	MSI1
MSI1B21419	-0.4198531973667201	Nax40UA	MSI1
MSI1B21435	0.004989133705953996	Nax40UA	MSI1
MSI1C9	0.0011198580592792773	Nax40UA	MSI1
MSI1C931	-0.01573647870777206	Nax40UA	MSI1
MSI1C93113	-0.01696810113952818	Nax40UA	MSI1
MSI1C93133	-0.00928068881949251	Nax40UA	MSI1
MSI1M2	0	Nax40UA	MSI1
MSI1A3	-5.574254306206505e-4	Nax43	MSI1
MSI1A333	-0.0037033286084962036	Nax43	MSI1
MSI1A33311	-0.062383292868183116	Nax43	MSI1
MSI1A33322	-0.0627148282946326	Nax43	MSI1
MSI1A3333C	-0.04332036355644009	Nax43	MSI1
MSI1B2	-0.03800055505761879	Nax43	MSI1
MSI1B214	-0.031943965837082366	Nax43	MSI1
MSI1B21418	-0.02681969095710235	Nax43	MSI1
MSI1B21419	0.06052892414265543	Nax43	MSI1
MSI1B21435	-0.022276255279259694	Nax43	MSI1
MSI1C9	-0.04522542214398806	Nax43	MSI1
MSI1C931	-0.04376261043908425	Nax43	MSI1
MSI1C93113	-0.014781216807759456	Nax43	MSI1
MSI1C93133	-0.01704720843109442	Nax43	MSI1
MSI1M2	0	Nax43	MSI1
