a	b	r	l1	markers
TM10P2	TM23P1	0.5193654811593481	0.060362127897257464	14
TM10P2	TM23P2	0.682992174045543	0.15175873612211072	14
TM10P2	TM25P1	0.17964692135946422	0.10213321706128237	17
TM10P2	TM25P2	0.3717720392596493	0.06045327136900559	17
TM10P2	TM26P1	-0.31989324772608235	0.0811848641212707	15
TM10P2	TM26P2	-0.3443621992253667	0.09354336671393168	15
TM10P2	TM28P1	-0.23668319382668468	0.10748668342526259	17
TM10P2	TM28P2	0.047548700790853264	0.10067023689617471	17
TM10P2	TM29P1	-0.16120074939713688	0.16471656796999076	19
TM10P2	TM29P2	0.15977748816545703	0.10081031156847194	19
TM10P2	TM2P1	-0.2514186973005632	0.09927846842886144	15
TM10P2	TM2P2	0.2826513159639734	0.08944264319174591	15
TM10P2	TM30P1	0.3115356059416056	0.14974099696685086	17
TM10P2	TM30P2	0.17184655405083177	0.06792224186413254	17
TM10P2	TM31P1	0.1990129973970415	0.08631406404218386	20
TM10P2	TM31P2	0.13916259532538428	0.08229240130011803	20
TM10P2	TM32P1	-0.08033859922643856	0.10365064297154336	15
TM10P2	TM32P2	-0.009576583447683232	0.16592219200559374	15
TM10P2	TM33P1	0.04841214190576095	0.08943531726304063	16
TM10P2	TM33P2	0.03416843634220963	0.09250314005946404	16
TM10P2	TM34P1	-0.08958090987863988	0.11167510871169374	18
TM10P2	TM34P2	-0.126884648792546	0.11162597730543644	18
TM10P2	TM36P1	0.4018364889768033	0.07677889964071229	15
TM10P2	TM36P2	0.6178928615746759	0.07084213546945589	15
TM10P2	TM37P1	0.09801719438894198	0.07015516696044127	16
TM10P2	TM37P2	-0.3087547654055381	0.16306656539703784	16
TM10P2	TM37P3	0.23012923531404392	0.0840018121455478	16
TM10P2	TM38P1	0.18899697077478134	0.09141306032385454	16
TM10P2	TM38P2	-0.3634240760108292	0.11693186880666379	16
TM10P2	TM39P1	0.4421918764317114	0.10881254888716661	14
TM10P2	TM39P2	0.5767700338061575	0.2295227390689731	14
TM10P2	TM3P1	0.014785396431258892	0.1510761547305446	16
