samples	mrca	comparison	subject
C89P1e_C89P1f	1595.2182947108151	primary_primary	C89
C89P1e_C89P1g	1649.0967323464097	primary_primary	C89
C89P1e_C89P1h	1729.801131309124	primary_primary	C89
C89P1e_C89P1i	1520.5807643072474	primary_primary	C89
C89P1f_C89P1g	1595.2182947108151	primary_primary	C89
C89P1f_C89P1h	1595.2182947108151	primary_primary	C89
C89P1f_C89P1i	1520.5807643072474	primary_primary	C89
C89P1g_C89P1h	1649.0967323464097	primary_primary	C89
C89P1g_C89P1i	1520.5807643072474	primary_primary	C89
C89P1h_C89P1i	1520.5807643072474	primary_primary	C89
C89L1	1757.1015688677103	met_primary	C89
C89L2	1619.8832954637176	met_primary	C89
C89L3	1438.3916575291457	met_primary	C89
C89L4	1697.849820495538	met_primary	C89
C89L5	1690.0713461699224	met_primary	C89
C89L6	1901.143187195313	met_primary	C89
C89M1	1901.143187195313	met_primary	C89
C89M2	1314.2014572980454	met_primary	C89
C89M3	1901.143187195313	met_primary	C89
C89M4	1901.143187195313	met_primary	C89
C90P1b_C90P1c	3370.672943010814	primary_primary	C90
C90P1b_C90P1d	768.6479419434402	primary_primary	C90
C90P1b_C90P1e	3131.6158258344803	primary_primary	C90
C90P1b_C90P1f	3131.6158258344803	primary_primary	C90
C90P1b_C90P1g	3256.3614882538823	primary_primary	C90
C90P1b_C90P1j	3256.3614882538823	primary_primary	C90
C90P1b_C90P1k	3370.672943010814	primary_primary	C90
C90P1c_C90P1d	768.6479419434402	primary_primary	C90
C90P1c_C90P1e	3131.6158258344803	primary_primary	C90
C90P1c_C90P1f	3131.6158258344803	primary_primary	C90
C90P1c_C90P1g	3256.3614882538823	primary_primary	C90
C90P1c_C90P1j	3256.3614882538823	primary_primary	C90
C90P1c_C90P1k	3608.059628751559	primary_primary	C90
C90P1d_C90P1e	768.6479419434402	primary_primary	C90
C90P1d_C90P1f	768.6479419434402	primary_primary	C90
C90P1d_C90P1g	768.6479419434402	primary_primary	C90
C90P1d_C90P1j	768.6479419434402	primary_primary	C90
C90P1d_C90P1k	768.6479419434402	primary_primary	C90
C90P1e_C90P1f	3302.7724500501863	primary_primary	C90
C90P1e_C90P1g	3131.6158258344803	primary_primary	C90
C90P1e_C90P1j	3131.6158258344803	primary_primary	C90
C90P1e_C90P1k	3131.6158258344803	primary_primary	C90
C90P1f_C90P1g	3131.6158258344803	primary_primary	C90
C90P1f_C90P1j	3131.6158258344803	primary_primary	C90
C90P1f_C90P1k	3131.6158258344803	primary_primary	C90
C90P1g_C90P1j	3364.5434700255705	primary_primary	C90
C90P1g_C90P1k	3256.3614882538823	primary_primary	C90
C90P1j_C90P1k	3256.3614882538823	primary_primary	C90
C90L1	2894.1457216534836	met_primary	C90
C90L2	3426.3599561769147	met_primary	C90
C90L3	3405.044128223705	met_primary	C90
C90L4	3367.5764833848325	met_primary	C90
C90L5	3367.5764833848325	met_primary	C90
C90M1	3557.1198323584385	met_primary	C90
C90Ad2a_C90Ad2b	639.9505927307027	adenoma_adenoma	C90
C92P1d_C92P1e	3741.0393361902625	primary_primary	C92
C92P1d_C92P1f	3741.0393361902625	primary_primary	C92
C92P1d_C92P1g	3741.0393361902625	primary_primary	C92
C92P1d_C92P1h	3741.0393361902625	primary_primary	C92
C92P1e_C92P1f	3993.579179917281	primary_primary	C92
C92P1e_C92P1g	3893.9681606648924	primary_primary	C92
C92P1e_C92P1h	4078.715972317828	primary_primary	C92
C92P1f_C92P1g	3893.9681606648924	primary_primary	C92
C92P1f_C92P1h	3993.579179917281	primary_primary	C92
C92P1g_C92P1h	3893.9681606648924	primary_primary	C92
C92L1	3451.15271211923	met_primary	C92
C92L2	3651.2390429549505	met_primary	C92
C92L3	4170.0563826664065	met_primary	C92
C93P1a_C93P1c	1432.5030816360818	primary_primary	C93
C93P1a_C93P1g	1642.4580271941431	primary_primary	C93
C93P1c_C93P1g	1432.5030816360818	primary_primary	C93
C93L2	1327.1103245829793	met_primary	C93
C93L3	1327.1103245829793	met_primary	C93
C93L4	1327.1103245829793	met_primary	C93
C93L5	1327.1103245829793	met_primary	C93
C93L6	1327.1103245829793	met_primary	C93
C93Ad1a_C93Ad1b	2061.934260586564	adenoma_adenoma	C93
C93Ad1a_C93Ad1c	1578.422039337693	adenoma_adenoma	C93
C93Ad1b_C93Ad1c	1578.422039337693	adenoma_adenoma	C93
C94P1b_C94P1d	2286.013722065983	primary_primary	C94
C94P1b_C94P1e	2442.6961823530523	primary_primary	C94
C94P1b_C94P1f	2825.477885534638	primary_primary	C94
C94P1d_C94P1e	2286.013722065983	primary_primary	C94
C94P1d_C94P1f	2286.013722065983	primary_primary	C94
C94P1e_C94P1f	2442.6961823530523	primary_primary	C94
C94L10	1408.9090253395184	met_primary	C94
C94L11	1873.4083329447396	met_primary	C94
C94L12	2545.7405625697393	met_primary	C94
C94L2	2387.295077829552	met_primary	C94
C94L3	1582.7422362151865	met_primary	C94
C94L4	1988.0404915135832	met_primary	C94
C94L5	2070.6976142837934	met_primary	C94
C94L6	1873.4083329447396	met_primary	C94
C94L7	1873.4083329447396	met_primary	C94
C94L8	1753.1875670466616	met_primary	C94
C94L9	1873.4083329447396	met_primary	C94
C95P1a_C95P1c	3879.1032568923433	primary_primary	C95
C95L1	2748.85244127778	met_primary	C95
C95L12	3715.846665103889	met_primary	C95
C95L2	3809.6805167879024	met_primary	C95
C95L3	3809.6805167879024	met_primary	C95
C95L4	4376.876263381086	met_primary	C95
C95L5	3755.951505444807	met_primary	C95
C95L7	4593.003014337014	met_primary	C95
C95L8	3989.2045499742003	met_primary	C95
C95L9	4089.609976124512	met_primary	C95
C96P1a_C96P1b	1564.2426050684928	primary_primary	C96
C96P1a_C96P1c	720.6092890855437	primary_primary	C96
C96P1a_C96P1d	1054.2529942293174	primary_primary	C96
C96P1a_C96P1e	720.6092890855437	primary_primary	C96
C96P1a_C96P1f	1535.0092898275027	primary_primary	C96
C96P1a_C96P1g	1546.4724006978247	primary_primary	C96
C96P1a_C96P1h	1473.9062459137724	primary_primary	C96
C96P1b_C96P1c	720.6092890855437	primary_primary	C96
C96P1b_C96P1d	1054.2529942293174	primary_primary	C96
C96P1b_C96P1e	720.6092890855437	primary_primary	C96
C96P1b_C96P1f	1535.0092898275027	primary_primary	C96
C96P1b_C96P1g	1546.4724006978247	primary_primary	C96
C96P1b_C96P1h	1473.9062459137724	primary_primary	C96
C96P1c_C96P1d	720.6092890855437	primary_primary	C96
C96P1c_C96P1e	739.689155460326	primary_primary	C96
C96P1c_C96P1f	720.6092890855437	primary_primary	C96
C96P1c_C96P1g	720.6092890855437	primary_primary	C96
C96P1c_C96P1h	720.6092890855437	primary_primary	C96
C96P1d_C96P1e	720.6092890855437	primary_primary	C96
C96P1d_C96P1f	1054.2529942293174	primary_primary	C96
C96P1d_C96P1g	1054.2529942293174	primary_primary	C96
C96P1d_C96P1h	1054.2529942293174	primary_primary	C96
C96P1e_C96P1f	720.6092890855437	primary_primary	C96
C96P1e_C96P1g	720.6092890855437	primary_primary	C96
C96P1e_C96P1h	720.6092890855437	primary_primary	C96
C96P1f_C96P1g	1535.0092898275027	primary_primary	C96
C96P1f_C96P1h	1473.9062459137724	primary_primary	C96
C96P1g_C96P1h	1473.9062459137724	primary_primary	C96
C96L1	957.3573059017499	met_primary	C96
C96L2	1383.881386402199	met_primary	C96
C96L3	910.9952247850756	met_primary	C96
C97P1a_C97P1b	276.15091395538235	primary_primary	C97
C97P1a_C97P1c	276.15091395538235	primary_primary	C97
C97P1a_C97P1d	276.15091395538235	primary_primary	C97
C97P1a_C97P1e	194.60002070128226	primary_primary	C97
C97P1b_C97P1c	351.9889232579675	primary_primary	C97
C97P1b_C97P1d	293.44661946774283	primary_primary	C97
C97P1b_C97P1e	194.60002070128226	primary_primary	C97
C97P1c_C97P1d	293.44661946774283	primary_primary	C97
C97P1c_C97P1e	194.60002070128226	primary_primary	C97
C97P1d_C97P1e	194.60002070128226	primary_primary	C97
C97M1	241.3370970066876	met_primary	C97
C97M2	313.44232418451304	met_primary	C97
C98P1a_C98P1b	2359.196685435725	primary_primary	C98
C98P1a_C98P1c	2308.4281094218954	primary_primary	C98
C98P1a_C98P1d	2141.6202794077976	primary_primary	C98
C98P1a_C98P1e	1675.8626668590164	primary_primary	C98
C98P1a_C98P1f	1347.413570144593	primary_primary	C98
C98P1b_C98P1c	2308.4281094218954	primary_primary	C98
C98P1b_C98P1d	2141.6202794077976	primary_primary	C98
C98P1b_C98P1e	1675.8626668590164	primary_primary	C98
C98P1b_C98P1f	1347.413570144593	primary_primary	C98
C98P1c_C98P1d	2141.6202794077976	primary_primary	C98
C98P1c_C98P1e	1675.8626668590164	primary_primary	C98
C98P1c_C98P1f	1347.413570144593	primary_primary	C98
C98P1d_C98P1e	1675.8626668590164	primary_primary	C98
C98P1d_C98P1f	1347.413570144593	primary_primary	C98
C98P1e_C98P1f	1347.413570144593	primary_primary	C98
C98M1	1839.4604601097824	met_primary	C98
